compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit,HIT_antiviral_AB_Y/N,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,is_AB_hit,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
2-cyanopyrimidine,10.0,0.06,107.5,Vero E6,CHEMBL3352946,False,False,,False,False,N,N,N,False,False,833.33,6.33
2-deoxyglucose,10.0,-0.12,107.0,Vero E6,CHEMBL2074932,False,False,,False,False,N,N,N,False,False,1.0,3.5
2-ethoxybenzoic-acid,10.0,0.04,115.0,Vero E6,CHEMBL4303266,False,False,,False,False,N,N,N,False,False,100.0,4.26
"2-ethyl-1,3-hexanediol",0.83,-0.1,116.5,Vero E6,CHEMBL1451179,False,False,,False,False,N,N,N,False,False,1.0,4.92
2-fluoro-2-deoxy-D-galactose,10.0,0.13,116.5,Vero E6,CHEMBL1234222,False,False,,False,False,N,N,N,False,False,1.0,1.5
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",10.0,0.06,104.0,Vero E6,CHEMBL569170,False,False,,False,False,N,N,N,False,False,1.0,0.73
2-hydroxyethyl-salicylate,10.0,-0.2,108.5,Vero E6,CHEMBL173562,False,False,,False,False,N,N,N,False,False,8.33,1.56
2-hydroxyflutamide,10.0,0.09,107.5,Vero E6,CHEMBL491,False,False,,False,False,N,N,N,False,False,1.0,0.48
2-hydroxysaclofen,10.0,0.27,84.5,Vero E6,CHEMBL1256573,False,False,,False,False,N,N,N,False,False,833.33,3.7
2-iminobiotin,10.0,0.08,99.0,Vero E6,CHEMBL1233598,False,False,,False,False,N,N,N,False,False,8.33,1.48
2-iodohippuric-acid,10.0,-0.11,109.5,Vero E6,CHEMBL1681,False,False,,False,False,N,N,N,False,False,1.0,3.32
2-iodomelatonin,10.0,0.05,88.0,Vero E6,CHEMBL289233,False,False,,False,False,N,N,N,False,False,8.33,4.46
2-methoxyestradiol,0.83,0.01,102.0,Vero E6,CHEMBL299613,False,False,,False,False,N,N,N,False,False,8.33,0.66
2-methyl-5-hydroxytryptamine,10.0,0.0,108.5,Vero E6,CHEMBL266591,False,False,,False,False,N,N,N,False,False,10000.0,-2.37
2-methyl-5-nitrophenol,10.0,0.06,98.5,Vero E6,CHEMBL4303614,False,False,,False,False,N,N,N,False,False,10000.0,-2.25
2-methylimidazole,10.0,0.05,95.0,Vero E6,CHEMBL293391,False,False,,False,False,N,N,N,False,False,8.33,1.86
2-octyldodecan-1-ol,10.0,0.04,110.0,Vero E6,CHEMBL1572050,False,False,,False,False,N,N,N,False,False,1.0,1.79
2-oxoglutaric-acid,10.0,-0.13,110.0,Vero E6,CHEMBL1686,False,False,,False,False,N,N,N,False,False,100.0,1.87
2-phenylmelatonin,10.0,0.06,107.0,Vero E6,CHEMBL15060,False,False,,False,False,N,N,N,False,False,100.0,0.56
2-pyridylethylamine,10.0,0.07,104.0,Vero E6,CHEMBL32813,False,True,,False,False,N,Y,N,False,True,8.33,24.26
2-thiouracil,10.0,0.02,108.5,Vero E6,CHEMBL345768,False,False,,False,False,N,N,N,False,False,1.0,3.22
20-hydroxyecdysone,10.0,0.04,108.5,Vero E6,CHEMBL224128,False,False,,False,False,N,N,N,False,False,10000.0,1.01
3'-fluorobenzylspiperone,0.83,0.33,103.0,Vero E6,CHEMBL137648,False,True,,False,False,N,Y,N,False,True,10000.0,71.66
"3,3'-dichlorobenzaldazine",10.0,0.29,99.0,Vero E6,CHEMBL3334990,False,False,,False,False,N,N,N,False,False,1.0,2.78
"3,3'-diindolylmethane",10.0,0.08,113.0,Vero E6,CHEMBL446452,False,False,,False,False,N,N,N,False,False,833.33,4.76
"3,4-DCPG-(+/-)",10.0,0.1,101.0,Vero E6,CHEMBL1331443,False,False,,False,False,N,N,N,False,False,1.0,3.57
"3,4-DCPG-(+/-)",10.0,0.06,93.0,Vero E6,CHEMBL1331443,False,False,,False,False,N,N,N,False,False,1.0,3.57
"3,4-DCPG-(+/-)",10.0,0.1,100.5,Vero E6,CHEMBL1331443,False,False,,False,False,N,N,N,False,False,1.0,3.57
"3,4-methylenedioxy-beta-nitrostyrene",10.0,0.58,41.0,Vero E6,CHEMBL596380,True,True,,False,False,Y,N,Y,True,False,10000.0,7.29
3-(4-methylbenzylidene)camphor,10.0,-0.04,113.5,Vero E6,CHEMBL2104261,False,False,,False,False,N,N,N,False,False,100.0,2.26
3-AQC,10.0,0.11,106.0,Vero E6,CHEMBL90769,False,False,,False,False,N,N,N,False,False,8.33,2.96
3-CPMT,0.83,0.25,98.5,Vero E6,CHEMBL540034,False,True,60.0,True,False,N,Y,N,False,True,10000.0,17.44
3-MATIDA,10.0,-0.05,95.0,Vero E6,CHEMBL1322301,False,False,,False,False,N,N,N,False,False,833.33,1.06
3-MPPI,10.0,0.22,96.0,Vero E6,CHEMBL301707,False,False,,False,False,N,N,N,False,False,100.0,3.13
3-alpha-bis-(4-fluorophenyl)-methoxytropane,10.0,0.27,73.0,Vero E6,CHEMBL1552961,False,False,,False,False,N,N,N,False,False,8.33,1.33
3-alpha-hydroxy-5-beta-androstan-17-one,10.0,0.19,98.0,Vero E6,CHEMBL85799,False,False,,False,False,N,N,N,False,False,10000.0,7.19
3-alpha-hydroxy-5-beta-androstan-17-one,10.0,0.22,99.0,Vero E6,CHEMBL85799,False,False,,False,False,N,N,N,False,False,10000.0,7.19
3-alpha-hydroxy-5-beta-androstan-17-one,10.0,-0.09,108.5,Vero E6,CHEMBL85799,False,False,,False,False,N,N,N,False,False,10000.0,7.19
3-amino-benzamide,10.0,-0.04,102.5,Vero E6,CHEMBL81977,False,False,,False,False,N,N,N,False,False,10000.0,0.61
3-anilinopropan-1-ol,10.0,-0.16,110.0,Vero E6,CHEMBL2357012,False,False,,False,False,N,N,N,False,False,8.33,2.09
3-bromo-7-nitroindazole,10.0,0.1,110.0,Vero E6,CHEMBL479014,False,False,,False,False,N,N,N,False,False,8.33,2.23
3-bromocamphor,10.0,-0.09,105.5,Vero E6,CHEMBL4303364,False,False,,False,False,N,N,N,False,False,833.33,1.85
3-bromopyruvate,10.0,-0.1,111.0,Vero E6,CHEMBL177837,False,False,,False,False,N,N,N,False,False,100.0,4.96
3-carboxy-4-hydroxyphenylglycine-(S),10.0,0.12,93.0,Vero E6,CHEMBL128772,False,False,,False,False,N,N,N,False,False,8.33,2.23
3-carboxy-4-hydroxyphenylglycine-(S),10.0,0.04,97.0,Vero E6,CHEMBL128772,False,False,,False,False,N,N,N,False,False,8.33,2.23
3-deazaadenosine,10.0,0.12,106.0,Vero E6,CHEMBL202701,False,False,,False,False,N,N,N,False,False,833.33,-0.63
3-deazaneplanocin-A,10.0,-0.1,112.0,Vero E6,CHEMBL154745,False,False,,False,False,N,N,N,False,False,833.33,5.38
3-hydroxy-3-phenylpentanamide,10.0,0.03,112.0,Vero E6,CHEMBL4303634,False,False,,False,False,N,N,N,False,False,1.0,1.46
3-indolebutyric-acid,10.0,0.12,114.5,Vero E6,CHEMBL582878,False,False,,False,False,N,N,N,False,False,100.0,0.03
3-methyl-GABA,10.0,0.02,101.5,Vero E6,CHEMBL275655,False,False,,False,False,N,N,N,False,False,100.0,1.28
3-methyladenine,10.0,0.26,93.0,Vero E6,CHEMBL292268,False,False,,False,False,N,N,N,False,False,833.33,-0.52
3PO,10.0,0.62,49.5,Vero E6,CHEMBL3105848,True,True,,False,False,Y,N,Y,True,False,10000.0,11.27
"4,4'-DDT",10.0,0.08,106.5,Vero E6,CHEMBL416898,False,False,,False,False,N,N,N,False,False,8.33,4.86
"4,4-pentamethylenepiperidine",10.0,-0.07,104.0,Vero E6,CHEMBL2078948,False,False,,False,False,N,N,N,False,False,833.33,1.32
"4,5,6,7-tetrabromobenzotriazole",10.0,-0.07,105.5,Vero E6,CHEMBL177820,False,False,,False,False,N,N,N,False,False,8.33,3.75
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,10.0,-0.0,110.5,Vero E6,CHEMBL19259,False,False,,False,False,N,N,N,False,False,833.33,1.25
4-CMTB,10.0,0.03,98.5,Vero E6,CHEMBL610463,False,False,,False,False,N,N,N,False,False,833.33,1.87
4-DAMP,10.0,0.1,113.5,Vero E6,CHEMBL76897,False,False,,False,False,N,N,N,False,False,8.33,2.05
4-HQN,10.0,-0.1,101.5,Vero E6,CHEMBL266540,False,False,,False,False,N,N,N,False,False,1.0,1.72
4-IBP,10.0,-0.01,105.0,Vero E6,CHEMBL50112,False,False,,False,False,N,N,N,False,False,1.0,2.1
4-P-PDOT,10.0,-0.08,110.0,Vero E6,CHEMBL1402435,False,False,,False,False,N,N,N,False,False,833.33,3.72
4-PPBP,10.0,0.29,73.5,Vero E6,CHEMBL325238,False,False,,False,False,N,N,N,False,False,100.0,2.71
"4-acetyl-1,1-dimethylpiperazinium",10.0,0.1,88.5,Vero E6,CHEMBL356911,False,False,,False,False,N,N,N,False,False,833.33,1.13
4-aminohippuric-acid,10.0,-0.06,108.5,Vero E6,CHEMBL463,False,False,,False,False,N,N,N,False,False,833.33,0.71
4-carboxy-3-hydroxyphenylglycine-(RS),10.0,0.13,100.0,Vero E6,CHEMBL1357932,False,False,,False,False,N,N,N,False,False,100.0,2.68
4-carboxy-3-hydroxyphenylglycine-(RS),10.0,0.04,102.0,Vero E6,CHEMBL1357932,False,False,,False,False,N,N,N,False,False,100.0,2.68
4-chlorophenylguanidine,10.0,-0.23,114.5,Vero E6,CHEMBL41040,False,False,,False,False,N,N,N,False,False,8.33,1.22
