compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit,HIT_antiviral_AB_Y/N,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,is_AB_hit,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
KML29,10.0,0.16,93.5,Vero E6,CHEMBL3901007,False,False,,False,False,N,N,N,False,False,10000.0,0.49
KN-62,10.0,0.31,83.0,Vero E6,CHEMBL28324,False,False,,False,False,N,N,N,False,False,10000.0,6.05
KP-1212,10.0,0.03,105.5,Vero E6,CHEMBL3086524,False,False,,False,False,N,N,N,False,False,833.33,0.71
KPT-185,10.0,-0.36,114.0,Vero E6,CHEMBL3898452,False,False,,False,False,N,N,N,False,False,1.0,-1.83
KPT-276,10.0,-0.3,116.0,Vero E6,CHEMBL4303237,False,False,,False,False,N,N,N,False,False,1.0,2.37
KRCA-0008,10.0,0.08,114.0,Vero E6,CHEMBL3941724,False,False,,False,False,N,N,N,False,False,833.33,2.01
KRN-633,10.0,-0.03,108.0,Vero E6,CHEMBL406381,False,False,,False,False,N,N,N,False,False,100.0,1.2
KS-176,10.0,-0.03,112.5,Vero E6,CHEMBL4303487,False,False,,False,False,N,N,N,False,False,8.33,0.23
KU-0063794,0.83,0.12,110.0,Vero E6,CHEMBL1078983,False,False,,False,False,N,N,N,False,False,100.0,2.09
KU-55933,10.0,0.28,83.0,Vero E6,CHEMBL222102,False,False,,False,False,N,N,N,False,False,833.33,3.55
KU-60019,10.0,0.62,60.0,Vero E6,CHEMBL2140173,True,True,,False,False,N,Y,Y,False,True,10000.0,35.72
KU14R,10.0,0.23,93.0,Vero E6,CHEMBL4303281,False,False,,False,False,N,N,N,False,False,833.33,0.92
KW-2449,10.0,0.96,94.5,Vero E6,CHEMBL1908397,True,True,17.0,True,False,N,N,Y,False,False,8.33,1.26
KW-2478,10.0,-0.03,102.0,Vero E6,CHEMBL4297298,False,False,,False,False,N,N,N,False,False,10000.0,0.48
KW-3902,10.0,0.13,94.0,Vero E6,CHEMBL52333,False,False,,False,False,N,N,N,False,False,100.0,2.44
KX2-391,10.0,-0.5,112.0,Vero E6,CHEMBL571546,False,False,,False,False,N,N,N,False,False,8.33,0.24
KY02111,10.0,0.2,100.5,Vero E6,CHEMBL3186128,False,False,,False,False,N,N,N,False,False,10000.0,0.38
Ko143,10.0,0.03,111.5,Vero E6,CHEMBL488910,False,False,,False,False,N,N,N,False,False,100.0,-0.32
L-(+)-rhamnose-monohydrate,10.0,0.23,103.5,Vero E6,CHEMBL4303317,False,False,,False,False,N,N,N,False,False,833.33,1.22
L-152804,10.0,0.28,98.0,Vero E6,CHEMBL1421016,False,False,,False,False,N,N,N,False,False,833.33,1.93
L-161982,10.0,0.09,103.5,Vero E6,CHEMBL1179743,False,False,,False,False,N,N,N,False,False,100.0,2.56
L-165041,10.0,0.06,106.0,Vero E6,CHEMBL153057,False,False,,False,False,N,N,N,False,False,1.0,3.84
L-168049,10.0,0.11,100.5,Vero E6,CHEMBL351772,False,False,,False,False,N,N,N,False,False,8.33,0.84
L-365260,10.0,0.02,106.0,Vero E6,CHEMBL9387,False,False,,False,False,N,N,N,False,False,8.33,1.7
L-368899,10.0,0.05,95.0,Vero E6,CHEMBL1253853,False,False,,False,False,N,N,N,False,False,100.0,2.92
"L-655,708",10.0,0.29,95.0,Vero E6,CHEMBL52030,False,False,,False,False,N,N,N,False,False,10000.0,0.55
L-655240,10.0,-0.21,113.0,Vero E6,CHEMBL362223,False,False,,False,False,N,N,N,False,False,100.0,4.56
L-670596,10.0,0.14,90.0,Vero E6,CHEMBL4303193,False,False,,False,False,N,N,N,False,False,833.33,1.36
L-689560,10.0,-0.15,106.5,Vero E6,CHEMBL287327,False,False,,False,False,N,N,N,False,False,10000.0,0.62
L-690330,10.0,0.04,107.0,Vero E6,CHEMBL34819,False,False,,False,False,N,N,N,False,False,100.0,3.91
L-693403,10.0,0.23,80.5,Vero E6,CHEMBL292477,False,False,,False,False,N,N,N,False,False,833.33,1.63
L-694247,10.0,0.14,103.0,Vero E6,CHEMBL39317,False,False,,False,False,N,N,N,False,False,8.33,-0.95
L-701252,10.0,0.24,100.5,Vero E6,CHEMBL115225,False,False,,False,False,N,N,N,False,False,100.0,2.03
"L-732,138",10.0,0.31,93.0,Vero E6,CHEMBL22870,False,False,,False,False,N,N,N,False,False,10000.0,4.0
L-733060,10.0,0.78,16.0,Vero E6,CHEMBL27006,True,True,,False,False,Y,Y,Y,True,True,10000.0,18.15
L-741742,10.0,0.2,84.0,Vero E6,CHEMBL444309,False,False,,False,False,N,N,N,False,False,100.0,6.13
L-745870,10.0,-0.02,108.0,Vero E6,CHEMBL267014,False,False,,False,False,N,N,N,False,False,833.33,1.1
L-755507,10.0,-0.17,112.5,Vero E6,CHEMBL12998,False,False,,False,False,N,N,N,False,False,833.33,2.18
L-760735,10.0,0.43,58.0,Vero E6,CHEMBL4303434,False,True,,False,False,Y,N,N,True,False,10000.0,7.29
L-778123,10.0,0.28,95.0,Vero E6,CHEMBL279433,False,False,,False,False,N,N,N,False,False,1.0,3.21
L-798106,10.0,0.19,79.5,Vero E6,CHEMBL218071,False,False,,False,False,N,N,N,False,False,833.33,3.35
L-838417,10.0,0.17,96.5,Vero E6,CHEMBL373250,False,False,,False,False,N,N,N,False,False,8.33,3.4
L-NAME,10.0,0.12,98.5,Vero E6,CHEMBL7890,False,False,,False,False,N,N,N,False,False,1.0,0.94
L-alanine,10.0,-0.12,111.0,Vero E6,CHEMBL279597,False,False,,False,False,N,N,N,False,False,1.0,1.06
L-arginine,10.0,0.05,113.0,Vero E6,CHEMBL1485,False,False,,False,False,N,N,N,False,False,8.33,3.4
L-ascorbyl-6-palmitate,10.0,-0.04,111.5,Vero E6,CHEMBL3809846,False,False,,False,False,N,N,N,False,False,1.0,2.02
L-asparagine,10.0,0.14,94.0,Vero E6,CHEMBL58832,False,False,,False,False,N,N,N,False,False,10000.0,-0.9
L-citrulline,10.0,0.03,112.0,Vero E6,CHEMBL444814,False,False,,False,False,N,N,N,False,False,833.33,2.58
L-cysteine,10.0,0.03,94.0,Vero E6,CHEMBL863,False,False,,False,False,N,N,N,False,False,1.0,1.7
L-cysteinesulfinic-acid,10.0,-0.05,108.5,Vero E6,CHEMBL1160508,False,False,,False,False,N,N,N,False,False,10000.0,2.03
L-ergothioneine,10.0,0.06,99.0,Vero E6,CHEMBL5209630,False,False,,False,False,N,N,N,False,False,833.33,2.82
L-glutamine,10.0,0.28,94.0,Vero E6,CHEMBL930,False,False,,False,False,N,N,N,False,False,8.33,2.45
L-hydroxyproline,10.0,0.2,101.0,Vero E6,CHEMBL352418,False,False,,False,False,N,N,N,False,False,100.0,-0.27
L-lysine,10.0,0.01,102.5,Vero E6,CHEMBL8085,False,False,,False,False,N,N,N,False,False,100.0,9.64
L-mimosine,10.0,0.09,100.0,Vero E6,CHEMBL245416,False,False,,False,False,N,N,N,False,False,10000.0,1.59
L-monomethylarginine,10.0,0.2,97.0,Vero E6,CHEMBL256147,False,False,,False,False,N,N,N,False,False,833.33,1.39
L-quisqualic-acid,10.0,0.04,105.5,Vero E6,CHEMBL168279,False,False,,False,False,N,N,N,False,False,8.33,3.03
L-theanine,10.0,0.04,101.5,Vero E6,CHEMBL3039113,False,False,,False,False,N,N,N,False,False,833.33,-0.63
L-valine,10.0,0.02,109.0,Vero E6,CHEMBL43068,False,False,,False,False,N,N,N,False,False,10000.0,1.66
LB-100,10.0,0.06,109.5,Vero E6,CHEMBL4297300,False,False,,False,False,N,N,N,False,False,100.0,0.49
LB42708,0.83,0.34,94.5,Vero E6,CHEMBL4210419,False,False,,False,False,N,N,N,False,False,833.33,-0.44
LCL-161,10.0,0.4,87.0,Vero E6,CHEMBL2431768,False,False,,False,False,N,N,N,False,False,8.33,2.97
LCQ908,10.0,0.27,73.5,Vero E6,CHEMBL2364624,False,False,,False,False,N,N,N,False,False,10000.0,1.98
LDC1267,10.0,0.69,110.5,Vero E6,CHEMBL3808844,True,True,,False,False,N,N,Y,False,False,833.33,0.24
LDN-209929,10.0,0.05,91.5,Vero E6,CHEMBL4303455,False,False,,False,False,N,N,N,False,False,10000.0,2.63
LDN-212854,0.83,-0.15,103.0,Vero E6,CHEMBL2385591,False,False,,False,False,N,N,N,False,False,10000.0,6.47
LDN-27219,10.0,-0.02,99.5,Vero E6,CHEMBL179945,False,False,,False,False,N,N,N,False,False,8.33,1.94
LDN-57444,10.0,0.39,76.0,Vero E6,CHEMBL3407553,False,False,,False,False,N,N,N,False,False,10000.0,4.47
LDN193189,10.0,-0.09,107.5,Vero E6,CHEMBL513147,False,False,,False,False,N,N,N,False,False,8.33,4.28
LE-135,0.83,-0.14,107.0,Vero E6,CHEMBL37708,False,False,,False,False,N,N,N,False,False,1.0,4.92
LFM-A13,10.0,0.0,105.0,Vero E6,CHEMBL228043,False,False,,False,False,N,N,N,False,False,833.33,2.02
LGK-974,10.0,-0.08,111.0,Vero E6,CHEMBL3188386,False,False,,False,False,N,N,N,False,False,10000.0,2.89
LH846,10.0,0.41,76.5,Vero E6,CHEMBL4303305,False,False,,False,False,N,N,N,False,False,10000.0,3.87
LIMKi-3,10.0,-0.13,108.5,Vero E6,CHEMBL2141887,False,False,,False,False,N,N,N,False,False,8.33,2.58
LM-22A4,10.0,0.04,102.5,Vero E6,CHEMBL4303415,False,False,,False,False,N,N,N,False,False,10000.0,0.61
LMI070,10.0,-0.37,119.5,Vero E6,CHEMBL4290141,False,False,,False,False,N,N,N,False,False,100.0,2.2
LMK-235,10.0,-0.49,124.0,Vero E6,CHEMBL2312168,False,False,,False,False,N,N,N,False,False,1.0,2.07
LPA2-antagonist-1,10.0,0.14,100.0,Vero E6,CHEMBL256470,False,False,,False,False,N,N,N,False,False,10000.0,5.53
LRRK2-IN-1,0.83,0.05,100.0,Vero E6,CHEMBL2012582,False,False,,False,False,N,N,N,False,False,100.0,2.57
LSN-2463359,10.0,0.01,102.0,Vero E6,CHEMBL2431212,False,False,,False,False,N,N,N,False,False,10000.0,13.21
LTA,10.0,0.1,109.5,Vero E6,CHEMBL33240,False,False,,False,False,N,N,N,False,False,10000.0,1.94
LUF-5834,10.0,-0.02,108.0,Vero E6,CHEMBL122622,False,False,,False,False,N,N,N,False,False,100.0,1.83
LX1031,10.0,0.1,101.5,Vero E6,CHEMBL4303338,False,False,,False,False,N,N,N,False,False,100.0,1.61
LX7101,10.0,0.16,94.0,Vero E6,CHEMBL3356433,False,False,,False,False,N,N,N,False,False,10000.0,5.79
LXR-623,10.0,0.29,95.5,Vero E6,CHEMBL456237,False,False,,False,False,N,N,N,False,False,100.0,2.69
LY2090314,10.0,-0.44,105.0,Vero E6,CHEMBL362558,False,True,,False,False,N,Y,N,False,True,833.33,16.0
LY2109761,10.0,0.69,80.0,Vero E6,CHEMBL260015,True,True,,False,False,N,N,Y,False,False,100.0,1.87
LY2140023,10.0,-0.17,116.5,Vero E6,CHEMBL2110730,False,False,,False,False,N,N,N,False,False,10000.0,1.37
LY2157299,10.0,0.13,100.5,Vero E6,CHEMBL2364611,False,False,,False,False,N,N,N,False,False,1.0,0.85
LY2183240,0.83,0.0,85.0,Vero E6,CHEMBL509860,False,False,,False,False,N,N,N,False,False,8.33,2.48
LY2228820,10.0,-0.21,111.0,Vero E6,CHEMBL2364627,False,True,3.0,True,True,N,Y,N,False,True,10000.0,55.22
LY223982,10.0,0.08,95.0,Vero E6,CHEMBL49302,False,False,,False,False,N,N,N,False,False,1.0,2.26
LY225910,10.0,0.15,93.0,Vero E6,CHEMBL37312,False,False,,False,False,N,N,N,False,False,8.33,2.18
LY231617,10.0,0.19,99.0,Vero E6,CHEMBL96606,False,False,,False,False,N,N,N,False,False,100.0,1.78
LY2334737,0.83,0.05,100.0,Vero E6,CHEMBL577711,False,False,,False,False,N,N,N,False,False,1.0,-0.06
LY2365109,10.0,-0.07,101.5,Vero E6,CHEMBL1628564,False,False,,False,False,N,N,N,False,False,1.0,1.26
LY255283,10.0,0.07,100.5,Vero E6,CHEMBL15766,False,False,,False,False,N,N,N,False,False,100.0,0.43
LY2584702,10.0,0.12,109.5,Vero E6,CHEMBL3545076,False,False,,False,False,N,N,N,False,False,1.0,0.45
LY2603618,0.83,0.05,111.0,Vero E6,CHEMBL3039517,False,False,,False,False,N,N,N,False,False,100.0,1.44
LY2606368,10.0,-0.1,103.0,Vero E6,CHEMBL3544911,False,False,,False,False,N,N,N,False,False,8.33,0.79
LY2608204,10.0,0.77,17.0,Vero E6,CHEMBL4297399,True,True,,False,False,Y,N,Y,True,False,1.0,1.58
LY266097,0.83,-0.03,103.5,Vero E6,CHEMBL95121,False,False,,False,False,N,N,N,False,False,100.0,6.67
LY2784544,0.83,-0.01,107.0,Vero E6,CHEMBL2107823,False,False,,False,False,N,N,N,False,False,8.33,1.0
LY2801653,0.83,0.17,106.5,Vero E6,CHEMBL3545307,False,False,,False,False,N,N,N,False,False,8.33,1.35
LY2811376,10.0,0.15,106.0,Vero E6,CHEMBL2333941,False,False,,False,False,N,N,N,False,False,100.0,-0.51
LY2857785,0.83,0.11,90.5,Vero E6,CHEMBL3940387,False,False,,False,False,N,N,N,False,False,1.0,-0.19
LY2874455,10.0,-0.01,120.0,Vero E6,CHEMBL3828009,False,False,,False,False,N,N,N,False,False,1.0,-0.14
LY288513,10.0,-0.18,108.0,Vero E6,CHEMBL333081,False,False,,False,False,N,N,N,False,False,8.33,1.35
LY2886721,10.0,0.0,116.5,Vero E6,CHEMBL2396989,False,False,,False,False,N,N,N,False,False,8.33,-0.32
LY294002,0.83,0.27,98.5,Vero E6,CHEMBL98350,False,False,,False,False,N,N,N,False,False,8.33,1.39
LY2979165,10.0,-0.04,113.5,Vero E6,CHEMBL4303379,False,False,,False,False,N,N,N,False,False,10000.0,0.56
LY3000328,10.0,0.12,95.5,Vero E6,CHEMBL3342553,False,False,,False,False,N,N,N,False,False,10000.0,1.4
LY3009120,10.0,0.18,106.5,Vero E6,CHEMBL3577124,False,False,,False,False,N,N,N,False,False,100.0,5.54
LY3023414,10.0,-0.0,112.5,Vero E6,CHEMBL4297181,False,False,,False,False,N,N,N,False,False,8.33,2.32
LY303511,10.0,0.18,101.0,Vero E6,CHEMBL1363184,False,False,,False,False,N,N,N,False,False,10000.0,1.5
LY310762,10.0,-0.16,109.5,Vero E6,CHEMBL1256663,False,False,,False,False,N,N,N,False,False,10000.0,0.46
LY320135,10.0,0.11,97.0,Vero E6,CHEMBL411481,False,False,,False,False,N,N,N,False,False,10000.0,1.7
LY344864,10.0,0.44,70.5,Vero E6,CHEMBL1628565,False,False,,False,False,N,N,N,False,False,10000.0,4.97
LY364947,10.0,-0.06,114.0,Vero E6,CHEMBL261454,False,False,,False,False,N,N,N,False,False,1.0,1.81
LY393558,10.0,0.18,97.5,Vero E6,CHEMBL4303390,False,False,,False,False,N,N,N,False,False,8.33,5.05
LY404187,10.0,-0.22,114.5,Vero E6,CHEMBL435582,False,False,,False,False,N,N,N,False,False,10000.0,0.85
LY411575,10.0,0.16,101.0,Vero E6,CHEMBL392068,False,False,,False,False,N,N,N,False,False,1.0,-3.7
LY456236,10.0,-0.23,121.5,Vero E6,CHEMBL254575,False,False,,False,False,N,N,N,False,False,8.33,6.4
Lacosamide,10.0,-0.1,103.0,Vero E6,CHEMBL58323,False,False,,False,False,N,N,N,False,False,100.0,-8.79
Lopinavir,10.0,0.12,82.0,Vero E6,CHEMBL729,False,False,,False,False,N,N,N,False,False,10000.0,6.72
Lu-AA-47070,10.0,0.08,93.5,Vero E6,CHEMBL1671940,False,False,,False,False,N,N,N,False,False,10000.0,2.91
M-14157,10.0,0.0,103.0,Vero E6,CHEMBL1373782,False,False,,False,False,N,N,N,False,False,833.33,-1.75
M-25,10.0,0.25,93.0,Vero E6,CHEMBL561533,False,False,,False,False,N,N,N,False,False,10000.0,3.86
M-344,10.0,-0.29,105.0,Vero E6,CHEMBL140000,False,False,,False,False,N,N,N,False,False,8.33,0.43
M8-B,10.0,0.25,98.0,Vero E6,CHEMBL2442052,False,False,,False,False,N,N,N,False,False,8.33,2.01
MBX-2982,10.0,0.04,97.0,Vero E6,CHEMBL3260505,False,False,,False,False,N,N,N,False,False,1.0,1.55
MC1568,10.0,-0.04,100.5,Vero E6,CHEMBL191089,False,False,,False,False,N,N,N,False,False,10000.0,-2.1
MCC950,10.0,0.09,93.5,Vero E6,CHEMBL3183703,False,False,,False,False,N,N,N,False,False,833.33,0.34
MCOPPB,10.0,0.62,22.0,Vero E6,CHEMBL481512,True,True,,False,False,Y,Y,Y,True,True,10000.0,83.48
MD-920,10.0,-0.08,109.0,Vero E6,CHEMBL1232952,False,False,,False,False,N,N,N,False,False,833.33,2.17
MDL-11939,10.0,-0.1,106.0,Vero E6,CHEMBL18972,False,False,,False,False,N,N,N,False,False,8.33,1.17
MDL-27531,10.0,0.27,86.5,Vero E6,CHEMBL25195,False,False,,False,False,N,N,N,False,False,10000.0,2.92
MDL-29951,10.0,-0.03,103.5,Vero E6,CHEMBL31344,False,False,,False,False,N,N,N,False,False,8.33,2.79
MDL-72832,10.0,-0.09,108.5,Vero E6,CHEMBL12152,False,False,,False,False,N,N,N,False,False,1.0,2.83
MDL-73005EF,10.0,-0.06,113.0,Vero E6,CHEMBL2218891,False,False,,False,False,N,N,N,False,False,833.33,0.95
MDMS,10.0,0.1,93.5,Vero E6,CHEMBL1996382,False,False,,False,False,N,N,N,False,False,1.0,1.24
ME0328,10.0,0.24,84.5,Vero E6,CHEMBL3092537,False,False,,False,False,N,N,N,False,False,8.33,4.11
ME0328,10.0,0.04,106.5,Vero E6,CHEMBL3092537,False,False,,False,False,N,N,N,False,False,8.33,4.11
MEK1-2-inhibitor,0.83,-0.07,104.0,Vero E6,CHEMBL261237,False,False,,False,False,N,N,N,False,False,100.0,1.52
METHYLPHENIDATE HYDROCHLORIDE,10.0,0.05,114.0,Vero E6,CHEMBL1722,False,False,,False,False,N,N,N,False,False,10000.0,-0.37
MF-101,10.0,0.03,110.5,Vero E6,CHEMBL252642,False,False,,False,False,N,N,N,False,False,10000.0,11.98
MG-132,10.0,0.51,66.0,Vero E6,CHEMBL64925,True,True,,False,False,N,Y,Y,False,True,10000.0,55.52
MG-624,10.0,-0.14,105.0,Vero E6,CHEMBL1257065,False,False,,False,False,N,N,N,False,False,10000.0,7.99
MGCD-265,0.83,-0.08,117.5,Vero E6,CHEMBL254760,False,False,,False,False,N,N,N,False,False,10000.0,6.19
MI-14,10.0,0.27,82.0,Vero E6,CHEMBL3914714,False,False,,False,False,N,N,N,False,False,10000.0,3.02
MIRA-1,10.0,0.14,97.0,Vero E6,CHEMBL1374426,False,False,,False,False,N,N,N,False,False,833.33,1.73
MJ-15,10.0,-0.17,113.0,Vero E6,CHEMBL4303333,False,False,,False,False,N,N,N,False,False,1.0,0.94
MK-0354,10.0,-0.04,109.0,Vero E6,CHEMBL456145,False,False,,False,False,N,N,N,False,False,10000.0,2.43
MK-0752,10.0,0.01,110.0,Vero E6,CHEMBL3392635,False,False,,False,False,N,N,N,False,False,8.33,-0.66
MK-0773,10.0,0.02,100.0,Vero E6,CHEMBL3221237,False,False,,False,False,N,N,N,False,False,833.33,2.35
MK-0812,10.0,-0.21,113.0,Vero E6,CHEMBL3305901,False,False,,False,False,N,N,N,False,False,1.0,0.39
MK-0893,10.0,0.16,106.0,Vero E6,CHEMBL1933349,False,False,,False,False,N,N,N,False,False,10000.0,4.95
MK-1775,10.0,-0.02,96.0,Vero E6,CHEMBL1976040,False,False,,False,False,N,N,N,False,False,8.33,2.7
MK-2048,10.0,0.02,97.5,Vero E6,CHEMBL1237018,False,False,,False,False,N,N,N,False,False,833.33,0.69
MK-2206,0.83,0.26,106.5,Vero E6,CHEMBL1079175,False,True,,False,False,N,Y,N,False,True,10000.0,24.48
MK-2295,10.0,-0.04,102.5,Vero E6,CHEMBL214796,False,False,,False,False,N,N,N,False,False,833.33,2.1
MK-2461,0.83,0.09,111.0,Vero E6,CHEMBL1822792,False,False,,False,False,N,N,N,False,False,8.33,1.08
MK-2894,10.0,0.19,108.5,Vero E6,CHEMBL597997,False,False,,False,False,N,N,N,False,False,10000.0,1.12
MK-3207,10.0,0.08,101.0,Vero E6,CHEMBL1910936,False,False,,False,False,N,N,N,False,False,10000.0,-2.55
MK-3697,10.0,-0.01,100.0,Vero E6,CHEMBL3338865,False,False,,False,False,N,N,N,False,False,8.33,4.06
MK-5046,10.0,0.03,112.0,Vero E6,CHEMBL1672354,False,False,,False,False,N,N,N,False,False,100.0,0.57
MK-5108,0.83,0.17,105.5,Vero E6,CHEMBL3600873,False,False,,False,False,N,N,N,False,False,1.0,0.11
MK-571,10.0,0.01,108.0,Vero E6,CHEMBL15177,False,False,,False,False,N,N,N,False,False,10000.0,5.11
MK-8033,10.0,0.03,105.5,Vero E6,CHEMBL2323775,False,False,,False,False,N,N,N,False,False,833.33,3.38
MK-8245,10.0,0.01,103.5,Vero E6,CHEMBL1938870,False,False,,False,False,N,N,N,False,False,10000.0,1.73
MK-8745,0.83,0.2,107.0,Vero E6,CHEMBL4303177,False,False,,False,False,N,N,N,False,False,100.0,0.91
MK2-IN-1,0.83,0.13,105.5,Vero E6,CHEMBL1938681,False,True,,False,False,N,Y,N,False,True,10000.0,43.8
MKT-077,10.0,0.14,106.5,Vero E6,CHEMBL33859,False,False,,False,False,N,N,N,False,False,8.33,2.22
ML-213,10.0,-0.1,102.0,Vero E6,CHEMBL1703636,False,False,,False,False,N,N,N,False,False,10000.0,2.61
ML10302,10.0,0.13,109.5,Vero E6,CHEMBL286136,False,False,,False,False,N,N,N,False,False,10000.0,2.59
ML130,10.0,-0.02,107.5,Vero E6,CHEMBL1412853,False,False,,False,False,N,N,N,False,False,10000.0,-0.17
ML133,10.0,0.06,105.0,Vero E6,CHEMBL1620289,False,False,,False,False,N,N,N,False,False,100.0,-0.58
ML141,10.0,0.15,87.0,Vero E6,CHEMBL1370630,False,False,,False,False,N,N,N,False,False,8.33,2.1
ML161,10.0,-0.13,110.0,Vero E6,CHEMBL1411333,False,False,,False,False,N,N,N,False,False,8.33,1.45
ML167,10.0,0.5,106.0,Vero E6,CHEMBL1604618,True,True,74.0,True,False,N,N,Y,False,False,10000.0,1.88
ML179,10.0,0.2,86.5,Vero E6,CHEMBL4303467,False,False,,False,False,N,N,N,False,False,8.33,3.87
ML188,10.0,0.33,83.0,Vero E6,CHEMBL2311740,False,False,,False,False,N,N,N,False,False,8.33,1.78
ML193,10.0,-0.32,97.0,Vero E6,CHEMBL1310336,False,False,,False,False,N,N,N,False,False,8.33,1.15
ML204,10.0,0.28,93.0,Vero E6,CHEMBL1459962,False,False,,False,False,N,N,N,False,False,10000.0,4.47
ML218,10.0,0.32,86.0,Vero E6,CHEMBL1731994,False,False,,False,False,N,N,N,False,False,1.0,2.47
ML228,10.0,-0.06,114.0,Vero E6,CHEMBL2144958,False,False,,False,False,N,N,N,False,False,1.0,1.58
ML277,10.0,0.42,61.5,Vero E6,CHEMBL2070953,False,False,,False,False,N,N,N,False,False,833.33,2.63
ML281,10.0,0.23,83.0,Vero E6,CHEMBL2204239,False,False,,False,False,N,N,N,False,False,100.0,0.48
ML297,10.0,0.1,102.5,Vero E6,CHEMBL2409106,False,False,,False,False,N,N,N,False,False,10000.0,0.43
ML298,10.0,0.26,75.5,Vero E6,CHEMBL1907089,False,True,,False,False,N,Y,N,False,True,10000.0,21.96
ML314,0.83,0.16,99.0,Vero E6,CHEMBL2431120,False,False,,False,False,N,N,N,False,False,833.33,1.94
ML323,10.0,0.02,101.0,Vero E6,CHEMBL3182437,False,False,,False,False,N,N,N,False,False,10000.0,1.03
ML324,0.83,-0.01,107.5,Vero E6,CHEMBL1398529,False,False,,False,False,N,N,N,False,False,10000.0,6.05
ML3403,10.0,-0.16,107.0,Vero E6,CHEMBL111364,False,False,,False,False,N,N,N,False,False,10000.0,1.96
ML347,10.0,0.29,97.5,Vero E6,CHEMBL502351,False,False,,False,False,N,N,N,False,False,10000.0,1.96
ML347,10.0,0.0,103.5,Vero E6,CHEMBL502351,False,False,,False,False,N,N,N,False,False,10000.0,1.96
ML348,10.0,0.01,103.0,Vero E6,CHEMBL600764,False,False,,False,False,N,N,N,False,False,10000.0,5.23
ML365,10.0,0.26,96.5,Vero E6,CHEMBL1081188,False,False,,False,False,N,N,N,False,False,100.0,2.82
ML786,0.83,0.23,99.0,Vero E6,CHEMBL1688861,False,False,,False,False,N,N,N,False,False,100.0,1.9
ML9,10.0,0.24,95.0,Vero E6,CHEMBL429298,False,False,,False,False,N,N,N,False,False,100.0,2.04
MLN0128,0.83,-0.01,102.0,Vero E6,CHEMBL3545097,False,False,,False,False,N,N,N,False,False,8.33,2.32
MLN1117,10.0,0.24,92.0,Vero E6,CHEMBL3935857,False,False,,False,False,N,N,N,False,False,8.33,5.87
MLN2480,10.0,-0.05,107.5,Vero E6,CHEMBL3348923,False,False,,False,False,N,N,N,False,False,8.33,6.23
MLN8054,10.0,0.0,109.0,Vero E6,CHEMBL259084,False,False,,False,False,N,N,N,False,False,100.0,0.11
MLN9708,0.83,-0.05,108.5,Vero E6,CHEMBL1813256,False,True,,False,False,N,Y,N,False,True,833.33,34.19
MM-102,10.0,-0.04,115.5,Vero E6,CHEMBL3883592,False,False,,False,False,N,N,N,False,False,833.33,0.7
MM-11253,10.0,0.13,98.0,Vero E6,CHEMBL3786184,False,False,,False,False,N,N,N,False,False,8.33,2.69
MM77,10.0,0.13,98.0,Vero E6,CHEMBL279841,False,False,,False,False,N,N,N,False,False,10000.0,-0.63
MMPX,10.0,-0.14,113.0,Vero E6,CHEMBL307639,False,False,,False,False,N,N,N,False,False,1.0,2.86
MN-64,0.83,0.03,107.5,Vero E6,CHEMBL2431867,False,False,,False,False,N,N,N,False,False,833.33,1.65
MNITMT,10.0,0.3,87.0,Vero E6,CHEMBL90290,False,False,,False,False,N,N,N,False,False,833.33,5.0
MODAFINIL,10.0,-0.02,104.0,Vero E6,CHEMBL1373,False,False,,False,False,N,N,N,False,False,100.0,3.24
MODAFINIL,10.0,0.11,109.0,Vero E6,CHEMBL1373,False,False,,False,False,N,N,N,False,False,100.0,3.24
MOMETASONE FUROATE,10.0,0.48,78.0,Vero E6,CHEMBL1161,True,True,,False,False,N,N,Y,False,False,10000.0,3.12
MONENSIN SODIUM,10.0,0.56,39.0,Vero E6,CHEMBL5314365,True,True,22.0,True,False,Y,Y,Y,True,True,10000.0,52.55
MPEP,10.0,0.03,101.0,Vero E6,CHEMBL66654,False,False,,False,False,N,N,N,False,False,8.33,4.18
MPI-0479605,10.0,-0.06,90.5,Vero E6,CHEMBL2047943,False,False,,False,False,N,N,N,False,False,833.33,3.17
MR-16728,10.0,0.4,75.5,Vero E6,CHEMBL1378945,False,False,,False,False,N,N,N,False,False,8.33,0.99
MR-948,10.0,-0.06,104.0,Vero E6,CHEMBL4303640,False,False,,False,False,N,N,N,False,False,833.33,0.91
MRK-016,10.0,0.15,95.0,Vero E6,CHEMBL363211,False,False,,False,False,N,N,N,False,False,1.0,1.59
MRK-560,10.0,0.06,103.5,Vero E6,CHEMBL1091513,False,False,,False,False,N,N,N,False,False,8.33,4.08
MRS-1220,10.0,-0.0,110.5,Vero E6,CHEMBL88147,False,False,,False,False,N,N,N,False,False,8.33,4.32
MRS-1334,10.0,0.3,89.0,Vero E6,CHEMBL2181974,False,False,,False,False,N,N,N,False,False,10000.0,3.9
MRS-1845,10.0,0.06,87.5,Vero E6,CHEMBL1256776,False,False,,False,False,N,N,N,False,False,10000.0,6.77
