compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit
3-carboxy-4-hydroxyphenylglycine-(S),10.0,0.04,97.0,Vero E6,CHEMBL128772,False,False,,False,False
3-deazaadenosine,10.0,0.12,106.0,Vero E6,CHEMBL202701,False,False,,False,False
3-deazaneplanocin-A,10.0,-0.1,112.0,Vero E6,CHEMBL154745,False,False,,False,False
3-hydroxy-3-phenylpentanamide,10.0,0.03,112.0,Vero E6,CHEMBL4303634,False,False,,False,False
3-indolebutyric-acid,10.0,0.12,114.5,Vero E6,CHEMBL582878,False,False,,False,False
3-methyl-GABA,10.0,0.02,101.5,Vero E6,CHEMBL275655,False,False,,False,False
3-methyladenine,10.0,0.26,93.0,Vero E6,CHEMBL292268,False,False,,False,False
3PO,10.0,0.62,49.5,Vero E6,CHEMBL3105848,True,True,,False,False
"4,4'-DDT",10.0,0.08,106.5,Vero E6,CHEMBL416898,False,False,,False,False
"4,4-pentamethylenepiperidine",10.0,-0.07,104.0,Vero E6,CHEMBL2078948,False,False,,False,False
"4,5,6,7-tetrabromobenzotriazole",10.0,-0.07,105.5,Vero E6,CHEMBL177820,False,False,,False,False
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,10.0,-0.0,110.5,Vero E6,CHEMBL19259,False,False,,False,False
4-CMTB,10.0,0.03,98.5,Vero E6,CHEMBL610463,False,False,,False,False
4-DAMP,10.0,0.1,113.5,Vero E6,CHEMBL76897,False,False,,False,False
4-HQN,10.0,-0.1,101.5,Vero E6,CHEMBL266540,False,False,,False,False
4-IBP,10.0,-0.01,105.0,Vero E6,CHEMBL50112,False,False,,False,False
4-P-PDOT,10.0,-0.08,110.0,Vero E6,CHEMBL1402435,False,False,,False,False
4-PPBP,10.0,0.29,73.5,Vero E6,CHEMBL325238,False,False,,False,False
"4-acetyl-1,1-dimethylpiperazinium",10.0,0.1,88.5,Vero E6,CHEMBL356911,False,False,,False,False
4-aminohippuric-acid,10.0,-0.06,108.5,Vero E6,CHEMBL463,False,False,,False,False
4-carboxy-3-hydroxyphenylglycine-(RS),10.0,0.13,100.0,Vero E6,CHEMBL1357932,False,False,,False,False
4-carboxy-3-hydroxyphenylglycine-(RS),10.0,0.04,102.0,Vero E6,CHEMBL1357932,False,False,,False,False
4-chlorophenylguanidine,10.0,-0.23,114.5,Vero E6,CHEMBL41040,False,False,,False,False
4-galactosyllactose,10.0,-0.07,114.0,Vero E6,CHEMBL4303712,False,False,,False,False
4-hydroxy-phenazone,10.0,-0.07,116.0,Vero E6,CHEMBL1526434,False,False,,False,False
4-iodo-6-phenylpyrimidine,10.0,0.25,81.5,Vero E6,CHEMBL497802,False,False,,False,False
4-iodo-L-phenylalanine,10.0,0.2,105.0,Vero E6,CHEMBL1235284,False,False,,False,False
4-methylgenistein,10.0,0.14,103.0,Vero E6,CHEMBL131921,False,False,,False,False
4-methylhistamine,10.0,0.11,99.5,Vero E6,CHEMBL275443,False,False,,False,False
4-mu-8C,10.0,0.21,106.0,Vero E6,CHEMBL272357,False,False,,False,False
4-phenolsulfonic-acid,10.0,-0.09,113.5,Vero E6,CHEMBL1398657,False,False,,False,False
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",10.0,-0.26,113.5,Vero E6,CHEMBL1316537,False,False,,False,False
4-propylbenzoic-acid,10.0,0.19,95.0,Vero E6,CHEMBL116159,False,False,,False,False
4-pyrimidinecarbonitrile,10.0,0.08,97.0,Vero E6,CHEMBL3352956,False,False,,False,False
4-tert-butylphenol,10.0,0.09,110.0,Vero E6,CHEMBL16217,False,False,,False,False
4BP-TQS,10.0,-0.06,95.0,Vero E6,CHEMBL4303195,False,False,,False,False
4E1RCat,10.0,0.18,93.0,Vero E6,CHEMBL4577351,False,False,,False,False
4EGI-1,10.0,0.23,102.5,Vero E6,CHEMBL3310197,False,False,,False,False
4SC-202,10.0,-0.07,105.0,Vero E6,CHEMBL4283683,False,False,,False,False
5'-chloro-5'-deoxy-ENBA-(+/-),10.0,0.09,104.0,Vero E6,CHEMBL449575,False,False,,False,False
"5,7-dichlorokynurenic-acid",10.0,-0.03,104.0,Vero E6,CHEMBL50267,False,False,,False,False
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",0.83,0.02,110.0,Vero E6,CHEMBL94841,False,False,,False,False
5-BDBD,10.0,0.03,95.5,Vero E6,CHEMBL2180179,False,False,,False,False
5-HMF,10.0,0.26,86.5,Vero E6,CHEMBL185885,False,False,,False,False
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",10.0,0.01,100.0,Vero E6,CHEMBL2105116,False,False,,False,False
5-aminolevulinic-acid,10.0,0.05,113.0,Vero E6,CHEMBL601,False,False,,False,False
5-carboxamidotryptamine,10.0,0.03,103.0,Vero E6,CHEMBL18840,False,True,,False,False
5-fluoro-3-pyridyl-methanol,10.0,0.13,101.5,Vero E6,CHEMBL4303401,False,False,,False,False
5-fluorouracil,0.83,0.04,102.0,Vero E6,CHEMBL185,False,False,,False,False
5-hydroxymethyl-tolterodine,10.0,0.19,94.5,Vero E6,CHEMBL3348932,False,False,,False,False
5-hydroxytryptophan,10.0,0.2,104.0,Vero E6,CHEMBL162789,False,False,,False,False
5-iodo-A-85380,10.0,0.11,101.0,Vero E6,CHEMBL123433,False,False,,False,False
5-methylfurmethiodide,10.0,-0.12,117.0,Vero E6,CHEMBL1316369,False,False,,False,False
5-methylhydantoin-(D),10.0,0.12,100.0,Vero E6,CHEMBL1394088,False,False,,False,False
5-methylhydantoin-(D),10.0,0.08,104.5,Vero E6,CHEMBL1394088,False,False,,False,False
