compound_name,chembl_id,is_AB_hit,infection rate (%)
4-DAMP,CHEMBL76897,False,113.5
4-HQN,CHEMBL266540,False,101.5
4-IBP,CHEMBL50112,False,105.0
4-P-PDOT,CHEMBL1402435,False,110.0
4-PPBP,CHEMBL325238,False,73.5
"4-acetyl-1,1-dimethylpiperazinium",CHEMBL356911,False,88.5
4-aminohippuric-acid,CHEMBL463,False,108.5
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932,False,100.0
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932,False,102.0
4-chlorophenylguanidine,CHEMBL41040,False,114.5
4-galactosyllactose,CHEMBL4303712,False,114.0
4-hydroxy-phenazone,CHEMBL1526434,False,116.0
4-iodo-6-phenylpyrimidine,CHEMBL497802,False,81.5
4-iodo-L-phenylalanine,CHEMBL1235284,False,105.0
4-methylgenistein,CHEMBL131921,False,103.0
4-methylhistamine,CHEMBL275443,False,99.5
4-mu-8C,CHEMBL272357,False,106.0
4-phenolsulfonic-acid,CHEMBL1398657,False,113.5
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",CHEMBL1316537,False,113.5
4-propylbenzoic-acid,CHEMBL116159,False,95.0
4-pyrimidinecarbonitrile,CHEMBL3352956,False,97.0
4-tert-butylphenol,CHEMBL16217,False,110.0
4BP-TQS,CHEMBL4303195,False,95.0
4E1RCat,CHEMBL4577351,False,93.0
4EGI-1,CHEMBL3310197,False,102.5
4SC-202,CHEMBL4283683,False,105.0
5'-chloro-5'-deoxy-ENBA-(+/-),CHEMBL449575,False,104.0
"5,7-dichlorokynurenic-acid",CHEMBL50267,False,104.0
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",CHEMBL94841,False,110.0
5-BDBD,CHEMBL2180179,False,95.5
5-HMF,CHEMBL185885,False,86.5
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",CHEMBL2105116,False,100.0
5-aminolevulinic-acid,CHEMBL601,False,113.0
5-carboxamidotryptamine,CHEMBL18840,False,103.0
5-fluoro-3-pyridyl-methanol,CHEMBL4303401,False,101.5
5-fluorouracil,CHEMBL185,False,102.0
5-hydroxymethyl-tolterodine,CHEMBL3348932,False,94.5
5-hydroxytryptophan,CHEMBL162789,False,104.0
5-iodo-A-85380,CHEMBL123433,False,101.0
5-methylfurmethiodide,CHEMBL1316369,False,117.0
5-methylhydantoin-(D),CHEMBL1394088,False,100.0
5-methylhydantoin-(D),CHEMBL1394088,False,104.5
"6,7-dehydro-17-acetoxy-progesterone",CHEMBL4303675,False,105.5
6-aminochrysene,CHEMBL313154,False,101.0
6-benzylaminopurine,CHEMBL228862,False,99.0
6-chloromelatonin,CHEMBL34730,False,103.5
6-diazo-5-oxo-L-norleucine,CHEMBL4303391,False,93.5
6-iodo-nordihydrocapsaicin,CHEMBL177809,False,90.0
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",CHEMBL1192114,False,105.5
7-aminocephalosporanic-acid,CHEMBL1615585,False,104.5
7-chlorokynurenic-acid,CHEMBL311389,False,110.0
7-hydroxy-DPAT,CHEMBL1255966,False,122.0
7-hydroxy-PIPAT,CHEMBL110239,False,118.5
7-keto-DHEA,CHEMBL1875999,False,113.5
7-methoxytacrine,CHEMBL1256415,False,64.5
7-nitroindazole,CHEMBL247378,False,100.0
8-M-PDOT,CHEMBL99377,False,93.5
8-bromo-cAMP,CHEMBL1626177,False,102.0
8-bromo-cGMP,CHEMBL1741141,False,97.0
8-hydroxy-DPAT,CHEMBL56,False,98.5
8-hydroxy-PIPAT,CHEMBL284716,False,105.5
9-aminoacridine,CHEMBL43184,False,105.5
9-anthracenecarboxylic-acid,CHEMBL1513985,False,89.5
A-1070722,CHEMBL1982660,False,101.0
A-1120,CHEMBL1230001,False,109.0
A-317491,CHEMBL596234,False,95.5
A-33903,CHEMBL204738,False,105.0
A-366,CHEMBL3109630,False,105.5
A-412997,CHEMBL375596,False,108.0
A-438079,CHEMBL377219,False,99.5
A-582941,CHEMBL526281,False,91.0
A-674563,CHEMBL379218,False,92.5
A-7,CHEMBL1331148,True,52.0
A-769662,CHEMBL512504,False,106.5
A-784168,CHEMBL482834,False,108.0
A-803467,CHEMBL250699,False,111.5
A-804598,CHEMBL1628690,False,98.5
A-839977,CHEMBL1628691,False,109.5
A-867744,CHEMBL490153,False,102.5
A-887826,CHEMBL4303253,False,108.0
A-939572,CHEMBL469169,False,114.0
A-967079,CHEMBL3697701,False,109.5
A-987306,CHEMBL1935450,False,83.5
A12B4C3,CHEMBL4303462,False,69.5
A205804,CHEMBL267678,False,114.5
A61603,CHEMBL109783,False,110.5
A66,CHEMBL3218581,False,94.5
A740003,CHEMBL255787,False,97.0
A77636,CHEMBL291143,False,115.0
A922500,CHEMBL430405,False,100.0
A922500,CHEMBL430405,False,105.0
AA-29504,CHEMBL4303215,False,108.0
ABACAVIR SULFATE,CHEMBL4303288,False,101.5
ABC-294640,CHEMBL2158685,False,97.0
ABT-202,CHEMBL5498530,False,102.5
ABT-239,CHEMBL351231,False,80.5
ABT-491,CHEMBL369225,False,105.5
ABT-639,CHEMBL3590674,False,104.0
ABT-702,CHEMBL66089,False,107.5
