chembl_id,drug_name,smiles,associated_targets,associated_pathway_ids,associated_pathway_names,associated_moas,max_phase,status,is_in_known_drugs,n_targets,n_pathways,n_moas,has_smiles
CHEMBL1738697,PF-00337210,CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(OCCN5CCOCC5)ccc34)ccc12,KDR,R-HSA-194306|R-HSA-195399|R-HSA-216083|R-HSA-4420097|R-HSA-5218921|R-HSA-9673768|R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Integrin cell surface interaction|Integrin cell surface interactions|Neurophilin interactions with VEGF and VEGF|Neurophilin interactions with VEGF and VEGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|VEGF binds to VEGFR leading to receptor dimerization|VEGFA-VEGFR2 Pathwa|VEGFA-VEGFR2 Pathway|VEGFR2 mediated cell proliferatio|VEGFR2 mediated cell proliferation,,1.0,Completed,False,1,7,0,True
CHEMBL3039525,GOLVATINIB,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,KDR,R-HSA-194306|R-HSA-195399|R-HSA-216083|R-HSA-4420097|R-HSA-5218921|R-HSA-9673768|R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Integrin cell surface interaction|Integrin cell surface interactions|Neurophilin interactions with VEGF and VEGF|Neurophilin interactions with VEGF and VEGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|VEGF binds to VEGFR leading to receptor dimerization|VEGFA-VEGFR2 Pathwa|VEGFA-VEGFR2 Pathway|VEGFR2 mediated cell proliferatio|VEGFR2 mediated cell proliferation,,1.0,Completed,False,1,7,0,True
CHEMBL482967,CYC-116,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,KDR,R-HSA-194306|R-HSA-195399|R-HSA-216083|R-HSA-4420097|R-HSA-5218921|R-HSA-9673768|R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Integrin cell surface interaction|Integrin cell surface interactions|Neurophilin interactions with VEGF and VEGF|Neurophilin interactions with VEGF and VEGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|VEGF binds to VEGFR leading to receptor dimerization|VEGFA-VEGFR2 Pathwa|VEGFA-VEGFR2 Pathway|VEGFR2 mediated cell proliferatio|VEGFR2 mediated cell proliferation,,1.0,Terminated,False,1,7,0,True
CHEMBL3545365,ALTIRATINIB,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1,KDR,R-HSA-194306|R-HSA-195399|R-HSA-216083|R-HSA-4420097|R-HSA-5218921|R-HSA-9673768|R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Integrin cell surface interaction|Integrin cell surface interactions|Neurophilin interactions with VEGF and VEGF|Neurophilin interactions with VEGF and VEGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|VEGF binds to VEGFR leading to receptor dimerization|VEGFA-VEGFR2 Pathwa|VEGFA-VEGFR2 Pathway|VEGFR2 mediated cell proliferatio|VEGFR2 mediated cell proliferation,,1.0,Terminated,False,1,7,0,True
CHEMBL1277072,HENATINIB,Cc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2,KDR,R-HSA-194306|R-HSA-195399|R-HSA-216083|R-HSA-4420097|R-HSA-5218921|R-HSA-9673768|R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Integrin cell surface interaction|Integrin cell surface interactions|Neurophilin interactions with VEGF and VEGF|Neurophilin interactions with VEGF and VEGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFR|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|VEGF binds to VEGFR leading to receptor dimerization|VEGFA-VEGFR2 Pathwa|VEGFA-VEGFR2 Pathway|VEGFR2 mediated cell proliferatio|VEGFR2 mediated cell proliferation,,1.0,Terminated,False,1,7,0,True
CHEMBL3989931,ENASIDENIB MESYLATE,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1.CS(=O)(=O)O,IDH2,R-HSA-1268020|R-HSA-2151201|R-HSA-71403|R-HSA-9837999|R-HSA-9854311,Citric acid cycle (TCA cycle|Citric acid cycle (TCA cycle)|Maturation of TCA enzymes and regulation of TCA cycl|Maturation of TCA enzymes and regulation of TCA cycle|Mitochondrial protein degradatio|Mitochondrial protein degradation|Transcriptional activation of mitochondrial biogenesi|Transcriptional activation of mitochondrial biogenesis,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",4.0,,True,1,5,1,True
CHEMBL3989908,ENASIDENIB,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,IDH2,R-HSA-1268020|R-HSA-2151201|R-HSA-71403|R-HSA-9837999|R-HSA-9854311,Citric acid cycle (TCA cycle|Citric acid cycle (TCA cycle)|Maturation of TCA enzymes and regulation of TCA cycl|Maturation of TCA enzymes and regulation of TCA cycle|Mitochondrial protein degradatio|Mitochondrial protein degradation|Transcriptional activation of mitochondrial biogenesi|Transcriptional activation of mitochondrial biogenesis,,3.0,Completed,False,1,5,0,True
CHEMBL3137309,VENETOCLAX,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,BCL2,R-HSA-111447|R-HSA-111453|R-HSA-6785807|R-HSA-844455|R-HSA-9018519|R-HSA-9634638|R-HSA-9818030|R-HSA-9824594,Activation of BAD and translocation to mitochondri|Activation of BAD and translocation to mitochondria|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|Estrogen-dependent gene expressio|Estrogen-dependent gene expression|Estrogen-dependent nuclear events downstream of ESR-membrane signalin|Estrogen-dependent nuclear events downstream of ESR-membrane signaling|Interleukin-4 and Interleukin-13 signalin|Interleukin-4 and Interleukin-13 signaling|NFE2L2 regulating tumorigenic gene|NFE2L2 regulating tumorigenic genes|Regulation of MITF-M-dependent genes involved in apoptosi|Regulation of MITF-M-dependent genes involved in apoptosis|The NLRP1 inflammasom|The NLRP1 inflammasome,Apoptosis regulator Bcl-2 inhibitor,4.0,,True,1,8,1,True
CHEMBL2109229,OBLIMERSEN SODIUM,,BCL2,R-HSA-111447|R-HSA-111453|R-HSA-6785807|R-HSA-844455|R-HSA-9018519|R-HSA-9634638|R-HSA-9818030|R-HSA-9824594,Activation of BAD and translocation to mitochondri|Activation of BAD and translocation to mitochondria|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|Estrogen-dependent gene expressio|Estrogen-dependent gene expression|Estrogen-dependent nuclear events downstream of ESR-membrane signalin|Estrogen-dependent nuclear events downstream of ESR-membrane signaling|Interleukin-4 and Interleukin-13 signalin|Interleukin-4 and Interleukin-13 signaling|NFE2L2 regulating tumorigenic gene|NFE2L2 regulating tumorigenic genes|Regulation of MITF-M-dependent genes involved in apoptosi|Regulation of MITF-M-dependent genes involved in apoptosis|The NLRP1 inflammasom|The NLRP1 inflammasome,Bcl-2 mRNA antisense inhibitor,3.0,Completed,True,1,8,1,False
CHEMBL408194,OBATOCLAX,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C,BCL2,R-HSA-111447|R-HSA-111453|R-HSA-6785807|R-HSA-844455|R-HSA-9018519|R-HSA-9634638|R-HSA-9818030|R-HSA-9824594,Activation of BAD and translocation to mitochondri|Activation of BAD and translocation to mitochondria|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|Estrogen-dependent gene expressio|Estrogen-dependent gene expression|Estrogen-dependent nuclear events downstream of ESR-membrane signalin|Estrogen-dependent nuclear events downstream of ESR-membrane signaling|Interleukin-4 and Interleukin-13 signalin|Interleukin-4 and Interleukin-13 signaling|NFE2L2 regulating tumorigenic gene|NFE2L2 regulating tumorigenic genes|Regulation of MITF-M-dependent genes involved in apoptosi|Regulation of MITF-M-dependent genes involved in apoptosis|The NLRP1 inflammasom|The NLRP1 inflammasome,,3.0,Withdrawn,False,1,8,0,True
CHEMBL443684,NAVITOCLAX,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,BCL2,R-HSA-111447|R-HSA-111453|R-HSA-6785807|R-HSA-844455|R-HSA-9018519|R-HSA-9634638|R-HSA-9818030|R-HSA-9824594,Activation of BAD and translocation to mitochondri|Activation of BAD and translocation to mitochondria|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|Estrogen-dependent gene expressio|Estrogen-dependent gene expression|Estrogen-dependent nuclear events downstream of ESR-membrane signalin|Estrogen-dependent nuclear events downstream of ESR-membrane signaling|Interleukin-4 and Interleukin-13 signalin|Interleukin-4 and Interleukin-13 signaling|NFE2L2 regulating tumorigenic gene|NFE2L2 regulating tumorigenic genes|Regulation of MITF-M-dependent genes involved in apoptosi|Regulation of MITF-M-dependent genes involved in apoptosis|The NLRP1 inflammasom|The NLRP1 inflammasome,Apoptosis regulator Bcl-2 inhibitor,3.0,"Active, not recruiting",False,1,8,1,True
CHEMBL2107358,OBATOCLAX MESYLATE,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,BCL2,R-HSA-111447|R-HSA-111453|R-HSA-6785807|R-HSA-844455|R-HSA-9018519|R-HSA-9634638|R-HSA-9818030|R-HSA-9824594,Activation of BAD and translocation to mitochondri|Activation of BAD and translocation to mitochondria|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|Estrogen-dependent gene expressio|Estrogen-dependent gene expression|Estrogen-dependent nuclear events downstream of ESR-membrane signalin|Estrogen-dependent nuclear events downstream of ESR-membrane signaling|Interleukin-4 and Interleukin-13 signalin|Interleukin-4 and Interleukin-13 signaling|NFE2L2 regulating tumorigenic gene|NFE2L2 regulating tumorigenic genes|Regulation of MITF-M-dependent genes involved in apoptosi|Regulation of MITF-M-dependent genes involved in apoptosis|The NLRP1 inflammasom|The NLRP1 inflammasome,Apoptosis regulator Bcl-2 inhibitor,3.0,Withdrawn,False,1,8,1,True
CHEMBL4650374,APG-2575,,BCL2,R-HSA-111447|R-HSA-111453|R-HSA-6785807|R-HSA-844455|R-HSA-9018519|R-HSA-9634638|R-HSA-9818030|R-HSA-9824594,Activation of BAD and translocation to mitochondri|Activation of BAD and translocation to mitochondria|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 member|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|Estrogen-dependent gene expressio|Estrogen-dependent gene expression|Estrogen-dependent nuclear events downstream of ESR-membrane signalin|Estrogen-dependent nuclear events downstream of ESR-membrane signaling|Interleukin-4 and Interleukin-13 signalin|Interleukin-4 and Interleukin-13 signaling|NFE2L2 regulating tumorigenic gene|NFE2L2 regulating tumorigenic genes|Regulation of MITF-M-dependent genes involved in apoptosi|Regulation of MITF-M-dependent genes involved in apoptosis|The NLRP1 inflammasom|The NLRP1 inflammasome,,2.0,Recruiting,False,1,8,0,False
