chembl_id,drug_name,targets_x,diseases,min_phase,max_phase,any_status,smiles,n_target_links,drug_name_path,pathways,pathway_ids,n_pathway_links,max_phase_path,drug_name_mech,mechanisms_x,smiles_mech,n_mech_links,preferred_name,trade_names,url,targets_y,mechanisms_y,drug_name_final,smiles_final,name_upper,exclude_approved_aml,in_known_drugs_kg
CHEMBL1096380,,,,,,,,,,,,,,PLINABULIN,['Tubulin inhibitor'],CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,1.0,,,,,,PLINABULIN,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,PLINABULIN,False,False
CHEMBL1096882,FLUDARABINE PHOSPHATE,"['POLA1', 'POLA2', 'POLD1', 'POLD2', 'POLD3', 'POLD4', 'POLE', 'POLE2', 'POLE3', 'PRIM1', 'PRIM2']",['chronic lymphocytic leukemia'],4.0,4.0,['Completed'],Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,11.0,FLUDARABINE PHOSPHATE,"['Activation of the pre-replicative comple', 'Activation of the pre-replicative complex', 'Cytosolic iron-sulfur cluster assembl', 'DNA replication initiatio', 'DNA replication initiation', 'Defective pyroptosi', 'Defective pyroptosis', 'Dual Incision in GG-NE', 'Dual incision in TC-NE', 'G1/S-Specific Transcriptio', 'G1/S-Specific Transcription', 'Gap-filling DNA repair synthesis and ligation in GG-NE', 'Gap-filling DNA repair synthesis and ligation in TC-NE', 'HDR through Homologous Recombination (HRR', 'Inhibition of replication initiation of damaged DNA by RB1/E2F', 'Inhibition of replication initiation of damaged DNA by RB1/E2F1', 'Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta', 'Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha', 'PCNA-Dependent Long Patch Base Excision Repai', 'Polymerase switchin', 'Polymerase switching', 'Polymerase switching on the C-strand of the telomer', 'Polymerase switching on the C-strand of the telomere', 'Processive synthesis on the C-strand of the telomer', 'Processive synthesis on the lagging stran', 'Processive synthesis on the lagging strand', 'Recognition of DNA damage by PCNA-containing replication comple', 'Removal of the Flap Intermediat', 'Removal of the Flap Intermediate', 'Removal of the Flap Intermediate from the C-stran', 'Telomere C-strand (Lagging Strand) Synthesi', 'Telomere C-strand synthesis initiatio', 'Telomere C-strand synthesis initiation', 'Termination of translesion DNA synthesi']","['R-HSA-110314', 'R-HSA-113501', 'R-HSA-174411', 'R-HSA-174414', 'R-HSA-174417', 'R-HSA-174430', 'R-HSA-2564830', 'R-HSA-5358565', 'R-HSA-5358606', 'R-HSA-5651801', 'R-HSA-5656169', 'R-HSA-5685942', 'R-HSA-5696400', 'R-HSA-6782135', 'R-HSA-6782210', 'R-HSA-68952', 'R-HSA-68962', 'R-HSA-69091', 'R-HSA-69166', 'R-HSA-69183', 'R-HSA-69205', 'R-HSA-9710421']",132.0,4.0,FLUDARABINE PHOSPHATE,"['DNA polymerase (alpha/delta/epsilon) inhibitor', 'Ribonucleoside-diphosphate reductase RR1 inhibitor']",Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,1.0,FLUDARABINE PHOSPHATE,Fludara; Fludarabine phosphate; Oforta,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1096882,p(HGNC:POLA1),"bp(MOA:""Ribonucleoside-diphosphate reductase RR1 inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")",FLUDARABINE PHOSPHATE,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,FLUDARABINE PHOSPHATE,False,True
CHEMBL1096885,VALRUBICIN,['TOP2A'],['carcinoma'],4.0,4.0,[],CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,1.0,VALRUBICIN,"['SUMOylation of DNA replication protein', 'SUMOylation of DNA replication proteins', 'Transcription of E2F targets under negative control by DREAM comple', 'Transcription of E2F targets under negative control by DREAM complex']","['R-HSA-1362277', 'R-HSA-4615885']",4.0,4.0,VALRUBICIN,"['DNA inhibitor', 'DNA topoisomerase II alpha inhibitor']",CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,1.0,,,,,,VALRUBICIN,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,VALRUBICIN,False,False
CHEMBL1103,,,,,,,,,,,,,,FURAZOLIDONE,['DNA inhibitor'],O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,1.0,,,,,,FURAZOLIDONE,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,FURAZOLIDONE,False,False
CHEMBL1117,IDARUBICIN,['TOP2A'],['neoplasm'],4.0,4.0,[],CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,1.0,IDARUBICIN,"['SUMOylation of DNA replication protein', 'SUMOylation of DNA replication proteins', 'Transcription of E2F targets under negative control by DREAM comple', 'Transcription of E2F targets under negative control by DREAM complex']","['R-HSA-1362277', 'R-HSA-4615885']",4.0,4.0,,,,,IDARUBICIN,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1117,,,IDARUBICIN,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,IDARUBICIN,True,True
CHEMBL1129,,,,,,,,,,,,,,TRIFLURIDINE,['DNA inhibitor'],O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,1.0,,,,,,TRIFLURIDINE,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,TRIFLURIDINE,False,False
CHEMBL1130,,,,,,,,,,,,,,DOXIFLURIDINE,['DNA disrupting agent'],C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,1.0,,,,,,DOXIFLURIDINE,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,DOXIFLURIDINE,False,False
CHEMBL1131,ACITRETIN,"['RARA', 'RARB', 'RARG']",['psoriasis'],4.0,4.0,"['Active, not recruiting', 'Completed', 'Unknown status']",COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,3.0,ACITRETIN,"['Activation of anterior HOX genes in hindbrain development during early embryogenesi', 'Activation of anterior HOX genes in hindbrain development during early embryogenesis', 'Nuclear Receptor transcription pathwa', 'Nuclear Receptor transcription pathway', 'SUMOylation of intracellular receptor', 'SUMOylation of intracellular receptors', 'Signaling by Retinoic Aci', 'Signaling by Retinoic Acid', 'TGFBR3 expressio', 'TGFBR3 expression', 'Transcriptional regulation of granulopoiesi', 'Transcriptional regulation of granulopoiesis']","['R-HSA-383280', 'R-HSA-4090294', 'R-HSA-5362517', 'R-HSA-5617472', 'R-HSA-9616222', 'R-HSA-9839394']",24.0,4.0,,,,,,,,,,ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN,False,False
CHEMBL11359,,,,,,,,,,,,,,CISPLATIN,['DNA inhibitor'],,1.0,,,,,,CISPLATIN,,CISPLATIN,False,False
CHEMBL1152,,,,,,,,,,,,,,PREDNISOLONE ACETATE,['Glucocorticoid receptor agonist'],CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.0,,,,,,PREDNISOLONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PREDNISOLONE ACETATE,False,False
