chembl_id,mechanism_of_action,action_type,target_chembl_id,protein_symbol,ensg_id,disease_id,protein_association_score,moa_association_score_x,moa_protein_count_x,moa_protein_symbols_x,moa_association_score_y,moa_protein_count_y,moa_protein_symbols_y
CHEMBL1738758,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,CHEMBL3024,PLK1,ENSG00000166851,MONDO_0100096,0.00475074370983035,,,,0.00475074370983035,1.0,PLK1
CHEMBL2311578,,,,,,MONDO_0100096,,,,,,,
CHEMBL2443044,,,,,,MONDO_0100096,,,,,,,
CHEMBL1236095,,,,,,MONDO_0100096,,,,,,,
CHEMBL1446457,,,,,,MONDO_0100096,,,,,,,
CHEMBL4227475,,,,,,MONDO_0100096,,,,,,,
CHEMBL2088036,,,,,,MONDO_0100096,,,,,,,
CHEMBL545050,,,,,,MONDO_0100096,,,,,,,
CHEMBL374385,,,,,,MONDO_0100096,,,,,,,
CHEMBL149394,,,,,,MONDO_0100096,,,,,,,
CHEMBL1256759,,,,,,MONDO_0100096,,,,,,,
CHEMBL180672,,,,,,MONDO_0100096,,,,,,,
CHEMBL325226,,,,,,MONDO_0100096,,,,,,,
CHEMBL1345690,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303389,Tyrosine-protein kinase JAK2 inhibitor,INHIBITOR,CHEMBL2971,JAK2,ENSG00000096968,MONDO_0100096,0.4152410587652289,,,,0.4152410587652289,1.0,JAK2
CHEMBL4303589,,,,,,MONDO_0100096,,,,,,,
CHEMBL1514181,,,,,,MONDO_0100096,,,,,,,
CHEMBL3233606,,,,,,MONDO_0100096,,,,,,,
CHEMBL499968,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303572,,,,,,MONDO_0100096,,,,,,,
CHEMBL5483034,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303239,,,,,,MONDO_0100096,,,,,,,
CHEMBL42661,,,,,,MONDO_0100096,,,,,,,
CHEMBL510780,,,,,,MONDO_0100096,,,,,,,
CHEMBL3103988,,,,,,MONDO_0100096,,,,,,,
CHEMBL257119,,,,,,MONDO_0100096,,,,,,,
CHEMBL1976486,,,,,,MONDO_0100096,,,,,,,
CHEMBL1479316,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303335,,,,,,MONDO_0100096,,,,,,,
CHEMBL23236,,,,,,MONDO_0100096,,,,,,,
CHEMBL66998,,,,,,MONDO_0100096,,,,,,,
CHEMBL1331734,,,,,,MONDO_0100096,,,,,,,
CHEMBL1990474,,,,,,MONDO_0100096,,,,,,,
CHEMBL1966136,,,,,,MONDO_0100096,,,,,,,
CHEMBL337173,,,,,,MONDO_0100096,,,,,,,
CHEMBL1698008,,,,,,MONDO_0100096,,,,,,,
CHEMBL293950,,,,,,MONDO_0100096,,,,,,,
CHEMBL4302505,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303361,,,,,,MONDO_0100096,,,,,,,
CHEMBL299879,,,,,,MONDO_0100096,,,,,,,
CHEMBL3326831,,,,,,MONDO_0100096,,,,,,,
CHEMBL123904,,,,,,MONDO_0100096,,,,,,,
CHEMBL269881,,,,,,MONDO_0100096,,,,,,,
CHEMBL303958,,,,,,MONDO_0100096,,,,,,,
CHEMBL104468,,,,,,MONDO_0100096,,,,,,,
CHEMBL188678,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303283,,,,,,MONDO_0100096,,,,,,,
CHEMBL1988370,,,,,,MONDO_0100096,,,,,,,
CHEMBL1614712,,,,,,MONDO_0100096,,,,,,,
