rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale,compound_name,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%),in_prior,in_cpe,prior_norm,cpe_norm,composite_rerank_score,rerank
230.0,CHEMBL180672,0.2629378306562053,0.2168684790029854,0.0,1.4457898600199028,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,NPS-2143,True,10000.0,62.48,True,True,0.0761853420208593,0.4655783810222548,0.270881861521557,17
1384.0,CHEMBL416956,0.0218675217494389,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,mefloquine,True,10000.0,73.33,True,True,0.006336040042134,0.5319148936170214,0.26912546682957766,18
6.0,CHEMBL1908397,1.5260956475321117,0.3865399813173067,0.0360726078658958,2.444666979940428,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,KW-2449,False,8.33,1.26,True,True,0.4421810226912469,0.0912814869161164,0.26673125480368165,19
2458.0,CHEMBL137648,0.000671596609203,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,3'-fluorobenzylspiperone,True,10000.0,71.66,True,True,0.0001945928330072,0.5217045732452923,0.2609495830391497,20
2459.0,CHEMBL1484738,0.000671596609203,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,IPAG,True,10000.0,71.54,True,True,0.0001945928330072,0.5209708975299585,0.26058274518148283,21
9.0,CHEMBL1535,1.44923811955006,1.3067692048552433,2.070214532803289,1.1210080787562275,0.0,ACE2,MyD88 dependent cascade initiated on endosome,,True,Host protein hits: ACE2 | Relevant pathways: MyD88 dependent cascade initiated on endosome,hydroxychloroquine,False,8.33,2.78,True,True,0.4199118153977312,0.1005747126436781,0.26024326402070463,22
8.0,CHEMBL1287853,1.4562076064299496,0.3865399813173067,0.0360726078658958,2.444666979940428,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,fedratinib,False,8.33,1.42,True,True,0.4219312005137076,0.0922597212032281,0.25709546085846785,23
1370.0,CHEMBL2441082,0.0229141511895179,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,UNC0642,True,10000.0,68.54,True,True,0.0066392973621724,0.502629004646613,0.2546341510043927,24
3685.0,CHEMBL176045,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,tetrandrine,True,10000.0,69.35,True,True,0.0,0.5075813157251162,0.2537906578625581,25
4258.0,CHEMBL3237589,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,EHop-016,True,10000.0,69.33,True,True,0.0,0.5074590364392273,0.25372951821961365,26
81.0,CHEMBL3622372,0.5269466567824685,0.4577042230404515,0.0,3.051361486936344,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,SAR405,True,10000.0,44.35,True,True,0.1526810013360598,0.3547322083639032,0.2537066048499815,27
4162.0,CHEMBL294803,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,Y-29794,True,10000.0,68.48,True,True,0.0,0.5022621667889461,0.25113108339447304,28
1819.0,CHEMBL1779732,0.0055605545245743,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,CYM-50358,True,10000.0,66.2,True,True,0.0016111517586612,0.4883223281976034,0.24496673997813231,29
498.0,CHEMBL45816,0.0905008554234964,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,mibefradil,True,10000.0,62.06,True,True,0.0262223150104045,0.4630105160185865,0.2446164155144955,30
94.0,CHEMBL1908391,0.4488159844051217,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,masitinib,True,10000.0,44.76,True,True,0.1300429047847471,0.3572389337246271,0.24364091925468712,31
51.0,CHEMBL1614712,0.6179355537074719,0.2166840406124942,0.0,1.4445602707499616,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,NVP-AEW541,True,10000.0,34.78,True,True,0.1790447247113994,0.2962215700660309,0.23763314738871516,32
11.0,CHEMBL1230609,1.2902366095786812,0.3600144490221073,0.0,2.4000963268140487,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,foretinib,False,100.0,2.06,True,True,0.3738416687445428,0.0961726583516752,0.235007163548109,33
10.0,CHEMBL509032,1.3293919249582893,0.3638038509630142,0.0360726078658958,2.293092777578477,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,NVP-TAE684,False,1.0,-0.23,True,True,0.3851867881846984,0.0821716801173881,0.23367923415104325,34
684.0,CHEMBL1231795,0.061642703201743,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,UNC0638,True,10000.0,59.61,True,True,0.0178607635683111,0.4480313034971876,0.23294603353274937,35
