compound_name,chembl_id,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
3-carboxy-4-hydroxyphenylglycine-(S),CHEMBL128772,False,8.33,2.23
3-deazaadenosine,CHEMBL202701,False,833.33,-0.63
3-deazaneplanocin-A,CHEMBL154745,False,833.33,5.38
3-hydroxy-3-phenylpentanamide,CHEMBL4303634,False,1.0,1.46
3-indolebutyric-acid,CHEMBL582878,False,100.0,0.03
3-methyl-GABA,CHEMBL275655,False,100.0,1.28
3-methyladenine,CHEMBL292268,False,833.33,-0.52
3PO,CHEMBL3105848,False,10000.0,11.27
"4,4'-DDT",CHEMBL416898,False,8.33,4.86
"4,4-pentamethylenepiperidine",CHEMBL2078948,False,833.33,1.32
"4,5,6,7-tetrabromobenzotriazole",CHEMBL177820,False,8.33,3.75
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,CHEMBL19259,False,833.33,1.25
4-CMTB,CHEMBL610463,False,833.33,1.87
4-DAMP,CHEMBL76897,False,8.33,2.05
4-HQN,CHEMBL266540,False,1.0,1.72
4-IBP,CHEMBL50112,False,1.0,2.1
4-P-PDOT,CHEMBL1402435,False,833.33,3.72
4-PPBP,CHEMBL325238,False,100.0,2.71
"4-acetyl-1,1-dimethylpiperazinium",CHEMBL356911,False,833.33,1.13
4-aminohippuric-acid,CHEMBL463,False,833.33,0.71
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932,False,100.0,2.68
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932,False,100.0,2.68
4-chlorophenylguanidine,CHEMBL41040,False,8.33,1.22
4-galactosyllactose,CHEMBL4303712,False,100.0,1.58
4-hydroxy-phenazone,CHEMBL1526434,False,100.0,4.58
4-iodo-6-phenylpyrimidine,CHEMBL497802,False,833.33,1.94
4-iodo-L-phenylalanine,CHEMBL1235284,False,1.0,0.62
4-methylgenistein,CHEMBL131921,False,10000.0,2.29
4-methylhistamine,CHEMBL275443,False,10000.0,0.0
4-mu-8C,CHEMBL272357,False,10000.0,6.12
4-phenolsulfonic-acid,CHEMBL1398657,False,100.0,0.79
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",CHEMBL1316537,False,833.33,8.92
4-propylbenzoic-acid,CHEMBL116159,False,10000.0,1.58
4-pyrimidinecarbonitrile,CHEMBL3352956,False,100.0,4.16
4-tert-butylphenol,CHEMBL16217,False,10000.0,2.59
4BP-TQS,CHEMBL4303195,False,8.33,1.37
4E1RCat,CHEMBL4577351,False,100.0,1.72
4EGI-1,CHEMBL3310197,False,1.0,4.49
4SC-202,CHEMBL4283683,False,8.33,1.05
5'-chloro-5'-deoxy-ENBA-(+/-),CHEMBL449575,False,833.33,3.77
"5,7-dichlorokynurenic-acid",CHEMBL50267,False,1.0,1.65
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",CHEMBL94841,False,833.33,0.79
5-BDBD,CHEMBL2180179,False,10000.0,0.75
5-HMF,CHEMBL185885,False,833.33,1.28
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",CHEMBL2105116,False,1.0,2.96
5-aminolevulinic-acid,CHEMBL601,False,8.33,1.35
5-carboxamidotryptamine,CHEMBL18840,True,833.33,15.1
5-fluoro-3-pyridyl-methanol,CHEMBL4303401,False,8.33,0.14
5-fluorouracil,CHEMBL185,False,8.33,1.63
5-hydroxymethyl-tolterodine,CHEMBL3348932,False,833.33,2.8
5-hydroxytryptophan,CHEMBL162789,False,10000.0,2.55
5-iodo-A-85380,CHEMBL123433,False,833.33,1.07
5-methylfurmethiodide,CHEMBL1316369,False,10000.0,0.7
5-methylhydantoin-(D),CHEMBL1394088,False,10000.0,2.36
5-methylhydantoin-(D),CHEMBL1394088,False,10000.0,2.36
"6,7-dehydro-17-acetoxy-progesterone",CHEMBL4303675,False,10000.0,7.2
6-aminochrysene,CHEMBL313154,False,100.0,2.99
6-benzylaminopurine,CHEMBL228862,False,1.0,0.87
6-chloromelatonin,CHEMBL34730,False,833.33,4.57
6-diazo-5-oxo-L-norleucine,CHEMBL4303391,False,100.0,0.86
6-iodo-nordihydrocapsaicin,CHEMBL177809,False,10000.0,2.1
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",CHEMBL1192114,False,833.33,8.45
7-aminocephalosporanic-acid,CHEMBL1615585,False,10000.0,3.59
7-chlorokynurenic-acid,CHEMBL311389,False,10000.0,1.89
7-hydroxy-DPAT,CHEMBL1255966,False,8.33,2.39
7-hydroxy-PIPAT,CHEMBL110239,False,8.33,0.14
7-keto-DHEA,CHEMBL1875999,False,100.0,7.17
7-methoxytacrine,CHEMBL1256415,False,833.33,4.86
7-nitroindazole,CHEMBL247378,False,833.33,4.56
8-M-PDOT,CHEMBL99377,False,833.33,7.57
8-bromo-cAMP,CHEMBL1626177,False,1.0,2.13
8-bromo-cGMP,CHEMBL1741141,False,8.33,2.94
8-hydroxy-DPAT,CHEMBL56,False,8.33,1.08
8-hydroxy-PIPAT,CHEMBL284716,False,100.0,3.63
9-aminoacridine,CHEMBL43184,False,8.33,1.57
9-anthracenecarboxylic-acid,CHEMBL1513985,False,8.33,2.11
A-1070722,CHEMBL1982660,False,10000.0,11.14
A-1120,CHEMBL1230001,False,1.0,3.27
A-317491,CHEMBL596234,False,10000.0,0.42
A-33903,CHEMBL204738,False,8.33,1.87
A-366,CHEMBL3109630,False,833.33,1.84
A-412997,CHEMBL375596,False,10000.0,3.09
A-438079,CHEMBL377219,False,100.0,0.71
A-582941,CHEMBL526281,False,1.0,1.02
A-674563,CHEMBL379218,False,833.33,4.63
A-7,CHEMBL1331148,False,100.0,2.79
A-769662,CHEMBL512504,False,10000.0,3.92
A-784168,CHEMBL482834,False,1.0,0.25
A-803467,CHEMBL250699,False,1.0,1.92
A-804598,CHEMBL1628690,False,10000.0,1.97
A-839977,CHEMBL1628691,False,10000.0,1.67
A-867744,CHEMBL490153,False,10000.0,3.3
A-887826,CHEMBL4303253,False,100.0,-0.55
A-939572,CHEMBL469169,False,1.0,0.48
A-967079,CHEMBL3697701,False,100.0,0.55
A-987306,CHEMBL1935450,False,833.33,2.05
A12B4C3,CHEMBL4303462,False,10000.0,8.83
A205804,CHEMBL267678,False,10000.0,4.33
A61603,CHEMBL109783,False,1.0,1.13
A66,CHEMBL3218581,False,833.33,3.32
A740003,CHEMBL255787,False,100.0,1.99
A77636,CHEMBL291143,False,100.0,2.31
A922500,CHEMBL430405,False,100.0,8.11
A922500,CHEMBL430405,False,100.0,8.11
AA-29504,CHEMBL4303215,False,10000.0,2.16
ABACAVIR SULFATE,CHEMBL4303288,False,833.33,0.84
ABC-294640,CHEMBL2158685,False,1.0,2.05
ABT-202,CHEMBL5498530,False,10000.0,3.85
ABT-239,CHEMBL351231,False,10000.0,4.34
ABT-491,CHEMBL369225,False,100.0,0.63
ABT-639,CHEMBL3590674,False,833.33,8.06
ABT-702,CHEMBL66089,False,833.33,-0.05
ABT-724,CHEMBL440687,False,1.0,3.44
ABT-737,CHEMBL376408,False,8.33,-0.39
ABT-751,CHEMBL20684,False,8.33,4.25
AC-186,CHEMBL4303689,False,1.0,1.54
AC-261066,CHEMBL198997,False,10000.0,2.1
AC-264613,CHEMBL494502,False,100.0,1.69
AC-55541,CHEMBL493076,False,10000.0,4.46
AC-55649,CHEMBL425027,False,833.33,3.77
AC-710,CHEMBL2206278,False,8.33,-0.55
AC-7954-(+/-),CHEMBL192359,False,100.0,-1.71
ACDPP,CHEMBL1616372,False,8.33,4.72
ACPC,CHEMBL265325,False,10000.0,1.36
ACT-132577,CHEMBL2165326,False,100.0,-0.65
ACT-462206,CHEMBL3597952,False,10000.0,1.64
ACTB-1003,CHEMBL3991934,False,10000.0,-0.16
ACY-1215,CHEMBL2364628,False,100.0,2.13
AD-5467,CHEMBL164603,False,8.33,3.31
ADD-233089,CHEMBL1516308,False,1.0,1.63
ADENOSINE TRIPHOSPHATE DISODIUM,CHEMBL2106579,False,833.33,2.57
ADL5859,CHEMBL494480,False,8.33,-0.47
ADX-10059,CHEMBL3545036,False,833.33,3.1
ADX-47273,CHEMBL381055,False,10000.0,2.44
AEE788,CHEMBL587723,False,1.0,1.55
AEG3482,CHEMBL19231,False,1.0,8.11
