compound_name,chembl_id,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
LY2090314,CHEMBL362558,True,833.33,16.0
LY2109761,CHEMBL260015,False,100.0,1.87
LY2140023,CHEMBL2110730,False,10000.0,1.37
LY2157299,CHEMBL2364611,False,1.0,0.85
LY2183240,CHEMBL509860,False,8.33,2.48
LY2228820,CHEMBL2364627,True,10000.0,55.22
LY223982,CHEMBL49302,False,1.0,2.26
LY225910,CHEMBL37312,False,8.33,2.18
LY231617,CHEMBL96606,False,100.0,1.78
LY2334737,CHEMBL577711,False,1.0,-0.06
LY2365109,CHEMBL1628564,False,1.0,1.26
LY255283,CHEMBL15766,False,100.0,0.43
LY2584702,CHEMBL3545076,False,1.0,0.45
LY2603618,CHEMBL3039517,False,100.0,1.44
LY2606368,CHEMBL3544911,False,8.33,0.79
LY2608204,CHEMBL4297399,False,1.0,1.58
LY266097,CHEMBL95121,False,100.0,6.67
LY2784544,CHEMBL2107823,False,8.33,1.0
LY2801653,CHEMBL3545307,False,8.33,1.35
LY2811376,CHEMBL2333941,False,100.0,-0.51
LY2857785,CHEMBL3940387,False,1.0,-0.19
LY2874455,CHEMBL3828009,False,1.0,-0.14
LY288513,CHEMBL333081,False,8.33,1.35
LY2886721,CHEMBL2396989,False,8.33,-0.32
LY294002,CHEMBL98350,False,8.33,1.39
LY2979165,CHEMBL4303379,False,10000.0,0.56
LY3000328,CHEMBL3342553,False,10000.0,1.4
LY3009120,CHEMBL3577124,False,100.0,5.54
LY3023414,CHEMBL4297181,False,8.33,2.32
LY303511,CHEMBL1363184,False,10000.0,1.5
LY310762,CHEMBL1256663,False,10000.0,0.46
LY320135,CHEMBL411481,False,10000.0,1.7
LY344864,CHEMBL1628565,False,10000.0,4.97
LY364947,CHEMBL261454,False,1.0,1.81
LY393558,CHEMBL4303390,False,8.33,5.05
LY404187,CHEMBL435582,False,10000.0,0.85
LY411575,CHEMBL392068,False,1.0,-3.7
LY456236,CHEMBL254575,False,8.33,6.4
Lacosamide,CHEMBL58323,False,100.0,-8.79
Lopinavir,CHEMBL729,False,10000.0,6.72
Lu-AA-47070,CHEMBL1671940,False,10000.0,2.91
M-14157,CHEMBL1373782,False,833.33,-1.75
M-25,CHEMBL561533,False,10000.0,3.86
M-344,CHEMBL140000,False,8.33,0.43
M8-B,CHEMBL2442052,False,8.33,2.01
MBX-2982,CHEMBL3260505,False,1.0,1.55
MC1568,CHEMBL191089,False,10000.0,-2.1
MCC950,CHEMBL3183703,False,833.33,0.34
MCOPPB,CHEMBL481512,True,10000.0,83.48
MD-920,CHEMBL1232952,False,833.33,2.17
MDL-11939,CHEMBL18972,False,8.33,1.17
MDL-27531,CHEMBL25195,False,10000.0,2.92
MDL-29951,CHEMBL31344,False,8.33,2.79
MDL-72832,CHEMBL12152,False,1.0,2.83
MDL-73005EF,CHEMBL2218891,False,833.33,0.95
MDMS,CHEMBL1996382,False,1.0,1.24
ME0328,CHEMBL3092537,False,8.33,4.11
ME0328,CHEMBL3092537,False,8.33,4.11
MEK1-2-inhibitor,CHEMBL261237,False,100.0,1.52
METHYLPHENIDATE HYDROCHLORIDE,CHEMBL1722,False,10000.0,-0.37
MF-101,CHEMBL252642,False,10000.0,11.98
MG-132,CHEMBL64925,True,10000.0,55.52
MG-624,CHEMBL1257065,False,10000.0,7.99
MGCD-265,CHEMBL254760,False,10000.0,6.19
MI-14,CHEMBL3914714,False,10000.0,3.02
MIRA-1,CHEMBL1374426,False,833.33,1.73
MJ-15,CHEMBL4303333,False,1.0,0.94
MK-0354,CHEMBL456145,False,10000.0,2.43
MK-0752,CHEMBL3392635,False,8.33,-0.66
MK-0773,CHEMBL3221237,False,833.33,2.35
MK-0812,CHEMBL3305901,False,1.0,0.39
MK-0893,CHEMBL1933349,False,10000.0,4.95
MK-1775,CHEMBL1976040,False,8.33,2.7
MK-2048,CHEMBL1237018,False,833.33,0.69
MK-2206,CHEMBL1079175,True,10000.0,24.48
MK-2295,CHEMBL214796,False,833.33,2.1
MK-2461,CHEMBL1822792,False,8.33,1.08
MK-2894,CHEMBL597997,False,10000.0,1.12
MK-3207,CHEMBL1910936,False,10000.0,-2.55
MK-3697,CHEMBL3338865,False,8.33,4.06
MK-5046,CHEMBL1672354,False,100.0,0.57
MK-5108,CHEMBL3600873,False,1.0,0.11
MK-571,CHEMBL15177,False,10000.0,5.11
MK-8033,CHEMBL2323775,False,833.33,3.38
MK-8245,CHEMBL1938870,False,10000.0,1.73
MK-8745,CHEMBL4303177,False,100.0,0.91
MK2-IN-1,CHEMBL1938681,True,10000.0,43.8
MKT-077,CHEMBL33859,False,8.33,2.22
ML-213,CHEMBL1703636,False,10000.0,2.61
ML10302,CHEMBL286136,False,10000.0,2.59
ML130,CHEMBL1412853,False,10000.0,-0.17
ML133,CHEMBL1620289,False,100.0,-0.58
ML141,CHEMBL1370630,False,8.33,2.1
ML161,CHEMBL1411333,False,8.33,1.45
ML167,CHEMBL1604618,False,10000.0,1.88
ML179,CHEMBL4303467,False,8.33,3.87
ML188,CHEMBL2311740,False,8.33,1.78
ML193,CHEMBL1310336,False,8.33,1.15
ML204,CHEMBL1459962,False,10000.0,4.47
ML218,CHEMBL1731994,False,1.0,2.47
ML228,CHEMBL2144958,False,1.0,1.58
ML277,CHEMBL2070953,False,833.33,2.63
ML281,CHEMBL2204239,False,100.0,0.48
ML297,CHEMBL2409106,False,10000.0,0.43
ML298,CHEMBL1907089,True,10000.0,21.96
ML314,CHEMBL2431120,False,833.33,1.94
ML323,CHEMBL3182437,False,10000.0,1.03
ML324,CHEMBL1398529,False,10000.0,6.05
ML3403,CHEMBL111364,False,10000.0,1.96
ML347,CHEMBL502351,False,10000.0,1.96
ML347,CHEMBL502351,False,10000.0,1.96
ML348,CHEMBL600764,False,10000.0,5.23
ML365,CHEMBL1081188,False,100.0,2.82
ML786,CHEMBL1688861,False,100.0,1.9
ML9,CHEMBL429298,False,100.0,2.04
MLN0128,CHEMBL3545097,False,8.33,2.32
MLN1117,CHEMBL3935857,False,8.33,5.87
MLN2480,CHEMBL3348923,False,8.33,6.23
MLN8054,CHEMBL259084,False,100.0,0.11
MLN9708,CHEMBL1813256,True,833.33,34.19
MM-102,CHEMBL3883592,False,833.33,0.7
MM-11253,CHEMBL3786184,False,8.33,2.69
MM77,CHEMBL279841,False,10000.0,-0.63
MMPX,CHEMBL307639,False,1.0,2.86
MN-64,CHEMBL2431867,False,833.33,1.65
MNITMT,CHEMBL90290,False,833.33,5.0
MODAFINIL,CHEMBL1373,False,100.0,3.24
MODAFINIL,CHEMBL1373,False,100.0,3.24
MOMETASONE FUROATE,CHEMBL1161,False,10000.0,3.12
MONENSIN SODIUM,CHEMBL5314365,True,10000.0,52.55
MPEP,CHEMBL66654,False,8.33,4.18
MPI-0479605,CHEMBL2047943,False,833.33,3.17
MR-16728,CHEMBL1378945,False,8.33,0.99
MR-948,CHEMBL4303640,False,833.33,0.91
MRK-016,CHEMBL363211,False,1.0,1.59
MRK-560,CHEMBL1091513,False,8.33,4.08
MRS-1220,CHEMBL88147,False,8.33,4.32
MRS-1334,CHEMBL2181974,False,10000.0,3.9
MRS-1845,CHEMBL1256776,False,10000.0,6.77
MRS-2578,CHEMBL1321988,False,1.0,2.34
MRS-3777,CHEMBL363419,False,1.0,0.79
MSX-122,CHEMBL3545330,False,10000.0,-0.62
MTPG,CHEMBL1594103,False,833.33,2.19
MUT056399,CHEMBL2178284,False,1.0,0.22
MY-5445,CHEMBL332898,False,10000.0,2.92
Mangafodipir (trisodium),CHEMBL2096651,False,833.33,-1.43
McN-5652-(+/-),CHEMBL361259,False,833.33,3.32
Mps-BAY-2a,CHEMBL3422104,False,100.0,1.09
Mps1-IN-1,CHEMBL1235786,False,1.0,5.38
Mps1-IN-5,CHEMBL4303241,False,100.0,0.88
N-MPPP,CHEMBL94734,False,833.33,0.85
N-[2-(piperidinylamino)ethyl]-4-iodobenzamide,CHEMBL1601095,False,8.33,2.0
N-acetyl-D-glucosamine,CHEMBL240524,False,100.0,3.89
N-acetyl-tyrosine,CHEMBL65543,False,10000.0,4.82
N-acetylcarnosine,CHEMBL4303521,False,10000.0,4.18
N-acetylglycyl-D-glutamic-acid,CHEMBL1357656,False,1.0,1.3
N-acetylmannosamine,CHEMBL1231391,False,10000.0,1.32
N-acetyltryptamine,CHEMBL33171,False,10000.0,2.53
N-alpha-methylhistamine-dihydrochloride,CHEMBL268490,False,8.33,2.71
N-benzylnaltrindole,CHEMBL55305,True,10000.0,33.95
N-cyclohexyl-2-benzothiazolesulfenamide,CHEMBL1591074,False,1.0,2.74
N-demethylantipyrine,CHEMBL4303694,False,1.0,6.19
N-methyllidocaine-iodide,CHEMBL1550996,False,8.33,2.44
N-methylquipazine,CHEMBL288591,False,1.0,0.97
N-oxydiethylenebenzothiazole-2-sulfenamide,CHEMBL1530581,False,833.33,0.03
N-salicoylaminophenol,CHEMBL389507,False,10000.0,4.87
N20C,CHEMBL1255662,False,100.0,0.44
N6-cyclopentyladenosine,CHEMBL68738,False,833.33,4.59
N6-methyladenosine,CHEMBL383144,False,10000.0,2.03
N6022,CHEMBL1738699,False,8.33,2.86
NAB-2,CHEMBL4303645,False,8.33,-0.6
NADPH,CHEMBL407009,False,8.33,3.17
NALOXONE HYDROCHLORIDE,CHEMBL1718,False,833.33,3.34
NALTREXONE HYDROCHLORIDE,CHEMBL1201149,False,1.0,4.81
NAN-190,CHEMBL8618,False,10000.0,4.74
NAV-26,CHEMBL2164371,False,10000.0,2.59
NBI-27914,CHEMBL45281,False,1.0,4.5
NBI-74330-(+/-),CHEMBL4173833,False,10000.0,1.79
NBQX,CHEMBL222519,False,1.0,2.79
NCS-382,CHEMBL472694,False,10000.0,4.1
NDT-9513727,CHEMBL4303272,False,10000.0,5.96
NE-100,CHEMBL521582,False,100.0,0.93
NECA,CHEMBL464859,False,1.0,3.12
NFKB-activation-inhibitor-II,CHEMBL4303329,False,10000.0,2.24
NG-nitro-arginine,CHEMBL1256282,False,1.0,4.03
NGB-2904,CHEMBL300780,False,8.33,2.85
NGD-94-1,CHEMBL103772,False,8.33,-0.03
NGD-98-2,CHEMBL1807053,False,8.33,3.16
NH125,CHEMBL1683636,False,100.0,0.65
NHI-2,CHEMBL3335796,False,1.0,2.26
NI-57,CHEMBL3752151,False,8.33,1.53
NIDA-41020,CHEMBL160723,False,10000.0,-1.1
NK-252,CHEMBL4164286,False,833.33,2.66
NKP-1339,CHEMBL4297410,True,10000.0,17.98
NKY-80,CHEMBL1456284,False,833.33,4.74
NLG919,CHEMBL3629569,False,833.33,3.39
NM107,CHEMBL438605,False,1.0,5.4
NMDA,CHEMBL291278,False,10000.0,1.88
NMS-1286937,CHEMBL1738758,False,100.0,2.06
NMS-873,CHEMBL2311578,False,833.33,5.04
NMS-E973,CHEMBL2443044,False,100.0,3.95
NMS-P715,CHEMBL1236095,False,10000.0,5.39
NNC-05-2090,CHEMBL1446457,True,10000.0,42.36
NNC-55-0396,CHEMBL4227475,False,100.0,7.24
NNC-63-0532,CHEMBL2088036,False,100.0,2.01
NNC-711,CHEMBL545050,False,10000.0,2.06
NO-ASA,CHEMBL374385,False,10000.0,3.31
NPC-15199,CHEMBL149394,False,833.33,3.51
NPPB,CHEMBL1256759,False,10000.0,0.67
NPS-2143,CHEMBL180672,True,10000.0,62.48
NPY-5RA972,CHEMBL325226,False,833.33,2.48
NQDI-1,CHEMBL1345690,False,100.0,5.31
NS-018,CHEMBL4303389,False,100.0,2.86
NS-11021,CHEMBL4303589,False,833.33,3.36
NS-1643,CHEMBL1514181,False,100.0,6.17
NS-19504,CHEMBL3233606,False,100.0,2.74
NS-309,CHEMBL499968,False,8.33,-0.08
NS-3623,CHEMBL4303572,False,10000.0,4.81
NS-3861,CHEMBL5483034,True,1.0,24.22
NS-5806,CHEMBL4303239,False,1.0,1.22
NS-8,CHEMBL42661,False,10000.0,5.33
NS-8593,CHEMBL510780,False,1.0,2.74
NS-9283,CHEMBL3103988,False,10000.0,2.85
NSC-23766,CHEMBL257119,False,100.0,1.43
NSC-319726,CHEMBL1976486,True,10000.0,20.06
NSC-3852,CHEMBL1479316,True,10000.0,19.55
NSC-405020,CHEMBL4303335,False,8.33,1.88
NSC-4644,CHEMBL23236,False,1.0,-5.94
NSC-5844,CHEMBL66998,False,100.0,5.21
NSC-625987,CHEMBL1331734,False,8.33,4.64
NSC-632839,CHEMBL1990474,False,10000.0,0.13
NSC-636819,CHEMBL1966136,False,1.0,2.0
NSC-663284,CHEMBL337173,False,833.33,6.0
NSC-697923,CHEMBL1698008,False,833.33,13.52
NSC-9965,CHEMBL293950,False,1.0,1.56
NSI-189,CHEMBL4302505,False,100.0,1.38
NS_EX3r2,,False,8.33,0.41
NT157,CHEMBL4303361,True,10000.0,19.83
NTNCB,CHEMBL299879,True,10000.0,42.43
NTRC-824,CHEMBL3326831,False,10000.0,3.55
NU-1025,CHEMBL123904,False,10000.0,4.88
NU-2058,CHEMBL269881,False,833.33,1.35
NU-6027,CHEMBL303958,True,10000.0,18.51
NU-7026,CHEMBL104468,False,8.33,2.98
NU-7441,CHEMBL188678,True,10000.0,36.79
NVP-231,CHEMBL4303283,False,8.33,3.1
NVP-ADW742,CHEMBL1988370,True,10000.0,27.91
NVP-AEW541,CHEMBL1614712,True,10000.0,34.78
NVP-AUY922,CHEMBL252164,False,1.0,0.97
NVP-BEZ235,CHEMBL1879463,False,1.0,1.43
NVP-BGJ398,CHEMBL1852688,True,10000.0,23.86
NVP-BHG712,CHEMBL3752910,True,10000.0,28.14
NVP-BSK805,CHEMBL1092926,True,10000.0,63.29
NVP-BVU972,CHEMBL1738731,False,10000.0,3.49
NVP-DPP728,CHEMBL77538,False,833.33,3.35
NVP-HSP990,CHEMBL3360305,False,8.33,0.26
NVP-TAE226,CHEMBL458997,False,1.0,-0.14
NVP-TAE684,CHEMBL509032,False,1.0,-0.23
NVP-TNKS656,CHEMBL2419706,False,1.0,1.44
NVS-PAK1-1,CHEMBL3609372,False,833.33,8.12
NXY-059,CHEMBL1627056,False,10000.0,0.8
Nampt-IN-1,CHEMBL3586462,False,1.0,-1.96
Nandrolone,CHEMBL757,False,833.33,1.95
Nandrolone decanoate,CHEMBL1200946,False,8.33,0.18
Naringin (Naringoside),CHEMBL451532,False,10000.0,1.71
Neohesperidin dihydrochalcone (Nhdc),CHEMBL1159645,False,833.33,0.9
Norethindrone (Norethisterone),CHEMBL1162,False,10000.0,2.33
O-1918,CHEMBL4303507,False,8.33,4.01
O-acetyl-L-serine,CHEMBL1234916,False,833.33,1.65
O4I1,CHEMBL3581764,False,10000.0,6.66
O6-benzylguanine,CHEMBL407874,False,8.33,2.87
OAC1,CHEMBL3187798,False,833.33,1.73
OAC2,CHEMBL1464276,False,10000.0,2.85
OC000459,CHEMBL560993,False,1.0,1.64
ODM-201,CHEMBL4297185,False,1.0,1.69
ODQ,CHEMBL598952,False,100.0,0.8
OF-1,CHEMBL3770173,False,8.33,2.97
OG-L002,CHEMBL4289507,False,1.0,1.62
OICR-9429,CHEMBL3798846,False,833.33,1.71
OLDA,CHEMBL250711,False,833.33,5.47
OMDM-2,CHEMBL1316265,False,100.0,1.38
ON123300,CHEMBL3115681,False,1.0,1.39
ONC201,CHEMBL4297310,False,833.33,3.83
ONO-4059,CHEMBL4071161,False,8.33,2.19
ONO-4817,CHEMBL4303601,False,8.33,13.48
ONO-8130,CHEMBL3939289,False,100.0,3.16
OPC-21268,CHEMBL296908,False,10000.0,3.15
OR-486,CHEMBL168276,False,833.33,1.93
ORG-12962,CHEMBL506999,False,833.33,1.94
ORG-25543,CHEMBL88588,False,100.0,5.81
ORG-26576,CHEMBL4303417,False,8.33,1.33
ORG-27569,CHEMBL1553629,False,100.0,4.96
ORG-9768,CHEMBL4303509,False,1.0,4.53
ORY-1001,CHEMBL4593062,False,8.33,2.24
OSI-027,CHEMBL2132692,False,100.0,4.58
OSI-420,CHEMBL3186743,False,1.0,2.26
OSI-930,CHEMBL1614710,False,10000.0,5.44
OT-R-antagonist-1,CHEMBL1254024,False,8.33,1.59
OTS167,CHEMBL3688339,False,8.33,0.72
OTS514,CHEMBL3672295,False,833.33,3.77
OTX015,CHEMBL3581647,False,1.0,1.01
OXA-06,CHEMBL4303164,False,1.0,4.68
OXF-BD-02,CHEMBL2335154,False,8.33,1.84
Olopatadine hydrochloride (Opatanol),CHEMBL1719,False,833.33,6.26
Omaveloxolone (RTA-408),CHEMBL5308387,True,833.33,17.21
Oridonin (Isodonol),CHEMBL4303503,True,10000.0,43.54
Oxandrolone,CHEMBL1200436,False,1.0,1.55
Oxymetholone,CHEMBL1200585,False,100.0,1.73
P22077,CHEMBL2159498,True,10000.0,19.55
P276-00,CHEMBL3991935,False,8.33,0.11
P5091,CHEMBL2159495,False,10000.0,8.82
P7C3,CHEMBL2442630,False,10000.0,8.34
PAC-1,CHEMBL591429,False,100.0,4.72
PACOCF3,CHEMBL99344,False,8.33,0.3
PAOPA,CHEMBL285742,False,1.0,1.05
PCA-4248,CHEMBL107881,False,10000.0,3.1
PCI-24781,CHEMBL2103863,False,8.33,3.14
PCI-29732,CHEMBL2057912,False,1.0,3.63
PCI-34051,CHEMBL2170177,False,100.0,3.29
PCO-400,CHEMBL61723,False,8.33,6.13
PD-102807,CHEMBL59898,True,10000.0,24.08
PD-123319,CHEMBL321820,False,10000.0,0.19
PD-128907,CHEMBL97424,False,100.0,2.39
PD-153035,CHEMBL29197,True,10000.0,36.34
PD-156707,CHEMBL25438,True,10000.0,17.81
PD-158780,CHEMBL53753,False,8.33,-0.58
PD-160170,CHEMBL422942,False,10000.0,9.31
PD-161570,CHEMBL45827,False,10000.0,13.39
PD-166285,CHEMBL49120,False,8.33,-0.21
PD-166793,CHEMBL43152,False,10000.0,1.89
PD-168077,CHEMBL45244,False,8.33,0.9
PD-168393,CHEMBL285063,False,1.0,-0.46
PD-168568,CHEMBL35093,False,8.33,4.6
PD-173074,CHEMBL189584,True,10000.0,45.14
PD-173212,CHEMBL299749,False,8.33,3.29
PD-184352,CHEMBL105442,False,8.33,-0.84
PD-198306,CHEMBL1474985,False,100.0,7.71
PD-318088,CHEMBL3182051,False,8.33,-0.08
PD-407824,CHEMBL214253,False,833.33,6.0
PD-81723,CHEMBL59532,False,1.0,1.09
PD-98059,CHEMBL35482,False,1.0,1.12
PD1-PDL-inhibitor-1,CHEMBL3582252,False,100.0,5.72
PDE10-IN-1,CHEMBL4303586,False,10000.0,4.45
PDP-EA,CHEMBL4303222,False,833.33,1.46
PETCM,CHEMBL5308488,False,100.0,3.16
PF-02545920,CHEMBL562318,True,10000.0,52.35
PF-03049423,CHEMBL591501,False,1.0,0.37
PF-03084014,CHEMBL1770916,False,1.0,2.54
PF-03758309,CHEMBL3128043,False,1.0,3.94
PF-03814735,CHEMBL4289017,False,8.33,-1.15
PF-03882845,CHEMBL1215331,True,100.0,18.27
PF-04136309,CHEMBL2029422,False,100.0,1.06
PF-04217903,CHEMBL2001019,False,833.33,2.71
PF-04418948,CHEMBL3286797,False,1.0,2.48
PF-04447943,CHEMBL2179105,False,8.33,1.47
PF-04457845,CHEMBL1651534,False,8.33,1.24
PF-04620110,CHEMBL1835919,False,833.33,5.58
PF-04691502,CHEMBL1234354,False,8.33,2.83
PF-04885614,CHEMBL4084106,False,100.0,2.45
PF-05212384,CHEMBL592445,False,10000.0,2.14
PF-06447475,CHEMBL3393348,False,833.33,-0.07
PF-06463922,CHEMBL3286830,False,10000.0,1.5
PF-06463922,CHEMBL3286830,False,10000.0,1.5
PF-3274167,CHEMBL594828,False,100.0,-0.12
PF-3845,CHEMBL1651524,False,833.33,3.15
PF-429242,CHEMBL233611,False,1.0,-1.07
PF-431396,CHEMBL472212,False,1.0,-0.17
PF-4708671,CHEMBL2134202,False,833.33,8.5
PF-477736,CHEMBL3990456,False,8.33,3.44
PF-4800567,CHEMBL2069623,False,100.0,-0.3
PF-4981517,CHEMBL3527048,False,100.0,0.89
PF-5274857,CHEMBL3186656,False,100.0,0.43
PF-562271,CHEMBL1084546,False,8.33,0.22
PF-573228,CHEMBL514554,False,833.33,1.33
PF-670462,CHEMBL4643847,False,8.33,3.92
PF-750,CHEMBL560590,False,100.0,0.72
PF-8380,CHEMBL3186509,False,8.33,5.29
PF-915275,CHEMBL495841,False,8.33,3.14
PFI-1,CHEMBL2179387,False,8.33,3.07
PFI-3,CHEMBL3752911,False,1.0,-0.57
PFI-4,CHEMBL3356143,False,100.0,2.09
PFK-015,CHEMBL3105836,False,8.33,-0.71
PFK-158,CHEMBL4303611,False,10000.0,5.19
PG-9,CHEMBL1590223,False,8.33,4.95
PGL5001,CHEMBL3545213,False,10000.0,6.87
PH-797804,CHEMBL1088751,False,1.0,-1.52
PHA-568487,CHEMBL2086586,False,833.33,-0.26
PHA-665752,CHEMBL450786,True,10000.0,50.22
PHA-680632,CHEMBL363160,False,8.33,1.98
PHA-767491,CHEMBL225519,False,1.0,-0.31
PHA-793887,CHEMBL1230607,False,10000.0,1.78
PHA-848125,CHEMBL564829,False,100.0,1.17
PHCCC,CHEMBL164770,False,8.33,3.35
PHP-501,CHEMBL1093534,False,8.33,1.61
PHT-427,CHEMBL595583,False,8.33,0.48
PHTPP,CHEMBL191066,False,10000.0,11.95
PI-103,CHEMBL573339,False,8.33,0.46
PI3K-IN-2,CHEMBL4084907,False,8.33,5.6
PI4KIII-beta-inhibitor-1,CHEMBL3786230,False,10000.0,5.19
PIK-293,CHEMBL3182327,True,10000.0,54.31
PIK-294,CHEMBL1241767,False,10000.0,2.73
PIK-75,CHEMBL393525,False,1.0,0.29
PIK-93,CHEMBL1229535,False,10000.0,2.47
PIM-1-Inhibitor-2,CHEMBL409038,False,100.0,3.66
PIT,CHEMBL1364808,False,10000.0,2.03
PJ-34,CHEMBL372303,False,10000.0,6.44
PK-11195,CHEMBL481537,False,833.33,2.81
PK-44,CHEMBL4303603,False,10000.0,7.49
PK-THPP,CHEMBL2324344,False,100.0,2.34
PLX4720,CHEMBL1230020,False,833.33,2.16
PLX647,CHEMBL4224714,False,1.0,3.02
PLX8394,CHEMBL4303729,False,1.0,3.26
PMPA,CHEMBL483,False,1.0,0.48
PNU-120596,CHEMBL257591,False,833.33,4.04
PNU-142633,CHEMBL441095,False,10000.0,3.34
PNU-177864,CHEMBL1697690,False,8.33,3.37
PNU-22394,CHEMBL6557,False,1.0,3.79
PNU-282987,CHEMBL554984,False,10000.0,1.51
PNU-37883,CHEMBL333121,False,1.0,7.27
PNU-74654,CHEMBL3187418,False,10000.0,0.97
PNU-89843,CHEMBL134859,False,8.33,5.02
PP-1,CHEMBL306380,False,8.33,5.25
PP-121,CHEMBL1081312,False,100.0,0.41
PP-2,CHEMBL406845,False,833.33,0.01
PP242,CHEMBL1241674,False,8.33,2.09
PPT,CHEMBL441282,False,1.0,2.13
PPY-A,CHEMBL1235103,False,10000.0,12.06
PQ-401,CHEMBL439259,False,1.0,1.48
PR-619,CHEMBL4303622,False,10000.0,11.18
PRASTERONE,CHEMBL90593,False,833.33,5.63
PRAVASTATIN SODIUM,CHEMBL690,False,833.33,6.3
PRE-084,CHEMBL305881,False,833.33,4.21
PREGABALIN,CHEMBL1059,False,10000.0,0.02
PRIMA1,CHEMBL186872,False,10000.0,5.06
PRT062070,CHEMBL3991929,False,833.33,2.08
PRT062607,CHEMBL2177736,True,10000.0,24.4
PRT4165,CHEMBL4303151,False,833.33,5.97
PRX-08066,CHEMBL4297322,False,8.33,8.07
PS178990,CHEMBL229264,False,8.33,3.57
PSB-06126,CHEMBL498423,False,1.0,-0.33
PSB-11,CHEMBL1625681,False,10000.0,1.21
PSB-1115,CHEMBL8565,False,1.0,0.98
PSB-36,CHEMBL1316674,False,8.33,2.64
PSI-6130,CHEMBL223482,False,833.33,1.12
PSI-7976,CHEMBL1259058,False,1.0,2.14
PSN-375963,CHEMBL4303425,False,10000.0,2.33
PSNCBAM-1,CHEMBL3341861,False,8.33,1.53
PT-2385,CHEMBL4173075,False,8.33,2.61
PTC-209,CHEMBL468984,False,10000.0,10.59
PU-H71,CHEMBL200102,False,8.33,-0.68
PX-12,CHEMBL406050,False,833.33,2.44
PX-478,CHEMBL4061538,False,1.0,1.24
PYR-41,CHEMBL2322201,False,1.0,1.63
"Peficitinib (ASP015K, JNJ-54781532)",CHEMBL4238926,False,833.33,-0.12
Perampanel,CHEMBL1214124,False,100.0,4.1
PhiKan-083,CHEMBL1235116,False,8.33,4.54
Proxyphylline,CHEMBL37390,False,10000.0,0.19
Q-203,CHEMBL3298910,False,8.33,1.98
QX-222,CHEMBL1354145,False,10000.0,0.5
QX-314,CHEMBL1180496,False,833.33,0.8
R-1479,CHEMBL393857,False,100.0,1.7
R-1479,CHEMBL393857,False,100.0,1.7
R-1485,CHEMBL246078,False,8.33,0.05
R-268712,CHEMBL4303194,False,1.0,3.99
R-59022,CHEMBL259388,False,833.33,2.57
R-96544,CHEMBL1415927,False,100.0,14.74
R112,CHEMBL515271,False,1.0,2.79
R306465,CHEMBL609583,False,8.33,2.59
R406,CHEMBL5594424,False,8.33,-0.43
R547,CHEMBL384304,False,833.33,6.41
RAF265,CHEMBL558752,False,10000.0,4.48
RBC8,CHEMBL3929074,False,8.33,4.3
RG108,CHEMBL383475,False,8.33,3.8
RG1530,CHEMBL1980391,False,833.33,2.98
RG2833,CHEMBL3970532,False,833.33,2.18
RG4733,CHEMBL4297422,False,10000.0,-3.87
RG7112,CHEMBL2386346,False,10000.0,5.99
RGB-286638,CHEMBL3545083,False,10000.0,9.0
RGFP966,CHEMBL4078477,False,8.33,1.78
RHC-80267,CHEMBL158897,False,833.33,2.74
RI-1,CHEMBL1271993,False,10000.0,4.62
RITA,CHEMBL1555354,False,10000.0,2.31
RKI-1447,CHEMBL3218011,False,8.33,3.71
RKI-1447,CHEMBL3218011,False,8.33,3.71
RN-1,CHEMBL4303296,False,100.0,7.94
RN-1734,CHEMBL2324347,False,1.0,1.45
RN-1747,CHEMBL4303584,False,833.33,3.68
ROCURONIUM BROMIDE,CHEMBL1200648,False,100.0,2.36
RP-001,CHEMBL3960697,False,833.33,2.4
RP67580,CHEMBL131171,False,833.33,3.76
RQ-00203078,CHEMBL3353597,False,10000.0,4.63
RRx-001,CHEMBL3526802,False,1.0,1.69
RS-100329,CHEMBL56331,False,8.33,0.88
RS-102221,CHEMBL88402,False,10000.0,0.94
RS-102895,CHEMBL1593104,False,100.0,-1.41
RS-127445,CHEMBL473186,False,8.33,1.62
RS-16566,CHEMBL145725,False,833.33,1.32
RS-17053,CHEMBL88272,False,100.0,0.78
RS-23597-190,CHEMBL3291084,False,833.33,4.22
RS-39604,CHEMBL66114,True,10000.0,28.28
RS-45041-190,CHEMBL1514276,False,8.33,3.31
RS-504393,CHEMBL134074,False,8.33,4.93
RS-56812,CHEMBL294649,False,10000.0,1.51
RS-67333,CHEMBL85251,False,1.0,-0.14
RS-67506,CHEMBL83899,False,833.33,0.95
RS-79948,CHEMBL4303564,False,833.33,5.17
RSV604,CHEMBL223402,False,1.0,0.66
RU-24969,CHEMBL18785,False,1.0,1.62
RU-28318,CHEMBL2107003,True,8.33,15.06
RU-58841,CHEMBL9337,False,100.0,4.71
RU-SKI-43,CHEMBL5411797,False,8.33,3.61
RWJ-50271,CHEMBL9453,False,833.33,5.36
RWJ-67657,CHEMBL190333,False,10000.0,2.27
RX-821002,CHEMBL10332,False,8.33,1.98
Rec-15/2615,CHEMBL5090661,False,833.33,3.59
Remdesivir,CHEMBL4065616,False,10000.0,9.79
Retigabine,CHEMBL41355,False,8.33,1.16
Ritonavir,CHEMBL163,False,8.33,1.47
Rivaroxaban (Xarelto),CHEMBL3183768,False,100.0,3.46
