name,url,associated_proteins,associated_drugs
Regulation of IFNG signaling,,p(HGNC:JAK2); p(HGNC:JAK1),
Interleukin-20 family signaling,,p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:JAK1),
Interleukin-15 signaling,,p(HGNC:JAK3); p(HGNC:JAK1),
Interleukin-35 Signalling,,p(HGNC:JAK2); p(HGNC:JAK1),
Interleukin-9 signaling,,p(HGNC:JAK3); p(HGNC:JAK1),
Interleukin-12 signaling,,p(HGNC:JAK2); p(HGNC:JAK1),
Interleukin-27 signaling,,p(HGNC:JAK2); p(HGNC:JAK1),
Interleukin-21 signaling,,p(HGNC:JAK3); p(HGNC:JAK1),
Interferon alpha/beta signaling,,p(HGNC:JAK1),
Regulation of IFNA/IFNB signaling,,p(HGNC:JAK1),
Potential therapeutics for SARS,,p(HGNC:IMPDH1); p(HGNC:SYK); p(HGNC:NR3C1); p(HGNC:FNTA); p(HGNC:JAK2); p(HGNC:FKBP1A); p(HGNC:JAK3); p(HGNC:JAK1),
SARS-CoV-2 activates/modulates innate and adaptive immune responses,,p(HGNC:JAK1),
IFNG signaling activates MAPKs,,p(HGNC:RAF1); p(HGNC:JAK2); p(HGNC:JAK1),
Evasion by RSV of host interferon responses,,p(HGNC:JAK1),
GPVI-mediated activation cascade,,p(HGNC:SYK); p(HGNC:LCK); p(HGNC:LYN),
Signaling by SCF-KIT,,p(HGNC:KIT); p(HGNC:LCK); p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:PRKCA),
Regulation of KIT signaling,,p(HGNC:KIT); p(HGNC:LCK); p(HGNC:LYN); p(HGNC:PRKCA),
Nef and signal transduction,,p(HGNC:LCK),
Nef Mediated CD4 Down-regulation,,p(HGNC:LCK),
Downstream TCR signaling,,p(HGNC:LCK); p(HGNC:PRKCQ),
Phosphorylation of CD3 and TCR zeta chains,,p(HGNC:LCK),
Translocation of ZAP-70 to Immunological synapse,,p(HGNC:LCK),
Generation of second messenger molecules,,p(HGNC:LCK),
PECAM1 interactions,,p(HGNC:LCK); p(HGNC:LYN),
DAP12 signaling,,p(HGNC:SYK); p(HGNC:LCK),
Co-stimulation by CD28,,p(HGNC:LCK); p(HGNC:LYN),
CD28 dependent PI3K/Akt signaling,,p(HGNC:LCK),
CD28 dependent Vav1 pathway,,p(HGNC:LCK),
Co-inhibition by CTLA4,,p(HGNC:LCK); p(HGNC:LYN),
Co-inhibition by PD-1,,p(HGNC:LCK),
RHOH GTPase cycle,,p(HGNC:LCK),
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",,p(HGNC:KIT); p(HGNC:LCK); p(HGNC:JAK2); p(HGNC:LYN),
FLT3 signaling through SRC family kinases,,p(HGNC:FLT3); p(HGNC:SYK); p(HGNC:LCK),
Spry regulation of FGF signaling,,p(HGNC:BRAF),
Frs2-mediated activation,,p(HGNC:BRAF),
ARMS-mediated activation,,p(HGNC:BRAF),
Signalling to p38 via RIT and RIN,,p(HGNC:BRAF),
RAF activation,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
MAP2K and MAPK activation,,p(HGNC:RAF1); p(HGNC:BRAF),
Negative feedback regulation of MAPK pathway,,p(HGNC:RAF1); p(HGNC:BRAF),
Negative regulation of MAPK pathway,,p(HGNC:RAF1); p(HGNC:BRAF),
Signaling by moderate kinase activity BRAF mutants,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Signaling by high-kinase activity BRAF mutants,,p(HGNC:RAF1); p(HGNC:BRAF),
Signaling by BRAF and RAF1 fusions,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Paradoxical activation of RAF signaling by kinase inactive BRAF,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Signaling downstream of RAS mutants,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
Signaling by RAF1 mutants,,p(HGNC:RAF1); p(HGNC:BRAF); p(HGNC:JAK2),
SHOC2 M1731 mutant abolishes MRAS complex function,,p(HGNC:RAF1); p(HGNC:BRAF),
Gain-of-function MRAS complexes activate RAF signaling,,p(HGNC:RAF1); p(HGNC:BRAF),
Nuclear Receptor transcription pathway,,p(HGNC:NR3C1); p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Signaling by Retinoic Acid,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Activation of anterior HOX genes in hindbrain development during early embryogenesis,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Neurophilin interactions with VEGF and VEGFR,,p(HGNC:KDR); p(HGNC:FLT1),
VEGF binds to VEGFR leading to receptor dimerization,,p(HGNC:KDR); p(HGNC:FLT1); p(HGNC:FLT4),
Receptor-type tyrosine-protein phosphatases,,p(HGNC:NTRK3),
NTF3 activates NTRK3 signaling,,p(HGNC:NTRK3),
Signaling by NTRK3 (TRKC),,p(HGNC:NTRK3),
Activated NTRK3 signals through PLCG1,,p(HGNC:NTRK3),
Activated NTRK3 signals through RAS,,p(HGNC:NTRK3),
Activated NTRK3 signals through PI3K,,p(HGNC:NTRK3),
NTRK3 as a dependence receptor,,p(HGNC:NTRK3),
Integrin cell surface interactions,,p(HGNC:KDR),
VEGFA-VEGFR2 Pathway,,p(HGNC:AXL); p(HGNC:KDR),
VEGFR2 mediated cell proliferation,,p(HGNC:KDR); p(HGNC:PRKCD); p(HGNC:PRKCA),
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,,p(HGNC:KDR),
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,,p(HGNC:KDR); p(HGNC:FLT4),
mTORC1-mediated signalling,,p(HGNC:FKBP1A),
Calcineurin activates NFAT,,p(HGNC:PPIA); p(HGNC:FKBP1A),
TGF-beta receptor signaling activates SMADs,,p(HGNC:FKBP1A),
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),,p(HGNC:FKBP1A),
TGFBR1 LBD Mutants in Cancer,,p(HGNC:FKBP1A),
SARS-CoV-1 activates/modulates innate immune responses,,p(HGNC:PPIA); p(HGNC:FKBP1A),
Calmodulin induced events,,p(HGNC:PRKCD); p(HGNC:PRKCA),
Disinhibition of SNARE formation,,p(HGNC:PRKCA),
"Inactivation, recovery and regulation of the phototransduction cascade",,p(HGNC:FNTA); p(HGNC:PRKCQ); p(HGNC:PRKCA),
Syndecan interactions,,p(HGNC:PRKCA),
Acetylcholine regulates insulin secretion,,p(HGNC:PRKCA),
Ca2+ pathway,,p(HGNC:PRKCA),
Trafficking of GluR2-containing AMPA receptors,,p(HGNC:PRKCA),
G alpha (z) signalling events,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ); p(HGNC:PRKCA),
Depolymerization of the Nuclear Lamina,,p(HGNC:PRKCA),
HuR (ELAVL1) binds and stabilizes mRNA,,p(HGNC:XPO1); p(HGNC:PRKCD); p(HGNC:PRKCA),
WNT5A-dependent internalization of FZD4,,p(HGNC:PRKCA),
RHO GTPases Activate NADPH Oxidases,,p(HGNC:PRKCD); p(HGNC:PRKCA),
Response to elevated platelet cytosolic Ca2+,,p(HGNC:PRKCA),
RET signaling,,p(HGNC:RET); p(HGNC:PRKCA),
ROBO receptors bind AKAP5,,p(HGNC:PRKCA),
Transcription of E2F targets under negative control by DREAM complex,,p(HGNC:TOP2A),
SUMOylation of DNA replication proteins,,p(HGNC:TOP2A); p(HGNC:TOP2B),
Activation of BAD and translocation to mitochondria,,p(HGNC:BCL2),
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,p(HGNC:BCL2),
The NLRP1 inflammasome,,p(HGNC:BCL2),
Estrogen-dependent gene expression,,p(HGNC:BCL2),
NFE2L2 regulating tumorigenic genes,,p(HGNC:BCL2),
Regulation of MITF-M-dependent genes involved in apoptosis,,p(HGNC:BCL2),
Platelet degranulation,,p(HGNC:PPIA),
Uncoating of the HIV Virion,,p(HGNC:PPIA),
Budding and maturation of HIV virion,,p(HGNC:PPIA),
Integration of provirus,,p(HGNC:PPIA),
Early Phase of HIV Life Cycle,,p(HGNC:PPIA),
Minus-strand DNA synthesis,,p(HGNC:PPIA),
Plus-strand DNA synthesis,,p(HGNC:PPIA),
Binding and entry of HIV virion,,p(HGNC:PPIA),
Assembly Of The HIV Virion,,p(HGNC:PPIA),
APOBEC3G mediated resistance to HIV-1 infection,,p(HGNC:PPIA),
Basigin interactions,,p(HGNC:PPIA),
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,,p(HGNC:PPIA),
Apoptotic cleavage of cellular proteins,,p(HGNC:FNTA); p(HGNC:PRKCD); p(HGNC:PRKCQ),
RAS processing,,p(HGNC:FNTA); p(HGNC:PRKCQ),
Signaling by ALK,,p(HGNC:ALK); p(HGNC:JAK3),
Sema4D mediated inhibition of cell attachment and migration,,p(HGNC:MET),
MET Receptor Activation,,p(HGNC:MET),
Negative regulation of MET activity,,p(HGNC:MET),
MET activates RAS signaling,,p(HGNC:MET),
MET activates PI3K/AKT signaling,,p(HGNC:MET),
MET activates PTPN11,,p(HGNC:MET),
MET activates PTK2 signaling,,p(HGNC:MET),
InlB-mediated entry of Listeria monocytogenes into host cell,,p(HGNC:MET),
MET interacts with TNS proteins,,p(HGNC:MET),
MET activates RAP1 and RAC1,,p(HGNC:MET),
MET receptor recycling,,p(HGNC:MET),
MET activates STAT3,,p(HGNC:MET),
MECP2 regulates neuronal receptors and channels,,p(HGNC:OPRM1); p(HGNC:MET),
Drug-mediated inhibition of MET activation,,p(HGNC:MET),
Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,,p(HGNC:MET),
Effects of PIP2 hydrolysis,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ),
FCERI mediated NF-kB activation,,p(HGNC:LYN); p(HGNC:PRKCQ),
Netrin-1 signaling,,p(HGNC:PRKCQ),
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,,p(HGNC:PRKCQ),
Transcriptional regulation of testis differentiation,,p(HGNC:WT1),
Nephron development,,p(HGNC:WT1),
Stimuli-sensing channels,,p(HGNC:RAF1),
Rap1 signalling,,p(HGNC:RAF1),
GP1b-IX-V activation signalling,,p(HGNC:RAF1),
CD209 (DC-SIGN) signaling,,p(HGNC:RAF1); p(HGNC:LYN),
Regulation of actin dynamics for phagocytic cup formation,,p(HGNC:ABL1); p(HGNC:SYK),
Role of ABL in ROBO-SLIT signaling,,p(HGNC:ABL1),
Myogenesis,,p(HGNC:ABL1),
RHO GTPases Activate WASPs and WAVEs,,p(HGNC:ABL1),
HDR through Single Strand Annealing (SSA),,p(HGNC:ABL1),
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,p(HGNC:TP53); p(HGNC:ABL1),
Cyclin D associated events in G1,,p(HGNC:ABL1); p(HGNC:JAK2); p(HGNC:PTK6); p(HGNC:LYN),
RUNX1 regulates transcription of genes involved in differentiation of HSCs,,p(HGNC:ABL1),
RUNX2 regulates osteoblast differentiation,,p(HGNC:ABL1),
FCGR3A-mediated phagocytosis,,p(HGNC:ABL1); p(HGNC:SYK); p(HGNC:LYN),
Factors involved in megakaryocyte development and platelet production,,p(HGNC:TP53); p(HGNC:ABL1); p(HGNC:JAK2),
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,,p(HGNC:ABL1),
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",,p(HGNC:ABL1),
Dasatinib-resistant KIT mutants,,p(HGNC:KIT),
Imatinib-resistant KIT mutants,,p(HGNC:KIT),
KIT mutants bind TKIs,,p(HGNC:KIT),
Masitinib-resistant KIT mutants,,p(HGNC:KIT),
Nilotinib-resistant KIT mutants,,p(HGNC:KIT),
Regorafenib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by kinase domain mutants of KIT,,p(HGNC:KIT),
Sunitinib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by juxtamembrane domain KIT mutants,,p(HGNC:KIT),
Sorafenib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by extracellular domain mutants of KIT,,p(HGNC:KIT),
Transcriptional and post-translational regulation of MITF-M expression and activity,,p(HGNC:XPO1); p(HGNC:KIT),
Downstream signal transduction,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Signaling by PDGF,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",,p(HGNC:PDGFRA),
Signaling by PDGFRA extracellular domain mutants,,p(HGNC:PDGFRA),
Imatinib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Sunitinib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Regorafenib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Sorafenib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
PDGFR mutants bind TKIs,,p(HGNC:PDGFRA),
FCGR activation,,p(HGNC:SYK); p(HGNC:LYN),
Role of phospholipids in phagocytosis,,p(HGNC:SYK); p(HGNC:PRKCD); p(HGNC:PRKCE),
Fc epsilon receptor (FCERI) signaling,,p(HGNC:SYK); p(HGNC:LYN),
Role of LAT2/NTAL/LAB on calcium mobilization,,p(HGNC:SYK); p(HGNC:LYN),
FCERI mediated MAPK activation,,p(HGNC:SYK); p(HGNC:LYN),
FCERI mediated Ca+2 mobilization,,p(HGNC:SYK); p(HGNC:LYN),
Integrin signaling,,p(HGNC:SYK),
CLEC7A (Dectin-1) signaling,,p(HGNC:SYK); p(HGNC:PRKCD),
Dectin-2 family,,p(HGNC:SYK); p(HGNC:LYN),
Regulation of signaling by CBL,,p(HGNC:SYK); p(HGNC:LYN),
FCGR3A-mediated IL10 synthesis,,p(HGNC:SYK); p(HGNC:LYN),
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,,p(HGNC:SYK); p(HGNC:LYN),
Azathioprine ADME,,p(HGNC:IMPDH1),
DAG and IP3 signaling,,p(HGNC:PRKCD); p(HGNC:PRKCE),
SUMOylation of intracellular receptors,,p(HGNC:NR3C1); p(HGNC:RARA),
TGFBR3 expression,,p(HGNC:RARA),
Cell surface interactions at the vascular wall,,p(HGNC:SELE); p(HGNC:LYN),
Inhibition of replication initiation of damaged DNA by RB1/E2F1,,p(HGNC:POLA1),
Polymerase switching on the C-strand of the telomere,,p(HGNC:POLA1),
Telomere C-strand synthesis initiation,,p(HGNC:POLA1),
DNA replication initiation,,p(HGNC:POLA1),
Activation of the pre-replicative complex,,p(HGNC:POLA1),
Polymerase switching,,p(HGNC:POLA1),
Removal of the Flap Intermediate,,p(HGNC:POLA1),
Processive synthesis on the lagging strand,,p(HGNC:POLA1),
G1/S-Specific Transcription,,p(HGNC:DHFR); p(HGNC:POLA1),
Defective pyroptosis,,p(HGNC:POLA1); p(HGNC:DNMT3A); p(HGNC:DNMT1),
Peptide chain elongation,,p(HGNC:EEF2),
Uptake and function of diphtheria toxin,,p(HGNC:EEF2),
Synthesis of diphthamide-EEF2,,p(HGNC:EEF2),
Protein methylation,,p(HGNC:EEF2),
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,,p(HGNC:NR3C1); p(HGNC:TUBB4B),
Circadian Clock,,p(HGNC:NR3C1),
PTK6 Expression,,p(HGNC:NR3C1); p(HGNC:PTK6),
Regulation of RUNX2 expression and activity,,p(HGNC:NR3C1),
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",,p(HGNC:NR3C1),
Regulation of NPAS4 gene transcription,,p(HGNC:NR3C1),
Sphingolipid de novo biosynthesis,,p(HGNC:PRKD3),
ALK mutants bind TKIs,,p(HGNC:ALK),
ASP-3026-resistant ALK mutants,,p(HGNC:ALK),
NVP-TAE684-resistant ALK mutants,,p(HGNC:ALK),
alectinib-resistant ALK mutants,,p(HGNC:ALK),
brigatinib-resistant ALK mutants,,p(HGNC:ALK),
ceritinib-resistant ALK mutants,,p(HGNC:ALK),
crizotinib-resistant ALK mutants,,p(HGNC:ALK),
lorlatinib-resistant ALK mutants,,p(HGNC:ALK),
Signaling by ALK fusions and activated point mutants,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:ALK),
MDK and PTN in ALK signaling,,p(HGNC:ALK),
KEAP1-NFE2L2 pathway,,p(HGNC:PRKCD),
PI3K Cascade,,p(HGNC:FLT3),
FLT3 Signaling,,p(HGNC:FLT3),
STAT5 Activation,,p(HGNC:FLT3),
FLT3 mutants bind TKIs,,p(HGNC:FLT3),
STAT5 activation downstream of FLT3 ITD mutants,,p(HGNC:FLT3),
KW2449-resistant FLT3 mutants,,p(HGNC:FLT3),
semaxanib-resistant FLT3 mutants,,p(HGNC:FLT3),
crenolanib-resistant FLT3 mutants,,p(HGNC:FLT3),
gilteritinib-resistant FLT3 mutants,,p(HGNC:FLT3),
lestaurtinib-resistant FLT3 mutants,,p(HGNC:FLT3),
midostaurin-resistant FLT3 mutants,,p(HGNC:FLT3),
pexidartinib-resistant FLT3 mutants,,p(HGNC:FLT3),
ponatinib-resistant FLT3 mutants,,p(HGNC:FLT3),
quizartinib-resistant FLT3 mutants,,p(HGNC:FLT3),
sorafenib-resistant FLT3 mutants,,p(HGNC:FLT3),
sunitinib-resistant FLT3 mutants,,p(HGNC:FLT3),
tandutinib-resistant FLT3 mutants,,p(HGNC:FLT3),
linifanib-resistant FLT3 mutants,,p(HGNC:FLT3),
tamatinib-resistant FLT3 mutants,,p(HGNC:FLT3),
Signaling by FLT3 ITD and TKD mutants,,p(HGNC:FLT3),
Negative regulation of FLT3,,p(HGNC:FLT3),
FLT3 signaling by CBL mutants,,p(HGNC:FLT3),
NOTCH4 Intracellular Domain Regulates Transcription,,p(HGNC:FLT4),
AKT phosphorylates targets in the cytosol,,p(HGNC:MDM2),
Oxidative Stress Induced Senescence,,p(HGNC:TP53); p(HGNC:MDM2),
Oncogene Induced Senescence,,p(HGNC:TP53); p(HGNC:MDM2),
SUMOylation of transcription factors,,p(HGNC:TP53); p(HGNC:MDM2),
SUMOylation of ubiquitinylation proteins,,p(HGNC:MDM2),
Trafficking of AMPA receptors,,p(HGNC:MDM2),
Constitutive Signaling by AKT1 E17K in Cancer,,p(HGNC:MDM2),
Ub-specific processing proteases,,p(HGNC:TP53); p(HGNC:MDM2),
Regulation of TP53 Activity through Phosphorylation,,p(HGNC:TP53); p(HGNC:MDM2),
