name,url,associated_proteins,associated_drugs
Mitotic Prometaphase,,p(HGNC:XPO1); p(HGNC:TUBB4B),
The role of GTSE1 in G2/M progression after G2 checkpoint,,p(HGNC:TP53); p(HGNC:TUBB4B),
AURKA Activation by TPX2,,p(HGNC:TUBB4B),
Carboxyterminal post-translational modifications of tubulin,,p(HGNC:TUBB4B),
Assembly and cell surface presentation of NMDA receptors,,p(HGNC:TUBB4B),
Activation of AMPK downstream of NMDARs,,p(HGNC:TUBB4B),
Aggrephagy,,p(HGNC:TUBB4B),
EML4 and NUDC in mitotic spindle formation,,p(HGNC:XPO1); p(HGNC:TUBB4B),
Sealing of the nuclear envelope (NE) by ESCRT-III,,p(HGNC:TUBB4B),
Kinesins,,p(HGNC:TUBB4B),
PKR-mediated signaling,,p(HGNC:TP53); p(HGNC:TUBB4B),
Opioid Signalling,,p(HGNC:OPRM1),
G-protein activation,,p(HGNC:OPRM1),
Peptide ligand-binding receptors,,p(HGNC:OPRM1),
G alpha (i) signalling events,,p(HGNC:OPRM1),
Prolactin receptor signaling,,p(HGNC:JAK2),
Signaling by Leptin,,p(HGNC:JAK2),
RMTs methylate histone arginines,,p(HGNC:DNMT3A); p(HGNC:JAK2),
Signaling by Erythropoietin,,p(HGNC:JAK2); p(HGNC:LYN),
Interleukin-23 signaling,,p(HGNC:JAK2),
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),,p(HGNC:JAK2); p(HGNC:LYN),
Erythropoietin activates Phospholipase C gamma (PLCG),,p(HGNC:JAK2); p(HGNC:LYN),
Erythropoietin activates STAT5,,p(HGNC:JAK2); p(HGNC:LYN),
Erythropoietin activates RAS,,p(HGNC:JAK2); p(HGNC:LYN),
Growth hormone receptor signaling,,p(HGNC:JAK2); p(HGNC:LYN),
Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),,p(HGNC:DNMT3A),
Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal,,p(HGNC:XPO1),
Rev-mediated nuclear export of HIV RNA,,p(HGNC:XPO1),
NEP/NS2 Interacts with the Cellular Export Machinery,,p(HGNC:XPO1),
Downregulation of TGF-beta receptor signaling,,p(HGNC:XPO1),
Deactivation of the beta-catenin transactivating complex,,p(HGNC:XPO1),
MAPK6/MAPK4 signaling,,p(HGNC:XPO1),
Cyclin A/B1/B2 associated events during G2/M transition,,p(HGNC:XPO1),
Heme signaling,,p(HGNC:XPO1),
Maturation of hRSV A proteins,,p(HGNC:XPO1),
SCF(Skp2)-mediated degradation of p27/p21,,p(HGNC:PTK6),
PTK6 Regulates Proteins Involved in RNA Processing,,p(HGNC:PTK6),
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,,p(HGNC:PTK6),
PTK6 Regulates Cell Cycle,,p(HGNC:PTK6),
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",,p(HGNC:PTK6),
PTK6 Down-Regulation,,p(HGNC:PTK6),
PTK6 Activates STAT3,,p(HGNC:PTK6),
Cytoprotection by HMOX1,,p(HGNC:PTK6),
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",,p(HGNC:DHFR),
Metabolism of folate and pterines,,p(HGNC:DHFR),
Activation of NOXA and translocation to mitochondria,,p(HGNC:TP53),
Activation of PUMA and translocation to mitochondria,,p(HGNC:TP53),
Pre-NOTCH Transcription and Translation,,p(HGNC:TP53),
Formation of Senescence-Associated Heterochromatin Foci (SAHF),,p(HGNC:TP53),
DNA Damage/Telomere Stress Induced Senescence,,p(HGNC:TP53),
Autodegradation of the E3 ubiquitin ligase COP1,,p(HGNC:TP53),
Association of TriC/CCT with target proteins during biosynthesis,,p(HGNC:TP53),
Pyroptosis,,p(HGNC:TP53),
TP53 Regulates Metabolic Genes,,p(HGNC:TP53),
Ovarian tumor domain proteases,,p(HGNC:TP53),
TP53 Regulates Transcription of DNA Repair Genes,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,,p(HGNC:TP53),
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,,p(HGNC:TP53),
TP53 Regulates Transcription of Caspase Activators and Caspases,,p(HGNC:TP53),
TP53 Regulates Transcription of Death Receptors and Ligands,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,,p(HGNC:TP53),
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,p(HGNC:TP53),
Regulation of TP53 Expression,,p(HGNC:TP53),
Regulation of TP53 Activity through Acetylation,,p(HGNC:TP53),
Regulation of TP53 Activity through Association with Co-factors,,p(HGNC:TP53),
PI5P Regulates TP53 Acetylation,,p(HGNC:TP53),
G2/M DNA damage checkpoint,,p(HGNC:TP53),
G2/M Checkpoints,,p(HGNC:TP53),
Transcriptional activation of cell cycle inhibitor p21,,p(HGNC:TP53),
RUNX3 regulates CDKN1A transcription,,p(HGNC:TP53),
Regulation of PTEN gene transcription,,p(HGNC:TP53),
Loss of function of TP53 in cancer due to loss of tetramerization ability,,p(HGNC:TP53),
Regulation of NF-kappa B signaling,,p(HGNC:TP53),
Zygotic genome activation (ZGA),,p(HGNC:TP53),
Abacavir transmembrane transport,,p(HGNC:ABCB1),
ABC-family proteins mediated transport,,p(HGNC:ABCB1),
Atorvastatin ADME,,p(HGNC:ABCB1),
Prednisone ADME,,p(HGNC:ABCB1),
Transcriptional activation of mitochondrial biogenesis,,p(HGNC:IDH2),
Citric acid cycle (TCA cycle),,p(HGNC:IDH2),
Mitochondrial protein degradation,,p(HGNC:IDH2),
Maturation of TCA enzymes and regulation of TCA cycle,,p(HGNC:IDH2),
EPH-Ephrin signaling,,p(HGNC:LYN),
EPHB-mediated forward signaling,,p(HGNC:LYN),
EPHA-mediated growth cone collapse,,p(HGNC:LYN),
EPH-ephrin mediated repulsion of cells,,p(HGNC:LYN),
CD22 mediated BCR regulation,,p(HGNC:LYN),
Platelet Adhesion to exposed collagen,,p(HGNC:LYN),
L13a-mediated translational silencing of Ceruloplasmin expressio,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Peptide chain elongatio,,p(HGNC:EEF2); p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
SRP-dependent cotranslational protein targeting to membran,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Viral mRNA Translatio,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Selenocysteine synthesi,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
rRNA modification in the nucleus and cytoso,,p(HGNC:RPS7); p(HGNC:NOP10); p(HGNC:DKC1); p(HGNC:NHP2),
Major pathway of rRNA processing in the nucleolus and cytoso,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Translation initiation complex formatio,,p(HGNC:RPS7); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS24); p(HGNC:RPS10),
Formation of a pool of free 40S subunit,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
"Formation of the ternary complex, and subsequently, the 43S comple",,p(HGNC:RPS7); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS24); p(HGNC:RPS10),
Ribosomal scanning and start codon recognitio,,p(HGNC:RPS7); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS24); p(HGNC:RPS10),
GTP hydrolysis and joining of the 60S ribosomal subuni,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Eukaryotic Translation Terminatio,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Regulation of expression of SLITs and ROBO,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Response of EIF2AK4 (GCN2) to amino acid deficienc,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
SARS-CoV-1 modulates host translation machiner,,p(HGNC:RPS7); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS24); p(HGNC:RPS10),
SARS-CoV-2 modulates host translation machiner,,p(HGNC:RPS7); p(HGNC:RPS28); p(HGNC:RPS27A); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPS24); p(HGNC:RPS10),
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC,,p(HGNC:RPS7); p(HGNC:RPL11); p(HGNC:RPS28); p(HGNC:RPL15); p(HGNC:RPS27A); p(HGNC:RPL27); p(HGNC:RPL36); p(HGNC:RPS29); p(HGNC:RPS19); p(HGNC:RPS17); p(HGNC:RPL23); p(HGNC:RPL26); p(HGNC:RPL5); p(HGNC:RPL35A); p(HGNC:RPS27); p(HGNC:RPS26); p(HGNC:RPL31); p(HGNC:RPS24); p(HGNC:RPS10),
PIP3 activates AKT signalin,,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:EGFR); p(HGNC:LCK); p(HGNC:NTRK3); p(HGNC:PDGFRA); p(HGNC:MET); p(HGNC:HGF); p(HGNC:PIK3CA); p(HGNC:PTPN11),
Signaling by SCF-KI,,p(HGNC:KIT); p(HGNC:LCK); p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:PRKCA); p(HGNC:STAT5B); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:STAT5A); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
Regulation of KIT signalin,,p(HGNC:KIT); p(HGNC:LCK); p(HGNC:LYN); p(HGNC:PRKCA); p(HGNC:CBL); p(HGNC:SOS1); p(HGNC:SH2B3),
Constitutive Signaling by Aberrant PI3K in Cance,,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:EGFR); p(HGNC:LCK); p(HGNC:NTRK3); p(HGNC:PDGFRA); p(HGNC:MET); p(HGNC:HGF); p(HGNC:PIK3CA); p(HGNC:PTPN11),
RAF/MAP kinase cascad,,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:IL2RA); p(HGNC:RET); p(HGNC:CSF2RA); p(HGNC:EGFR); p(HGNC:PDGFRA); p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:MET); p(HGNC:JAK1); p(HGNC:IL3RA); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:HGF); p(HGNC:IL2RB); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin",,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:EGFR); p(HGNC:LCK); p(HGNC:NTRK3); p(HGNC:PDGFRA); p(HGNC:MET); p(HGNC:HGF); p(HGNC:PIK3CA); p(HGNC:PTPN11),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptor,,p(HGNC:KIT); p(HGNC:EGFR),
Dasatinib-resistant KIT mutant,,p(HGNC:KIT),
Imatinib-resistant KIT mutant,,p(HGNC:KIT),
KIT mutants bind TKI,,p(HGNC:KIT),
Masitinib-resistant KIT mutant,,p(HGNC:KIT),
Nilotinib-resistant KIT mutant,,p(HGNC:KIT),
Regorafenib-resistant KIT mutant,,p(HGNC:KIT),
Signaling by kinase domain mutants of KI,,p(HGNC:KIT),
Sunitinib-resistant KIT mutant,,p(HGNC:KIT),
Signaling by juxtamembrane domain KIT mutant,,p(HGNC:KIT),
Sorafenib-resistant KIT mutant,,p(HGNC:KIT),
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant",,p(HGNC:KIT); p(HGNC:LCK); p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:STAT5B); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:STAT5A); p(HGNC:KRAS); p(HGNC:SOS1),
Signaling by extracellular domain mutants of KI,,p(HGNC:KIT),
Transcriptional and post-translational regulation of MITF-M expression and activit,,p(HGNC:XPO1); p(HGNC:KIT); p(HGNC:EP300); p(HGNC:CDH1),
PKMTs methylate histone lysine,,p(HGNC:NSD1); p(HGNC:SETD2); p(HGNC:KMT2D); p(HGNC:SUZ12); p(HGNC:KMT2A); p(HGNC:EZH2); p(HGNC:KMT2C),
Class B/2 (Secretin family receptors,,p(HGNC:SMO); p(HGNC:PTCH1),
Hedgehog 'off' stat,,p(HGNC:SMO); p(HGNC:TUBB4B); p(HGNC:PTCH1); p(HGNC:TUBB1); p(HGNC:TUBB3); p(HGNC:TUBB2A); p(HGNC:TUBB6); p(HGNC:TUBB2B); p(HGNC:TUBB4A),
BBSome-mediated cargo-targeting to ciliu,,p(HGNC:SMO),
Hedgehog 'on' stat,,p(HGNC:SMO); p(HGNC:PTCH1); p(HGNC:RPS27A),
Activation of SM,,p(HGNC:SMO); p(HGNC:PTCH1),
Sphingolipid de novo biosynthesi,,p(HGNC:PRKD3); p(HGNC:PRKD1),
Intra-Golgi traffi,,p(HGNC:CUX1),
Recognition of DNA damage by PCNA-containing replication comple,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:POLD3),
Polymerase switching on the C-strand of the telomer,,p(HGNC:POLA1); p(HGNC:POLD1); p(HGNC:CTC1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:PRIM2); p(HGNC:TINF2); p(HGNC:ACD); p(HGNC:STN1); p(HGNC:POLD3),
Processive synthesis on the C-strand of the telomer,,p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:TINF2); p(HGNC:ACD); p(HGNC:POLD3); p(HGNC:BLM),
Telomere C-strand (Lagging Strand) Synthesi,,p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:TINF2); p(HGNC:ACD); p(HGNC:POLD3),
Removal of the Flap Intermediate from the C-stran,,p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:TINF2); p(HGNC:ACD); p(HGNC:POLD3),
Cytosolic iron-sulfur cluster assembl,,p(HGNC:POLD1); p(HGNC:RTEL1),
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha,,p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:POLD3),
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta,,p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:POLD3),
PCNA-Dependent Long Patch Base Excision Repai,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:POLD3),
Termination of translesion DNA synthesi,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:POLD3),
HDR through Homologous Recombination (HRR,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:XRCC2); p(HGNC:ATM); p(HGNC:PALB2); p(HGNC:POLD3); p(HGNC:BLM),
Gap-filling DNA repair synthesis and ligation in GG-NE,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:POLD3),
Dual Incision in GG-NE,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:ERCC4); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:POLD3),
Dual incision in TC-NE,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:ERCC4); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:POLD3),
Gap-filling DNA repair synthesis and ligation in TC-NE,,p(HGNC:POLD1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:POLD4); p(HGNC:RPS27A); p(HGNC:POLD2); p(HGNC:POLD3),
Polymerase switchin,,p(HGNC:POLA1); p(HGNC:POLD1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:PRIM2); p(HGNC:POLD3),
Removal of the Flap Intermediat,,p(HGNC:POLA1); p(HGNC:POLD1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:PRIM2); p(HGNC:POLD3),
Processive synthesis on the lagging stran,,p(HGNC:POLA1); p(HGNC:POLD1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:POLD2); p(HGNC:PRIM2); p(HGNC:POLD3),
DNA replication initiatio,,p(HGNC:POLA1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:POLE); p(HGNC:PRIM2),
Activation of the pre-replicative comple,,p(HGNC:POLA1); p(HGNC:POLE3); p(HGNC:POLE2); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:POLE); p(HGNC:PRIM2),
Telomere C-strand synthesis initiatio,,p(HGNC:POLA1); p(HGNC:CTC1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:PRIM2); p(HGNC:TINF2); p(HGNC:ACD); p(HGNC:STN1),
"TET1,2,3 and TDG demethylate DN",,p(HGNC:TET1); p(HGNC:TET2),
Resolution of D-loop Structures through Holliday Junction Intermediate,,p(HGNC:SLX4); p(HGNC:XRCC2); p(HGNC:ATM); p(HGNC:PALB2); p(HGNC:BLM),
Fanconi Anemia Pathwa,,p(HGNC:SLX4); p(HGNC:FANCF); p(HGNC:ERCC4); p(HGNC:FANCD2); p(HGNC:FANCI); p(HGNC:RPS27A); p(HGNC:FANCB); p(HGNC:FANCG); p(HGNC:FANCE); p(HGNC:UBE2T); p(HGNC:FANCC); p(HGNC:FANCA); p(HGNC:FANCL),
PRC2 methylates histones and DN,,p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:SUZ12); p(HGNC:EZH2),
NoRC negatively regulates rRNA expressio,,p(HGNC:DNMT1),
SUMOylation of DNA methylation protein,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
DNA methylatio,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
STAT3 nuclear events downstream of ALK signalin,,p(HGNC:DNMT1); p(HGNC:EP300),
Defective pyroptosi,,p(HGNC:POLA1); p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:SUZ12); p(HGNC:PRIM2); p(HGNC:EZH2),
Nuclear events stimulated by ALK signaling in cance,,p(HGNC:DNMT1); p(HGNC:NPM1); p(HGNC:IRF4); p(HGNC:STAT5A); p(HGNC:RB1),
Interleukin-6 signalin,,p(HGNC:JAK2); p(HGNC:JAK1); p(HGNC:CBL); p(HGNC:PTPN11),
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variant,,p(HGNC:EGFR); p(HGNC:CBL); p(HGNC:NRAS); p(HGNC:RPS27A); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
Spry regulation of FGF signalin,,p(HGNC:BRAF); p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PTPN11),
EGFR downregulatio,,p(HGNC:EGFR); p(HGNC:CBL); p(HGNC:RPS27A),
TGF-beta receptor signaling activates SMAD,,p(HGNC:FKBP1A); p(HGNC:CBL),
Constitutive Signaling by EGFRvII,,p(HGNC:EGFR); p(HGNC:CBL); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
Negative regulation of FGFR1 signalin,,p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PTPN11),
Negative regulation of FGFR2 signalin,,p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PTPN11),
Negative regulation of FGFR3 signalin,,p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PTPN11),
Negative regulation of FGFR4 signalin,,p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PTPN11),
Negative regulation of MET activit,,p(HGNC:MET); p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:HGF),
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK,,p(HGNC:PTK6); p(HGNC:CBL); p(HGNC:RPS27A),
Cargo recognition for clathrin-mediated endocytosi,,p(HGNC:EGFR); p(HGNC:CBL); p(HGNC:RPS27A),
Clathrin-mediated endocytosi,,p(HGNC:EGFR); p(HGNC:CBL); p(HGNC:RPS27A),
InlB-mediated entry of Listeria monocytogenes into host cel,,p(HGNC:MET); p(HGNC:CBL); p(HGNC:RPS27A),
Regulation of signaling by CB,,p(HGNC:SYK); p(HGNC:LYN); p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PIK3CA),
Signaling by CSF1 (M-CSF) in myeloid cell,,p(HGNC:CSF1R); p(HGNC:LYN); p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:PIK3CA); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
Negative regulation of FLT,,p(HGNC:FLT3); p(HGNC:CBL); p(HGNC:RPS27A); p(HGNC:SH2B3),
FLT3 signaling by CBL mutant,,p(HGNC:FLT3); p(HGNC:CBL); p(HGNC:RPS27A),
Ligand-receptor interaction,,p(HGNC:PTCH1),
RUNX1 regulates transcription of genes involved in differentiation of HSC,,p(HGNC:ABL1); p(HGNC:MYB); p(HGNC:KMT2A); p(HGNC:RPS27A); p(HGNC:GATA2); p(HGNC:RUNX1); p(HGNC:GATA1); p(HGNC:TCF3),
Estrogen-dependent gene expressio,,p(HGNC:BCL2); p(HGNC:MYB); p(HGNC:EP300); p(HGNC:STAG2); p(HGNC:RAD21); p(HGNC:RUNX1),
Transcriptional regulation of granulopoiesi,,p(HGNC:CSF3R); p(HGNC:RARA); p(HGNC:MYB); p(HGNC:EP300); p(HGNC:KMT2A); p(HGNC:GATA2); p(HGNC:RUNX1); p(HGNC:CEBPA),
