chembl_id,drug_name,smiles,in_protein_list,in_pathway_list,in_moa_list,n_targets,n_pathways,n_moas,targets_list,pathway_ids_list,pathway_names_list,moa_list,preferred_name,targets,mechanisms,is_known_aml_drug_in_kg
CHEMBL3833344,GANCOTAMAB,,True,True,False,1,2,0,TOP2A,R-HSA-1362277;R-HSA-4615885,SUMOylation of DNA replication protein;SUMOylation of DNA replication proteins;Transcription of E2F targets under negative control by DREAM comple;Transcription of E2F targets under negative control by DREAM complex,,,,,False
CHEMBL2103796,BERUBICIN HYDROCHLORIDE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](OCc2ccccc2)[C@H](C)O1.Cl,True,True,False,1,2,0,TOP2A,R-HSA-1362277;R-HSA-4615885,SUMOylation of DNA replication protein;SUMOylation of DNA replication proteins;Transcription of E2F targets under negative control by DREAM comple;Transcription of E2F targets under negative control by DREAM complex,,,,,False
CHEMBL4279047,VORASIDENIB,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,True,True,False,2,10,0,IDH1;IDH2,R-HSA-1268020;R-HSA-2151201;R-HSA-2978092;R-HSA-389542;R-HSA-6798695;R-HSA-71403;R-HSA-9033241;R-HSA-9818025;R-HSA-9837999;R-HSA-9854311,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarat;Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate;Citric acid cycle (TCA cycle;Citric acid cycle (TCA cycle);Maturation of TCA enzymes and regulation of TCA cycl;Maturation of TCA enzymes and regulation of TCA cycle;Mitochondrial protein degradatio;Mitochondrial protein degradation;NADPH regeneratio;NADPH regeneration;NFE2L2 regulating TCA cycle gene;NFE2L2 regulating TCA cycle genes;Neutrophil degranulatio;Neutrophil degranulation;Peroxisomal protein impor;Peroxisomal protein import;Transcriptional activation of mitochondrial biogenesi;Transcriptional activation of mitochondrial biogenesis,,,,,False
CHEMBL4167360,IDH305,Cc1cc([C@H](C)Nc2nccc(N3C(=O)OC[C@@H]3[C@@H](C)F)n2)ncc1-c1ccnc(C(F)(F)F)c1,True,True,False,1,5,0,IDH1,R-HSA-2978092;R-HSA-389542;R-HSA-6798695;R-HSA-9033241;R-HSA-9818025,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarat;Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate;NADPH regeneratio;NADPH regeneration;NFE2L2 regulating TCA cycle gene;NFE2L2 regulating TCA cycle genes;Neutrophil degranulatio;Neutrophil degranulation;Peroxisomal protein impor;Peroxisomal protein import,,,,,False
CHEMBL4651002,SAFUSIDENIB,Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12,True,True,False,1,5,0,IDH1,R-HSA-2978092;R-HSA-389542;R-HSA-6798695;R-HSA-9033241;R-HSA-9818025,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarat;Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate;NADPH regeneratio;NADPH regeneration;NFE2L2 regulating TCA cycle gene;NFE2L2 regulating TCA cycle genes;Neutrophil degranulatio;Neutrophil degranulation;Peroxisomal protein impor;Peroxisomal protein import,,,,,False
CHEMBL4650282,DS-1001B,CC(C)(C)N.Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12,True,True,False,1,5,0,IDH1,R-HSA-2978092;R-HSA-389542;R-HSA-6798695;R-HSA-9033241;R-HSA-9818025,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarat;Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate;NADPH regeneratio;NADPH regeneration;NFE2L2 regulating TCA cycle gene;NFE2L2 regulating TCA cycle genes;Neutrophil degranulatio;Neutrophil degranulation;Peroxisomal protein impor;Peroxisomal protein import,,,,,False
CHEMBL4206033,BAY1436032,C[C@H]1C[C@@H](n2c(Nc3ccc(OC(F)(F)F)cc3)nc3cc(CCC(=O)O)ccc32)CC(C)(C)C1,True,True,False,1,5,0,IDH1,R-HSA-2978092;R-HSA-389542;R-HSA-6798695;R-HSA-9033241;R-HSA-9818025,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarat;Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate;NADPH regeneratio;NADPH regeneration;NFE2L2 regulating TCA cycle gene;NFE2L2 regulating TCA cycle genes;Neutrophil degranulatio;Neutrophil degranulation;Peroxisomal protein impor;Peroxisomal protein import,,,,,False
CHEMBL2105737,SONIDEGIB,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL473417,VISMODEGIB,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL3137317,SONIDEGIB PHOSPHATE,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1.O=P(O)(O)O.O=P(O)(O)O,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
