batch_ID,compound_name,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,HIT_antiviral_AB_Y/N,MOA_clue_METADATA,Target_clue_METADATA,Pubchem_IsomericSMILES,Pubchem_CID
BJ1896469,CU-CPT-4a,N,N,N,toll-like receptor inhibitor,TLR3,C1=CC=C(C=C1)C[C@H](C(=O)O)NC(=O)C2=C(C3=C(S2)C=C(C=C3)F)Cl,53242268
BJ1895056,diclazuril,N,N,N,antiprotozoal agent,,C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,456389
BJ1896655,A66,N,N,N,PI3K inhibitor,PIK3CA,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CSC(=N3)C(C)(C)C,42636535
BJ1896504,CHC,N,N,N,monocarboxylate transporter inhibitor,SLC16A1,C1=CC(=CC=C1/C=C(\C#N)/C(=O)O)O,5328791
BJ1894072,perfluamine,N,N,N,,,C(C(N(C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,67645
BJ1897674,cot-inhibitor-1,N,N,N,MAPK-interacting kinase inhibitor,MAP3K8,C1CCCN(CC1)CCN2C=C(N=N2)CNC3=CC4=C(C(=CN=C4C(=C3)Cl)C#N)NC5=CC(=C(C=C5)F)Cl,11584834
BJ1894475,SKF-81297,N,N,N,dopamine receptor agonist,"DRD1, DRD5",C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3,1218
BJ1898517,tanshinone-IIA,N,N,N,"anti-inflammatory agent, interleukin inhibitor","IL1B, NR1I2, TNF",CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,164676
BJ1896782,BW-180C,N,N,N,opioid receptor agonist,"OPRD1, OPRM1",C[C@@H](C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CC2=CC=C(C=C2)O)N,13019201
BJ1895406,carbimazole,N,N,N,antithyroid agent,TPO,CCOC(=O)N1C=CN(C1=S)C,31072
BJ1897097,T-5224,N,N,N,AP inhibitor,JUN,C1CCC(C1)OC2=CC(=C(C=C2)C(=O)C3=CC(=C(C=C3)OCC4=CC5=C(C=C4)C(=O)NO5)CCC(=O)O)O,23626877
BJ1897639,KML29,N,N,N,monoacylglucerol lipase inhibitor,MGLL,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC(C(F)(F)F)C(F)(F)F,71656212
BJ1894493,CL316243,N,N,N,adrenergic receptor agonist,"ADRB3, UCP1, UCP2, UCP3",C[C@H](CC1=CC2=C(C=C1)OC(O2)(C(=O)[O-])C(=O)[O-])NC[C@@H](C3=CC(=CC=C3)Cl)O,24867844
BJ1895744,Y-27152,N,N,N,potassium channel activator,KCNJ8,CC(=O)N([C@H]1[C@@H](C(OC2=C1C=C(C=C2)C#N)(C)C)O)OCC3=CC=CC=C3,6918184
BJ1897448,AVE-0991,N,N,N,angiotensin receptor agonist,MRGPRX1,CCNC(=O)NS(=O)(=O)C1=C(C=C(S1)CC(C)C)C2=CC=C(C=C2)CN3C(=C(N=C3C4=CC=CC=C4)OC)C=O,9851724
BJ1897338,SC-12267,N,N,N,dihydroorotate dehydrogenase inhibitor,IL17A,COC1=CC=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=C(CCC3)C(=O)O)F,9820008
BJ1896807,chloroxoquinoline,N,N,N,,,C1=CC2=C(C=C1Cl)NC=CC2=O,66593
BJ1895780,tetrabenazine,N,N,N,vesicular monoamine transporter inhibitor,"SLC18A1, SLC18A2",CC(C)C[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2CC1=O)OC)OC,11634155
BJ1899276,adatanserin,N,N,N,"serotonin receptor agonist, serotonin receptor antagonist","HTR1A, HTR2A",C1CN(CCN1CCNC(=O)C23CC4CC(C2)CC(C4)C3)C5=NC=CC=N5,130918
BJ1895968,PHA-665752,Y,N,N,c-Met inhibitor,MET,CC1=C(NC(=C1C(=O)N2CCC[C@@H]2CN3CCCC3)C)/C=C\4/C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O,10461815
BJ1894226,remoxipride,N,N,N,dopamine receptor antagonist,"DRD2, DRD3, DRD4, HTR2A, SIGMAR1",CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2OC)Br)OC,54477
BJ1897880,ABT-491,N,N,N,platelet activating factor receptor antagonist,PTAFR,CC1=NC2=C(N1CC3=C(C=C(C=C3)C(=O)C4=CN(C5=CC=CC(=C54)C#C)C(=O)N(C)C)F)C=CN=C2,154087
BJ1898827,sodium-ascorbate,N,N,N,,,C([C@@H]([C@@H]1C(C(C(=O)O1)O)O)O)O,13304188
BJ1897519,etifoxine,N,N,N,GABA receptor modulator,"GABRA1, GABRA2, GABRA3, GABRA5",CCN=C1NC2=C(C=C(C=C2)Cl)C(O1)(C)C3=CC=CC=C3,135413553
BJ1895394,pefloxacin,N,N,N,bacterial DNA gyrase inhibitor,TOP2A,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,51081
BJ1895837,immethridine,N,N,N,histamine receptor agonist,HRH3,C1=CN=CC=C1CC2=CN=CN2,9989505
BJ1896384,PHT-427,N,N,N,"AKT inhibitor, pyruvate dehydrogenase inhibitor","AKT2, PDPK1",CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)NC2=NN=CS2,44240850
BJ1898478,formononetin,N,N,N,alcohol dehydrogenase inhibitor,"ADH1C, SLC5A2",COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,5280378
BJ1894479,PACOCF3,N,N,N,phospholipase inhibitor,PLA2G4A,CCCCCCCCCCCCCCCC(=O)C(F)(F)F,4670
BJ1898681,CEP-33779,N,N,N,JAK inhibitor,JAK2,CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C,57336812
BJ1898806,halcinonide,N,N,N,glucocorticoid receptor agonist,NR3C1,CC1(O[C@@H]2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3([C@@]2(O1)C(=O)CCl)C)O)F)C)C,5702233
BJ1897064,istradefylline,N,N,N,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",CCN1C2=C(C(=O)N(C1=O)CC)N(C(=N2)/C=C/C3=CC(=C(C=C3)OC)OC)C,5311037
BJ1894977,mesna,N,N,N,antioxidant,,C(CS(=O)(=O)O)S,598
BJ1894808,tiabendazole,N,N,N,angiogenesis inhibitor,,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,5430
BJ1897032,narlaprevir,N,N,N,HCV inhibitor,,CCCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@@H]3[C@@H](C3(C)C)CN2C(=O)[C@H](C(C)(C)C)NC(=O)NC4(CCCCC4)CS(=O)(=O)C(C)(C)C,11857239
BJ1895342,artesunate,N,N,N,DNA synthesis inhibitor,,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,6917864
BJ1897522,ML314,N,N,N,neurotensin agonist,NTSR1,COC1=CC=CC=C1N2CCN(CC2)C3=NC(=NC4=CC(=C(C=C43)OC)OC)C5CC5,53245590
BJ1894805,tetracycline,N,N,N,bacterial 30S ribosomal subunit inhibitor,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(C(=O)[C@]3(C(=O)C2C(=O)C4=C1C=CC=C4O)O)C(=O)N)N(C)C)O,54091660
BJ1896811,parethoxycaine,N,N,N,local anesthetic,,CCOC1=CC=C(C=C1)C(=O)OCCN(C)C,948717
BJ1896513,BIO-5192,N,N,N,integrin inhibitor,"ITGA4, ITGB1",CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)NCC[C@@H](C(=O)O)NC(=O)[C@@H]3CCCN3S(=O)(=O)C4=CC(=CC(=C4)Cl)Cl,10350459
BJ1898545,curcumol,N,N,N,JAK inhibitor,"JAK1, JAK2, JAK3",C[C@H]1CC[C@@H]2[C@]13C[C@H]([C@](O3)(CC2=C)O)C(C)C,14240392
BJ1895594,Ro-25-6981,N,N,N,"glutamate receptor antagonist, monamine transporter modulator",GRIN2B,C[C@@H](CN1CCC(CC1)CC2=CC=CC=C2)[C@H](C3=CC=C(C=C3)O)O,6604887
BJ1894605,disopyramide,N,N,N,sodium channel blocker,"CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2, SCN5A",CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,3114
BJ1894048,beta-CCB,N,N,N,benzodiazepine receptor ligand,"GABRA1, GABRG2",CCCCOC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,128618
BJ1894215,BD-1063,N,N,N,sigma receptor antagonist,SIGMAR1,CN1CCN(CC1)CCC2=CC(=C(C=C2)Cl)Cl,574780
BJ1897225,epigallocatechin-gallate-(-),N,N,N,bacterial DNA gyrase inhibitor,"ELANE, EP300, FASN, KAT2B, MMP14, MMP2",C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,65064
BJ1898329,darunavir,N,N,N,HIV protease inhibitor,CYP3A4,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,213039
BJ1898104,cytochlor,N,N,N,,,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)Cl)CO)O,100802
BJ1897141,LX7101,N,N,N,"LIM kinase inhibitor, rho associated kinase inhibitor","LIMK2, ROCK1, ROCK2",CC1=CNC2=C1C(=NC=N2)N3CCC(CC3)(CN)C(=O)NC4=CC(=CC=C4)OC(=O)N(C)C,56962369
BJ1897393,sacubitril,N,N,N,neprilysin inhibitor,MME,CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)[O-],153689933
BJ1894912,flufenamic-acid,N,N,N,chloride channel blocker,"AKR1C3, ANO1, AR, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3, PKD2L1, PTGS1, PTGS2, TRPC5, TRPM2, TRPM5",C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,3371
BJ1895344,CEFTIOFUR HYDROCHLORIDE,N,N,N,,,CO/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,5484735
BJ1899103,drotaverine,N,N,N,phosphodiesterase inhibitor,,CCOC1=C(C=C(C=C1)/C=C/2\C3=CC(=C(C=C3CCN2)OCC)OCC)OCC,6437862
BJ1894820,trifluoperazine,N,N,N,dopamine receptor antagonist,"ADRA1A, CALM1, CALY, DRD2, DRD4, HRH1, HTR2A, HTR2C, S100A4, TNNC1",CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,5566
BJ1897812,ginsenoside-RE3,N,N,N,"angiogenesis inhibitor, apoptosis stimulant",KCNH2,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O)C,9918693
BJ1894302,IB-MECA,N,N,N,adenosine receptor agonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)NCC4=CC(=CC=C4)I)O)O,123683
BJ1894205,GR46611,N,N,N,serotonin receptor agonist,HTR1D,CN(C)CCC1=CNC2=C1C=C(C=C2)/C=C/C(=O)NCC3=CC=C(C=C3)OC,6160690
BJ1898464,amygdalin,N,N,N,caspase activator,CASP3,C1=CC=C(C=C1)[C@H](C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,656516
BJ1894627,ethionamide,N,N,N,mycolic synthesis inhibitor,,CCC1=NC=CC(=C1)C(=S)N,2761171
BJ1897490,forodesine,N,N,N,purinergic receptor antagonist,PNP,C1=C(C2=C(N1)C(=O)NC=N2)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O,135409409
BJ1894667,iodoquinol,N,N,N,antiseptic,,C1=CC2=C(C(=C(C=C2I)I)O)N=C1,3728
BJ1897212,VCH-916,N,N,N,HCV inhibitor,,0,0
BJ1896863,SM-164,N,N,N,XIAP inhibitor,"BIRC2, BIRC3, XIAP",0,0
BJ1894774,quinidine,N,N,N,sodium channel blocker,"KCNA5, KCNA7, KCNH1, KCNH2, KCNH5, KCNK1, KCNK6, SCN5A, SLC29A4",COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,441074
BJ1898078,isoflupredone-acetate,N,N,N,,NR3C1,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O,224246
BJ1898788,sodium-picosulfate,N,N,N,,,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O,5243
BJ1898339,emtricitabine,N,N,N,nucleoside reverse transcriptase inhibitor,,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,60877
BJ1896484,OXF-BD-02,N,N,N,bromodomain inhibitor,BRD4,CC1=C(C(=NO1)C)C2=CC(=CC(=C2)O)C(C3=CC=CC=C3)O,56929801
BJ1898010,moracizine,N,N,N,sodium channel blocker,SCN5A,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN4CCOCC4,34633
BJ1897616,filgotinib,N,N,N,JAK inhibitor,"JAK1, JAK2, JAK3, TYK2",C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,49831257
BJ1896221,NIDA-41020,N,N,N,cannabinoid receptor antagonist,CNR1,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)OC,11037861
BJ1894946,ritodrine,N,N,N,adrenergic receptor agonist,,C[C@H]([C@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O,688570
BJ1895108,pipenzolate,N,N,N,cholinergic receptor antagonist,CHRM1,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,4832
BJ1895426,cetirizine,N,N,N,histamine receptor antagonist,HRH1,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,2678
BJ1896316,FH-535,N,N,N,"PPAR receptor antagonist, WNT signaling inhibitor","PPARD, PPARG",CC1=C(C=CC(=C1)[N+](=O)[O-])NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl,3463933
BJ1898623,RS-127445,N,N,N,serotonin receptor antagonist,"HTR2A, HTR2B, HTR2C",CC(C)C1=NC(=NC(=C1)C2=CC=C(C3=CC=CC=C32)F)N,196968
BJ1896478,SN-2,N,N,N,transient receptor potential channel agonist,MCOLN3,CC1=CC(=C(C(=C1)C)C2=NOC3C2C4CCC3C4)C,11834987
BJ1897136,ON123300,N,N,N,CDK inhibitor,"CDK4, NUAK1, PDGFRB",CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C=C(C(=O)N(C4=N3)C5CCCC5)C#N,56649281
BJ1897422,TMC647055,N,N,N,RNA polymerase inhibitor,,CN1CCOCCN(S(=O)(=O)NC(=O)C2=CC3=C(C=C2)C(=C4N3CC(=CC5=C4C=CC(=C5)OC)C1=O)C6CCCCC6)C,44556044
BJ1894682,medroxyprogesterone-acetate,N,N,N,progesterone receptor agonist,"ESR1, PGR",C[C@H]1CC2C(CC[C@]3(C2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,5702080
BJ1895548,arsenic-trioxide,N,N,N,apoptosis stimulant,"AKT1, CCND1, IKBKB, JUN, MAPK1, MAPK3, TXNRD1",0,0
BJ1895320,donepezil,N,N,N,acetylcholinesterase inhibitor,ACHE,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,3152
BJ1895018,salicin,N,N,N,anti-inflammatory agent,,C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,439503
BJ1895559,clemizole,N,N,N,HCV inhibitor,,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl,2782
BJ1895443,benurestat,N,N,N,urease inhibitor,,C1=CC(=CC=C1C(=O)NCC(=O)NO)Cl,38000
BJ1895317,vanitiolide,N,N,N,,,COC1=C(C=CC(=C1)C(=S)N2CCOCC2)O,72146
BJ1896800,isoxepac,N,N,N,anti-inflammatory agent,,C1C2=CC=CC=C2C(=O)C3=C(O1)C=CC(=C3)CC(=O)O,41448
BJ1895698,U-0124,N,N,N,MEK inhibitor,,CS/C(=C(/C(=C(/SC)\N)/C#N)\C#N)/N,5842955
BJ1895927,PAC-1,N,N,N,caspase activator,CASP3,C=CCC1=C(C(=CC=C1)/C=N\NC(=O)CN2CCN(CC2)CC3=CC=CC=C3)O,135457726
BJ1894130,rosmarinic-acid,N,N,N,GABA transaminase inhibitor,"MCL1, TYR",C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,5281792
BJ1898659,dalcetrapib,N,N,N,cholesteryl ester transfer protein inhibitor,CETP,CCC(CC)CC1(CCCCC1)C(=O)NC2=CC=CC=C2SC(=O)C(C)C,6918540
BJ1895458,methylene-blue,N,N,N,"guanylyl cyclase inhibitor, nitric oxide production inhibitor",ACHE,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,4139
BJ1896289,ML141,N,N,N,GTPase inhibitor,CDC42,COC1=CC=C(C=C1)C2CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C4=CC=CC=C4,2950007
BJ1896832,m-3M3FBS,N,N,N,phospholipase activator,"PLCB2, PLCB3, PLCD1, PLCG1, PLCG2",CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC=CC(=C2)C(F)(F)F)C,761523
BJ1895925,zamifenacin,N,N,N,acetylcholine receptor antagonist,CHRM3,C1C[C@H](CN(C1)CCC2=CC3=C(C=C2)OCO3)OC(C4=CC=CC=C4)C5=CC=CC=C5,3086618
BJ1898177,foretinib,N,N,N,VEGFR inhibitor,"FLT1, FLT4, KDR, MET",COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,42642645
BJ1895349,glimepiride,N,N,N,insulin secretagogue,"ABCC8, KCNJ1, KCNJ11",CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,3476
BJ1897896,colfosceril-palmitate,N,N,N,pulmonary surfactant,,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,452110
BJ1899104,etafenone,N,N,N,calcium channel blocker,,CCN(CC)CCOC1=CC=CC=C1C(=O)CCC2=CC=CC=C2,3275
BJ1894870,cimetidine,N,N,N,histamine receptor antagonist,"HRH2, SLC29A4, SLC47A1, SLC47A2",CC1=C(N=CN1)CSCCNC(=NC)NC#N,2756
BJ1895568,SB-205384,N,N,N,GABA receptor modulator,"GABRA3, GABRA5, GABRA6",CC#CCOC(=O)C1=C(N=C2C(=C1N)C3=C(S2)CC(CC3)O)C,197690
BJ1897632,erdafitinib,N,N,N,FGFR inhibitor,"FGFR1, FGFR2, FGFR3, FGFR4",CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,67462786
BJ1894753,praziquantel,N,N,N,anthelmintic agent,,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,4891
BJ1898303,LY2811376,N,N,N,beta-secretase inhibitor,BACE1,C[C@]1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F,44251605
BJ1896347,DMH4,N,N,N,VEGFR inhibitor,KDR,C1COCCN1CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=CC=C5)N=C3,5329447
BJ1894003,NMDA,N,N,N,glutamate receptor agonist,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D",CN[C@H](CC(=O)O)C(=O)O,22880
BJ1897438,istaroxime,N,N,N,ATPase inhibitor,ATP1A1,C[C@]12CC/C(=N/OCCN)/C[C@@H]1C(=O)C[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,24951021
BJ1897827,adaptavir,N,N,N,CC chemokine receptor antagonist,CCR5,C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@@H](C)N)O,184644
BJ1898246,GSK1059615,N,N,N,PI3K inhibitor,PIK3CG,C1=CC2=NC=CC(=C2C=C1/C=C\3/C(=O)NC(=O)S3)C4=CC=NC=C4,23582824
BJ1895889,GW-4064,N,N,N,FXR agonist,NR1H4,CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)/C=C/C4=CC(=CC=C4)C(=O)O)Cl,9893571
BJ1898866,NVP-AEW541,Y,N,N,IGF-1 inhibitor,"IGF1R, INSR",CC1=NC(=CC=C1)CC(=O)N2CCC3=C2C=CC(=C3F)C4=CN(C5=NC=NC(=C45)N)C,53469059
BJ1895391,oxfendazole,N,N,N,anthelmintic agent,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,40854
BJ1896335,TTP-22,N,N,N,casein kinase inhibitor,CSNK2A1,CC1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SCCC(=O)O,1536915
BJ1898462,esculin,N,N,N,antioxidant,,C1=CC(=O)OC2=CC(=C(C=C21)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,5498067
BJ1895281,nilutamide,N,N,N,androgen receptor antagonist,AR,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,4493
BJ1898250,amonafide,N,N,N,topoisomerase inhibitor,"TOP2A, TOP2B",CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N,50515
BJ1895700,BTS,N,N,N,,,CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=CC=C2,95801
BJ1897095,eluxadoline,N,N,N,"opioid receptor agonist, opioid receptor antagonist","OPRD1, OPRK1, OPRM1",CC1=CC(=CC(=C1C[C@@H](C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)[C@@H](C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,11250029
BJ1898386,ivabradine,N,N,N,"HCN channel blocker, potassium channel blocker, sodium channel blocker","HCN1, HCN3, HCN4",CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@@H]3CC4=CC(=C(C=C34)OC)OC,21625941
BJ1897761,lumefantrine,N,N,N,antimalarial agent,ATP1A1,CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,6437380
BJ1896135,G-1,N,N,N,G protein-coupled receptor agonist,GPER1,CC(=O)C1=CC2=C(C=C1)N[C@H]([C@@H]3[C@H]2C=CC3)C4=CC5=C(C=C4Br)OCO5,5322399
BJ1895791,R-59022,N,N,N,"diacylglycerol kinase inhibitor, protein kinase inhibitor",DGKA,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=CC=C4)C5=CC=C(C=C5)F)CC3,3012
BJ1895419,cefditoren-pivoxil,N,N,N,bacterial cell wall synthesis inhibitor,,CC1=C(SC=N1)/C=C\C2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C,6917926
BJ1898767,entacapone,N,N,N,catechol O methyltransferase inhibitor,COMT,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,5281081
BJ1895211,orbifloxacin,N,N,N,bacterial DNA gyrase inhibitor,,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C3=C(C(=C2F)F)C(=O)C(=CN3C4CC4)C(=O)O)F,60605
BJ1896197,MRK-016,N,N,N,GABA receptor inverse agonist,"GABRA1, GABRA2, GABRA3, GABRA5",CC1=CC(=NO1)C2=NN=CC3=C(C(=NN32)OCC4=NC=NN4C)C(C)(C)C,6918583
BJ1894274,LY225910,N,N,N,CCK receptor antagonist,CCKBR,CC(C)OC1=CC=CC(=C1)N2C(=NC3=CC=CC=C3C2=O)CCC4=CNC5=C4C=C(C=C5)Br,4355450
BJ1895769,nTZDpa,N,N,N,PPAR receptor agonist,PPARG,C1=CC=C(C=C1)SC2=C(N(C3=C2C=C(C=C3)Cl)CC4=CC=C(C=C4)Cl)C(=O)O,9954280
BJ1898255,gestodene,N,N,N,contraceptive agent,,CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,3033968
BJ1896190,XAV-939,N,N,N,tankyrase inhibitor,"TNKS, TNKS2",C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,135418940
BJ1896315,A-582941,N,N,N,nicotinic receptor agonist,CHRNA7,CN1C[C@@H]2CN(C[C@@H]2C1)C3=NN=C(C=C3)C4=CC=CC=C4,44190553
BJ1898897,PYR-41,N,N,N,ubiquitin activating enzyme inhibitor,,CCOC(=O)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)[N+](=O)[O-])/C(=O)N2,5335621
BJ1894176,N-benzylnaltrindole,Y,N,N,opioid receptor antagonist,,C1CC1CN2CC[C@]34[C@@H]5C6=C(C[C@]3(C2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8N6CC9=CC=CC=C9,16758824
BJ1897481,AM095,N,N,N,lysophosphatidic acid receptor antagonist,,CC1=NOC(=C1NC(=O)O[C@H](C)C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)CC(=O)[O-],152770659
