compound_name,Concentration (nM),Inhibition of cytopathicity (%),Non_infected cell viability(%),Duplicated
3-methyl-GABA,100.0,1.28,103.1678314,0
3-methyladenine,833.33,-0.52,96.63721795,0
3-MPPI,100.0,3.13,101.5398812,0
"3,3'-dichlorobenzaldazine",1.0,2.78,99.62707243,0
"3,3'-diindolylmethane",833.33,4.76,93.37923396,0
"3,4-DCPG-(+/-)",1.0,3.57,103.520259,0
"3,4-methylenedioxy-beta-nitrostyrene",10000.0,7.29,84.31637997,0
3'-fluorobenzylspiperone,10000.0,71.66,62.92345364,0
3PO,10000.0,11.27,87.72284181,0
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,833.33,1.25,98.9440694,0
"4-acetyl-1,1-dimethylpiperazinium",833.33,1.13,96.75295581,0
4-aminohippuric-acid,833.33,0.71,100.2883489,0
4-carboxy-3-hydroxyphenylglycine-(RS),100.0,2.68,97.99887437,0
4-chlorophenylguanidine,8.33,1.22,103.426452,0
4-CMTB,833.33,1.87,96.36790726,0
4-DAMP,8.33,2.05,99.80539284,0
4-galactosyllactose,100.0,1.58,102.8744909,0
4-HQN,1.0,1.72,99.9012953,0
4-hydroxy-phenazone,100.0,4.58,103.2735848,0
4-IBP,1.0,2.1,108.9627457,0
4-iodo-6-phenylpyrimidine,833.33,1.94,104.6298608,0
4-iodo-L-phenylalanine,1.0,0.62,96.70384293,0
4-methylgenistein,10000.0,2.29,101.8131831,0
4-methylhistamine,10000.0,0.0,102.3210355,0
4-mu-8C,10000.0,6.12,100.5383676,0
4-P-PDOT,833.33,3.72,96.14694012,0
4-phenolsulfonic-acid,100.0,0.79,92.59239949,0
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",833.33,8.92,99.63762209,0
4-PPBP,100.0,2.71,101.6800774,0
4-propylbenzoic-acid,10000.0,1.58,102.718115,0
4-pyrimidinecarbonitrile,100.0,4.16,100.4011256,0
4-tert-butylphenol,10000.0,2.59,99.41755716,0
"4,4-pentamethylenepiperidine",833.33,1.32,104.0511291,0
"4,4'-DDT",8.33,4.86,105.3505271,0
"4,5,6,7-tetrabromobenzotriazole",8.33,3.75,102.5854757,0
4BP-TQS,8.33,1.37,99.12738402,0
4E1RCat,100.0,1.72,98.97337252,0
4EGI-1,1.0,4.49,97.93985984,0
4SC-202,8.33,1.05,103.7331852,0
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",833.33,0.79,106.4525623,0
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",1.0,2.96,94.91723751,0
5-aminolevulinic-acid,8.33,1.35,94.01801554,0
5-BDBD,10000.0,0.75,95.92148183,0
5-carboxamidotryptamine,833.33,15.1,97.36248235,0
5-fluoro-3-pyridyl-methanol,8.33,0.14,103.8673857,0
5-fluorouracil,8.33,1.63,95.65408861,0
5-HMF,833.33,1.28,104.9897555,0
5-hydroxymethyl-tolterodine,833.33,2.8,98.20366296,0
5-hydroxytryptophan,10000.0,2.55,95.54996149,0
5-iodo-A-85380,833.33,1.07,95.30933991,0
5-methylfurmethiodide,10000.0,0.7,99.8819293,0
5-methylhydantoin-(D),10000.0,2.36,106.085579,0
"5,7-dichlorokynurenic-acid",1.0,1.65,95.27243321,0
5'-chloro-5'-deoxy-ENBA-(+/-),833.33,3.77,91.87986884,0
6-aminochrysene,100.0,2.99,102.5287939,0
6-benzylaminopurine,1.0,0.87,97.11581477,0
6-chloromelatonin,833.33,4.57,89.93005515,0
6-diazo-5-oxo-L-norleucine,100.0,0.86,86.7758874,0
6-iodo-nordihydrocapsaicin,10000.0,2.1,104.4879796,0
"6,7-dehydro-17-acetoxy-progesterone",10000.0,7.2,98.16125105,0
7-aminocephalosporanic-acid,10000.0,3.59,98.75850396,0
7-chlorokynurenic-acid,10000.0,1.89,108.5370671,0
7-hydroxy-DPAT,8.33,2.39,105.1250223,0
7-hydroxy-PIPAT,8.33,0.14,104.0582634,0
7-keto-DHEA,100.0,7.17,94.55813816,0
7-methoxytacrine,833.33,4.86,95.43565409,0
7-nitroindazole,833.33,4.56,98.68633184,0
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",833.33,8.45,100.6859712,0
8-bromo-cAMP,1.0,2.13,100.2476759,0
8-bromo-cGMP,8.33,2.94,102.7849489,0
8-hydroxy-DPAT,8.33,1.08,94.45662886,0
8-hydroxy-PIPAT,100.0,3.63,100.0704509,0
8-M-PDOT,833.33,7.57,102.6385226,0
9-aminoacridine,8.33,1.57,104.5205086,0
9-anthracenecarboxylic-acid,8.33,2.11,97.13744752,0
A-1070722,10000.0,11.14,110.3466169,0
A-1120,1.0,3.27,100.9852352,0
A-317491,10000.0,0.42,101.5336878,0
A-33903,8.33,1.87,96.45561021,0
A-366,833.33,1.84,94.44448927,0
A-412997,10000.0,3.09,107.5374143,0
A-438079,100.0,0.71,104.2363506,0
A-582941,1.0,1.02,107.1320294,0
A-674563,833.33,4.63,65.98076967,0
A-7,100.0,2.79,95.24075018,0
A-769662,10000.0,3.92,99.0449578,0
A-784168,1.0,0.25,99.55699896,0
A-803467,1.0,1.92,94.51885212,0
A-804598,10000.0,1.97,106.7507761,0
A-839977,10000.0,1.67,100.8005541,0
A-867744,10000.0,3.3,91.19689909,0
A-887826,100.0,-0.55,100.0767643,0
A-939572,1.0,0.48,101.7698367,0
A-967079,100.0,0.55,102.2122871,0
A-987306,833.33,2.05,88.51865206,0
A12B4C3,10000.0,8.83,101.7421262,0
A205804,10000.0,4.33,98.066166,0
A61603,1.0,1.13,107.8800922,0
A66,833.33,3.32,100.6339115,0
A740003,100.0,1.99,91.12654112,0
A77636,100.0,2.31,96.02839427,0
A922500,100.0,8.11,98.74653729,0
AA-29504,10000.0,2.16,99.74661034,0
ABACAVIR SULFATE,833.33,0.84,102.4793905,0
abafungin,1.0,2.5,106.4633344,0
abamectin,10000.0,7.76,77.29755588,0
abametapir,8.33,1.76,104.2162864,0
ABC-294640,1.0,2.05,101.6062681,0
abemaciclib,10000.0,12.3,37.97114902,0
Abiraterone (CB-7598),8.33,5.09,95.19932934,0
abiraterone-acetate,8.33,0.99,101.1607428,0
ABT-202,10000.0,3.85,108.0962558,0
ABT-239,10000.0,4.34,91.84672049,0
ABT-491,100.0,0.63,97.10297541,0
ABT-639,833.33,8.06,100.4428165,0
ABT-702,833.33,-0.05,94.38556003,0
ABT-724,1.0,3.44,102.9368148,0
ABT-737,8.33,-0.39,98.61035497,0
ABT-751,8.33,4.25,98.90675389,0
AC-186,1.0,1.54,97.38481398,0
AC-261066,10000.0,2.1,90.75024664,0
AC-264613,100.0,1.69,93.95481144,0
AC-55541,10000.0,4.46,103.7590763,0
AC-55649,833.33,3.77,97.67686169,0
AC-710,8.33,-0.55,105.6274376,0
