compound_name,Concentration (nM),Inhibition of cytopathicity (%),Non_infected cell viability(%),Duplicated
chromium-picolinate,8.33,3.76,102.8046391,0
chromocarb,833.33,3.21,109.3812727,0
chrysin,8.33,0.24,101.472591,0
chrysophanic-acid,10000.0,5.09,96.10685216,0
chuanxiongzine,833.33,5.75,104.0475225,0
CI-844,1.0,2.35,100.7474255,0
CI-923,8.33,0.86,103.2164356,0
CI-966,833.33,1.77,97.8376013,0
CI-976,8.33,6.1,104.5968153,0
cianidanol,8.33,0.71,88.47307424,0
ciclopirox,8.33,1.21,100.4540011,0
cicloprofen,10000.0,4.16,101.1460488,0
CID-16020046,10000.0,5.17,100.8977771,0
CID-2011756,833.33,0.72,99.41536027,0
CID-2745687,10000.0,6.39,98.7809046,0
CID-5458317,10000.0,45.52,10.48751642,1
cidofovir,8.33,0.11,94.34390662,0
ciglitazone,10000.0,4.02,96.48214075,0
Cilastatin Sodium,8.33,3.44,101.9774022,0
cilengitide,8.33,-0.5,101.2200652,0
cilnidipine,10000.0,7.9,102.3183899,0
cilomilast,10000.0,-0.83,97.87196026,0
cilostamide,8.33,1.01,98.33855117,0
cilostazol,100.0,1.96,96.87625761,0
CIM-0216,10000.0,3.91,101.3335007,0
cimaterol,100.0,10.52,96.57575875,0
cimetidine,833.33,2.3,91.25553459,0
cinacalcet,8.33,2.9,106.1122598,0
cinaciguat,8.33,2.69,102.4598372,0
cinalukast,10000.0,1.8,96.59574435,0
cinanserin,1.0,1.46,99.42552308,0
cinchocaine,833.33,3.8,103.2843843,0
cinchonidine,100.0,4.2,105.8249214,0
cinchophen,10000.0,2.97,101.1641265,0
cinepazide,100.0,8.11,102.149112,0
cinflumide,10000.0,8.23,91.80509361,0
cinnamaldehyde,10000.0,5.38,95.86051478,0
cinnarazine,100.0,15.36,100.8617057,0
cinoxacin,1.0,0.52,91.43246077,0
CINPA-1,100.0,1.77,96.57470205,0
cinromide,833.33,2.1,101.1238439,0
cintriamide,833.33,2.97,90.2463371,0
ciprofibrate,8.33,1.09,94.44115555,0
ciprofloxacin,100.0,0.61,102.1580914,0
ciproxifan,10000.0,10.22,94.15521205,0
CIQ,833.33,2.06,94.02176859,0
cirazoline,833.33,0.87,105.5775435,0
cis-aconitic-acid,1.0,0.99,99.02141295,0
cis-ACPD,8.33,2.87,99.14655355,0
"cis-exo-camphanediol-2,3",833.33,9.96,90.1035141,0
cis-Urocanic acid,10000.0,3.52,97.80299053,0
cisapride,833.33,2.56,102.5599436,0
cisplatin,833.33,3.21,94.75032536,0
citalopram,8.33,2.68,99.42489349,0
CITCO,10000.0,0.21,104.0412348,0
citiolone,1.0,3.06,99.87277291,0
CJ-033466,833.33,3.33,96.50482324,0
CK-636,10000.0,16.0,99.33495217,0
CKD-712,1.0,1.2,102.0300468,0
CKI-7,833.33,1.19,107.1588499,0
CL-218872,8.33,3.68,102.7694295,0
CL-225385,8.33,4.15,108.3194782,0
CL316243,8.33,3.71,97.24723093,0
clarithromycin,100.0,2.36,100.587517,0
clebopride,833.33,6.56,97.59117455,0
clemastine,8.33,4.37,96.4808148,0
clemizole,8.33,-2.64,103.8382872,0
clenbuterol,100.0,1.96,97.84934371,0
cleviprex,10000.0,4.07,101.6610719,0
clevudine,1.0,3.12,105.4962755,0
clidinium,8.33,1.76,102.5156165,0
climbazole,8.33,1.03,101.0862759,0
clinafloxacin,1.0,2.47,102.1458124,0
CLINDAMYCIN HYDROCHLORIDE,1.0,0.61,95.26983383,0
Clindamycin phosphate,1.0,2.18,96.39063591,0
clindamycin-palmitate,833.33,-0.74,96.9937582,0
clinofibrate,10000.0,0.41,107.4358116,0
clioquinol,100.0,-4.78,108.3658826,0
clobenpropit,8.33,1.91,100.0890246,0
clobetasol-propionate,10000.0,3.52,95.19880515,0
clobetasone-butyrate,10000.0,0.48,93.00853901,0
clobutinol,8.33,2.65,98.56083273,0
clocortolone-pivalate,8.33,2.86,90.59806201,0
clodronic-acid,833.33,2.21,101.2253956,0
clofarabine,10000.0,3.69,55.92512589,0
clofazimine,833.33,6.27,104.0536218,0
clofedanol,10000.0,2.42,101.1751894,0
clofibric-acid,833.33,2.45,93.34745371,0
clofilium,10000.0,3.38,115.4728382,0
clofoctol,1.0,3.11,106.7013672,0
clomifene,10000.0,21.06,77.3598811,0
clonidine,833.33,0.52,99.27299432,0
clopamide,833.33,5.88,99.39278885,0
cloperastine,100.0,0.64,100.1849561,0
clopidogrel,100.0,1.82,103.8870381,0
clopidol,10000.0,1.78,95.22784899,0
cloprostenol-(+/-),833.33,5.03,102.0304814,0
cloranolol,8.33,-3.27,98.81814631,0
clorprenaline,1.0,2.05,99.79397518,0
clorsulon,100.0,2.84,96.82940229,0
closantel,10000.0,5.87,101.1145414,0
clotrimazole,10000.0,2.73,89.91166438,0
cloxacillin,833.33,3.43,98.23781136,0
cloxyquin,833.33,3.29,100.7787712,0
CMPD-1,1.0,-1.24,97.18692214,0
CNQX,833.33,0.06,94.79260735,0
CNX-2006,100.0,7.9,100.5580255,0
CNX-774,10000.0,9.86,26.85723342,0
CO-101244,100.0,3.16,99.41767179,0
CO-102862,10000.0,3.26,86.64938705,0
cobimetinib,1.0,-0.38,90.2430436,0
coenzyme-A,10000.0,2.93,98.86819689,0
coenzyme-I,10000.0,1.66,105.4251552,0
colchicine,1.0,2.74,101.43197,0
colforsin,8.33,3.19,91.01015917,0
colforsin-daproate,10000.0,29.55,77.04780962,0
colfosceril-palmitate,100.0,-5.95,96.7400051,0
colistimethate,10000.0,5.93,108.2825524,0
colistin,100.0,5.33,102.3761479,0
combretastatin-A-4,1.0,1.94,97.10715937,0
Comp 35,100.0,0.28,92.70454406,0
compound-401,8.33,2.7,97.92683564,0
compound-w,100.0,3.65,104.7681201,0
conivaptan,1.0,3.24,97.85116717,0
copanlisib,8.33,-1.99,104.6025469,0
copper-histidine,10000.0,0.7,101.9179566,0
COR-170,100.0,-0.96,103.0308688,0
cordycepin,100.0,1.03,96.16979371,0
corosolic-acid,8.33,-0.43,104.3544474,0
corticosterone,100.0,0.56,100.9019618,0
cortisone-acetate,833.33,0.49,101.2733906,0
cortodoxone,100.0,1.21,104.5801905,0
costunolide,10000.0,19.31,93.42419035,0
cot-inhibitor-1,8.33,2.31,101.485751,0
cot-inhibitor-2,10000.0,14.02,81.57781153,0
cotinine,833.33,0.39,95.72474706,0
coumarin,833.33,1.9,101.0404119,0
coumophos,8.33,0.82,92.72683237,0
CP-316819,10000.0,4.39,100.6639325,0
CP-339818,8.33,-0.49,100.5010871,0
CP-376395,8.33,0.65,96.10854021,0
CP-471474,1.0,3.55,104.3919158,0
CP-640186,8.33,-0.08,93.4396125,0
CP-673451,8.33,2.04,97.14263152,0
CP-775146,833.33,1.87,97.42332048,0
CP-91149,10000.0,4.47,105.8959454,0
CP-93129,8.33,6.88,91.16864637,0
CP-94253,1.0,2.78,104.0235869,0
"CP-945,598",833.33,7.17,101.2819632,0
CP-99994,100.0,2.38,97.96830364,0
CPCCOEt,1.0,1.49,93.51737586,0
CPI-0610,8.33,0.61,107.91515,0
CPI-1189,10000.0,-0.2,91.75404257,0
CPI-169,8.33,2.34,96.72684216,0
CPI-203,100.0,0.16,73.68722887,0
CPI-360,100.0,0.4,107.9099857,0
CPI-613,100.0,3.04,97.80550419,0
CPP,833.33,2.29,102.4640003,0
CPSI-1306-(+/-),100.0,2.24,93.62533657,0
CR8-(R),1.0,-3.46,90.18475544,0
creatine,8.33,1.25,102.4777386,0
creatinine,1.0,1.26,100.0960342,0
creatinol-phosphate,8.33,2.42,97.80330662,0
crenolanib,100.0,2.74,100.6264074,0
cridanimod,100.0,5.93,93.61444592,0
crisaborole,10000.0,4.65,98.05400741,0
crizotinib-(S),10000.0,54.98,67.20446602,0
croconazole,833.33,2.28,107.0284144,0
cromoglicic-acid,833.33,0.49,96.59814646,0
CRT0044876,10000.0,1.27,109.5791993,0
cryptotanshinone,100.0,2.85,102.8584454,0
crystal-violet,8.33,1.49,89.4926033,0
CS-917,100.0,2.61,102.6055463,0
CT-7758,10000.0,2.62,93.42159664,0
CTEP,1.0,-2.07,102.4843063,0
CTS-1027,100.0,0.31,99.39608767,0
CU-CPT-4a,10000.0,3.31,104.1469808,0
CU-T12-9,8.33,1.42,96.40434725,0
CUDC-101,8.33,5.38,96.00787735,0
CUDC-427,833.33,0.89,105.1478555,0
CUDC-907,1.0,-0.39,103.4018506,0
CUR-61414,1.0,7.37,101.3804504,0
curcumin,10000.0,23.44,82.88075757,0
curcumol,100.0,1.91,97.05699364,0
cutamesine,100.0,3.33,102.2010445,0
CV-1808,8.33,4.07,93.01322294,0
CVT-10216,8.33,1.73,100.7559734,0
CW-008,1.0,1.72,93.57595082,0
CX-4945,833.33,0.52,95.14577871,0
CX-516,100.0,0.46,93.47909959,0
CX-5461,833.33,4.48,84.16543742,0
CY208-243,10000.0,2.21,83.80570023,0
cyacetacide,10000.0,7.12,101.7885175,0
cyanopindolol,8.33,1.94,102.6096632,0
CYC116,833.33,2.13,80.75046172,0
cyclamic-acid,8.33,1.15,99.800208,0
cyclandelate,8.33,0.54,99.13945818,0
cyclic-AMP,1.0,3.59,102.4857951,0
cyclizine,10000.0,0.42,102.5153459,0
cyclobenzaprine,8.33,6.56,99.63146229,0
Cyclocytidine HCl,1.0,1.24,98.12601375,0
cycloheximide,833.33,27.64,36.31160223,0
cyclopenthiazide,8.33,2.37,90.95652597,0
cyclopentolate,8.33,1.59,102.5515856,0
cyclophosphamide,10000.0,0.46,94.04962843,0
cyclopiazonic-acid,10000.0,14.21,65.63219744,0
cycloserine-(D),1.0,-2.12,99.58714225,0
cyclosporin-A,10000.0,16.96,119.0108883,0
cyclothiazide,100.0,3.55,91.18719507,0
cyclovalone,10000.0,29.46,107.6481065,0
cyclovirobuxin-D,100.0,3.9,102.3532445,0
CYM-50260,8.33,2.42,105.1983874,0
CYM-50358,10000.0,66.2,96.77401011,0
CYM-50769,100.0,0.55,94.65270563,0
CYM-5442,10000.0,5.33,99.13370683,0
CYM-5541,8.33,0.66,102.8955446,0
cyproheptadine,1.0,1.35,98.77443817,0
CYPROTERONE,10000.0,-4.41,94.88759945,0
cyromazine,833.33,2.37,99.10791006,0
cysteamine,1.0,1.07,105.7884469,0
CYT-997,1.0,0.07,95.69619981,0
cyt387,100.0,-0.33,96.56534872,0
cytarabine,8.33,2.91,96.52780406,0
cytisine,1.0,1.86,88.15012277,0
cytochlor,833.33,1.92,98.26804586,0
CZC-54252,8.33,2.59,109.6573925,0
CZC24832,1.0,3.23,93.54416267,0
D-(+)-maltose,100.0,-0.09,96.06474411,0
D-4476,1.0,3.96,101.6725421,0
D-64131,8.33,1.49,97.92413862,0
D-7193,8.33,2.36,105.6482501,0
D-alpha-tocopheryl-succinate,10000.0,-2.64,110.7650558,0
D-delta-tocopherol,100.0,2.25,106.9931882,0
D-LACTITOL MONOHYDRATE,8.33,0.84,98.63080662,0
D-phenylalanine,1.0,2.99,107.6133773,0
D-serine,10000.0,1.69,105.2840104,0
D609,833.33,1.55,95.96505243,0
DAA-1106,100.0,4.26,103.0561525,0
dabigatran,10000.0,3.34,99.01728774,0
dabigatran-etexilate,8.33,2.6,102.9988447,0
dabrafenib,10000.0,13.07,102.4468915,0
dacarbazine,100.0,2.4,94.44777283,0
dacinostat,1.0,-2.47,108.4703607,0
daclatasvir,8.33,0.14,107.4005531,0
dacomitinib,1.0,-4.89,99.5668916,0
dactinomycin,8.33,3.96,103.884181,0
daidzein,1.0,0.46,97.94633856,0
dalbavancin,10000.0,1.46,102.4658974,0
dalcetrapib,8.33,-0.46,99.21681555,0
dalfampridine,833.33,2.49,100.9216181,0
daltroban,8.33,3.04,98.40106746,0
daminozide,8.33,2.15,98.19245892,0
danazol,10000.0,6.39,100.2708995,0
danegaptide,10000.0,3.55,106.1831195,0
danirixin,10000.0,2.67,100.0903651,0
danofloxacin,10000.0,6.15,108.2171035,0
danoprevir,1.0,1.7,105.57104,0
dantrolene,10000.0,1.97,100.3873438,0
dantron,10000.0,0.11,83.48651999,0
danusertib,1.0,2.82,104.319775,0
daphnetin,833.33,4.54,93.04331668,0
dapiprazole,100.0,0.65,97.59504454,0
dapivirine,833.33,2.16,94.7212301,0
dapoxetine,8.33,3.51,101.0164863,0
daprodustat,833.33,2.38,95.02780139,0
dapsone,833.33,11.09,105.580518,0
DAPT,8.33,-0.92,107.6918355,0
darapladib,8.33,1.73,100.519462,0
darglitazone,8.33,3.08,90.81474405,0
darifenacin,100.0,2.83,100.4596727,0
darunavir,833.33,0.44,102.380113,0
darusentan,100.0,0.62,97.15271086,0
dasabuvir,10000.0,2.61,105.4922086,0
dasatinib,1.0,1.14,98.98542237,0
DAU-5884,833.33,1.84,96.81915498,0
daucosterol,833.33,0.28,90.54256535,0
daunorubicin,833.33,4.26,54.26457898,0
dazoxiben,100.0,3.5,96.85384076,0
DBeQ,100.0,1.18,95.53528176,0
DBPR108,1.0,1.83,99.61490189,0
DC-260126,1.0,-1.42,100.8040359,0
DCC-2618,8.33,6.82,99.07059051,0
DCEBIO,8.33,1.8,100.2851458,0
DCPIB,10000.0,2.61,100.8224934,0
DDR1-IN-1,10000.0,55.96,72.91836619,0
decamethonium,10000.0,-1.94,99.65115404,0
decernotinib,10000.0,2.32,107.3359779,0
decitabine,100.0,4.5,95.14075192,0
decoquinate,10000.0,2.03,103.1404908,0
defactinib,100.0,-0.22,100.5832341,0
deferasirox,10000.0,0.43,56.9152854,0
deferiprone,833.33,3.35,98.14662084,0
Deflazacort (Calcort),1.0,2.25,99.09937402,0
degarelix,100.0,3.06,92.01874537,0
dehydroacetic-acid,8.33,3.44,93.60944233,0
dehydrocholate-acid,8.33,2.84,105.7814728,0
dehydrocorydaline,8.33,0.34,100.0180068,0
delamanid,833.33,2.83,101.8229897,0
delapril,100.0,2.57,110.9033702,0
delavirdine,10000.0,2.87,104.8937251,0
delivert,8.33,-1.32,96.78583274,0
delphinidin,100.0,-0.94,98.3403269,0
delta-tocotrienol,833.33,7.95,96.9205538,0
deltarasin,8.33,-0.65,99.28146156,0
demeclocycline,10000.0,2.34,91.01007096,0
denatonium-benzoate,10000.0,-0.4,111.0182268,0
deoxyarbutin,833.33,0.9,105.8035437,0
deoxycholic-acid,8.33,0.25,103.1581218,0
deoxycorticosterone-acetate,8.33,0.58,99.79603999,0
deoxyepinephrine,8.33,2.29,99.56721348,0
deptropine,10000.0,12.65,77.26965731,0
dequalinium,8.33,2.58,103.8485469,0
deracoxib,100.0,3.5,94.16617541,0
desipramine,8.33,-0.11,102.8466153,0
deslanoside,1.0,-1.34,96.73956273,0
desloratadine,1.0,5.47,103.8686678,0
desmethylclozapine,833.33,2.8,101.9935323,0
desmopressin-acetate,100.0,0.69,106.3363605,0
desonide,100.0,5.19,100.7612989,0
desoximetasone,833.33,1.96,88.46449762,0
desoxycorticosterone-pivalate,10000.0,0.98,101.1627164,0
desoxycortone,833.33,1.36,95.80069216,0
desoxypeganine,100.0,-1.21,104.876915,0
desvenlafaxine,100.0,4.53,97.47563605,0
detomidine,10000.0,2.25,105.552834,0
DEXAMETHASONE SODIUM PHOSPHATE,10000.0,0.77,102.6405991,0
dexfenfluramine,100.0,2.9,100.3851645,0
dexloxiglumide,100.0,2.58,91.11961546,0
dexniguldipine,100.0,3.05,92.51958474,0
dexrazoxane,833.33,3.16,93.82216976,0
dextromethorphan,833.33,0.81,95.89165628,0
dextrose,1.0,0.5,97.26908255,0
DFB,10000.0,1.9,98.6203839,0
DG-172,1.0,2.51,106.1950898,0
DH-97,10000.0,1.57,93.76584491,0
DHBP,833.33,3.52,96.59228877,0
diacetamate,100.0,3.04,94.32027186,0
diadenosine-tetraphosphate,1.0,1.69,99.00244831,0
dianhydrogalactitol,10000.0,2.5,99.88864263,0
diarylpropionitrile,8.33,1.57,104.1997288,0
diaveridine,833.33,2.81,98.19871759,0
diazepam,100.0,1.99,101.3478092,0
dibekacin,1.0,5.18,102.5656946,0
dibenzothiophene,8.33,1.31,96.62890506,0
dichlorisone-acetate,1.0,-1.93,104.8963854,0
dichloroacetate,1.0,4.14,104.4154416,0
dichlorophen,10000.0,1.46,86.71779569,0
diclazuril,833.33,1.84,95.79174752,0
diclofenac,1.0,1.25,95.88124141,0
diclofenamide,833.33,0.21,99.13632606,0
diclofensine,833.33,3.57,95.73953409,0
dicloralurea,100.0,-0.82,95.23515546,0
dicloxacillin,10000.0,1.51,96.28641778,0
dicoumarol,10000.0,3.32,99.62064917,0
dicyclohexylamine,100.0,13.18,97.26257389,0
dicycloverine,1.0,17.48,96.13745372,0
didanosine,833.33,3.97,97.96795828,0
dideoxyadenosine,10000.0,4.14,101.664842,0
didox,100.0,1.83,100.9729138,0
dienestrol,1.0,2.0,101.0712873,0
diethylcarbamazine,833.33,0.55,103.1999175,0
diethylstilbestrol,10000.0,6.76,106.8836063,0
difenpiramide,10000.0,14.81,98.4934645,0
diflorasone-diacetate,1.0,3.78,103.9885974,0
difloxacin,8.33,2.12,101.4327522,0
diflunisal,100.0,2.12,92.88135088,0
difluprednate,10000.0,6.96,94.23039442,0
digitoxigenin,1.0,-1.6,107.8164319,0
digoxigenin,8.33,-0.54,108.4546469,0
digoxin,1.0,-0.14,95.05977218,0
dihydrexidine,10000.0,2.92,104.306015,0
dihydroergocristine,1.0,3.37,102.0804872,0
dihydroergotamine,10000.0,2.88,103.1880069,0
dihydromyricetin,8.33,3.54,96.00583339,0
dihydrostreptomycin,833.33,0.85,101.0002553,0
dihydrotachysterol,8.33,0.52,100.106727,0
Dihydrotestosterone,1.0,-0.75,105.886327,0
dihydroxyphenylglycine,833.33,4.31,95.77184572,0
diiodothyropropionic-acid,10000.0,-1.42,92.07543197,0
dilazep,10000.0,4.8,79.05674344,0
diloxanide,1.0,1.32,101.2012427,0
dimaprit,10000.0,2.17,96.24355029,0
dimemorfan,833.33,1.02,98.69040146,0
dimenhydrinate,1.0,1.11,93.75971498,0
dimercaptosuccinic-acid,1.0,0.73,99.65927005,0
dimesna,100.0,0.65,103.9017632,0
dimethadione,833.33,0.78,97.73161333,0
dimethisoquin,8.33,1.84,97.52321737,0
dimetindene,833.33,3.28,100.1365055,0
diminazene-aceturate,10000.0,2.42,91.27247222,0
dimpylate,100.0,2.07,101.8632549,0
dinaciclib,1.0,1.49,101.1149214,0
dinitolmide,8.33,2.03,100.969116,0
dinoprostone,833.33,0.3,103.1049675,0
dioscin,8.33,0.88,103.1624683,0
diosgenin,100.0,0.12,102.4993583,0
diosmetin,10000.0,2.95,113.4045325,0
diosmin,833.33,4.64,103.0927621,0
dioxybenzone,10000.0,2.94,67.19406589,0
dipeptamin,8.33,1.67,98.12390398,0
diperodon,1.0,0.17,90.89862864,0
diphemanil,833.33,2.17,99.87708039,0
diphencyprone,10000.0,5.98,93.50556957,0
diphenhydramine,1.0,0.83,101.5572948,0
diphenidol,833.33,-1.92,102.0269711,0
diphenyleneiodonium,8.33,1.31,94.97496336,0
diphenylguanidine,10000.0,2.16,104.1830784,0
diphenylpyraline,1.0,0.97,94.61765987,0
dipivefrine,8.33,3.76,100.2114584,0
dipraglurant,10000.0,2.02,110.4755069,0
DIPT,1.0,3.79,102.5760224,0
dipyridamole,10000.0,4.52,95.30363829,0
dipyrocetyl,10000.0,5.25,100.7634981,0
diroximel-fumarate,10000.0,11.34,106.2311213,0
disopyramide,833.33,-0.48,97.73574005,0
disulfiram,833.33,26.46,89.33932131,0
ditiocarb-sodium-trihydrate,10000.0,23.63,98.95497565,0
ditolylguanidine,8.33,1.77,103.6350611,0
dixanthogen,10000.0,1.23,97.27692846,0
dizocilpine-(-),100.0,2.31,100.7527437,0
DL-Adrenaline,100.0,1.56,96.6121686,0
DMAB-anabaseine,833.33,4.31,93.48893063,0
DMeOB,8.33,2.48,99.75670014,0
DMH1,8.33,0.95,104.4546537,0
DMH4,100.0,7.51,100.9409576,0
DMNB,1.0,0.62,103.4190764,0
DMP-543,100.0,5.3,100.4523633,0
DMP-777,833.33,1.96,93.73914478,0
DMPS,833.33,6.72,103.0182407,0
DNQX,10000.0,0.49,102.2511914,0
dobutamine,1.0,-0.38,105.9213589,0
doconexent-ethyl-ester,833.33,0.72,101.6619387,0
docosanol,10000.0,-4.03,103.5765828,0
dodecyl-sulfate,8.33,3.45,95.91875768,0
dofequidar,8.33,4.84,107.1098697,0
dofetilide,833.33,-0.28,98.10519409,0
dolastatin-10,8.33,0.79,24.60495787,0
dolutegravir,10000.0,4.1,81.90428852,0
domiphen,833.33,0.26,92.98807702,0
domperidone,833.33,2.23,96.60626076,0
donepezil,833.33,-1.28,97.88743901,0
donitriptan,10000.0,1.77,106.6269097,0
dopamine,8.33,0.74,106.2125852,0
doramapimod,10000.0,8.03,104.1516041,0
doramectin,10000.0,2.69,72.44219683,0
doripenem,10000.0,0.46,97.31282787,0
dorsomorphin,100.0,2.59,102.2960589,0
dorzolamide,1.0,-0.7,98.51365502,0
dosulepin,100.0,5.41,103.5601295,0
dovitinib,1.0,1.8,97.35038161,0
doxepin,100.0,1.85,96.71534312,0
doxercalciferol,10000.0,2.69,105.6689559,0
doxifluridine,100.0,1.63,102.6617942,0
doxofylline,100.0,-0.01,96.49540256,0
doxycycline,100.0,2.09,104.4219247,0
doxylamine,833.33,1.53,100.2467321,0
DPC-681,833.33,2.01,95.92681497,0
DPCPX,8.33,2.47,106.9810806,0
DPI-201106,833.33,4.21,98.91683918,0
DPO-1,10000.0,-0.95,104.7958569,0
DPPE,833.33,0.19,103.3269339,0
DQP-1105,833.33,3.61,97.66472177,0
DR-2313,10000.0,4.1,108.5123491,0
DR-4485,1.0,0.36,100.0627589,0
DRF053-(R),833.33,1.09,89.78113792,0
drofenine,8.33,1.9,110.0062729,0
droloxifene,10000.0,34.54,92.64250562,0
dronedarone,10000.0,29.32,61.91625615,0
droperidol,8.33,3.34,103.0826907,0
dropropizine,8.33,1.08,96.94740185,0
drospirenone,10000.0,5.09,89.19005517,0
drotaverine,833.33,2.62,91.84748398,0
droxidopa,100.0,5.47,96.78048727,0
droxinostat,1.0,4.45,102.9127967,0
DS2-(806622),10000.0,9.03,92.8992285,0
DSR-6434,100.0,2.36,98.8307825,0
DU-728,833.33,16.34,99.5850125,0
duloxetine,100.0,0.92,100.6002484,0
DUP-697,1.0,3.29,95.57425697,0
dutasteride,100.0,1.66,111.5231139,0
duvelisib,833.33,0.25,91.76464087,0
DVD-111,100.0,3.29,98.83290503,0
DY131,8.33,2.18,98.29231858,0
dyclonine,8.33,3.66,101.8102299,0
dynasore,8.33,1.05,98.27749341,0
dynole-34-2,10000.0,12.55,91.1909704,0
dyphylline,1.0,1.96,100.4305451,0
E-2012,8.33,3.55,104.0365626,0
E-4031,1.0,2.34,94.69272497,0
E7449,10000.0,1.13,83.69701363,0
eact,10000.0,3.72,97.50214757,0
EB-47,10000.0,5.49,97.56266648,0
ebastine,8.33,1.48,98.6930636,0
EBPC,100.0,-0.02,101.6351172,0
ebrotidine,100.0,5.48,97.71665824,0
ebselen,8.33,3.3,98.46500084,0
Ebselen,1.0,2.29,97.56041464,1
ebselen,1.0,0.19,96.44165312,1
EC-144,1.0,2.11,99.27128149,0
EC-23,833.33,3.23,97.37015593,0
ecabet,833.33,0.14,96.86068429,0
echinomycin,1.0,2.0,104.1167099,0
econazole,833.33,3.08,101.7606357,0
edaglitazone,10000.0,2.31,86.73688816,0
edaravone,10000.0,3.57,102.9459237,0
edoxaban,1.0,-1.16,99.45747678,0
edoxudine,1.0,2.72,101.5227938,0
EDTMP,833.33,2.43,98.20202186,0
EED226,1.0,4.45,107.1906282,0
efaproxiral,100.0,1.44,100.9884791,0
efaroxan,100.0,-0.66,101.1691675,0
efatutazone,8.33,2.28,86.0257732,0
efavirenz,100.0,0.0,91.35234582,0
efinaconazole,10000.0,2.84,105.7495842,0
efloxate,8.33,0.67,100.1488245,0
efonidipine-monoethanolate,10000.0,4.3,103.1562691,0
EG00229,10000.0,1.98,97.1332288,0
EGF816,10000.0,10.41,36.76803553,0
eglumetad,10000.0,2.06,96.61882122,0
EHop-016,10000.0,69.33,64.32486676,0
EI1,100.0,2.06,106.6419075,0
EIPA,833.33,10.29,94.19307774,0
EIT-hydrobromide,1.0,0.03,94.17950276,0
elacridar,1.0,14.25,96.95097191,0
elafibranor,10000.0,3.31,98.5373395,0
elbasvir,8.33,1.52,98.54330222,0
elesclomol,10000.0,36.42,85.9732852,1
eletriptan,100.0,2.14,104.4354769,0
eliglustat,833.33,4.02,84.23300826,0
elinogrel,833.33,3.74,95.25309194,0
eliprodil,833.33,2.59,98.07899317,0
ellagic-acid,100.0,4.12,100.1330442,0
ELN-441958,10000.0,37.03,88.70265735,0
eltoprazine,1.0,3.51,96.54248662,0
eltrombopag,1.0,2.51,97.61660566,0
eluxadoline,1.0,2.78,103.73657,0
elvitegravir,1.0,2.45,101.3681463,0
embelin,1.0,0.27,92.08657438,0
EMD-1214063,10000.0,9.19,105.7437548,0
EMD-386088,10000.0,10.08,91.6922999,0
EMD-53998,10000.0,4.36,67.66987221,0
EMD-66684,833.33,4.76,101.1338545,0
emedastine,833.33,1.46,98.36346609,0
emetine,100.0,36.23,54.91535646,0
emodin,10000.0,2.24,106.3976017,0
emorfazone,10000.0,0.67,99.39616187,0
emoxipin,8.33,3.95,101.6839859,0
empagliflozin,833.33,1.13,94.92570489,0
emtricitabine,100.0,4.2,99.52040252,0
EN460,10000.0,3.69,101.86978,0
enalapril,833.33,2.42,100.2064595,0
enalaprilat,10000.0,2.39,106.7390171,0
enasidenib,8.33,-0.28,94.15952809,0
enciprazine,8.33,1.14,100.7994235,0
Encorafenib (LGX818),833.33,6.46,115.7169897,0
endo-IWR-1,8.33,2.17,105.2180353,0
Endoxifen HCl,10000.0,57.04,91.11008622,0
enflurane,100.0,1.56,98.42837893,0
enisamium-iodide,8.33,7.37,101.0111864,0
enocitabine,100.0,-1.69,91.85246458,0
enoxacin,1.0,4.58,100.6820718,0
enoximone,10000.0,-2.39,94.90172168,0
enoxolone,833.33,2.65,102.8533806,0
enprofylline,10000.0,4.03,94.54259385,0
enrofloxacin,10000.0,5.39,90.12605691,0
entacapone,1.0,-0.37,100.2440537,0
entrectinib,1.0,4.0,98.50367663,0
enzastaurin,10000.0,3.94,98.85248586,0
EO-1428,10000.0,3.01,92.19160703,0
Epacadostat (INCB024360),833.33,3.1,94.45860567,0
epalrestat,833.33,1.15,100.7470358,0
eperezolid,833.33,0.64,97.07433619,0
eperisone,833.33,4.7,102.7575525,0
ephedrine,833.33,3.01,100.4496914,0
epicatechin-gallate-(-),100.0,5.77,98.99104523,0
epigallocatechin-gallate-(-),8.33,2.17,100.5033533,0
epinastine,833.33,7.29,96.04801969,0
epinephrine,1.0,3.04,93.32264797,0
epirizole,8.33,3.82,99.2564806,0
Epirubicin Hydrochloride,833.33,2.88,73.71340972,0
eplerenone,8.33,2.8,100.0359346,0
epomediol,1.0,7.71,98.71043529,0
epothilone-B,10000.0,-0.53,45.35331537,0
epothilone-D,1.0,2.13,99.84180043,0
EPPTB,1.0,0.59,100.8733089,0
eprazinone,833.33,1.64,102.5265667,0
eprobemide,100.0,4.31,100.3411998,0
eprosartan,10000.0,2.22,101.0822339,0
eptifibatide,8.33,8.08,95.23533755,0
EPZ-5676,10000.0,4.66,105.9738176,0
EPZ004777,1.0,4.48,94.33530862,0
EPZ005687,8.33,1.2,107.9246074,0
EPZ011989,100.0,3.36,95.86077103,0
EPZ015666,8.33,-1.3,97.19411654,0
EPZ020411,100.0,4.05,95.92004233,0
equol,833.33,3.83,95.48874468,0
ER-27319,8.33,4.23,99.91994228,0
ER-50891,833.33,5.27,83.93185246,0
erastin,10000.0,7.21,15.51638062,0
erbstatin-analog,1.0,3.51,98.81984806,0
