smiles,p_value_0,p_value_1,hERG_inhibition
C=CC(=O)N1CCC[C@@H](c2ccc(C(N)=O)c3[nH]ccc23)C1,0.178,0.257,1
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,0.668,0.0637,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.563,0.0992,0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.776,0.0427,0
CC(=O)Oc1ccccc1C(=O)O,0.518,0.1,0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.132,0.301,1
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.84,0.0278,0
COc1ccc2cc(CCC(C)=O)ccc2c1,0.133,0.302,1
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],0.78,0.0345,0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.731,0.045,0
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.431,0.122,0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],0.93,0.0143,0
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.915,0.0162,0
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.205,0.241,1
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,0.21,0.233,1
O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],0.97,0.00619,0
O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+],0.842,0.0278,0
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.764,0.0454,0
Nc1ccc(O)c(C(=O)O)c1,0.803,0.0357,0
Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+],0.731,0.0523,0
COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],0.608,0.0847,0
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,0.483,0.107,0
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2],0.853,0.026,0
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0.386,0.141,0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.893,0.0195,0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.688,0.0581,0
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,0.719,0.0491,0
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.807,0.034,0
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0.843,0.0283,0
CC(=O)Nc1ccc(O)cc1,0.81,0.0336,0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.OCCN1CCCC1,0.969,0.00685,0
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,0.913,0.0141,0
Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+],0.183,0.253,1
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,0.397,0.147,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O,0.785,0.0388,0
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.684,0.0583,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.818,0.0332,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.688,0.054,0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0.949,0.0086,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,0.95,0.0128,0
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0.516,0.109,0
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.688,0.0637,0
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0.563,0.0993,0
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.887,0.0217,0
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,0.102,0.344,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0.881,0.0219,0
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.893,0.0201,0
NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.933,0.0152,0
CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+],0.381,0.146,0
Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],0.874,0.0242,0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0.544,0.101,0
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0.175,0.255,1
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,0.491,0.109,0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0.499,0.112,0
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,0.31,0.184,0
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,0.621,0.0729,0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0.852,0.0226,0
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,0.613,0.0772,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O,0.966,0.00489,0
CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,0.637,0.072,0
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0.00738,0.823,1
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,0.921,0.0156,0
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+],0.778,0.0422,0
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,0.0433,0.486,1
COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1,0.00978,0.767,1
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.515,0.108,0
CC1(C)OC(c2ccc(S(N)(=O)=O)cc2)=C(c2cccc(F)c2)C1=O,0.829,0.0307,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,0.946,0.0134,0
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.818,0.0333,0
CCOc1ccc(-c2cc(C)cn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.241,0.219,0
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,0.613,0.0758,0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,0.543,0.096,0
COc1ccc2cc([C@H](C)C(=O)OCCS(C)(=O)=O)ccc2c1,0.656,0.0668,0
COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.O.O.O.[Na+],0.898,0.0208,0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.993,0.00107,0
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,0.974,0.00362,0
CO[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O[C@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O[C@H]5O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)[O-])[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)[O-])[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H](O)[C@H]1NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],0.939,0.00724,0
CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O,0.173,0.264,1
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0.134,0.3,1
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.0522,0.44,1
O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0.143,0.292,1
COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,0.885,0.0183,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],0.0371,0.527,1
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0.819,0.0286,0
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1,0.601,0.0771,0
O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1,0.653,0.0658,0
OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F,0.968,0.00648,0
C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F,0.83,0.0304,0
NC(=O)[C@](O)(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)C(F)(F)F,0.955,0.00798,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0.305,0.177,0
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,0.305,0.178,0
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0.659,0.0673,0
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0.232,0.215,0
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,0.341,0.162,0
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,0.87,0.0246,0
CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,0.8,0.0361,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,0.305,0.178,0
