rank,compound_name,chembl_id,composite_score,ab_activity_z_max,cpe_activity_z_max,cp_morph_z_max,toxicity_z_max,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe
3,VU0364739,CHEMBL1254577,15.447984608103528,9.504318181818181,26.609184834123223,5.012917008634826,1.792760987718017,True,True,False,False
8,NPS-2143,CHEMBL180672,13.53073719889958,11.527818181818182,20.017625592417062,4.562798446027421,1.8409129320158877,True,True,False,False
11,flumatinib,CHEMBL3545413,12.645794996438282,9.565636363636363,21.181218009478677,1.735266235961317,1.8521108471370287,True,True,False,False
15,crizotinib-(S),CHEMBL1825141,11.765684081103425,9.872227272727272,17.620113744075827,3.8437383719109235,4.107084155589894,True,True,False,False
16,MG-132,CHEMBL64925,11.685140541233405,4.598863636363636,23.005572784810127,3.2168298638194965,12.378943037815656,True,True,False,False
17,amodiaquine,CHEMBL682,11.061792471950847,10.546727272727273,14.340317535545024,5.534872743209641,1.77209498077824,True,True,False,False
21,homoharringtonine,CHEMBL46286,10.071623331659158,9.872227272727272,12.545700000000002,5.522262112841239,15.784734147584,True,True,False,False
23,elesclomol,CHEMBL1972860,9.959917452308856,10.301454545454545,11.687071090047395,5.822535990540396,10.414065133630354,True,True,False,False
24,thaliblastine,CHEMBL507100,9.953804653075363,8.952454545454545,14.576872037914693,2.7103700986383323,1.8252952442932466,True,True,False,False
25,afimoxifene,CHEMBL489,9.913954026814812,9.320363636363636,12.83468009478673,5.259682671773322,2.2617133677405206,True,True,False,False
27,EHop-016,CHEMBL3237589,9.613183665248496,1.2365833333333334,22.207353080568723,1.1780454984383644,4.486610646479141,False,True,False,False
28,Y-29794,CHEMBL294803,9.602567316048727,1.0679583333333333,21.93563507109005,2.005649771396866,2.6377090119089064,False,True,False,False
29,3'-fluorobenzylspiperone,CHEMBL137648,9.57996113886551,0.11241666666666666,22.95218009478673,1.770612171420748,4.671314612446876,False,True,False,False
32,ELN-441958,CHEMBL1254945,9.37650089373214,9.075090909090909,11.882068720379149,4.968185209720584,2.392815076915714,True,True,False,False
34,nelfinavir,CHEMBL584,9.22825309139845,6.867636363636364,13.851225118483413,4.703542492752693,1.9997182877857185,True,True,False,False
35,disulfiram,CHEMBL964,9.133277658264635,9.872227272727272,11.231705696202534,3.4585223534635645,1.585629706933809,True,True,False,False
36,brefeldin-A,CHEMBL19980,8.920598952772771,-0.33725,22.687289285714286,-0.0970838075647162,17.505281271583417,False,True,False,False
37,rimcazole,CHEMBL275707,8.90870350880797,10.301454545454545,9.973649289099527,3.993309874931698,2.1928784356007847,True,True,False,False
38,mefloquine,CHEMBL416956,8.792698037117825,-0.9555416666666666,23.48602606635071,-1.0974786137789647,2.594674634917393,False,True,False,False
39,IPAG,CHEMBL1484738,8.737880837365331,-1.01175,22.913819905213273,-0.11473562359989091,4.551459997205292,False,True,False,False
40,STF-62247,CHEMBL565269,8.660114446798106,4.833916666666666,15.50710663507109,2.6185256305150135,3.6562405593467013,True,True,False,False
41,carfilzomib,CHEMBL451887,8.652305546804524,6.969833333333334,14.830462025316457,-0.33906298327696743,17.17421124082024,True,True,False,False
43,anisomycin,CHEMBL423192,8.566420607511175,0.22483333333333333,21.222660714285713,-0.06288505768221878,16.32650189718793,False,True,False,False
44,AMG-548,CHEMBL585902,8.426045295151726,8.400590909090909,10.558642180094788,4.211760297387232,1.6546328892408153,True,True,False,False
45,Salinomycin (Procoxacin),CHEMBL2135651,8.36659023355443,-0.49054545454545456,21.64376582278481,-0.4734895687065709,7.075026445638154,False,True,False,False
46,BMS-833923,CHEMBL3545403,8.327822454154555,0.6745,19.627630331753554,1.034851607265662,7.415077587384384,False,True,False,False
48,APY0201,CHEMBL4303292,8.120318810353785,6.499727272727273,13.094935714285715,1.4122680777429426,9.691351278990078,True,True,False,False
49,PRT062607,CHEMBL2177736,8.096489845952517,10.546727272727273,7.844658767772511,3.699677148763013,2.2152463878516864,True,True,False,False
50,ozanimod,CHEMBL3707247,7.990461722619454,0.33725,18.959523696682467,1.358761219732336,2.8596066151734143,False,True,False,False
52,SAR405,CHEMBL3622372,7.866137685293774,3.8221666666666665,14.22204028436019,3.2422745244151514,4.559488949664085,True,True,False,False
53,Triparanol,CHEMBL187709,7.825228538237236,2.979041666666667,16.485291469194316,0.19747641946421488,3.031100904914721,True,True,False,False
54,PD-102807,CHEMBL59898,7.726444865973448,9.197727272727272,7.742364928909952,4.7520399265927855,2.4040326251537567,True,True,False,False
55,ceritinib,CHEMBL2403108,7.707808246030252,0.0,18.85403317535545,0.8309748794403597,10.725195601007506,False,True,False,False
