chembl_id,compound_name,cp_morph_z_max,cp_morph_z_mean,ab_activity_z_max,ab_activity_z_mean,concentration_uM_min,concentration_uM_max,concentration_uM_nunique,cpe_activity_z_max,cpe_activity_z_mean,toxicity_z_max,toxicity_z_mean,concentration_uM_min_cpe,concentration_uM_max_cpe,concentration_uM_nunique_cpe,composite_score,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe,rank
CHEMBL964,disulfiram,3.4585223534635645,3.4585223534635645,9.872227272727272,9.872227272727272,10.0,10.0,1.0,11.231705696202534,3.5556844906284555,1.585629706933809,-0.34185702198432083,0.001,10.0,5.0,9.133277658264635,True,True,False,False,35
CHEMBL19980,brefeldin-A,-0.0970838075647162,-0.0970838075647162,-0.33725,-0.33725,0.8333333333333334,0.8333333333333334,1.0,22.687289285714286,4.151153674014209,17.505281271583417,8.922358674000819,0.001,10.0,5.0,8.920598952772771,False,True,False,False,36
CHEMBL275707,rimcazole,3.993309874931698,3.993309874931698,10.301454545454545,10.301454545454545,10.0,10.0,1.0,9.973649289099527,1.6063059337692724,2.1928784356007847,0.7583430175252438,0.001,10.0,5.0,8.90870350880797,True,True,False,False,37
CHEMBL416956,mefloquine,-1.0974786137789647,-1.0974786137789647,-0.9555416666666666,-0.9555416666666666,0.8333333333333334,0.8333333333333334,1.0,23.48602606635071,4.241382003505223,2.594674634917393,-0.1607365346682849,0.001,10.0,5.0,8.792698037117825,False,True,False,False,38
CHEMBL1484738,IPAG,-0.11473562359989091,-0.11473562359989091,-1.01175,-1.01175,0.8333333333333334,0.8333333333333334,1.0,22.913819905213273,3.7423396772451865,4.551459997205292,1.286088441398876,0.001,10.0,5.0,8.737880837365331,False,True,False,False,39
CHEMBL565269,STF-62247,2.6185256305150135,2.6185256305150135,4.833916666666666,4.833916666666666,0.8333333333333334,0.8333333333333334,1.0,15.50710663507109,3.693657619961777,3.6562405593467013,0.48758991327910184,0.001,10.0,5.0,8.660114446798106,True,True,False,False,40
CHEMBL451887,carfilzomib,-0.33906298327696743,-0.33906298327696743,6.969833333333334,6.969833333333334,0.8333333333333334,0.8333333333333334,1.0,14.830462025316457,4.250696799105269,17.17421124082024,7.7724557776530645,0.001,10.0,5.0,8.652305546804524,True,True,False,False,41
CHEMBL961,ditiocarb-sodium-trihydrate,4.980631598237373,4.980631598237373,11.343863636363636,11.343863636363636,10.0,10.0,1.0,7.59851421800948,1.5840213969472847,1.3930076384690024,0.09477632707726427,0.001,10.0,5.0,8.573077461396721,False,False,False,False,42
CHEMBL423192,anisomycin,-0.06288505768221878,-0.06288505768221878,0.22483333333333333,0.22483333333333333,0.8333333333333334,0.8333333333333334,1.0,21.222660714285713,3.929425109270416,16.32650189718793,8.965742286908654,0.001,10.0,5.0,8.566420607511175,False,True,False,False,43
CHEMBL585902,AMG-548,4.211760297387232,4.211760297387232,8.400590909090909,8.400590909090909,10.0,10.0,1.0,10.558642180094788,2.2013951448797173,1.6546328892408153,-0.12327942870326614,0.001,10.0,5.0,8.426045295151726,True,True,False,False,44
CHEMBL2135651,Salinomycin (Procoxacin),-0.4734895687065709,-0.4734895687065709,-0.49054545454545456,-0.49054545454545456,10.0,10.0,1.0,21.64376582278481,8.132115967535976,7.075026445638154,1.7139936067521337,0.001,10.0,5.0,8.36659023355443,False,True,False,False,45
CHEMBL3545403,BMS-833923,1.034851607265662,1.034851607265662,0.6745,0.6745,0.8333333333333334,0.8333333333333334,1.0,19.627630331753554,2.791236229099355,7.415077587384384,1.3789675492619204,0.001,10.0,5.0,8.327822454154555,False,True,False,False,46
CHEMBL24072,prenylamine,5.813685328072306,5.813685328072306,10.301454545454545,10.301454545454545,10.0,10.0,1.0,7.422696682464455,1.1870846439069958,1.1987951893913198,-0.6795026116717521,0.001,10.0,5.0,8.25239755678206,False,False,False,False,47
CHEMBL4303292,APY0201,1.4122680777429426,1.4122680777429426,6.499727272727273,6.499727272727273,10.0,10.0,1.0,13.094935714285715,5.610835340538039,9.691351278990078,2.98853548427753,0.001,10.0,5.0,8.120318810353785,True,True,False,False,48
CHEMBL2177736,PRT062607,3.699677148763013,3.699677148763013,10.546727272727273,10.546727272727273,10.0,10.0,1.0,7.844658767772511,1.5168931188347916,2.2152463878516864,0.7355913454096026,0.001,10.0,5.0,8.096489845952517,True,True,False,False,49
CHEMBL3707247,ozanimod,1.358761219732336,1.358761219732336,0.33725,0.33725,0.8333333333333334,0.8333333333333334,1.0,18.959523696682467,3.906270589246078,2.8596066151734143,0.2761039637192183,0.001,10.0,5.0,7.990461722619454,False,True,False,False,50
CHEMBL2111101,pimavanserin,4.607275561735168,4.607275561735168,9.872227272727272,9.872227272727272,10.0,10.0,1.0,7.713594786729858,1.1933078000222825,-0.008027092783779619,-0.56747422538838,0.001,10.0,5.0,7.955783936129886,False,False,False,False,51
CHEMBL3622372,SAR405,3.2422745244151514,3.2422745244151514,3.8221666666666665,3.8221666666666665,0.8333333333333334,0.8333333333333334,1.0,14.22204028436019,3.300549033363901,4.559488949664085,0.17032109790737046,0.001,10.0,5.0,7.866137685293774,True,True,False,False,52
CHEMBL187709,Triparanol,0.19747641946421488,0.19747641946421488,2.979041666666667,2.979041666666667,0.8333333333333334,0.8333333333333334,1.0,16.485291469194316,2.9759489177086644,3.031100904914721,-0.37510856920772884,0.001,10.0,5.0,7.825228538237236,True,True,False,False,53
