gene_symbol,druggability,uniprot_url,opentargets_url
STAG2,No,https://www.uniprot.org/uniprotkb/Q8N3U4,https://platform.opentargets.org/target/ENSG00000101972
FANCA,No,https://www.uniprot.org/uniprotkb/O15360,https://platform.opentargets.org/target/ENSG00000187741
PRKD1,Yes,https://www.uniprot.org/uniprotkb/Q15139,https://platform.opentargets.org/target/ENSG00000184304
NUP98,No,https://www.uniprot.org/uniprotkb/P52948,https://platform.opentargets.org/target/ENSG00000110713
RPL11,No,https://www.uniprot.org/uniprotkb/P62913,https://platform.opentargets.org/target/ENSG00000142676
XRCC2,No,https://www.uniprot.org/uniprotkb/O43543,https://platform.opentargets.org/target/ENSG00000196584
ELANE,Yes,https://www.uniprot.org/uniprotkb/P08246,https://platform.opentargets.org/target/ENSG00000197561
RPS27,Yes,https://www.uniprot.org/uniprotkb/P42677,https://platform.opentargets.org/target/ENSG00000177954
PRIM1,No,https://www.uniprot.org/uniprotkb/P49642,https://platform.opentargets.org/target/ENSG00000198056
SETBP1,No,https://www.uniprot.org/uniprotkb/Q9Y6X0,https://platform.opentargets.org/target/ENSG00000152217
FANCB,No,https://www.uniprot.org/uniprotkb/Q8NB91,https://platform.opentargets.org/target/ENSG00000181544
WRAP53,No,https://www.uniprot.org/uniprotkb/Q9BUR4,https://platform.opentargets.org/target/ENSG00000141499
CBL,No,https://www.uniprot.org/uniprotkb/P22681,https://platform.opentargets.org/target/ENSG00000110395
POLE2,No,https://www.uniprot.org/uniprotkb/P56282,https://platform.opentargets.org/target/ENSG00000100479
PHF6,No,https://www.uniprot.org/uniprotkb/Q8IWS0,https://platform.opentargets.org/target/ENSG00000156531
LPP,No,https://www.uniprot.org/uniprotkb/Q93052,https://platform.opentargets.org/target/ENSG00000145012
SBDS,No,https://www.uniprot.org/uniprotkb/Q9Y3A5,https://platform.opentargets.org/target/ENSG00000126524
ACD,No,https://www.uniprot.org/uniprotkb/Q96AP0,https://platform.opentargets.org/target/ENSG00000102977
IKZF1,No,https://www.uniprot.org/uniprotkb/Q13422,https://platform.opentargets.org/target/ENSG00000185811
PRKCI,Yes,https://www.uniprot.org/uniprotkb/P41743,https://platform.opentargets.org/target/ENSG00000163558
FANCE,No,https://www.uniprot.org/uniprotkb/Q9HB96,https://platform.opentargets.org/target/ENSG00000112039
RPS26,No,https://www.uniprot.org/uniprotkb/P62854,https://platform.opentargets.org/target/ENSG00000197728
POLD4,No,https://www.uniprot.org/uniprotkb/Q9HCU8,https://platform.opentargets.org/target/ENSG00000175482
RPL31,No,https://www.uniprot.org/uniprotkb/P62899,https://platform.opentargets.org/target/ENSG00000071082
GATA2,No,https://www.uniprot.org/uniprotkb/P23769,https://platform.opentargets.org/target/ENSG00000179348
MPL,Yes,https://www.uniprot.org/uniprotkb/P40238,https://platform.opentargets.org/target/ENSG00000117400
BCOR,No,https://www.uniprot.org/uniprotkb/Q6W2J9,https://platform.opentargets.org/target/ENSG00000183337
NSD1,No,https://www.uniprot.org/uniprotkb/Q96L73,https://platform.opentargets.org/target/ENSG00000165671
NPM1,Yes,https://www.uniprot.org/uniprotkb/P06748,https://platform.opentargets.org/target/ENSG00000181163
KMT2A,Yes,https://www.uniprot.org/uniprotkb/Q03164,https://platform.opentargets.org/target/ENSG00000118058
ERCC4,No,https://www.uniprot.org/uniprotkb/Q92889,https://platform.opentargets.org/target/ENSG00000175595
RPS7,No,https://www.uniprot.org/uniprotkb/P62081,https://platform.opentargets.org/target/ENSG00000171863
RPS10,No,https://www.uniprot.org/uniprotkb/P46783,https://platform.opentargets.org/target/ENSG00000124614
RPS19,No,https://www.uniprot.org/uniprotkb/P39019,https://platform.opentargets.org/target/ENSG00000105372
RPS17,No,https://www.uniprot.org/uniprotkb/P08708,https://platform.opentargets.org/target/ENSG00000182774
U2AF1,No,https://www.uniprot.org/uniprotkb/Q01081,https://platform.opentargets.org/target/ENSG00000160201
BCORL1,No,https://www.uniprot.org/uniprotkb/Q5H9F3,https://platform.opentargets.org/target/ENSG00000085185
SETD2,No,https://www.uniprot.org/uniprotkb/Q9BYW2,https://platform.opentargets.org/target/ENSG00000181555
SF3B1,No,https://www.uniprot.org/uniprotkb/O75533,https://platform.opentargets.org/target/ENSG00000115524
PRIM2,No,https://www.uniprot.org/uniprotkb/P49643,https://platform.opentargets.org/target/ENSG00000146143
KDM5A,No,https://www.uniprot.org/uniprotkb/P29375,https://platform.opentargets.org/target/ENSG00000073614
FANCD2,No,https://www.uniprot.org/uniprotkb/Q9BXW9,https://platform.opentargets.org/target/ENSG00000144554
RPS28,No,https://www.uniprot.org/uniprotkb/P62857,https://platform.opentargets.org/target/ENSG00000233927
FANCI,No,https://www.uniprot.org/uniprotkb/Q9NVI1,https://platform.opentargets.org/target/ENSG00000140525
RAD21,No,https://www.uniprot.org/uniprotkb/O60216,https://platform.opentargets.org/target/ENSG00000164754
PML,No,https://www.uniprot.org/uniprotkb/P29590,https://platform.opentargets.org/target/ENSG00000140464
NHP2,No,https://www.uniprot.org/uniprotkb/Q9NX24,https://platform.opentargets.org/target/ENSG00000145912
TINF2,No,https://www.uniprot.org/uniprotkb/Q9BSI4,https://platform.opentargets.org/target/ENSG00000092330
RPS27A,No,https://www.uniprot.org/uniprotkb/P62979,https://platform.opentargets.org/target/ENSG00000143947
TET2,No,https://www.uniprot.org/uniprotkb/Q6N021,https://platform.opentargets.org/target/ENSG00000168769
RTEL1,No,https://www.uniprot.org/uniprotkb/Q9NZ71,https://platform.opentargets.org/target/ENSG00000258366
POLD3,No,https://www.uniprot.org/uniprotkb/Q15054,https://platform.opentargets.org/target/ENSG00000077514
RPL15,No,https://www.uniprot.org/uniprotkb/P61313,https://platform.opentargets.org/target/ENSG00000174748
RPL26,No,https://www.uniprot.org/uniprotkb/P61254,https://platform.opentargets.org/target/ENSG00000161970
TGM6,Yes,https://www.uniprot.org/uniprotkb/O95932,https://platform.opentargets.org/target/ENSG00000166948
STAT5B,Yes,https://www.uniprot.org/uniprotkb/P51692,https://platform.opentargets.org/target/ENSG00000173757
CTC1,No,https://www.uniprot.org/uniprotkb/Q2NKJ3,https://platform.opentargets.org/target/ENSG00000178971
POLD1,Yes,https://www.uniprot.org/uniprotkb/P28340,https://platform.opentargets.org/target/ENSG00000062822
KRAS,No,https://www.uniprot.org/uniprotkb/P01116,https://platform.opentargets.org/target/ENSG00000133703
FANCL,No,https://www.uniprot.org/uniprotkb/Q9NW38,https://platform.opentargets.org/target/ENSG00000115392
DDX41,No,https://www.uniprot.org/uniprotkb/Q9UJV9,https://platform.opentargets.org/target/ENSG00000183258
GATA1,No,https://www.uniprot.org/uniprotkb/P15976,https://platform.opentargets.org/target/ENSG00000102145
SLX4,No,https://www.uniprot.org/uniprotkb/Q8IY92,https://platform.opentargets.org/target/ENSG00000188827
PTEN,No,https://www.uniprot.org/uniprotkb/P60484,https://platform.opentargets.org/target/ENSG00000171862
PTPN11,Yes,https://www.uniprot.org/uniprotkb/Q06124,https://platform.opentargets.org/target/ENSG00000179295
BCR,Yes,https://www.uniprot.org/uniprotkb/P11274,https://platform.opentargets.org/target/ENSG00000186716
ETV6,No,https://www.uniprot.org/uniprotkb/P41212,https://platform.opentargets.org/target/ENSG00000139083
STN1,No,https://www.uniprot.org/uniprotkb/Q9H668,https://platform.opentargets.org/target/ENSG00000107960
RUNX1T1,No,https://www.uniprot.org/uniprotkb/Q06455,https://platform.opentargets.org/target/ENSG00000079102
EZH2,No,https://www.uniprot.org/uniprotkb/Q15910,https://platform.opentargets.org/target/ENSG00000106462
PRKCG,Yes,https://www.uniprot.org/uniprotkb/P05129,https://platform.opentargets.org/target/ENSG00000126583
POLE3,No,https://www.uniprot.org/uniprotkb/Q9NRF9,https://platform.opentargets.org/target/ENSG00000148229
POLD2,No,https://www.uniprot.org/uniprotkb/P49005,https://platform.opentargets.org/target/ENSG00000106628
PALB2,No,https://www.uniprot.org/uniprotkb/Q86YC2,https://platform.opentargets.org/target/ENSG00000083093
MBD4,No,https://www.uniprot.org/uniprotkb/O95243,https://platform.opentargets.org/target/ENSG00000129071
RPS24,No,https://www.uniprot.org/uniprotkb/P62847,https://platform.opentargets.org/target/ENSG00000138326
NRAS,No,https://www.uniprot.org/uniprotkb/P01111,https://platform.opentargets.org/target/ENSG00000213281
