new_rank,chembl_id,compound_name,combined_score,composite_final,ab_infection_rate_pct_mean,ab_score_norm_filled
1,CHEMBL3752910,NVP-BHG712,0.7233606557377049,3.4512915960161155,74.0,0.44672131147540983
2,CHEMBL35241,diminazene-aceturate,0.603294328694342,2.9619950895637284,86.0,0.3483606557377049
3,CHEMBL92708,calpeptin,0.6003001491287465,0.8620657757975001,12.5,0.9508196721311475
4,CHEMBL1232461,I-BET-762,0.5522773002889193,3.161486676640062,105.5,0.1885245901639344
5,CHEMBL180672,NPS-2143,0.5257975890432165,0.2629378306562053,9.5,0.9754098360655737
6,CHEMBL267930,spiperone,0.5071587706341898,0.4878977782014824,22.0,0.8729508196721312
7,CHEMBL27006,L-733060,0.5005148517741035,0.2723019232855369,16.0,0.9221311475409836
8,CHEMBL48802,sulforaphane,0.5,0.0,6.5,1.0
9,CHEMBL562318,PF-02545920,0.49677932657035506,0.0202029467832799,8.0,0.9877049180327869
10,CHEMBL1779732,CYM-50358,0.49670721522359296,0.0055605545245743,7.5,0.9918032786885246
