rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale
23,CHEMBL231813,0.9821340379015682,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway"
24,CHEMBL481611,0.9599652748897696,0.8921366174552268,1.3472281941114777,0.981138174697081,0.013301281631173,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,Cathepsin K inhibitor,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway | MoA: Cathepsin K inhibitor"
25,CHEMBL218394,0.9572639587719497,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway"
26,CHEMBL371064,0.9564823332067426,0.8887905599431484,1.341144453180426,0.981138174697081,0.013301281631173,"CTSB,CTSD,CTSK,CTSL",Endosomal/Vacuolar pathway,Cathepsin K inhibitor,True,"Host protein hits: CTSB,CTSD,CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway | MoA: Cathepsin K inhibitor"
27,CHEMBL564131,0.9557421179718723,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway"
28,CHEMBL428690,0.9522201344436247,0.3041876426607421,0.0360726078658958,1.8956513888966626,0.0,AAK1,FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation
29,CHEMBL64925,0.9420329037606131,0.8743207325750735,1.3220909206736569,0.981138174697081,0.0,"CTSB,CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway"
30,CHEMBL1336,0.9340996085214065,0.235266202507432,0.0,1.5684413500495467,0.0,,ARL13B-mediated ciliary trafficking of INPP5E; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ARL13B-mediated ciliary trafficking of INPP5E; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
31,CHEMBL553,0.9254096332112809,0.3041876426607421,0.0360726078658958,1.8956513888966626,0.0,AAK1,FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation
32,CHEMBL1738757,0.9030768952409959,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
33,CHEMBL573339,0.8629335566003905,0.5620333013486212,0.0,3.7468886756574746,0.0,,ER-Phagosome pathway; Macroautophagy; Synthesis of PIPs at the early endosome membrane,,True,Relevant pathways: ER-Phagosome pathway; Macroautophagy; Synthesis of PIPs at the early endosome membrane
34,CHEMBL92708,0.8620657757975001,0.7976482034634937,1.1826863222889663,0.981138174697081,0.0,"CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway"
35,CHEMBL262697,0.8615418963534845,0.7976482034634937,1.1826863222889663,0.981138174697081,0.0,"CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway"
36,CHEMBL63440,0.858495902859946,0.7947219215046357,1.1773658096364972,0.981138174697081,0.0,CTSL,Endosomal/Vacuolar pathway,,True,Host protein hits: CTSL | Relevant pathways: Endosomal/Vacuolar pathway
37,CHEMBL24828,0.820446222858153,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
38,CHEMBL1289926,0.7850969835089235,0.1895195718716908,0.0360726078658958,1.1311975836363206,0.0,AAK1,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
39,CHEMBL3545311,0.755638423327279,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
40,CHEMBL31965,0.7462915540534074,0.28892914727157715,0.0,1.9261943151438476,0.0,,COPII-mediated vesicle transport; ER-Phagosome pathway; FCGR3A-mediated phagocytosis,,False,Relevant pathways: COPII-mediated vesicle transport; ER-Phagosome pathway; FCGR3A-mediated phagocytosis
41,CHEMBL1421,0.7359194545523919,0.4524790334545282,0.0,1.1311975836363206,0.9426646530302673,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,Bcr/Abl fusion protein inhibitor,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation | MoA: Bcr/Abl fusion protein inhibitor
42,CHEMBL1171837,0.7329716977705181,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
43,CHEMBL2403108,0.7159116124849637,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
44,CHEMBL495727,0.7127431916798553,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
45,CHEMBL72365,0.7047257703152155,0.5787584721314006,0.0,3.858389814209338,0.0,,Macroautophagy; PINK1-PRKN Mediated Mitophagy; Pexophagy,,False,Relevant pathways: Macroautophagy; PINK1-PRKN Mediated Mitophagy; Pexophagy
46,CHEMBL572881,0.666699811153671,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
47,CHEMBL103667,0.6571625263201826,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
48,CHEMBL3301607,0.6335800605802075,0.2843477083344994,0.0,1.8956513888966626,0.0,,FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy; Regulation of actin dynamics for phagocytic cup formation
49,CHEMBL558752,0.631055696283728,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
50,CHEMBL259084,0.6258015717417416,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
51,CHEMBL1614712,0.6179355537074719,0.21668404061249424,0.0,1.4445602707499616,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
52,CHEMBL215152,0.6068508976907689,0.24913578017396293,0.0360726078658958,1.5286389723181348,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
53,CHEMBL1946170,0.6003173235739098,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
54,CHEMBL10,0.5966587322976851,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
55,CHEMBL2316582,0.5763136690335242,0.4524790334545282,0.0,1.1311975836363206,0.9426646530302673,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,Bcr/Abl fusion protein inhibitor,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation | MoA: Bcr/Abl fusion protein inhibitor
56,CHEMBL607707,0.5686276086859945,0.24913578017396293,0.0360726078658958,1.5286389723181348,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
57,CHEMBL1822792,0.5678621473970304,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
58,CHEMBL1879463,0.5630913896137206,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
59,CHEMBL223360,0.5612143260860234,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
60,CHEMBL3989870,0.5533351548973018,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
61,CHEMBL1922094,0.5504912759650897,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
62,CHEMBL1230020,0.5496012840645876,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
63,CHEMBL576982,0.5476469018996158,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
64,CHEMBL2387080,0.545217258237013,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
65,CHEMBL1236962,0.5451105713882474,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
66,CHEMBL428496,0.5450040493506889,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
67,CHEMBL2017974,0.5432873584333313,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
68,CHEMBL1229535,0.5424033468340356,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
69,CHEMBL3360203,0.5409432274912964,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
70,CHEMBL2216870,0.5397243166553448,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
71,CHEMBL4084907,0.5394586151803225,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
72,CHEMBL3545097,0.538468087149122,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
73,CHEMBL1256459,0.5383982677698926,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
74,CHEMBL1765602,0.5381093099447487,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
75,CHEMBL3137331,0.53654837507951,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
76,CHEMBL2140173,0.5351844962206,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
77,CHEMBL4303323,0.5342908032604855,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
78,CHEMBL1908396,0.5307900560808966,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
79,CHEMBL483254,0.5303190856833442,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
80,CHEMBL2391504,0.5269466567824685,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
81,CHEMBL3622372,0.5269466567824685,0.45770422304045155,0.0,3.0513614869363437,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane
82,CHEMBL1852688,0.5157878016405248,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
83,CHEMBL941,0.514089576536624,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
84,CHEMBL2436978,0.5010554814557391,0.27601184661438505,0.0,1.8400789774292337,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
85,CHEMBL255863,0.49703128204824265,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
86,CHEMBL460472,0.4883943490584042,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
87,CHEMBL267930,0.4878977782014824,0.28532900855094967,0.0,1.9021933903396644,0.0,,ER-Phagosome pathway; Endosomal/Vacuolar pathway,,True,Relevant pathways: ER-Phagosome pathway; Endosomal/Vacuolar pathway
88,CHEMBL1112,0.47629370509675834,0.25535166940936443,0.0,1.7023444627290965,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis
89,CHEMBL56337,0.4715294315816618,0.2938348598157436,0.0,1.9588990654382905,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis
90,CHEMBL565612,0.4643280994252911,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
91,CHEMBL410295,0.4574673438941004,0.21668404061249424,0.0,1.4445602707499616,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
92,CHEMBL1873475,0.45715020763353265,0.22929584584772023,0.0,1.5286389723181348,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation
93,CHEMBL2,0.45178041763759935,0.2938348598157436,0.0,1.9588990654382905,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis
