chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records
CHEMBL1200384,BETAMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200386,PREDNICARBATE,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200400,AZATHIOPRINE SODIUM,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],,moa,,,Amidophosphoribosyltransferase inhibitor | DNA inhibitor,0,0,1,0,1
CHEMBL1200410,PROCARBAZINE HYDROCHLORIDE,CNNCc1ccc(C(=O)NC(C)C)cc1.Cl,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1200449,TRIAMCINOLONE DIACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200475,DAUNORUBICIN CITRATE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2.0,moa;pathway,TOP2A,R-HSA-1362277;R-HSA-4615885,DNA inhibitor | DNA topoisomerase II alpha inhibitor,0,4,1,0,5
CHEMBL1200495,HYDROCORTISONE SODIUM SUCCINATE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+],,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200538,BETAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200545,DIFLORASONE DIACETATE,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200561,DOXAZOSIN MESYLATE,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,,moa,,,Adrenergic receptor alpha-1 antagonist,0,0,1,0,1
CHEMBL1200562,HYDROCORTISONE VALERATE,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200582,AMINOLEVULINIC ACID HYDROCHLORIDE,Cl.NCC(=O)CCC(=O)O,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1200584,AMINOSALICYLATE POTASSIUM,Nc1ccc(C(=O)[O-])c(O)c1.[K+],,moa,,,Dihydrofolate reductase inhibitor,0,0,1,0,1
CHEMBL1200596,CHLOROXINE,Oc1c(Cl)cc(Cl)c2cccnc12,,moa,,,DNA inhibitor,0,0,1,0,1
