chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records
CHEMBL2108342,GEMTUZUMAB,,3.0,known_aml_drug;pathway;protein,CD33,R-HSA-198933;R-HSA-6798695,"bp(MOA:""Myeloid cell surface antigen CD33 binding agent"")",1,4,0,1,6
CHEMBL2108356,PEGDINETANIB,,2.0,pathway;protein,KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9673768;R-HSA-9856530,,1,14,0,0,15
CHEMBL2108557,TELBERMIN,,2.0,pathway;protein,KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9673768;R-HSA-9856530,,1,14,0,0,15
CHEMBL2108585,CONTUSUGENE LADENOVEC,,2.0,pathway;protein,TP53,R-HSA-111448;R-HSA-139915;R-HSA-1912408;R-HSA-2559580;R-HSA-2559584;R-HSA-2559585;R-HSA-2559586;R-HSA-3232118;R-HSA-349425;R-HSA-390471;R-HSA-5620971;R-HSA-5628897;R-HSA-5689880;R-HSA-5689896;R-HSA-5693565;R-HSA-6785807;R-HSA-6796648;R-HSA-6803204;R-HSA-6803205;R-HSA-6803207;R-HSA-6803211;R-HSA-6804114;R-HSA-6804115;R-HSA-6804116;R-HSA-6804754;R-HSA-6804756;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-6804760;R-HSA-6807070;R-HSA-6811555;R-HSA-69473;R-HSA-69481;R-HSA-69541;R-HSA-69895;R-HSA-8852276;R-HSA-8853884;R-HSA-8941855;R-HSA-8943724;R-HSA-9723905;R-HSA-9725370;R-HSA-9758274;R-HSA-9819196;R-HSA-983231;R-HSA-9833482,,1,90,0,0,91
CHEMBL2108702,IMETELSTAT SODIUM,,2.0,pathway;protein,TERT,R-HSA-171319;R-HSA-201722;R-HSA-9825895,,1,3,0,0,4
CHEMBL2108811,VISILIZUMAB,,,known_aml_drug,,,"bp(MOA:""T-cell surface glycoprotein CD3 epsilon chain inhibitor"")",0,0,0,1,1
CHEMBL2109128,LENOGRASTIM,,,known_aml_drug,,,"bp(MOA:""Granulocyte colony stimulating factor receptor agonist"")",0,0,0,1,1
CHEMBL2109150,LINTUZUMAB,,3.0,pathway;protein,CD33,R-HSA-198933;R-HSA-6798695,,1,4,0,0,5
CHEMBL2109229,OBLIMERSEN SODIUM,,3.0,known_aml_drug;pathway,BCL2,R-HSA-111447;R-HSA-111453;R-HSA-6785807;R-HSA-844455;R-HSA-9018519;R-HSA-9634638;R-HSA-9818030;R-HSA-9824594,"bp(MOA:""Bcl-2 mRNA antisense inhibitor"")",0,16,0,1,17
CHEMBL2109266,AVE-9633,,1.0,pathway;protein,CD33,R-HSA-198933;R-HSA-6798695,,1,4,0,0,5
CHEMBL2109267,M195,,1.0,pathway;protein,CD33,R-HSA-198933;R-HSA-6798695,,1,4,0,0,5
CHEMBL2109328,IMC-EB10,,1.0,pathway,FLT3,R-HSA-109704;R-HSA-1257604;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9607240;R-HSA-9645135;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377,,0,54,0,0,54
