phase,status,disease_id,disease_name,chembl_id,drug_name,gene_symbol,smiles
AXL,4.0,,EFO_0000222,acute myeloid leukemia,CHEMBL3301603,GILTERITINIB FUMARATE,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.O=C(O)/C=C/C(=O)O
AXL,4.0,,EFO_0000616,neoplasm,CHEMBL3301622,GILTERITINIB,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
AXL,2.0,Completed,EFO_0000571,lung adenocarcinoma,CHEMBL3809489,BEMCENTINIB,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2
AXL,2.0,Terminated,EFO_0003060,non-small cell lung carcinoma,CHEMBL3984441,NINGETINIB,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C
AXL,1.0,Completed,EFO_0000616,neoplasm,CHEMBL3545236,BPI-9016,
TP53,3.0,Completed,EFO_0000198,myelodysplastic syndrome,CHEMBL3186011,EPRENETAPOPT,COCC1(CO)C(=O)C2CCN1CC2
TP53,3.0,Terminated,EFO_0000222,acute myeloid leukemia,CHEMBL2402737,IDASANUTLIN,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F
TP53,2.0,Terminated,EFO_0000095,chronic lymphocytic leukemia,CHEMBL2219776,CENERSEN SODIUM,
TP53,2.0,Completed,EFO_0000222,acute myeloid leukemia,CHEMBL2108280,CENERSEN,
TP53,2.0,Recruiting,EFO_0000479,essential thrombocythemia,CHEMBL3125702,NAVTEMADLIN,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
TP53,2.0,Recruiting,EFO_0000616,neoplasm,CHEMBL3653256,SIREMADLIN,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1
TP53,2.0,Unknown status,EFO_0003060,non-small cell lung carcinoma,CHEMBL2108585,CONTUSUGENE LADENOVEC,
TP53,2.0,Recruiting,EFO_0004289,lymphoid leukemia,CHEMBL4091801,ALRIZOMADLIN,CCN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2
TP53,2.0,Completed,HP_0001919,Acute kidney injury,CHEMBL4297574,TEPRASIRAN,
