compound_name,chembl_id,morphology score,is_CP_hit
4-CMTB,CHEMBL610463,0.03,False
4-DAMP,CHEMBL76897,0.1,False
4-HQN,CHEMBL266540,-0.1,False
4-IBP,CHEMBL50112,-0.01,False
4-P-PDOT,CHEMBL1402435,-0.08,False
4-PPBP,CHEMBL325238,0.29,False
"4-acetyl-1,1-dimethylpiperazinium",CHEMBL356911,0.1,False
4-aminohippuric-acid,CHEMBL463,-0.06,False
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932,0.13,False
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932,0.04,False
4-chlorophenylguanidine,CHEMBL41040,-0.23,False
4-galactosyllactose,CHEMBL4303712,-0.07,False
4-hydroxy-phenazone,CHEMBL1526434,-0.07,False
4-iodo-6-phenylpyrimidine,CHEMBL497802,0.25,False
4-iodo-L-phenylalanine,CHEMBL1235284,0.2,False
4-methylgenistein,CHEMBL131921,0.14,False
4-methylhistamine,CHEMBL275443,0.11,False
4-mu-8C,CHEMBL272357,0.21,False
4-phenolsulfonic-acid,CHEMBL1398657,-0.09,False
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",CHEMBL1316537,-0.26,False
4-propylbenzoic-acid,CHEMBL116159,0.19,False
4-pyrimidinecarbonitrile,CHEMBL3352956,0.08,False
4-tert-butylphenol,CHEMBL16217,0.09,False
4BP-TQS,CHEMBL4303195,-0.06,False
4E1RCat,CHEMBL4577351,0.18,False
4EGI-1,CHEMBL3310197,0.23,False
4SC-202,CHEMBL4283683,-0.07,False
5'-chloro-5'-deoxy-ENBA-(+/-),CHEMBL449575,0.09,False
"5,7-dichlorokynurenic-acid",CHEMBL50267,-0.03,False
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",CHEMBL94841,0.02,False
5-BDBD,CHEMBL2180179,0.03,False
5-HMF,CHEMBL185885,0.26,False
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",CHEMBL2105116,0.01,False
5-aminolevulinic-acid,CHEMBL601,0.05,False
5-carboxamidotryptamine,CHEMBL18840,0.03,False
5-fluoro-3-pyridyl-methanol,CHEMBL4303401,0.13,False
5-fluorouracil,CHEMBL185,0.04,False
5-hydroxymethyl-tolterodine,CHEMBL3348932,0.19,False
5-hydroxytryptophan,CHEMBL162789,0.2,False
5-iodo-A-85380,CHEMBL123433,0.11,False
5-methylfurmethiodide,CHEMBL1316369,-0.12,False
5-methylhydantoin-(D),CHEMBL1394088,0.12,False
5-methylhydantoin-(D),CHEMBL1394088,0.08,False
"6,7-dehydro-17-acetoxy-progesterone",CHEMBL4303675,0.11,False
6-aminochrysene,CHEMBL313154,0.14,False
6-benzylaminopurine,CHEMBL228862,0.19,False
6-chloromelatonin,CHEMBL34730,0.02,False
6-diazo-5-oxo-L-norleucine,CHEMBL4303391,0.2,False
6-iodo-nordihydrocapsaicin,CHEMBL177809,0.04,False
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",CHEMBL1192114,-0.1,False
7-aminocephalosporanic-acid,CHEMBL1615585,-0.04,False
7-chlorokynurenic-acid,CHEMBL311389,0.03,False
7-hydroxy-DPAT,CHEMBL1255966,-0.36,False
7-hydroxy-PIPAT,CHEMBL110239,-0.1,False
7-keto-DHEA,CHEMBL1875999,-0.18,False
