chembl_id,drug_name_canonical,smiles_canonical,protein_genes,protein_pairs,pathways,pathway_pairs,pathway_genes,moa_terms,moa_pairs,evidence_sources_count,aml_known_drug_flag,preferred_name_chembl,trade_names_chembl,url,known_targets_chembl,known_mechanisms_chembl,Solubility_logS,Solubility_logS_lower_bound,Solubility_logS_upper_bound,Solubility_Capped_logS_lower_bound,Solubility_Capped_logS_upper_bound,Lipophilicity,CYP3A4_p0,CYP3A4_p1,CYP3A4,CYP2C19_p0,CYP2C19_p1,CYP2C19,CYP2D6_p0,CYP2D6_p1,CYP2D6,CYP1A2_p0,CYP1A2_p1,CYP1A2,CYP2C9_p0,CYP2C9_p1,CYP2C9,PGP_p0,PGP_p1,PGP,hERG_p0,hERG_p1,hERG,AMES_p0,AMES_p1,AMES,PAMPA_p0,PAMPA_p1,PAMPA,BBB_p0,BBB_p1,BBB,mech_subscore,exp_subscore,clin_subscore,admet_subscore,tract_subscore,overall_score
CHEMBL2105728,CRENOLANIB,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,3,3,37,92,3,1,1,3,True,CRENOLANIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105728,p(HGNC:PDGFRB); p(HGNC:FLT3),"bp(MOA:""Platelet-derived growth factor receptor inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor"")",-5.19,-6.05,-4.33,-6.05,-4.33,3.916500000000001,0.715,0.0426,0.0,0.0801,0.574,1.0,0.19,0.321,1.0,0.141,0.248,1.0,0.479,0.112,0.0,0.633,0.0742,0,0.0227,0.612,1,0.199,0.173,0,0.262,0.427,0.5,0.252,0.165,0.0,0.6853366328970623,1.0,0.49999999999999994,0.48327026175811866,0.6623740201567749,0.6991140436321817
CHEMBL3301622,GILTERITINIB,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,2,2,28,56,2,1,1,3,True,GILTERITINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301622,p(HGNC:FLT3); p(HGNC:AXL),"bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor UFO inhibitor"")",-2.84,-3.45,-2.22,-3.45,-2.22,2.6972000000000014,0.912,0.0106,0.0,0.049,0.679,1.0,0.147,0.43,1.0,0.972,0.000766,0.0,0.961,0.00264,0.0,0.319,0.12,0,0.486,0.105,0,0.737,0.033,0,0.239,0.417,1.0,0.0348,0.833,1.0,0.616425106278367,1.0,0.49999999999999994,0.743029143337066,0.7413213885778276,0.6945815369017814
CHEMBL1201129,DECITABINE,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,2,2,9,26,2,1,1,3,True,DECITABINE,Dacogen; Decitabine; Decitabine component of astx-727; Decitabine component of astx727; Decitabine component of inqovi,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201129,p(HGNC:DNMT3A); p(HGNC:DNMT1),"bp(MOA:""DNA (cytosine-5)-methyltransferase 3A inhibitor""); bp(MOA:""DNA (cytosine-5)-methyltransferase 1 inhibitor""); bp(MOA:""DNA inhibitor"")",-0.367,-1.13,0.399,-1.13,0.399,-2.1388,0.878,0.0151,0.0,0.567,0.07,0.0,0.654,0.0823,0.0,0.794,0.0143,0.0,0.469,0.128,0.0,0.573,0.0599,0,0.799,0.0311,0,0.0928,0.383,1,0.947,0.0048,0.0,0.242,0.167,0.0,0.5296629067116975,1.0,0.8,0.46631718924972004,0.8244008958566629,0.6726832170736539
CHEMBL38,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,3,3,6,24,3,1,1,3,True,TRETINOIN,Acticin; Altreno; Atralin; Avita; Renova; Retin-a; Retin-a micro; Retin-a-micro; Tretinoin; Tretinoin component of solage; Tretinoin component of tri-luma; Tretinoin component of twyneo; Tretinoin component of veltin; Tretinoin component of ziana; Tretin-x; Vesanoid,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL38,p(HGNC:RARG),"bp(MOA:""Retinoic acid receptor agonist"")",-4.41,-5.78,-3.04,-5.78,-3.04,5.602600000000005,0.875,0.0155,0.0,0.597,0.0576,0.0,0.417,0.185,0.0,0.465,0.0617,0.0,0.795,0.0303,0.0,0.67,0.0724,0,0.305,0.178,0,0.251,0.157,0,0.544,0.102,0.0,0.464,0.039,0.0,0.5474836681992573,1.0,0.8,0.44317456606942857,0.6885778275475924,0.6724881820839511
CHEMBL1489,AZACITIDINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,2,2,9,26,2,1,1,3,True,AZACITIDINE,Azacitidine; Azacitidine accord; Azacitidine betapharm; Azacitidine celgene; Azacitidine kabi; Azacitidine mylan; Onureg; Vidaza,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1489,p(HGNC:DNMT3A); p(HGNC:DNMT1),"bp(MOA:""DNA (cytosine-5)-methyltransferase 3A inhibitor""); bp(MOA:""DNA (cytosine-5)-methyltransferase 1 inhibitor""); bp(MOA:""DNA inhibitor"")",-1.04,-1.85,-0.222,-1.85,-0.222,-3.168,0.908,0.00928,0.0,0.525,0.0874,0.0,0.783,0.0484,0.0,0.91,0.00385,0.0,0.323,0.187,0.0,0.695,0.0528,0,0.898,0.0144,0,0.072,0.474,1,0.992,0.00571,0.0,0.277,0.127,0.0,0.5296629067116975,1.0,0.8,0.4531284994400896,0.8017917133258678,0.6702338889661511
CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,7,7,65,162,7,1,1,3,False,,,,,,-0.594,-1.09,-0.0959,-1.09,-0.0959,2.24154,0.976,0.00461,0.0,0.371,0.134,0.0,0.742,0.0712,0.0,0.883,0.0094,0.0,0.796,0.0382,0.0,0.389,0.139,0,0.337,0.169,0,0.605,0.0522,0,0.608,0.0778,0.0,0.0741,0.704,1.0,0.8432918658880421,0.6,0.0,0.7280224510078387,0.8167749160134379,0.6552869238454769
CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,9,9,76,200,9,1,1,3,False,,,,,,-6.84,-7.6,-6.08,-7.6,-6.08,5.688800000000002,0.471,0.12,0.0,0.594,0.0763,0.0,0.862,0.025,0.0,0.187,0.223,0.5,0.792,0.031,0.0,0.165,0.181,1,0.471,0.131,0,0.912,0.00977,0,0.0862,0.716,1.0,0.139,0.365,1.0,0.8922209326277518,0.6,0.0,0.49329168533034695,0.606942889137738,0.6457867793037975
CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,7,7,65,162,7,1,1,3,False,,,,,,-2.48,-3.09,-1.88,-3.09,-1.88,3.3349400000000013,0.674,0.0606,0.0,0.0872,0.488,1.0,0.515,0.138,0.0,0.481,0.0575,0.0,0.587,0.0887,0.0,0.0941,0.242,1,0.204,0.242,1,0.174,0.199,1,0.133,0.782,1.0,0.0469,0.829,1.0,0.8432918658880421,0.6,0.0,0.6477252645576707,0.7534154535274356,0.6440892320761599
CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,6,6,61,152,6,1,1,3,False,,,,,,-2.89,-3.43,-2.35,-3.43,-2.35,2.5445,0.544,0.0784,0.0,0.836,0.0163,0.0,0.409,0.196,0.0,0.528,0.0536,0.0,0.167,0.36,1.0,0.561,0.0866,0,0.506,0.112,0,0.258,0.139,0,0.269,0.318,0.5,0.165,0.256,1.0,0.8164344694455324,0.6,0.0,0.707843050111982,0.7396416573348263,0.6359836226007058
CHEMBL4297610,OLUTASIDENIB,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,1,1,5,10,1,1,1,3,True,OLUTASIDENIB,Rezlidhia,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297610,p(HGNC:IDH1),"bp(MOA:""Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor"")",-3.97,-4.74,-3.19,-4.74,-3.19,2.9249800000000006,0.329,0.186,0.0,0.834,0.0156,0.0,0.62,0.0931,0.0,0.00148,0.98,1.0,0.598,0.0672,0.0,0.146,0.232,1,0.346,0.166,0,0.0723,0.511,1,0.175,0.611,1.0,0.251,0.16,0.0,0.42195436205016984,1.0,0.8,0.675398436450168,0.7033594624860022,0.6336849977944018
CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,6,6,61,152,6,1,1,3,False,,,,,,-3.45,-4.19,-2.72,-4.19,-2.72,3.295020000000001,0.467,0.138,0.0,0.15,0.353,1.0,0.555,0.112,0.0,0.229,0.193,0.5,0.349,0.165,0.0,0.175,0.182,0.5,0.606,0.0796,0,0.35,0.101,0,0.0658,0.894,1.0,0.0678,0.779,1.0,0.8164344694455324,0.6,0.0,0.6937113059910415,0.7208286674132139,0.6336297986925311
