label,chunk_size,chunk_overlap,recall@1
c200_o0,200,0,0.7054545454545454
c200_o50,200,50,0.7636363636363637
c200_o100,200,100,0.7218181818181818
c200_o200,200,200,0.7509090909090909
c400_o0,400,0,0.6963636363636364
c400_o50,400,50,0.7018181818181818
c400_o100,400,100,0.7127272727272728
c400_o200,400,200,0.730909090909091
