inchikey,chembl_id,drug_name,smiles,phase,n_protein_links,n_unique_genes,n_pathway_links,n_unique_pathways,n_moa_links,n_unique_moa,max_phase,n_unique_genes_log,n_unique_pathways_log,n_unique_moa_log,mechanistic_score,phase_bonus,CYP3A4_p0,CYP3A4_p1,CYP3A4_inhibition,AMES_p0,AMES_p1,AMES_mutagenic,BBB_p0,BBB_p1,BBB_penetration,hERG_p0,hERG_p1,hERG_inhibition,PAMPA_p0,PAMPA_p1,PAMPA_permeability,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound,logP,CYP2C19_p0,CYP2C19_p1,CYP2C19_inhibition,CYP2D6_p0,CYP2D6_p1,CYP2D6_inhibition,CYP1A2_p0,CYP1A2_p1,CYP1A2_inhibition,CYP2C9_p0,CYP2C9_p1,CYP2C9_inhibition,PGP_p0,PGP_p1,PGP_inhibition,admet_penalty,logS_norm,logP_norm,admet_reg_bonus,mechanistic_score_norm,overall_score,assay_top_uM,assay_series_uM
RITAVMQDGBJQJZ-FMIVXFBMSA-N,CHEMBL1289926,AXITINIB,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,,22,2,20,8,1,1,4.0,1.0986122886681096,2.1972245773362196,0.6931471805599453,1.3471029536469097,1.0,0.711,0.049,0.0,0.419,0.0879,0.0,0.153,0.342,1,0.971,0.006,0.0,0.244,0.404,1.0,-3.52,-4.04,-3.01,-4.04,-3.01,4.639100000000004,0.312,0.17,0.0,0.552,0.107,0.0,0.179,0.222,0.5,0.627,0.062,0.0,0.46,0.106,0.0,0.15,0.56,0.3402249999999989,0.0900224999999999,0.4169347232191965,0.36452288973631697,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
DADAEARVGOQWHV-OSYLJGHBSA-N,CHEMBL4650343,IZENCITINIB,Cc1cc(Nc2cc3ncccc3c(N[C@@H]3C[C@H]4CC[C@@H](C3)N4CCC#N)n2)n[nH]1,2.0,77,1,76,38,0,0,2.0,0.6931471805599453,3.6635616461296463,0.0,1.3372189278099516,0.5,0.277,0.23,0.5,0.271,0.135,0.0,0.188,0.246,1,0.547,0.0944,0.0,0.274,0.399,0.5,-3.48,-4.01,-2.94,-4.01,-2.94,3.725900000000001,0.591,0.0747,0.0,0.623,0.113,0.0,0.313,0.123,0.0,0.803,0.0287,0.0,0.179,0.176,0.5,0.3,0.565,0.5685249999999997,0.11335249999999997,0.41358232666987116,0.36179785266939046,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
YJCZPJQGFSSFOL-MNZPCBJKSA-N,CHEMBL4091801,ALRIZOMADLIN,CCN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2,2.0,91,1,89,46,0,0,2.0,0.6931471805599453,3.8501476017100584,0.0,1.3889965304835157,0.5,0.267,0.25,0.5,0.514,0.0392,0.0,0.174,0.27,1,0.913,0.0162,0.0,0.216,0.449,1.0,-5.69,-6.09,-5.29,-6.09,-5.29,6.807000000000007,0.692,0.0445,0.0,0.39,0.2,0.5,0.282,0.132,0.0,0.209,0.313,0.5,0.608,0.0718,0.0,0.44999999999999996,0.28874999999999995,0.0,0.028874999999999998,0.4311439012143395,0.36067856603218856,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
LZCDAPDGXCYOEH-UHFFFAOYSA-N,CHEMBL1265,ADAPALENE,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,,27,3,24,6,1,1,4.0,1.3862943611198906,1.9459101490553132,0.6931471805599453,1.4155496613885283,1.0,0.455,0.124,0.0,0.799,0.024,0.0,0.129,0.389,1,0.87,0.0241,0.0,0.736,0.0216,0.0,-8.3,-9.47,-7.12,-9.47,-7.12,6.681400000000005,0.728,0.0332,0.0,0.043,0.61,1.0,0.0833,0.409,1.0,0.682,0.0432,0.0,0.607,0.057,0.0,0.6,0.0,0.0,0.0,0.4401500112638394,0.3606275095742635,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,CHEMBL4297507,DELGOCITINIB,C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2,3.0,77,1,76,38,0,0,3.0,0.6931471805599453,3.6635616461296463,0.0,1.391430505964409,0.75,0.327,0.19,0.0,0.367,0.0849,0.0,0.244,0.135,0,0.201,0.247,1.0,0.215,0.426,1.0,-3.25,-3.81,-2.69,-3.81,-2.69,1.2987799999999996,0.682,0.0442,0.0,0.556,0.12,0.0,0.0188,0.7,1.0,0.856,0.0159,0.0,0.199,0.154,0.0,1.3,0.59375,0.824695,0.1418445,0.4319694404367056,0.35920069937119975,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
FGTCROZDHDSNIO-UHFFFAOYSA-N,CHEMBL1614710,OSI-930,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,1.0,63,3,60,29,0,0,1.0,1.3862943611198906,3.4011973816621555,0.0,1.5207369256145002,0.25,0.333,0.175,0.0,0.053,0.716,1.0,0.047,0.881,1,0.858,0.0244,0.0,0.243,0.362,1.0,-4.78,-5.48,-4.08,-5.48,-4.08,6.059300000000004,0.0955,0.497,1.0,0.262,0.263,0.5,0.0413,0.569,1.0,0.0976,0.51,1.0,0.105,0.252,1.0,2.3499999999999996,0.40249999999999997,0.0,0.04025,0.475826710965045,0.35761520432028826,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
BALLNEJQLSTPIO-UHFFFAOYSA-N,CHEMBL4303214,FRUQUINTINIB,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,,22,2,20,8,1,1,4.0,1.0986122886681096,2.1972245773362196,0.6931471805599453,1.3471029536469097,1.0,0.605,0.0753,0.0,0.372,0.0856,0.0,0.301,0.108,0,0.445,0.134,0.0,0.22,0.599,1.0,-4.21,-4.74,-3.69,-4.74,-3.69,3.853520000000003,0.326,0.17,0.0,0.719,0.0737,0.0,0.0894,0.372,1.0,0.433,0.12,0.0,0.0836,0.271,1.0,0.6,0.47375,0.5366199999999992,0.10103699999999992,0.4169347232191965,0.356050064736317,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
UEPXBTCUIIGYCY-UHFFFAOYSA-N,CHEMBL4583691,NAPORAFENIB,Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,3.0,68,2,66,21,0,0,3.0,1.0986122886681096,3.091042453358316,0.0,1.4212456723287414,0.75,0.852,0.0254,0.0,0.109,0.317,1.0,0.138,0.459,1,0.547,0.0958,0.0,0.424,0.242,0.0,-4.12,-4.77,-3.47,-4.77,-3.47,3.9308200000000033,0.177,0.32,1.0,0.799,0.049,0.0,0.334,0.113,0.0,0.621,0.0706,0.0,0.0956,0.262,1.0,1.6,0.485,0.5172949999999992,0.10022949999999993,0.44208194545096874,0.3548040786333234,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
TTZSNFLLYPYKIL-UHFFFAOYSA-N,CHEMBL4297190,SURUFATINIB,Cc1cc2cc(Oc3ccnc(Nc4cccc(CS(=O)(=O)NCCN(C)C)c4)n3)ccc2[nH]1,,22,2,20,8,1,1,3.0,1.0986122886681096,2.1972245773362196,0.6931471805599453,1.2965865928851505,0.75,0.832,0.0264,0.0,0.455,0.0743,0.0,0.376,0.0918,0,0.57,0.0912,0.0,0.234,0.499,1.0,-4.62,-5.09,-4.14,-5.09,-4.14,3.783220000000002,0.556,0.0758,0.0,0.88,0.0215,0.0,0.291,0.16,0.0,0.775,0.0257,0.0,0.502,0.11,0.0,0.0,0.4225,0.5541949999999995,0.09766949999999996,0.39980092811427503,0.3544812138971337,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,CHEMBL3301612,ENCORAFENIB,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,,33,1,32,16,1,1,4.0,0.6931471805599453,2.833213344056216,0.6931471805599453,1.3351670296088265,1.0,0.328,0.175,0.0,0.5,0.0712,0.0,0.0849,0.606,1,0.749,0.0417,0.0,0.0552,0.856,1.0,-4.57,-5.03,-4.12,-5.03,-4.12,3.908400000000002,0.607,0.0608,0.0,0.197,0.331,1.0,0.0062,0.887,1.0,0.89,0.0103,0.0,0.642,0.0727,0.0,0.6,0.42874999999999996,0.5228999999999995,0.09516499999999994,0.41288637781638915,0.35172817114393073,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
SQSZANZGUXWJEA-UHFFFAOYSA-N,CHEMBL2107823,GANDOTINIB,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1,2.0,77,1,76,38,0,0,2.0,0.6931471805599453,3.6635616461296463,0.0,1.3372189278099516,0.5,0.071,0.528,1.0,0.266,0.107,0.0,0.115,0.409,1,0.944,0.0105,0.0,0.246,0.336,1.0,-3.05,-3.48,-2.62,-3.48,-2.62,4.028340000000003,0.305,0.184,0.0,0.297,0.25,0.5,0.014,0.732,1.0,0.658,0.0586,0.0,0.871,0.0199,0.0,0.75,0.61875,0.4929149999999993,0.11116649999999995,0.41358232666987116,0.3513449526693905,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL3622821,UPADACITINIB,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,3.0,77,1,76,38,0,0,3.0,0.6931471805599453,3.6635616461296463,0.0,1.391430505964409,0.75,0.173,0.334,1.0,0.87,0.0146,0.0,0.192,0.243,1,0.193,0.247,1.0,0.228,0.472,1.0,-3.45,-4.03,-2.86,-4.03,-2.86,2.9079000000000006,0.405,0.122,0.0,0.171,0.361,1.0,0.426,0.0793,0.0,0.589,0.0696,0.0,0.48,0.115,0.0,1.6,0.56875,0.7730249999999999,0.13417749999999998,0.4319694404367056,0.3513006493711997,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL2105729,DABRAFENIB MESYLATE,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,,66,1,64,16,1,1,4.0,0.6931471805599453,2.833213344056216,0.6931471805599453,1.3351670296088265,1.0,0.32,0.205,0.0,0.541,0.0636,0.0,0.252,0.141,0,0.705,0.0527,0.0,0.223,0.503,1.0,-6.01,-6.46,-5.55,-6.46,-5.55,5.364900000000003,0.527,0.0868,0.0,0.41,0.178,0.0,0.373,0.092,0.0,0.059,0.674,1.0,0.412,0.132,0.0,0.3,0.24875000000000003,0.15877499999999922,0.04075249999999993,0.41288637781638915,0.3503162961439307,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
VQIIUJSNIKEMCK-MHZLTWQESA-N,CHEMBL4802163,NEZULCITINIB,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)C[C@@H](C(=O)N3CC(N(C)C)C3)N(C(C)C)C4)n[nH]c2c1,1.0,77,1,76,38,0,0,1.0,0.6931471805599453,3.6635616461296463,0.0,1.2830073496554941,0.25,0.641,0.0646,0.0,0.889,0.0112,0.0,0.228,0.146,0,0.708,0.0523,0.0,0.531,0.0857,0.0,-3.49,-3.91,-3.07,-3.91,-3.07,3.7955000000000014,0.337,0.163,0.0,0.596,0.0966,0.0,0.472,0.0513,0.0,0.302,0.213,0.5,0.435,0.123,0.0,0.15,0.56375,0.5511249999999996,0.11148749999999996,0.3951952129030369,0.3492640559675813,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
GBXJAPBXPROFPY-GOSISDBHSA-N,CHEMBL5316167,ARQ-736 FREE ACID,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)(O)O)c5)nc5occn45)n3)C2)n1,1.0,68,2,66,21,0,0,1.0,1.0986122886681096,3.091042453358316,0.0,1.3104992563031252,0.25,0.225,0.274,0.5,0.262,0.13,0.0,0.289,0.091,0,0.631,0.0784,0.0,0.251,0.344,0.5,-3.2,-3.68,-2.72,-3.68,-2.72,2.4956000000000005,0.152,0.334,1.0,0.197,0.316,1.0,0.301,0.124,0.0,0.8,0.0225,0.0,0.695,0.0431,0.0,0.75,0.6,0.8760999999999999,0.14761,0.4045197305135913,0.3491082709365526,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
GBXJAPBXPROFPY-GOSISDBHSA-L,CHEMBL5314407,ARQ-736,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)([O-])[O-])c5)nc5occn45)n3)C2)n1,1.0,68,2,66,21,0,0,1.0,1.0986122886681096,3.091042453358316,0.0,1.3104992563031252,0.25,0.225,0.275,0.5,0.263,0.131,0.0,0.302,0.0949,0,0.631,0.0788,0.0,0.271,0.347,0.5,-3.2,-3.68,-2.72,-3.68,-2.72,1.231599999999999,0.153,0.335,1.0,0.197,0.318,1.0,0.302,0.125,0.0,0.801,0.0239,0.0,0.705,0.0522,0.0,0.75,0.6,0.8078999999999997,0.14078999999999997,0.4045197305135913,0.3480852709365526,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
JCINBYQJBYJGDM-UHFFFAOYSA-N,CHEMBL3545215,BMS-911543,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,1.0,77,1,76,38,0,0,1.0,0.6931471805599453,3.6635616461296463,0.0,1.2830073496554941,0.25,0.22,0.281,0.5,0.448,0.0841,0.0,0.113,0.507,1,0.831,0.0267,0.0,0.384,0.217,0.0,-1.9,-2.39,-1.41,-2.39,-1.41,3.495420000000002,0.848,0.0159,0.0,0.673,0.0787,0.0,0.0664,0.406,1.0,0.825,0.0197,0.0,0.729,0.0548,0.0,0.44999999999999996,0.7625,0.6261449999999995,0.13886449999999995,0.3951952129030369,0.3466206059675813,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
WOSKHXYHFSIKNG-UHFFFAOYSA-N,CHEMBL2105704,LENVATINIB MESYLATE,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,,44,2,40,8,1,1,4.0,1.0986122886681096,2.1972245773362196,0.6931471805599453,1.3471029536469097,1.0,0.166,0.313,1.0,0.44,0.0711,0.0,0.0721,0.8,1,0.454,0.129,0.0,0.201,0.54,1.0,-5.41,-6.22,-4.6,-6.22,-4.6,4.071900000000002,0.742,0.0361,0.0,0.0463,0.657,1.0,0.103,0.353,1.0,0.776,0.0333,0.0,0.779,0.0342,0.0,0.8999999999999999,0.32375,0.4820249999999995,0.08057749999999995,0.4169347232191965,0.346231139736317,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
SHGAZHPCJJPHSC-ZVCIMWCZSA-N,CHEMBL705,ALITRETINOIN,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,4.0,27,3,24,6,0,0,4.0,1.3862943611198906,1.9459101490553132,0.0,1.2769202252765393,1.0,0.874,0.0134,0.0,0.248,0.154,0.0,0.443,0.0323,0,0.305,0.177,0.0,0.51,0.0965,0.0,-4.41,-5.78,-3.04,-5.78,-3.04,5.602600000000005,0.595,0.0558,0.0,0.416,0.181,0.0,0.463,0.0599,0.0,0.794,0.0277,0.0,0.652,0.0567,0.0,0.0,0.44875,0.09934999999999872,0.05480999999999987,0.3931306235241809,0.34238252999555374,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
IHUNBGSDBOWDMA-AQFIFDHZSA-N,CHEMBL1131,ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,4.0,27,3,24,6,0,0,4.0,1.3862943611198906,1.9459101490553132,0.0,1.2769202252765393,1.0,0.682,0.0423,0.0,0.364,0.106,0.0,0.312,0.116,0,0.233,0.216,0.0,0.347,0.327,0.5,-3.98,-4.65,-3.3,-4.65,-3.3,5.167060000000005,0.539,0.081,0.0,0.011,0.819,1.0,0.56,0.0425,0.0,0.752,0.0472,0.0,0.416,0.138,0.0,0.3,0.5025,0.20823499999999884,0.07107349999999989,0.3931306235241809,0.3380720549955537,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
LTEJRLHKIYCEOX-OCCSQVGLSA-N,CHEMBL270995,BRIVANIB ALANINATE,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,,22,2,20,8,1,1,3.0,1.0986122886681096,2.1972245773362196,0.6931471805599453,1.2965865928851505,0.75,0.337,0.19,0.0,0.462,0.0745,0.0,0.25,0.165,0,0.0475,0.467,1.0,0.375,0.328,0.5,-2.16,-2.52,-1.79,-2.52,-1.79,3.4165400000000004,0.519,0.0888,0.0,0.424,0.182,0.0,0.508,0.05,0.0,0.947,0.00579,0.0,0.247,0.168,0.0,1.0,0.73,0.6458649999999999,0.1375865,0.39980092811427503,0.33796876389713376,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
KVCQTKNUUQOELD-UHFFFAOYSA-N,CHEMBL3977543,BELVARAFENIB,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,2.0,68,2,66,21,0,0,2.0,1.0986122886681096,3.091042453358316,0.0,1.3658724643159332,0.5,0.238,0.28,0.5,0.233,0.174,0.0,0.13,0.365,1,0.545,0.101,0.0,0.145,0.62,1.0,-5.51,-5.95,-5.07,-5.95,-5.07,5.918520000000001,0.174,0.305,1.0,0.238,0.293,0.5,0.0113,0.76,1.0,0.141,0.425,1.0,0.196,0.163,0.0,1.2,0.31125,0.020369999999999777,0.03316199999999998,0.4233008379822799,0.3377800122849379,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
PDOQBOJDRPLBQU-QMMMGPOBSA-N,CHEMBL1231124,AZD-1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,1.0,77,1,76,38,0,0,1.0,0.6931471805599453,3.6635616461296463,0.0,1.2830073496554941,0.25,0.0972,0.468,1.0,0.428,0.0771,0.0,0.236,0.127,0,0.915,0.0152,0.0,0.192,0.486,1.0,-3.48,-4.07,-2.89,-4.07,-2.89,3.00732,0.353,0.159,0.0,0.109,0.447,1.0,0.328,0.129,0.0,0.183,0.37,1.0,0.26,0.145,0.0,0.8999999999999999,0.565,0.74817,0.131317,0.3951952129030369,0.33536348096758134,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
MMNNTJYFHUDSKL-UHFFFAOYSA-N,CHEMBL3545027,XL-281,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,1.0,68,2,66,21,0,0,1.0,1.0986122886681096,3.091042453358316,0.0,1.3104992563031252,0.25,0.895,0.0124,0.0,0.246,0.148,0.0,0.0653,0.622,1,0.922,0.0123,0.0,0.0834,0.747,1.0,-5.32,-6.26,-4.37,-6.26,-4.37,4.556820000000003,0.511,0.0913,0.0,0.0901,0.476,1.0,0.0251,0.679,1.0,0.783,0.0326,0.0,0.141,0.219,1.0,0.8999999999999999,0.33499999999999996,0.3607949999999993,0.06957949999999993,0.4045197305135913,0.3340286959365526,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
HHCBMISMPSAZBF-UHFFFAOYSA-N,CHEMBL3577124,LY-3009120,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,1.0,68,2,66,21,0,0,1.0,1.0986122886681096,3.091042453358316,0.0,1.3104992563031252,0.25,0.135,0.392,1.0,0.866,0.0148,0.0,0.0422,0.892,1,0.769,0.0428,0.0,0.19,0.49,1.0,-4.69,-5.34,-4.04,-5.34,-4.04,5.047140000000004,0.446,0.103,0.0,0.376,0.196,0.0,0.0566,0.433,1.0,0.053,0.641,1.0,0.601,0.0782,0.0,0.8999999999999999,0.41374999999999995,0.23821499999999896,0.0651964999999999,0.4045197305135913,0.3333712459365526,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
NLFLXLJXEIUQDL-UHFFFAOYSA-N,CHEMBL4594275,GUSACITINIB,N#CCC1CCN(c2nc(Nc3ccc(N4CCC(O)CC4)cc3)c3c(=O)[nH]ncc3n2)CC1,2.0,77,1,76,38,0,0,2.0,0.6931471805599453,3.6635616461296463,0.0,1.3372189278099516,0.5,0.712,0.0432,0.0,0.507,0.0644,0.0,0.145,0.391,1,0.108,0.335,1.0,0.169,0.648,1.0,-3.69,-4.39,-2.98,-4.39,-2.98,2.54788,0.214,0.259,0.5,0.717,0.063,0.0,0.0614,0.439,1.0,0.012,0.917,1.0,0.877,0.0138,0.0,1.75,0.5387500000000001,0.86303,0.140178,0.41358232666987116,0.3331966776693905,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
DKNUPRMJNUQNHR-UHFFFAOYSA-N,CHEMBL2029988,CEP-32496,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,1.0,44,2,42,21,0,0,1.0,1.0986122886681096,3.091042453358316,0.0,1.3104992563031252,0.25,0.332,0.19,0.0,0.812,0.0241,0.0,0.103,0.486,1,0.929,0.016,0.0,0.19,0.57,1.0,-6.68,-7.09,-6.27,-7.09,-6.27,5.911200000000004,0.176,0.29,1.0,0.915,0.0176,0.0,0.0713,0.436,1.0,0.504,0.0943,0.0,0.303,0.152,0.0,0.6,0.16500000000000004,0.02219999999999911,0.018719999999999914,0.4045197305135913,0.33314977093655257,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
ISOCDPQFIXDIMS-UHFFFAOYSA-N,CHEMBL3545328,XL-019,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,1.0,77,1,76,38,0,0,1.0,0.6931471805599453,3.6635616461296463,0.0,1.2830073496554941,0.25,0.798,0.0301,0.0,0.0666,0.498,1.0,0.249,0.149,0,0.707,0.053,0.0,0.627,0.0844,0.0,-3.67,-4.76,-2.58,-4.76,-2.58,3.4143000000000017,0.786,0.0265,0.0,0.975,0.00421,0.0,0.669,0.0243,0.0,0.561,0.0765,0.0,0.728,0.0538,0.0,1.0,0.54125,0.6464249999999996,0.11876749999999997,0.3951952129030369,0.33123105596758134,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
