source,term,count,studies_returned,has_nextPageToken
pubmed,"(""AMODIAQUINE DIHYDROCHLORIDE""[Title/Abstract] AND ""PENFLURIDOL""[Title/Abstract])",0.0,,
clinicaltrials,(AMODIAQUINE DIHYDROCHLORIDE) AND (PENFLURIDOL) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""BAY-11-7082""[Title/Abstract] AND ""BCX 1470 (methanesulfonate)""[Title/Abstract])",0.0,,
clinicaltrials,(BAY-11-7082) AND (BCX 1470 (methanesulfonate)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PERHEXILINE MALEATE""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(PERHEXILINE MALEATE) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Miransertib""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (Miransertib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SIMVASTATIN""[Title/Abstract] AND ""Y-29794 oxalate""[Title/Abstract])",0.0,,
clinicaltrials,(SIMVASTATIN) AND (Y-29794 oxalate) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Bazedoxifene HCl""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(Bazedoxifene HCl) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SR-33805 oxalate""[Title/Abstract] AND ""SGI-1776 free base""[Title/Abstract])",0.0,,
clinicaltrials,(SR-33805 oxalate) AND (SGI-1776 free base) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PERHEXILINE MALEATE""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(PERHEXILINE MALEATE) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GR-127935""[Title/Abstract] AND ""Ebastine""[Title/Abstract])",0.0,,
clinicaltrials,(GR-127935) AND (Ebastine) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""Tenovin-6""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (Tenovin-6) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""WAY-600""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (WAY-600) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Bazedoxifene HCl""[Title/Abstract] AND ""SGI-1776 free base""[Title/Abstract])",0.0,,
clinicaltrials,(Bazedoxifene HCl) AND (SGI-1776 free base) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MCOPPB""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(MCOPPB) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""FLUPHENAZINE HYDROCHLORIDE""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(FLUPHENAZINE HYDROCHLORIDE) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Flumatinib (mesylate)""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(Flumatinib (mesylate)) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-268262""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(SB-268262) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""BAY-11-7082""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (BAY-11-7082) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NPS-2143 (SB262470)""[Title/Abstract] AND ""EHop-016""[Title/Abstract])",0.0,,
clinicaltrials,(NPS-2143 (SB262470)) AND (EHop-016) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NPS-2143 (SB262470)""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(NPS-2143 (SB262470)) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Y-29794 oxalate""[Title/Abstract] AND ""BAY-11-7082""[Title/Abstract])",0.0,,
clinicaltrials,(Y-29794 oxalate) AND (BAY-11-7082) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""BAY-11-7082""[Title/Abstract] AND ""SR-33805 oxalate""[Title/Abstract])",0.0,,
clinicaltrials,(BAY-11-7082) AND (SR-33805 oxalate) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""METITEPINE MESYLATE""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(METITEPINE MESYLATE) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Dronedarone HCl (Multaq)""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(Dronedarone HCl (Multaq)) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""CGP-71683""[Title/Abstract] AND ""SB-772077B""[Title/Abstract])",0.0,,
clinicaltrials,(CGP-71683) AND (SB-772077B) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""CHLORHEXIDINE DIHYDROCHLORIDE""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(CHLORHEXIDINE DIHYDROCHLORIDE) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""thiethylperazine""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(thiethylperazine) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Imatinib Mesylate (STI571)""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(Imatinib Mesylate (STI571)) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GR-127935""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(GR-127935) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""tecalcet""[Title/Abstract] AND ""Arglabin""[Title/Abstract])",0.0,,
clinicaltrials,(tecalcet) AND (Arglabin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Salmeterol (xinafoate)""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(Salmeterol (xinafoate)) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NTNCB""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(NTNCB) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""VE-822""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(VE-822) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""EHop-016""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (EHop-016) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NVP-ADW742""[Title/Abstract] AND ""NPS-2143 (SB262470)""[Title/Abstract])",0.0,,
clinicaltrials,(NVP-ADW742) AND (NPS-2143 (SB262470)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""Y-320""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (Y-320) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Miransertib""[Title/Abstract] AND ""UNC1999""[Title/Abstract])",0.0,,
clinicaltrials,(Miransertib) AND (UNC1999) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Dronedarone HCl (Multaq)""[Title/Abstract] AND ""Endoxifen HCl""[Title/Abstract])",0.0,,
clinicaltrials,(Dronedarone HCl (Multaq)) AND (Endoxifen HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""JHW-007""[Title/Abstract] AND ""Tenovin-6""[Title/Abstract])",0.0,,
clinicaltrials,(JHW-007) AND (Tenovin-6) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""L-760735""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(L-760735) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AMG-548""[Title/Abstract] AND ""GNF-5837""[Title/Abstract])",0.0,,
clinicaltrials,(AMG-548) AND (GNF-5837) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""N-benzylnaltrindole""[Title/Abstract] AND ""GK921""[Title/Abstract])",0.0,,
clinicaltrials,(N-benzylnaltrindole) AND (GK921) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""BNTX""[Title/Abstract] AND ""parthenolide-(alternate-stereo)""[Title/Abstract])",0.0,,
clinicaltrials,(BNTX) AND (parthenolide-(alternate-stereo)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""JHW-007""[Title/Abstract] AND ""Sunitinib""[Title/Abstract])",0.0,,
clinicaltrials,(JHW-007) AND (Sunitinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PROMETHAZINE HYDROCHLORIDE""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(PROMETHAZINE HYDROCHLORIDE) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AMG-548""[Title/Abstract] AND ""Miransertib""[Title/Abstract])",0.0,,
clinicaltrials,(AMG-548) AND (Miransertib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""TRIFLUPROMAZINE HYDROCHLORIDE""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(TRIFLUPROMAZINE HYDROCHLORIDE) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""fendiline""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (fendiline) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PERHEXILINE MALEATE""[Title/Abstract] AND ""EHop-016""[Title/Abstract])",0.0,,
clinicaltrials,(PERHEXILINE MALEATE) AND (EHop-016) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NPS-2143 (SB262470)""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(NPS-2143 (SB262470)) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-268262""[Title/Abstract] AND ""VE-822""[Title/Abstract])",0.0,,
clinicaltrials,(SB-268262) AND (VE-822) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Siramesine (hydrochloride)""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Siramesine (hydrochloride)) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GNF-5837""[Title/Abstract] AND ""Miransertib""[Title/Abstract])",0.0,,
clinicaltrials,(GNF-5837) AND (Miransertib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SR-33805 oxalate""[Title/Abstract] AND ""cyclovalone""[Title/Abstract])",0.0,,
clinicaltrials,(SR-33805 oxalate) AND (cyclovalone) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""UNC1999""[Title/Abstract] AND ""Y-320""[Title/Abstract])",0.0,,
clinicaltrials,(UNC1999) AND (Y-320) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NVP-ADW742""[Title/Abstract] AND ""Ozanimod""[Title/Abstract])",0.0,,
clinicaltrials,(NVP-ADW742) AND (Ozanimod) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NPS-2143 (SB262470)""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(NPS-2143 (SB262470)) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AY-9944""[Title/Abstract] AND ""SGI-1776 free base""[Title/Abstract])",0.0,,
clinicaltrials,(AY-9944) AND (SGI-1776 free base) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""L-733060""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(L-733060) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""Benztropine mesylate""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (Benztropine mesylate) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""BNTX""[Title/Abstract] AND ""PD173074""[Title/Abstract])",0.0,,
clinicaltrials,(BNTX) AND (PD173074) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""WAY-600""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(WAY-600) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SULOCTIDIL""[Title/Abstract] AND ""Revaprazan Hydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(SULOCTIDIL) AND (Revaprazan Hydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""haloprogin""[Title/Abstract] AND ""NVP-BSK805 2HCl""[Title/Abstract])",0.0,,
clinicaltrials,(haloprogin) AND (NVP-BSK805 2HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""FLUPHENAZINE HYDROCHLORIDE""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(FLUPHENAZINE HYDROCHLORIDE) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NPS-2143 (SB262470)""[Title/Abstract] AND ""Cathepsin Inhibitor 1""[Title/Abstract])",0.0,,
clinicaltrials,(NPS-2143 (SB262470)) AND (Cathepsin Inhibitor 1) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""Cathepsin Inhibitor 1""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (Cathepsin Inhibitor 1) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AMG-548""[Title/Abstract] AND ""IT1t""[Title/Abstract])",0.0,,
clinicaltrials,(AMG-548) AND (IT1t) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PROCHLORPERAZINE EDISYLATE""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(PROCHLORPERAZINE EDISYLATE) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PD173074""[Title/Abstract] AND ""Endoxifen HCl""[Title/Abstract])",0.0,,
clinicaltrials,(PD173074) AND (Endoxifen HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Lasofoxifene (Tartrate)""[Title/Abstract] AND ""SGI-1776 free base""[Title/Abstract])",0.0,,
clinicaltrials,(Lasofoxifene (Tartrate)) AND (SGI-1776 free base) AND (COVID-19 OR SARS-CoV-2),,0.0,False
