source,term,count,studies_returned,has_nextPageToken
clinicaltrials,(PERHEXILINE MALEATE) AND (Auranofin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""CLOMIPHENE CITRATE""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(CLOMIPHENE CITRATE) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""TOREMIFENE CITRATE""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(TOREMIFENE CITRATE) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""10-DEBC""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(10-DEBC) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""droloxifene""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(droloxifene) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Cathepsin Inhibitor 1""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Cathepsin Inhibitor 1) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PD173074""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(PD173074) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-772077B""[Title/Abstract] AND ""GK921""[Title/Abstract])",0.0,,
clinicaltrials,(SB-772077B) AND (GK921) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GW-803430""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(GW-803430) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MCOPPB""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(MCOPPB) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
