type,batch_id_1,batch_id_2,conc_1,conc_2,name_1,name_2,score,target_1,moa_1,target_2,moa_2,targets_1_set,targets_2_set,moa_1_set,moa_2_set,target_overlap,target_union,complementarity,drugA,drugB,pair_key,score_z,pubmed_pair_count,ctgov_pair_count_approx,novelty_score,composite_score
combo,BJ1897109,BJ1898276,3.33,0.33,GK921,Thiazovivin,37.49424,TGM2,transglutaminase inhibitor,,rho associated kinase inhibitor,{'TGM2'},set(),{'transglutaminase inhibitor'},{'rho associated kinase inhibitor'},0,1,1.0,GK921,Thiazovivin,gk921||thiazovivin,4.99573852132993,0.0,0.0,1.0,3.397443112797958
combo,BJ1897775,BJ1898588,10.0,0.83,Auranofin,NPS-2143 (SB262470),34.023853,,,ADRB2;CASR;KCNH2;PTH;SLC6A2;SLC6A3;SLC6A4,calcium receptor antagonist,set(),"{'KCNH2', 'PTH', 'ADRB2', 'CASR', 'SLC6A2', 'SLC6A3', 'SLC6A4'}",set(),{'calcium receptor antagonist'},0,7,1.0,Auranofin,NPS-2143 (SB262470),auranofin||nps-2143 (sb262470),4.403550659459179,0.0,0.0,1.0,3.042130395675508
combo,BJ1896776,BJ1897775,0.83,10.0,Flupentixol,Auranofin,32.517165,ADRA1A;CHRM1;DRD1;DRD2;DRD3;DRD5;HTR2A;SIGMAR1,dopamine receptor antagonist,,,"{'SIGMAR1', 'DRD3', 'DRD2', 'DRD5', 'CHRM1', 'HTR2A', 'DRD1', 'ADRA1A'}",set(),{'dopamine receptor antagonist'},set(),0,8,1.0,Flupentixol,Auranofin,auranofin||flupentixol,4.146448974481013,0.0,0.0,1.0,2.887869384688608
combo,BJ1895494,BJ1898160,0.17,10.0,PENFLURIDOL,Crizotinib (PF-02341066),27.351023,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,ABL1;ABL2;ACVR1;ACVR1B;ADRA1A;ALK;ANKK1;AURKA;AURKB;AXL;BLK;BMP2K;BMPR1B;CASK;CDK11A;CDK11B;CDK7;CSF1R;CYP2B6;CYP3A5;DCLK1;DCLK2;DDR1;DLK1;DSTYK;EGFR;EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB4;FER;FES;FGR;FLT3;HTR2B;IGF1R;IKBKE;INSR;INSRR;IRAK1;IRAK3;JAK1;JAK2;JAK3;KIT;LCK;LIMK1;LIMK2;LTK;LYN;MAP3K12;MAP3K13;MAP3K19;MAP3K2;MAP3K3;MAP4K1;MAP4K2;MAP4K3;MAP4K5;MAPK7;MERTK;MET;MLKL;MST1R;MUSK;NEK9;NTRK1;NTRK2;NTRK3;NUAK2;PLK4;PRKD1;PRKD3;PTK2;PTK2B;RIPK2;ROS1;RPS6KB1;SBK3;SIK2;SLK;SRC;STK10;STK3;STK35;STK4;TAOK2;TAOK3;TBK1;TEK;TESK1;TGFBR1;TIE1;TNK1;TNK2;TNNI3K;TXK;TYK2;TYRO3;ULK1;YES1,ALK tyrosine kinase receptor inhibitor,"{'HTR2C', 'HTR5A', 'OPRK1', 'HTR2B', 'OPRM1', 'ADRA2C', 'ADRA1D', 'DRD1', 'HRH2', 'DRD4', 'DRD3', 'HTR6', 'ADRB3', 'HTR1A', 'CACNA1G', 'DRD2', 'HRH1', 'DRD5', 'ADRA2B', 'HTR2A'}","{'DDR1', 'MAP4K3', 'MAP3K13', 'IRAK1', 'MST1R', 'FER', 'EPHB1', 'TNK2', 'PLK4', 'NEK9', 'IRAK3', 'MAP4K1', 'ALK', 'MAP3K3', 'ACVR1B', 'CDK7', 'PTK2B', 'ABL2', 'KIT', 'DLK1', 'MERTK', 'CYP2B6', 'BLK', 'MET', 'EPHA4', 'BMP2K', 'CDK11A', 'PRKD1', 'TEK', 'HTR2B', 'IKBKE', 'EPHA6', 'TGFBR1', 'DCLK1', 'ANKK1', 'MLKL', 'MAP4K5', 'TYRO3', 'DCLK2', 'DSTYK', 'EPHA3', 'CYP3A5', 'MAP3K2', 'NTRK3', 'TBK1', 'ULK1', 'STK3', 'ABL1', 'EPHA2', 'AXL', 'JAK1', 'CSF1R', 'JAK3', 'ADRA1A', 'ROS1', 'FES', 'MAP4K2', 'IGF1R', 'NTRK2', 'TNNI3K', 'LIMK1', 'MUSK', 'PRKD3', 'YES1', 'TAOK2', 'EPHA7', 'NTRK1', 'FGR', 'INSR', 'LYN', 'CDK11B', 'LTK', 'MAP3K12', 'PTK2', 'TIE1', 'TAOK3', 'SBK3', 'TYK2', 'STK4', 'NUAK2', 'ACVR1', 'EGFR', 'SIK2', 'SRC', 'TNK1', 'CASK', 'FLT3', 'INSRR', 'STK10', 'AURKB', 'EPHA8', 'MAPK7', 'EPHB4', 'TXK', 'MAP3K19', 'JAK2', 'TESK1', 'EPHA1', 'SLK', 'LIMK2', 'AURKA', 'STK35', 'LCK', 'RIPK2', 'RPS6KB1', 'EPHA5', 'BMPR1B'}",{'t-type calcium channel blocker'},{'alk tyrosine kinase receptor inhibitor'},1,126,0.992063492063492,PENFLURIDOL,Crizotinib (PF-02341066),crizotinib (pf-02341066)||penfluridol,3.264896978954092,0.0,0.0,1.0,2.357350885785153
combo,BJ1895608,BJ1898398,10.0,10.0,Y-29794 oxalate,Dronedarone HCl (Multaq),27.265043,PREP,prolyl endopeptidase inhibitor,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;DRD3;KCNA5;KCNH2;KCNK2;PGR;SCN1A;SLC22A2;SLC22A8;SLCO1B3,adrenergic receptor antagonist,{'PREP'},"{'CACNA1F', 'SLCO1B3', 'ADRA1B', 'ADRA1A', 'KCNA5', 'KCNK2', 'CACNA1S', 'CACNA1C', 'CACNB2', 'ADRA2C', 'CACNA1D', 'ADRA1D', 'ADRA2A', 'ADRB1', 'SLC22A2', 'KCNH2', 'DRD3', 'CACNB3', 'SLC22A8', 'SCN1A', 'CACNB4', 'PGR', 'ADRA2B', 'CACNB1'}",{'prolyl endopeptidase inhibitor'},{'adrenergic receptor antagonist'},0,25,1.0,Y-29794 oxalate,Dronedarone HCl (Multaq),dronedarone hcl (multaq)||y-29794 oxalate,3.250225326379422,0.0,0.0,1.0,2.350135195827653
combo,BJ1896256,BJ1898849,10.0,0.83,SB-772077B,Tenovin-6,25.836938,AKT1;ROCK1;ROCK2;RPS6KA1;RPS6KA5,rho associated kinase inhibitor,SIRT1;SIRT2;SIRT3,SIRT inhibitor,"{'AKT1', 'RPS6KA5', 'ROCK2', 'RPS6KA1', 'ROCK1'}","{'SIRT3', 'SIRT1', 'SIRT2'}",{'rho associated kinase inhibitor'},{'sirt inhibitor'},0,8,1.0,SB-772077B,Tenovin-6,sb-772077b||tenovin-6,3.0065330677129016,0.0,0.0,1.0,2.203919840627741
combo,BJ1896470,BJ1898160,0.83,10.0,RU-SKI-43,Crizotinib (PF-02341066),24.226046,HHAT,hedgehog pathway inhibitor,ABL1;ABL2;ACVR1;ACVR1B;ADRA1A;ALK;ANKK1;AURKA;AURKB;AXL;BLK;BMP2K;BMPR1B;CASK;CDK11A;CDK11B;CDK7;CSF1R;CYP2B6;CYP3A5;DCLK1;DCLK2;DDR1;DLK1;DSTYK;EGFR;EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB4;FER;FES;FGR;FLT3;HTR2B;IGF1R;IKBKE;INSR;INSRR;IRAK1;IRAK3;JAK1;JAK2;JAK3;KIT;LCK;LIMK1;LIMK2;LTK;LYN;MAP3K12;MAP3K13;MAP3K19;MAP3K2;MAP3K3;MAP4K1;MAP4K2;MAP4K3;MAP4K5;MAPK7;MERTK;MET;MLKL;MST1R;MUSK;NEK9;NTRK1;NTRK2;NTRK3;NUAK2;PLK4;PRKD1;PRKD3;PTK2;PTK2B;RIPK2;ROS1;RPS6KB1;SBK3;SIK2;SLK;SRC;STK10;STK3;STK35;STK4;TAOK2;TAOK3;TBK1;TEK;TESK1;TGFBR1;TIE1;TNK1;TNK2;TNNI3K;TXK;TYK2;TYRO3;ULK1;YES1,ALK tyrosine kinase receptor inhibitor,{'HHAT'},"{'DDR1', 'MAP4K3', 'MAP3K13', 'IRAK1', 'MST1R', 'FER', 'EPHB1', 'TNK2', 'PLK4', 'NEK9', 'IRAK3', 'MAP4K1', 'ALK', 'MAP3K3', 'ACVR1B', 'CDK7', 'PTK2B', 'ABL2', 'KIT', 'DLK1', 'MERTK', 'CYP2B6', 'BLK', 'MET', 'EPHA4', 'BMP2K', 'CDK11A', 'PRKD1', 'TEK', 'HTR2B', 'IKBKE', 'EPHA6', 'TGFBR1', 'DCLK1', 'ANKK1', 'MLKL', 'MAP4K5', 'TYRO3', 'DCLK2', 'DSTYK', 'EPHA3', 'CYP3A5', 'MAP3K2', 'NTRK3', 'TBK1', 'ULK1', 'STK3', 'ABL1', 'EPHA2', 'AXL', 'JAK1', 'CSF1R', 'JAK3', 'ADRA1A', 'ROS1', 'FES', 'MAP4K2', 'IGF1R', 'NTRK2', 'TNNI3K', 'LIMK1', 'MUSK', 'PRKD3', 'YES1', 'TAOK2', 'EPHA7', 'NTRK1', 'FGR', 'INSR', 'LYN', 'CDK11B', 'LTK', 'MAP3K12', 'PTK2', 'TIE1', 'TAOK3', 'SBK3', 'TYK2', 'STK4', 'NUAK2', 'ACVR1', 'EGFR', 'SIK2', 'SRC', 'TNK1', 'CASK', 'FLT3', 'INSRR', 'STK10', 'AURKB', 'EPHA8', 'MAPK7', 'EPHB4', 'TXK', 'MAP3K19', 'JAK2', 'TESK1', 'EPHA1', 'SLK', 'LIMK2', 'AURKA', 'STK35', 'LCK', 'RIPK2', 'RPS6KB1', 'EPHA5', 'BMPR1B'}",{'hedgehog pathway inhibitor'},{'alk tyrosine kinase receptor inhibitor'},0,108,1.0,RU-SKI-43,Crizotinib (PF-02341066),crizotinib (pf-02341066)||ru-ski-43,2.731649981421748,0.0,0.0,1.0,2.0389899888530487
combo,BJ1898160,BJ1898414,10.0,0.83,Crizotinib (PF-02341066),LY2608204,22.193731,ABL1;ABL2;ACVR1;ACVR1B;ADRA1A;ALK;ANKK1;AURKA;AURKB;AXL;BLK;BMP2K;BMPR1B;CASK;CDK11A;CDK11B;CDK7;CSF1R;CYP2B6;CYP3A5;DCLK1;DCLK2;DDR1;DLK1;DSTYK;EGFR;EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB4;FER;FES;FGR;FLT3;HTR2B;IGF1R;IKBKE;INSR;INSRR;IRAK1;IRAK3;JAK1;JAK2;JAK3;KIT;LCK;LIMK1;LIMK2;LTK;LYN;MAP3K12;MAP3K13;MAP3K19;MAP3K2;MAP3K3;MAP4K1;MAP4K2;MAP4K3;MAP4K5;MAPK7;MERTK;MET;MLKL;MST1R;MUSK;NEK9;NTRK1;NTRK2;NTRK3;NUAK2;PLK4;PRKD1;PRKD3;PTK2;PTK2B;RIPK2;ROS1;RPS6KB1;SBK3;SIK2;SLK;SRC;STK10;STK3;STK35;STK4;TAOK2;TAOK3;TBK1;TEK;TESK1;TGFBR1;TIE1;TNK1;TNK2;TNNI3K;TXK;TYK2;TYRO3;ULK1;YES1,ALK tyrosine kinase receptor inhibitor,GCK,glucokinase activator,"{'DDR1', 'MAP4K3', 'MAP3K13', 'IRAK1', 'MST1R', 'FER', 'EPHB1', 'TNK2', 'PLK4', 'NEK9', 'IRAK3', 'MAP4K1', 'ALK', 'MAP3K3', 'ACVR1B', 'CDK7', 'PTK2B', 'ABL2', 'KIT', 'DLK1', 'MERTK', 'CYP2B6', 'BLK', 'MET', 'EPHA4', 'BMP2K', 'CDK11A', 'PRKD1', 'TEK', 'HTR2B', 'IKBKE', 'EPHA6', 'TGFBR1', 'DCLK1', 'ANKK1', 'MLKL', 'MAP4K5', 'TYRO3', 'DCLK2', 'DSTYK', 'EPHA3', 'CYP3A5', 'MAP3K2', 'NTRK3', 'TBK1', 'ULK1', 'STK3', 'ABL1', 'EPHA2', 'AXL', 'JAK1', 'CSF1R', 'JAK3', 'ADRA1A', 'ROS1', 'FES', 'MAP4K2', 'IGF1R', 'NTRK2', 'TNNI3K', 'LIMK1', 'MUSK', 'PRKD3', 'YES1', 'TAOK2', 'EPHA7', 'NTRK1', 'FGR', 'INSR', 'LYN', 'CDK11B', 'LTK', 'MAP3K12', 'PTK2', 'TIE1', 'TAOK3', 'SBK3', 'TYK2', 'STK4', 'NUAK2', 'ACVR1', 'EGFR', 'SIK2', 'SRC', 'TNK1', 'CASK', 'FLT3', 'INSRR', 'STK10', 'AURKB', 'EPHA8', 'MAPK7', 'EPHB4', 'TXK', 'MAP3K19', 'JAK2', 'TESK1', 'EPHA1', 'SLK', 'LIMK2', 'AURKA', 'STK35', 'LCK', 'RIPK2', 'RPS6KB1', 'EPHA5', 'BMPR1B'}",{'GCK'},{'alk tyrosine kinase receptor inhibitor'},{'glucokinase activator'},0,108,1.0,Crizotinib (PF-02341066),LY2608204,crizotinib (pf-02341066)||ly2608204,2.3848551500390065,0.0,0.0,1.0,1.830913090023404
combo,BJ1894368,BJ1898163,10.0,10.0,SB-216641,MK-2206 dihydrochloride,20.741763,HTR1A;HTR1B;HTR1D;HTR2A;HTR2B;HTR2C,serotonin receptor antagonist,AKT1;AKT2;AKT3,AKT inhibitor,"{'HTR2C', 'HTR1D', 'HTR1A', 'HTR2A', 'HTR2B', 'HTR1B'}","{'AKT1', 'AKT2', 'AKT3'}",{'serotonin receptor antagonist'},{'akt inhibitor'},0,9,1.0,SB-216641,MK-2206 dihydrochloride,mk-2206 dihydrochloride||sb-216641,2.137090902009968,0.0,0.0,1.0,1.6822545412059806
combo,BJ1896497,BJ1896839,0.83,10.0,pyrintegrin,IKK-16,19.977865,,integrin signaling activator,CHUK;IKBKB;PRKCZ,IKK inhibitor,set(),"{'CHUK', 'PRKCZ', 'IKBKB'}",{'integrin signaling activator'},{'ikk inhibitor'},0,3,1.0,pyrintegrin,IKK-16,ikk-16||pyrintegrin,2.0067391218461585,0.0,0.0,1.0,1.604043473107695
