rank,chembl_id,drug_name,smiles,molecular_weight,clinical_phase,targets,prot_targets_n,path_ids_n,moa_links,ranking_score,hERG,AMES,PGP,PAMPA,BBB,CYP3A4,CYP2C19,CYP2D6,CYP1A2,CYP2C9,logS,logP,ic50_dilution_uM_8pt_3fold,ic50_range_rationale,provenance_sources
11,CHEMBL565612,SOTRASTAURIN,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,438.4910000000002,2.0,PRKD3|PRKCD|PRKCE|PRKCH|PRKCQ|PRKCA|PRKCB|PRKCZ|PRKD1|PRKCI|PRKCG,11.0,42.0,,0.6395341956415859,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,-4.02,2.4301000000000004,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
12,CHEMBL359164,TROXACITABINE,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1,213.193,2.0,POLA1|POLE|POLA2|PRIM1|POLE2|POLD4|PRIM2|POLD3|POLD1|POLE3|POLD2,11.0,22.0,,0.6351762144791369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.98,-1.3107000000000002,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
13,CHEMBL1908391,MASITINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,498.6560000000002,4.0,KIT|PDGFRB|PDGFRA,3.0,30.0,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor,0.6314156805738197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,-0.884,5.256820000000005,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
14,CHEMBL4297599,ASPACYTARABINE,N[C@@H](CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1)C(=O)O,358.3070000000001,2.0,POLA1|POLE|POLA2|PRIM1|POLE2|POLD4|PRIM2|POLD3|POLD1|POLE3|POLD2,11.0,22.0,,0.6220095478124702,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.77,-3.404699999999998,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
15,CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,524.6910000000001,4.0,FLT3|JAK2,2.0,64.0,Tyrosine-protein kinase receptor FLT3 inhibitor,0.602018721051006,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,-3.65,4.823620000000004,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
16,CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O,615.6280000000002,4.0,FLT3|JAK2,2.0,64.0,Tyrosine-protein kinase receptor FLT3 inhibitor,0.5843703877176725,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,-3.19,4.842520000000008,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
17,CHEMBL2105708,PONATINIB HYDROCHLORIDE,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12.Cl,569.0310000000002,4.0,ABL1|BCR,2.0,22.0,Bcr/Abl fusion protein inhibitor,0.5824367889984093,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.32,4.877820000000005,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
18,CHEMBL1795071,RUXOLITINIB PHOSPHATE,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O,404.3670000000001,4.0,JAK2,1.0,38.0,,0.5797087938505812,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,-2.99,2.537780000000001,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
19,CHEMBL572881,MOTESANIB,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,373.4600000000001,3.0,KIT|PDGFRB|RET|KDR|FLT4|PDGFRA,6.0,42.0,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,0.5768032144026007,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.28,4.044100000000002,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
20,CHEMBL2105759,BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,371.4260000000001,4.0,JAK2,1.0,38.0,,0.5749331271839144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.71,1.09568,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
