rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroe6_relevant,mechanistic_rationale,compound_name,morphology_score,is_cp_hit,compound_identifier_used,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank
23.0,CHEMBL231813,0.9821340379015682,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway",telaprevir,0.23,False,CHEMBL231813,0.32545655542486224,0.5,0.39527393325491733,18
3939.0,CHEMBL2137530,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,serdemetan,0.93,True,CHEMBL2137530,0.0,0.9794520547945207,0.3917808219178083,19
1423.0,CHEMBL562318,0.0202029467832799,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PF-02545920,0.93,True,CHEMBL562318,0.0,0.9794520547945207,0.3917808219178083,20
4856.0,CHEMBL48802,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,sulforaphane,0.92,True,CHEMBL48802,0.0,0.9726027397260274,0.38904109589041097,21
81.0,CHEMBL3622372,0.5269466567824685,0.4577042230404515,0.0,3.051361486936344,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,SAR405,0.55,True,CHEMBL3622372,0.1677233256247812,0.7191780821917809,0.3883052282515811,22
5.0,CHEMBL535,1.9277848697173288,0.6352060527577144,0.0360726078658958,4.102440789543145,0.0,AAK1,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis; ER-Phagosome pathway,,True,Host protein hits: AAK1 | Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis; ER-Phagosome pathway,sunitinib,0.4,False,CHEMBL535,0.23276794546004934,0.6164383561643836,0.386236109741783,23
27.0,CHEMBL564131,0.9557421179718724,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway",cathepsin-inhibitor-1,0.19,False,CHEMBL564131,0.32545655542486224,0.4726027397260274,0.38431502914532834,24
94.0,CHEMBL1908391,0.4488159844051217,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,masitinib,0.76,True,CHEMBL1908391,0.062178218306311844,0.863013698630137,0.38251241043584194,25
17.0,CHEMBL87563,1.1499209900192937,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,gabexate,0.08,False,CHEMBL87563,0.37073583873004834,0.3972602739726027,0.38134561282707014,26
35.0,CHEMBL262697,0.8615418963534845,0.7976482034634937,1.1826863222889663,0.981138174697081,0.0,"CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway",pyrrolidine-1-carbonitrile,0.25,False,CHEMBL262697,0.29229402445715597,0.5136986301369864,0.3808558667290881,27
3763.0,CHEMBL1972860,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,elesclomol,0.88,True,CHEMBL1972860,0.0,0.9452054794520548,0.3780821917808219,28
83.0,CHEMBL941,0.514089576536624,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,imatinib,0.74,True,CHEMBL941,0.062178218306311844,0.8493150684931507,0.37703295838104744,29
24.0,CHEMBL481611,0.9599652748897696,0.8921366174552268,1.3472281941114777,0.981138174697081,0.013301281631173,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,Cathepsin K inhibitor,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway | MoA: Cathepsin K inhibitor",odanacatib,0.16,False,CHEMBL481611,0.32691881101129694,0.452054794520548,0.3769732044149974,30
