chembl_id,drug_name,smiles,inchikey,molecular_weight,clinical_phase,status_any,targets,target_evidence_count,pathway_ids,pathway_names,pathway_link_count,moa_links,moa_link_count,provenance_sources
CHEMBL2010872,CEP-11981,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,AEULIVPVIDOLIN-UHFFFAOYSA-N,477.57200000000034,2.0,Recruiting,KDR|FLT4,2.0,R-HSA-5218921|R-HSA-4420097|R-HSA-195399|R-HSA-9013695|R-HSA-9856530|R-HSA-194306|R-HSA-216083|R-HSA-9673768,VEGFR2 mediated cell proliferation|VEGFA-VEGFR2 Pathway|VEGF binds to VEGFR leading to receptor dimerization|NOTCH4 Intracellular Domain Regulates Transcription|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Neurophilin interactions with VEGF and VEGFR|Integrin cell surface interactions|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|NOTCH4 Intracellular Domain Regulates Transcriptio|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|VEGFR2 mediated cell proliferatio|VEGFA-VEGFR2 Pathwa|Neurophilin interactions with VEGF and VEGF|Integrin cell surface interaction|Signaling by membrane-tethered fusions of PDGFRA or PDGFR,8.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL1201000,NITROFURANTOIN SODIUM,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],AFDJQFFKYDCYIG-JSGFVSQVSA-M,260.14099999999996,,,,,,,,DNA inhibitor,1.0,mechanism_drug_candidate
CHEMBL3653256,SIREMADLIN,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,AGBSXNCBIWWLHD-FQEVSTJZSA-N,555.4220000000001,2.0,Recruiting,TP53,1.0,R-HSA-5693565|R-HSA-983231|R-HSA-111448|R-HSA-139915|R-HSA-1912408|R-HSA-2559580|R-HSA-2559584|R-HSA-2559585|R-HSA-2559586|R-HSA-3232118|R-HSA-349425|R-HSA-390471|R-HSA-5620971|R-HSA-5628897|R-HSA-5689880|R-HSA-5689896|R-HSA-6785807|R-HSA-6796648|R-HSA-6803204|R-HSA-6803205|R-HSA-6803207|R-HSA-6803211|R-HSA-6804114|R-HSA-6804115|R-HSA-6804116|R-HSA-6804754|R-HSA-6804756|R-HSA-6804757|R-HSA-6804758|R-HSA-6804759|R-HSA-6804760|R-HSA-6811555|R-HSA-69473|R-HSA-69481|R-HSA-69541|R-HSA-69895|R-HSA-8852276|R-HSA-8853884|R-HSA-8941855|R-HSA-8943724|R-HSA-9723905|R-HSA-9725370|R-HSA-9758274|R-HSA-9819196|R-HSA-9833482|R-HSA-6807070,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks|Factors involved in megakaryocyte development and platelet production|Activation of NOXA and translocation to mitochondria|Activation of PUMA and translocation to mitochondria|Pre-NOTCH Transcription and Translation|Oxidative Stress Induced Senescence|Formation of Senescence-Associated Heterochromatin Foci (SAHF)|Oncogene Induced Senescence|DNA Damage/Telomere Stress Induced Senescence|SUMOylation of transcription factors|Autodegradation of the E3 ubiquitin ligase COP1|Association of TriC/CCT with target proteins during biosynthesis|Pyroptosis|TP53 Regulates Metabolic Genes|Ub-specific processing proteases|Ovarian tumor domain proteases|Interleukin-4 and Interleukin-13 signaling|TP53 Regulates Transcription of DNA Repair Genes|TP53 Regulates Transcription of Genes Involved in Cytochrome C Release|TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain|TP53 Regulates Transcription of Caspase Activators and Caspases|TP53 Regulates Transcription of Death Receptors and Ligands|TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest|TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain|TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest|Regulation of TP53 Expression|Regulation of TP53 Activity through Phosphorylation|Regulation of TP53 Degradation|Regulation of TP53 Activity through Acetylation|Regulation of TP53 Activity through Association with Co-factors|Regulation of TP53 Activity through Methylation|PI5P Regulates TP53 Acetylation|G2/M DNA damage checkpoint|G2/M Checkpoints|Stabilization of p53|Transcriptional activation of cell cycle inhibitor p21|The role of GTSE1 in G2/M progression after G2 checkpoint|Transcriptional Regulation by VENTX|RUNX3 regulates CDKN1A transcription|Regulation of PTEN gene transcription|Loss of function of TP53 in cancer due to loss of tetramerization ability|Signaling by ALK fusions and activated point mutants|Regulation of NF-kappa B signaling|Zygotic genome activation (ZGA)|PKR-mediated signaling|PKR-mediated signalin|Interleukin-4 and Interleukin-13 signalin|Pre-NOTCH Transcription and Translatio|TP53 Regulates Transcription of DNA Repair Gene|Pyroptosi|Association of TriC/CCT with target proteins during biosynthesi|DNA Damage/Telomere Stress Induced Senescenc|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break|Factors involved in megakaryocyte development and platelet productio|TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertai|Signaling by ALK fusions and activated point mutant|Regulation of TP53 Activity through Acetylatio|Activation of NOXA and translocation to mitochondri|Activation of PUMA and translocation to mitochondri|Oxidative Stress Induced Senescenc|Formation of Senescence-Associated Heterochromatin Foci (SAHF|Oncogene Induced Senescenc|SUMOylation of transcription factor|Autodegradation of the E3 ubiquitin ligase COP|TP53 Regulates Metabolic Gene|Ub-specific processing protease|Ovarian tumor domain protease|TP53 Regulates Transcription of Genes Involved in Cytochrome C Releas|TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertai|TP53 Regulates Transcription of Caspase Activators and Caspase|TP53 Regulates Transcription of Death Receptors and Ligand|TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arres|TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arres|Regulation of TP53 Expressio|Regulation of TP53 Activity through Phosphorylatio|Regulation of TP53 Degradatio|Regulation of TP53 Activity through Association with Co-factor|Regulation of TP53 Activity through Methylatio|PI5P Regulates TP53 Acetylatio|G2/M DNA damage checkpoin|G2/M Checkpoint|Stabilization of p5|Transcriptional activation of cell cycle inhibitor p2|The role of GTSE1 in G2/M progression after G2 checkpoin|Transcriptional Regulation by VENT|RUNX3 regulates CDKN1A transcriptio|Regulation of PTEN gene transcriptio|Loss of function of TP53 in cancer due to loss of tetramerization abilit|Regulation of NF-kappa B signalin|Zygotic genome activation (ZGA,46.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL1977579,STREPTOZOCIN,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,AGRCPNMCOXLKFO-BDVNFPICSA-N,265.222,,,,,,,,DNA inhibitor,1.0,mechanism_drug_candidate
CHEMBL4594298,ENCEQUIDAR,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,AHJUHHDDCJQACA-UHFFFAOYSA-N,688.7410000000001,,,,,,,,P-glycoprotein 1 inhibitor,1.0,mechanism_drug_candidate
CHEMBL3545311,BRIGATINIB,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,AILRADAXUVEEIR-UHFFFAOYSA-N,584.105,,,,,,,,Epidermal growth factor receptor erbB1 inhibitor,1.0,mechanism_drug_candidate
CHEMBL1200635,HYDROCORTAMATE HYDROCHLORIDE,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl,AKQNAIYKSALPKV-OYHXESGYSA-N,512.0870000000004,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL1200538,BETAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-QZIXMDIESA-N,434.5040000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL1530428,DEXAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-RPRRAYFGSA-N,434.5040000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL1091,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,ALEXXDVDDISNDU-JZYPGELDSA-N,404.5030000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL3545085,XL-228,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,ALKJNCZNEOTEMP-UHFFFAOYSA-N,437.55200000000025,1.0,Terminated,ABL1,1.0,R-HSA-2029482|R-HSA-428890|R-HSA-525793|R-HSA-5663213|R-HSA-5685938|R-HSA-5693565|R-HSA-69231|R-HSA-8939236|R-HSA-8940973|R-HSA-9664422|R-HSA-983231|R-HSA-9841922|R-HSA-9860927,"Regulation of actin dynamics for phagocytic cup formation|Role of ABL in ROBO-SLIT signaling|Myogenesis|RHO GTPases Activate WASPs and WAVEs|HDR through Single Strand Annealing (SSA)|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks|Cyclin D associated events in G1|RUNX1 regulates transcription of genes involved in differentiation of HSCs|RUNX2 regulates osteoblast differentiation|FCGR3A-mediated phagocytosis|Factors involved in megakaryocyte development and platelet production|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis|Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells|RUNX1 regulates transcription of genes involved in differentiation of HSC|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosi|Regulation of actin dynamics for phagocytic cup formatio|Role of ABL in ROBO-SLIT signalin|Myogenesi|RHO GTPases Activate WASPs and WAVE|HDR through Single Strand Annealing (SSA|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break|Cyclin D associated events in G|RUNX2 regulates osteoblast differentiatio|FCGR3A-mediated phagocytosi|Factors involved in megakaryocyte development and platelet productio|Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cell",13.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL290960,NIFURTIMOX,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,ARFHIAQFJWUCFH-IZZDOVSWSA-N,287.297,,,,,,,,DNA inhibitor,1.0,mechanism_drug_candidate
CHEMBL4650278,REVUMENIB SESQUIFUMARATE,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C.CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,AXNUWYROYVRYIM-OQIJCFCCSA-N,1609.8779999999997,1.0,Recruiting,KMT2A,1.0,R-HSA-8936459|R-HSA-8939236|R-HSA-9616222|R-HSA-3214841|R-HSA-9772755,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet functio|RUNX1 regulates transcription of genes involved in differentiation of HSC|Transcriptional regulation of granulopoiesi|PKMTs methylate histone lysine|Formation of WDR5-containing histone-modifying complexe,5.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL300138,ENZASTAURIN,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,515.6170000000003,3.0,Completed,PRKCB,1.0,R-HSA-8939246|R-HSA-418597|R-HSA-114516|R-HSA-1169091|R-HSA-416993|R-HSA-4419969|R-HSA-5099900|R-HSA-5218921|R-HSA-5668599|R-HSA-76005,RUNX1 regulates transcription of genes involved in differentiation of myeloid cell|G alpha (z) signalling event|Disinhibition of SNARE formatio|Activation of NF-kappaB in B cell|Trafficking of GluR2-containing AMPA receptor|Depolymerization of the Nuclear Lamin|WNT5A-dependent internalization of FZD|VEGFR2 mediated cell proliferatio|RHO GTPases Activate NADPH Oxidase|Response to elevated platelet cytosolic Ca2,10.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL4650319,MOBOCERTINIB,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,AZSRSNUQCUDCGG-UHFFFAOYSA-N,585.709,,,,,,,,Epidermal growth factor receptor erbB1 inhibitor,1.0,mechanism_drug_candidate
CHEMBL5095049,PACRITINIB CITRATE,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,BAHHBHSHSRTKNK-BJILWQEISA-N,664.7120000000002,4.0,,FLT3|JAK2,2.0,R-HSA-1257604|R-HSA-2219530|R-HSA-5673001|R-HSA-6811558|R-HSA-109704|R-HSA-9607240|R-HSA-9645135|R-HSA-9702509|R-HSA-9702518|R-HSA-9702569|R-HSA-9702577|R-HSA-9702581|R-HSA-9702590|R-HSA-9702596|R-HSA-9702600|R-HSA-9702605|R-HSA-9702614|R-HSA-9702620|R-HSA-9702624|R-HSA-9702632|R-HSA-9702636|R-HSA-9702998|R-HSA-9703009|R-HSA-9703648|R-HSA-9706369|R-HSA-9706374|R-HSA-9706377|R-HSA-69231|R-HSA-983231|R-HSA-877300|R-HSA-6785807|R-HSA-9674555|R-HSA-9705462|R-HSA-512988|R-HSA-912526|R-HSA-1059683|R-HSA-110056|R-HSA-112411|R-HSA-1170546|R-HSA-1433557|R-HSA-2586552|R-HSA-3214858|R-HSA-5673000|R-HSA-6788467|R-HSA-6802946|R-HSA-6802952|R-HSA-6802955|R-HSA-877312|R-HSA-8854691|R-HSA-8984722|R-HSA-9006335|R-HSA-9020591|R-HSA-9020933|R-HSA-9020956|R-HSA-9027276|R-HSA-9027277|R-HSA-9027283|R-HSA-9027284|R-HSA-9649948|R-HSA-9656223|R-HSA-9670439|R-HSA-9679191|R-HSA-9732724|R-HSA-982772,"PIP3 activates AKT signaling|Constitutive Signaling by Aberrant PI3K in Cancer|RAF/MAP kinase cascade|PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling|PI3K Cascade|FLT3 Signaling|STAT5 Activation|FLT3 mutants bind TKIs|STAT5 activation downstream of FLT3 ITD mutants|KW2449-resistant FLT3 mutants|semaxanib-resistant FLT3 mutants|crenolanib-resistant FLT3 mutants|gilteritinib-resistant FLT3 mutants|lestaurtinib-resistant FLT3 mutants|midostaurin-resistant FLT3 mutants|pexidartinib-resistant FLT3 mutants|ponatinib-resistant FLT3 mutants|quizartinib-resistant FLT3 mutants|sorafenib-resistant FLT3 mutants|sunitinib-resistant FLT3 mutants|tandutinib-resistant FLT3 mutants|linifanib-resistant FLT3 mutants|tamatinib-resistant FLT3 mutants|Signaling by FLT3 ITD and TKD mutants|Negative regulation of FLT3|FLT3 signaling through SRC family kinases|FLT3 signaling by CBL mutants|Cyclin D associated events in G1|Factors involved in megakaryocyte development and platelet production|Interferon gamma signaling|Interleukin-4 and Interleukin-13 signaling|Signaling by CSF3 (G-CSF)|Inactivation of CSF3 (G-CSF) signaling|Interleukin-3, Interleukin-5 and GM-CSF signaling|Interleukin receptor SHC signaling|Interleukin-6 signaling|MAPK3 (ERK1) activation|MAPK1 (ERK2) activation|Prolactin receptor signaling|Signaling by SCF-KIT|Signaling by Leptin|RMTs methylate histone arginines|RAF activation|IL-6-type cytokine receptor ligand interactions|Signaling by moderate kinase activity BRAF mutants|Signaling by BRAF and RAF1 fusions|Paradoxical activation of RAF signaling by kinase inactive BRAF|Regulation of IFNG signaling|Interleukin-20 family signaling|Interleukin-35 Signalling|Signaling by Erythropoietin|Interleukin-12 signaling|Interleukin-23 signaling|Interleukin-27 signaling|Erythropoietin activates Phosphoinositide-3-kinase (PI3K)|Erythropoietin activates Phospholipase C gamma (PLCG)|Erythropoietin activates STAT5|Erythropoietin activates RAS|Signaling downstream of RAS mutants|Signaling by RAF1 mutants|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants|Potential therapeutics for SARS|IFNG signaling activates MAPKs|Growth hormone receptor signaling|RMTs methylate histone arginine|Interleukin-4 and Interleukin-13 signalin|PI3K Cascad|PIP3 activates AKT signalin|Constitutive Signaling by Aberrant PI3K in Cance|RAF/MAP kinase cascad|PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin|FLT3 Signalin|STAT5 Activatio|FLT3 mutants bind TKI|STAT5 activation downstream of FLT3 ITD mutant|KW2449-resistant FLT3 mutant|semaxanib-resistant FLT3 mutant|crenolanib-resistant FLT3 mutant|gilteritinib-resistant FLT3 mutant|lestaurtinib-resistant FLT3 mutant|midostaurin-resistant FLT3 mutant|pexidartinib-resistant FLT3 mutant|ponatinib-resistant FLT3 mutant|quizartinib-resistant FLT3 mutant|sorafenib-resistant FLT3 mutant|sunitinib-resistant FLT3 mutant|tandutinib-resistant FLT3 mutant|linifanib-resistant FLT3 mutant|tamatinib-resistant FLT3 mutant|Signaling by FLT3 ITD and TKD mutant|Negative regulation of FLT|FLT3 signaling through SRC family kinase|FLT3 signaling by CBL mutant|Interleukin-3, Interleukin-5 and GM-CSF signalin|Interleukin receptor SHC signalin|RAF activatio|Signaling by moderate kinase activity BRAF mutant|Signaling by BRAF and RAF1 fusion|Paradoxical activation of RAF signaling by kinase inactive BRA|Signaling downstream of RAS mutant|Signaling by RAF1 mutant|IFNG signaling activates MAPK|Interferon gamma signalin|Interleukin-6 signalin|Signaling by CSF3 (G-CSF|Inactivation of CSF3 (G-CSF) signalin|Cyclin D associated events in G|Factors involved in megakaryocyte development and platelet productio|Signaling by SCF-KI|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant|Prolactin receptor signalin|Signaling by Lepti|Interleukin-20 family signalin|Erythropoietin activates STAT|Growth hormone receptor signalin|Erythropoietin activates RA|MAPK3 (ERK1) activatio|MAPK1 (ERK2) activatio|Regulation of IFNG signalin|IL-6-type cytokine receptor ligand interaction|Interleukin-35 Signallin|Signaling by Erythropoieti|Interleukin-12 signalin|Interleukin-23 signalin|Interleukin-27 signalin|Erythropoietin activates Phosphoinositide-3-kinase (PI3K|Erythropoietin activates Phospholipase C gamma (PLCG|Potential therapeutics for SAR",64.0,Tyrosine-protein kinase receptor FLT3 inhibitor,1.0,protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
CHEMBL4303214,FRUQUINTINIB,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,BALLNEJQLSTPIO-UHFFFAOYSA-N,393.39900000000017,4.0,,KDR|FLT4,2.0,R-HSA-5218921|R-HSA-4420097|R-HSA-195399|R-HSA-9013695|R-HSA-9856530|R-HSA-194306|R-HSA-216083|R-HSA-9673768,VEGFR2 mediated cell proliferation|VEGFA-VEGFR2 Pathway|VEGF binds to VEGFR leading to receptor dimerization|NOTCH4 Intracellular Domain Regulates Transcription|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Neurophilin interactions with VEGF and VEGFR|Integrin cell surface interactions|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|NOTCH4 Intracellular Domain Regulates Transcriptio|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|VEGFR2 mediated cell proliferatio|VEGFA-VEGFR2 Pathwa|Neurophilin interactions with VEGF and VEGF|Integrin cell surface interaction|Signaling by membrane-tethered fusions of PDGFRA or PDGFR,8.0,Vascular endothelial growth factor receptor inhibitor,1.0,protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
CHEMBL1200794,OXYMORPHONE HYDROCHLORIDE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,BCGJBQBWUGVESK-KCTCKCTRSA-N,337.80299999999994,,,,,,,,Opioid receptors; mu/kappa/delta agonist,1.0,mechanism_drug_candidate
CHEMBL4594401,RAFUTROMBOPAG,CC1=NN(c2ccc3c(c2)CCCC3)C(=O)/C1=N\Nc1cccc(-c2ccc(C(=O)O)o2)c1O,BDGGFTDRPHKXFC-QYQHSDTDSA-N,458.47400000000016,3.0,Not yet recruiting,MPL,1.0,R-HSA-76009,Platelet Aggregation (Plug Formation,1.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL1200908,HALOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,BDSYKGHYMJNPAB-LICBFIPMSA-N,484.9670000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL4298167,FILGOTINIB MALEATE,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1.O=C(O)/C=C\C(=O)O,BFENHEAPFWQJFL-BTJKTKAUSA-N,541.5860000000004,4.0,,JAK2,1.0,R-HSA-5673001|R-HSA-69231|R-HSA-983231|R-HSA-877300|R-HSA-6785807|R-HSA-9674555|R-HSA-9705462|R-HSA-512988|R-HSA-912526|R-HSA-1059683|R-HSA-110056|R-HSA-112411|R-HSA-1170546|R-HSA-1433557|R-HSA-2586552|R-HSA-3214858|R-HSA-5673000|R-HSA-6788467|R-HSA-6802946|R-HSA-6802952|R-HSA-6802955|R-HSA-877312|R-HSA-8854691|R-HSA-8984722|R-HSA-9006335|R-HSA-9020591|R-HSA-9020933|R-HSA-9020956|R-HSA-9027276|R-HSA-9027277|R-HSA-9027283|R-HSA-9027284|R-HSA-9649948|R-HSA-9656223|R-HSA-9670439|R-HSA-9679191|R-HSA-9732724|R-HSA-982772,"RAF/MAP kinase cascade|Cyclin D associated events in G1|Factors involved in megakaryocyte development and platelet production|Interferon gamma signaling|Interleukin-4 and Interleukin-13 signaling|Signaling by CSF3 (G-CSF)|Inactivation of CSF3 (G-CSF) signaling|Interleukin-3, Interleukin-5 and GM-CSF signaling|Interleukin receptor SHC signaling|Interleukin-6 signaling|MAPK3 (ERK1) activation|MAPK1 (ERK2) activation|Prolactin receptor signaling|Signaling by SCF-KIT|Signaling by Leptin|RMTs methylate histone arginines|RAF activation|IL-6-type cytokine receptor ligand interactions|Signaling by moderate kinase activity BRAF mutants|Signaling by BRAF and RAF1 fusions|Paradoxical activation of RAF signaling by kinase inactive BRAF|Regulation of IFNG signaling|Interleukin-20 family signaling|Interleukin-35 Signalling|Signaling by Erythropoietin|Interleukin-12 signaling|Interleukin-23 signaling|Interleukin-27 signaling|Erythropoietin activates Phosphoinositide-3-kinase (PI3K)|Erythropoietin activates Phospholipase C gamma (PLCG)|Erythropoietin activates STAT5|Erythropoietin activates RAS|Signaling downstream of RAS mutants|Signaling by RAF1 mutants|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants|Potential therapeutics for SARS|IFNG signaling activates MAPKs|Growth hormone receptor signaling|RMTs methylate histone arginine|Interleukin-4 and Interleukin-13 signalin|RAF/MAP kinase cascad|Interleukin-3, Interleukin-5 and GM-CSF signalin|Interleukin receptor SHC signalin|RAF activatio|Signaling by moderate kinase activity BRAF mutant|Signaling by BRAF and RAF1 fusion|Paradoxical activation of RAF signaling by kinase inactive BRA|Signaling downstream of RAS mutant|Signaling by RAF1 mutant|IFNG signaling activates MAPK|Interferon gamma signalin|Interleukin-6 signalin|Signaling by CSF3 (G-CSF|Inactivation of CSF3 (G-CSF) signalin|Cyclin D associated events in G|Factors involved in megakaryocyte development and platelet productio|Signaling by SCF-KI|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant|Prolactin receptor signalin|Signaling by Lepti|Interleukin-20 family signalin|Erythropoietin activates STAT|Growth hormone receptor signalin|Erythropoietin activates RA|MAPK3 (ERK1) activatio|MAPK1 (ERK2) activatio|Regulation of IFNG signalin|IL-6-type cytokine receptor ligand interaction|Interleukin-35 Signallin|Signaling by Erythropoieti|Interleukin-12 signalin|Interleukin-23 signalin|Interleukin-27 signalin|Erythropoietin activates Phosphoinositide-3-kinase (PI3K|Erythropoietin activates Phospholipase C gamma (PLCG|Potential therapeutics for SAR",38.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL2028663,DABRAFENIB,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BFSMGDJOXZAERB-UHFFFAOYSA-N,519.5740000000002,4.0,,BRAF,1.0,R-HSA-5673000|R-HSA-6802946|R-HSA-6802952|R-HSA-6802955|R-HSA-9649948|R-HSA-9656223|R-HSA-5674135|R-HSA-5674499|R-HSA-5675221|R-HSA-6802948|R-HSA-9726840|R-HSA-9726842|R-HSA-1295596|R-HSA-170968|R-HSA-170984|R-HSA-187706,RAF activation|Signaling by moderate kinase activity BRAF mutants|Signaling by BRAF and RAF1 fusions|Paradoxical activation of RAF signaling by kinase inactive BRAF|Signaling downstream of RAS mutants|Signaling by RAF1 mutants|MAP2K and MAPK activation|Negative feedback regulation of MAPK pathway|Negative regulation of MAPK pathway|Signaling by high-kinase activity BRAF mutants|SHOC2 M1731 mutant abolishes MRAS complex function|Gain-of-function MRAS complexes activate RAF signaling|Spry regulation of FGF signaling|Frs2-mediated activation|ARMS-mediated activation|Signalling to p38 via RIT and RIN|RAF activatio|MAP2K and MAPK activatio|Negative feedback regulation of MAPK pathwa|Negative regulation of MAPK pathwa|Signaling by moderate kinase activity BRAF mutant|Signaling by high-kinase activity BRAF mutant|Signaling by BRAF and RAF1 fusion|Paradoxical activation of RAF signaling by kinase inactive BRA|Signaling downstream of RAS mutant|Signaling by RAF1 mutant|SHOC2 M1731 mutant abolishes MRAS complex functio|Gain-of-function MRAS complexes activate RAF signalin|Spry regulation of FGF signalin|Frs2-mediated activatio|ARMS-mediated activatio|Signalling to p38 via RIT and RI,16.0,,,protein_drug_candidates|pathway_drug_candidates
