compound_name,chembl_id,smiles,composite_score,A_assay_efficacy,B_consistency,C_PLD,D_safety_proxy,E_clinical,F_mechanism_proxy,G_druglikeness,H_novelty,cpe_inhib_mean,cpe_viability_mean,morph_score_primary_mean,infection_rate_primary_mean,infection_inhib_primary_mean,morph_score_val_mean,infection_rate_val_mean,infection_inhib_val_mean,cellcount_val_mean,dipl_24h_mean,max_phase,first_approval,pref_name,canonical_smiles,standard_inchi_key,full_mwt,alogp,rdkit_mw,rdkit_logp,rdkit_hba,rdkit_hbd,num_ro5_violations,moa_str,target_pref_name,PLD_high_risk,Cell_line_divergence,Clinical_ready,imputed_subscores
moxaverine,CHEMBL2105060,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1,0.7569725733383323,0.3617531382245139,0.9159113509572644,0.9781160975248807,1.0,0.6,0.7,1.0,0.5,1.8559999999999999,97.188994124,0.495294217791718,86.0,14.0,0.33,80.5,19.5,104.25,2.3116666666666665,2.0,,MOXAVERINE,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1,MYCMTMIGRXJNSO-UHFFFAOYSA-N,307.39,4.41,307.393,4.405200000000003,3.0,0.0,0.0,nan: nan; target=nan,,False,False,False,0
calpeptin,CHEMBL92708,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,0.7543624393665291,0.8970525481101521,0.9830095699520524,0.7548373968700285,1.0,0.2,0.7,1.0,0.5,15.106,97.77848174,0.814524615295161,12.5,87.5,0.8175,26.5,73.5,118.75,22.42833333333333,,,CALPEPTIN,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,PGGUOGKHUUUWAF-ROUUACIJSA-N,362.47,3.2,362.4700000000001,3.2014000000000014,4.0,2.0,0.0,nan: nan; target=nan,Cathepsin K | Calpain-1 catalytic subunit | Procathepsin L | Replicase polyprotein 1ab | Calpain-9,False,False,False,0
SCH-900776,CHEMBL2386889,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1,0.7519816674207692,0.44371268227219474,0.954426350238359,0.8177143068555995,1.0,0.6,0.7,1.0,0.5,1.286,96.03580007400001,0.534958466769374,82.0,18.0,0.4375,63.0,37.0,98.5,16.763333333333332,2.0,,SCH-900776,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1,GMIZZEXBPRLVIV-SECBINFHSA-N,376.26,1.94,376.26200000000017,1.9414999999999998,7.0,2.0,0.0,INHIBITOR: Serine/threonine-protein kinase Chk1 inhibitor; target=CHEMBL4630,Serine/threonine-protein kinase Chk1 | 26S proteasome regulatory subunit 6B | Myosin light chain kinase | Serine/threonine-protein kinase SIK2 | Casein kinase II subunit alpha',False,False,False,0
GTS21,CHEMBL134713,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,0.7471787929195735,0.32083529336496797,0.8807172890681669,0.9758777609234526,1.0,0.6,0.7,1.0,0.5,0.626,99.77119761,0.51682983204887,87.0,13.0,0.2,80.25,19.75,105.75,2.513333333333333,2.0,,GTS-21,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,RPYWXZCFYPVCNQ-RVDMUPIBSA-N,308.38,3.77,308.38100000000003,3.7653000000000025,4.0,0.0,0.0,AGONIST: Neuronal acetylcholine receptor protein alpha-7 subunit agonist; target=CHEMBL2492,Acetylcholine-binding protein | Neuronal acetylcholine receptor; alpha4/beta2 | Neuronal acetylcholine receptor subunit alpha-7 | Neuronal acetylcholine receptor; alpha3/beta4 | Acetylcholine receptor; alpha1/beta1/delta/gamma,False,False,False,0
serdemetan,CHEMBL2137530,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,0.7381657991888438,0.5828551319178621,0.7654510240702281,0.7570202375226608,1.0,0.6,0.7,1.0,0.5,3.12,94.61935912999999,0.932795890665558,37.5,62.5,0.3475,60.75,39.25,101.25,22.23166666666667,2.0,,SERDEMETAN,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,CEGSUKYESLWKJP-UHFFFAOYSA-N,328.42,4.96,328.41900000000004,4.961100000000003,3.0,3.0,0.0,nan: nan; target=nan,,False,False,False,0
sunitinib,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.7316688856422511,0.3854439000385594,0.9206505348349188,0.3472566502645307,1.0,1.0,0.7,1.0,0.5,5.898000000000001,88.204684122,0.395952359234068,99.0,1.0,0.4175,74.25,25.75,103.75,59.15,4.0,2006.0,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,398.48,3.33,398.48200000000014,3.3349400000000013,3.0,3.0,0.0,INHIBITOR: Macrophage colony stimulating factor receptor inhibitor; target=CHEMBL1844 | INHIBITOR: Platelet-derived growth factor receptor alpha inhibitor; target=CHEMBL2007 | INHIBITOR: Platelet-derived growth factor receptor beta inhibitor; target=CHEMBL1913 | INHIBITOR: Stem cell growth factor receptor inhibitor; target=CHEMBL1936 | INHIBITOR: Tyrosine-protein kinase receptor FLT3 inhibitor; target=CHEMBL1974 | INHIBITOR: Tyrosine-protein kinase receptor RET inhibitor; target=CHEMBL2041 | INHIBITOR: Vascular endothelial growth factor receptor 1 inhibitor; target=CHEMBL1868 | INHIBITOR: Vascular endothelial growth factor receptor 2 inhibitor; target=CHEMBL279 | INHIBITOR: Vascular endothelial growth factor receptor 3 inhibitor; target=CHEMBL1955,Platelet-derived growth factor receptor beta | Vascular endothelial growth factor receptor 2 | Mast/stem cell growth factor receptor Kit | Receptor-type tyrosine-protein kinase FLT3 | Platelet-derived growth factor receptor alpha,True,False,True,0
Y-26763,CHEMBL1402866,CC(=O)N(O)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O,0.7314305691589713,0.5245758680133547,0.9295509894502093,0.997317695808206,1.0,0.2,0.7,1.0,0.5,0.44000000000000006,98.289664258,0.477465574406897,59.0,41.0,0.6125,61.5,38.5,111.75,0.5816666666666667,,,,CC(=O)N(O)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O,IWTCFIIOUXJOOV-OLZOCXBDSA-N,276.29,1.37,276.292,1.3689799999999999,5.0,2.0,0.0,nan: nan; target=nan,,False,False,False,0
BMS-566419,CHEMBL229008,CCN1CCN(c2ccc(C(C)(C)NC(=O)c3cc4[nH]c5ccccc5c(=O)c4cc3F)cn2)CC1,0.7252878248748202,0.6280971159988208,1.0,0.774205482999741,1.0,0.2,0.7,1.0,0.5,6.536,100.32770776,0.572212318149955,55.0,45.0,0.585,40.5,59.5,91.0,20.683333333333334,,,,CCN1CCN(c2ccc(C(C)(C)NC(=O)c3cc4[nH]c5ccccc5c(=O)c4cc3F)cn2)CC1,XEVJUIZOZCFECP-UHFFFAOYSA-N,487.58,4.02,487.57900000000024,4.022400000000002,5.0,2.0,0.0,nan: nan; target=nan,Inosine-5'-monophosphate dehydrogenase 2,False,False,False,0
NS-3861,CHEMBL5483034,CN1C2C=C(c3sccc3Br)CC1CC2.O=C(O)/C=C/C(=O)O,0.7226317805033257,0.43386418733501875,0.965855194136553,0.9813348625550334,1.0,0.2,0.7,1.0,0.5,4.298,98.27178358,0.427472175295592,69.5,30.5,0.405,74.0,26.0,106.25,2.021666666666667,,,,CN1C2C=C(c3sccc3Br)CC1CC2.O=C(O)/C=C/C(=O)O,KXBSQPLWTVQFGJ-WLHGVMLRSA-N,400.29,3.76,400.2940000000002,3.4723000000000015,4.0,2.0,0.0,nan: nan; target=nan,,False,False,False,0
butenafine,CHEMBL990,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0.7226051990293129,0.4052341311014576,0.9193840118008463,0.9869954493321987,0.5,1.0,0.7,0.7692279999999998,0.5,2.452,97.90239061,0.502308999395294,71.0,29.0,0.365,80.25,19.75,100.25,1.5116666666666667,4.0,1996.0,BUTENAFINE,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,317.48,5.77,317.476,5.769300000000006,1.0,0.0,1.0,nan: nan; target=nan,Cytochrome P450 2D6 | Sodium-dependent serotonin transporter | Alpha-2A adrenergic receptor | Sigma non-opioid intracellular receptor 1 | Voltage-gated inwardly rectifying potassium channel KCNH2,False,False,True,0
