compound_name,chembl_id,smiles,composite_score,A_assay_efficacy,B_consistency,C_PLD,D_safety_proxy,E_clinical,F_mechanism_proxy,G_druglikeness,H_novelty,cpe_inhib_mean,cpe_viability_mean,morph_score_primary_mean,infection_rate_primary_mean,infection_inhib_primary_mean,morph_score_val_mean,infection_rate_val_mean,infection_inhib_val_mean,cellcount_val_mean,dipl_24h_mean,max_phase,first_approval,pref_name,canonical_smiles,standard_inchi_key,full_mwt,alogp,rdkit_mw,rdkit_logp,rdkit_hba,rdkit_hbd,num_ro5_violations,moa_str,target_pref_name,PLD_high_risk,Cell_line_divergence,Clinical_ready,imputed_subscores
quinestrol,CHEMBL1201165,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,0.6965565356923339,0.26703366693322056,0.9884974207808915,0.8260571978245588,0.5,1.0,0.7,0.7908639999999998,0.5,2.3,98.892800188,-0.031845826335655,102.0,-2.0,0.2725,67.75,32.25,80.75,16.011666666666667,4.0,1982.0,QUINESTROL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,PWZUUYSISTUNDW-VAFBSOEGSA-N,364.53,5.23,364.52900000000017,5.228400000000006,2.0,1.0,1.0,AGONIST: Estrogen receptor agonist; target=CHEMBL2093866,Glucocorticoid receptor | Progesterone receptor | Estrogen receptor | Androgen receptor | Streptokinase A,False,False,True,0
A-7,CHEMBL1331148,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.6934939719662047,0.39941453278597394,0.8303937674173767,0.9181434755262866,1.0,0.2,0.7,1.0,0.5,0.9620000000000001,97.245215016,0.525720837361825,52.0,48.0,0.26,83.5,16.5,102.25,7.715,,,,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,JLUUJHIQVIXTGT-UHFFFAOYSA-N,396.98,4.85,396.9840000000001,4.851000000000004,3.0,2.0,0.0,nan: nan; target=nan,Cytochrome P450 2C9 | Cytochrome P450 2C19 | N-formyl peptide receptor 2 | Cytochrome P450 2D6 | Cytochrome P450 3A4,False,False,False,0
anisomycin,CHEMBL423192,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,0.6925322686522531,0.5324714469872202,0.6247129666135046,0.9830737356172999,1.0,0.2,0.7,1.0,0.5,6.286,46.282860581,0.04496681061159,102.0,-2.0,0.61,11.25,88.75,71.5,1.8649999999999998,,,ANISOMYCIN,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,YKJYKKNCCRKFSL-RDBSUJKOSA-N,265.31,0.5,265.30899999999997,0.5020999999999994,5.0,2.0,0.0,nan: nan; target=nan,"Heat shock factor protein 1 | Glucose transporter | Hexose transporter 1 | Solute carrier family 2, facilitated glucose transporter member 1 | ATP-dependent molecular chaperone HSP82",False,False,False,0
PD-153035,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,0.6910804879753839,0.2017928998654425,0.9509732430141761,0.9758777609234526,1.0,0.2,0.7,1.0,0.5,3.182000000000001,83.48690837000001,-0.238470709643386,104.0,-4.0,0.1875,72.5,27.5,78.25,2.513333333333333,,,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,LSPANGZZENHZNJ-UHFFFAOYSA-N,360.21,4.15,360.2110000000001,4.153100000000003,5.0,1.0,0.0,nan: nan; target=nan,Epidermal growth factor receptor | Cyclin-G-associated kinase | Tyrosine-protein kinase ABL1 | Cytochrome P450 2C9 | Cytochrome P450 1A2,False,False,False,0
revaprazan,CHEMBL1618279,Cc1nc(Nc2ccc(F)cc2)nc(N2CCc3ccccc3C2C)c1C,0.6871064776181536,0.5950683006791083,0.9393558690174624,0.8664212512486589,0.5,0.6,0.7,0.7960063999999999,0.5,1.45,96.687376204,0.590059585172956,42.5,57.5,0.575,51.0,49.0,107.25,12.375,2.0,,REVAPRAZAN,Cc1nc(Nc2ccc(F)cc2)nc(N2CCc3ccccc3C2C)c1C,LECZXZOBEZITCL-UHFFFAOYSA-N,362.45,5.1,362.45200000000006,5.099840000000004,4.0,1.0,1.0,nan: nan; target=nan,,False,False,False,0
ML167,CHEMBL1604618,Cc1ccc(CNc2ncnc3ccc(-c4ccc(CO)o4)cc23)o1,0.6862760602986105,0.3064876070427844,0.8396422930826047,0.9440785822634947,1.0,0.2,0.7,1.0,0.5,0.10599999999999996,97.87625901999999,0.497483583369231,106.0,-6.0,0.37,87.75,12.25,103.0,5.378333333333333,,,,Cc1ccc(CNc2ncnc3ccc(-c4ccc(CO)o4)cc23)o1,ROCFOIBAEVAOLQ-UHFFFAOYSA-N,335.36,3.9,335.36300000000017,3.8956200000000027,6.0,2.0,0.0,nan: nan; target=nan,Dual specificity protein kinase CLK4 | Dual specificity protein kinase CLK1 | Dual specificity protein kinase CLK2 | Dual specificity tyrosine-phosphorylation-regulated kinase 1B,False,False,False,0
tyrphostin-AG-1478,CHEMBL7917,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,0.685466809931005,0.17975364928858845,0.9245883258122682,0.9793925043471826,1.0,0.2,0.7,1.0,0.5,-0.44199999999999984,79.275371154,-0.318073238739359,117.5,-17.5,0.28,67.0,33.0,93.5,2.1966666666666668,,,TYRPHOSTIN AG-1478,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,GFNNBHLJANVSQV-UHFFFAOYSA-N,315.76,4.04,315.7600000000001,4.044000000000002,5.0,1.0,0.0,nan: nan; target=nan,"Epidermal growth factor receptor | MAP kinase-interacting serine/threonine-protein kinase 1 | Mitogen-activated protein kinase 14 | Fructose-1,6-bisphosphatase 1 | Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase",False,False,False,0
AZ191,CHEMBL3421968,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,0.6824826776022774,0.3511516675600418,0.851045762729486,0.8576639905286914,1.0,0.2,0.7,1.0,0.5,8.508,90.09389803,0.377301594940971,100.5,-0.5,0.3625,86.5,13.5,111.0,13.163999999999998,,,,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,ZYVXTMKTGDARKR-UHFFFAOYSA-N,429.53,3.53,429.5280000000002,3.5343000000000018,8.0,1.0,0.0,nan: nan; target=nan,Dual specificity tyrosine-phosphorylation-regulated kinase 1A | Dual specificity tyrosine-phosphorylation-regulated kinase 1B | Dual specificity protein kinase CLK1 | Dual specificity protein kinase CLK4 | Dual specificity tyrosine-phosphorylation-regulated kinase 2,False,False,False,0
gallium-triquinolin-8-olate,CHEMBL4303465,,0.6730096819070157,0.6610757341944317,0.8230017210616941,1.0,1.0,0.2,0.3,0.9,0.5,1.8900000000000001,102.91277247999999,0.774576989603484,16.5,83.5,0.4975,48.5,51.5,70.0,-0.33999999999999986,,,,,,,,,,,,,,,False,False,False,1
toceranib,CHEMBL13608,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1,0.6668290339554742,0.3060764340499016,0.6471987766593403,0.5813570609345518,1.0,0.6,0.7,1.0,0.5,-2.928,93.739068312,-0.072104662235952,26.0,74.0,0.2575,93.75,6.25,105.75,38.05833333333333,2.0,,TOCERANIB,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1,SRSGVKWWVXWSJT-ATVHPVEESA-N,396.47,3.09,396.46600000000024,3.088940000000002,3.0,3.0,0.0,nan: nan; target=nan,Platelet-derived growth factor receptor beta | Vascular endothelial growth factor receptor 2 | Platelet-derived growth factor receptor | Serine/threonine-protein kinase tousled-like 2 | Fibroblast growth factor receptor 1,False,False,False,0
metixene,CHEMBL1201342,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,0.6520087204087701,0.4245806728956893,0.9411327101902249,0.3509563801842466,0.5,1.0,0.7,0.7993999999999999,0.5,8.928,97.153001198,0.383466652876003,86.0,14.0,0.3975,73.0,27.0,111.0,58.81666666666666,4.0,1982.0,METHIXENE,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,MJFJKKXQDNNUJF-UHFFFAOYSA-N,309.48,5.02,309.47800000000007,5.015000000000005,2.0,0.0,1.0,nan: nan; target=nan,Muscarinic acetylcholine receptor M2 | Muscarinic acetylcholine receptor M1 | Alpha-1A adrenergic receptor | D(3) dopamine receptor | Cholinesterase,True,False,True,0
BNTX,CHEMBL252172,O=C1/C(=C/c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.6426267217572221,0.5525844731166695,0.7204819111005658,0.8679473898405416,1.0,0.2,0.3,1.0,0.5,-3.614,81.2170813216,0.7321658636442,23.5,76.5,0.4375,64.25,35.75,101.0,12.2375,,,,,,,,429.5160000000003,3.2189000000000023,5.0,2.0,,,,False,False,False,0
siramesine,CHEMBL61479,Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1,0.6420553360937739,0.4636743957322788,0.8514680602309059,0.7858522327870066,0.5,0.6,0.7,0.7354479999999998,0.5,7.279999999999999,90.82462316,0.091882123779587,94.5,5.5,0.665,57.25,42.75,113.25,19.634,2.0,,SIRAMESINE,Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1,XWAONOGAGZNUSF-UHFFFAOYSA-N,454.59,6.61,454.5890000000001,6.6138000000000075,3.0,0.0,1.0,nan: nan; target=nan,Sigma non-opioid intracellular receptor 1 | Sigma intracellular receptor 2 | D(2) dopamine receptor | 5-hydroxytryptamine receptor 2A,False,False,False,0
P7C3,CHEMBL2442630,OC(CNc1ccccc1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,0.6408788901087225,0.4801054717183451,0.9899468227057651,0.9886788264456695,0.5,0.2,0.7,0.7682999999999999,0.5,3.936,100.778329596,0.392480867395101,59.5,40.5,0.4575,65.5,34.5,100.25,-1.36,,,,OC(CNc1ccccc1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,FZHHRERIIVOATI-UHFFFAOYSA-N,474.2,5.79,474.1960000000001,5.792500000000004,3.0,2.0,1.0,nan: nan; target=nan,,False,False,False,0
cyclosporin-A,CHEMBL160,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,0.6372370092634009,0.44834768985950274,0.9599113277528283,0.8896370564948759,0.0,1.0,0.7,0.6,0.5,5.224,108.07869400199999,0.508332505808322,87.0,13.0,0.3975,61.0,39.0,102.75,10.283333333333333,4.0,1983.0,CYCLOSPORINE,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,PMATZTZNYRCHOR-CGLBZJNRSA-N,1202.63,,1202.634999999999,3.2690000000000046,12.0,5.0,,MODULATOR: Cyclophilin A modulator; target=CHEMBL1949,Peptidyl-prolyl cis-trans isomerase A | Peptidyl-prolyl cis-trans isomerase D | Protein phosphatase 3 catalytic subunit alpha | Interleukin-2 | Peptidyl-prolyl cis-trans isomerase FKBP1B,False,False,True,0
harringtonine,CHEMBL433257,COC(=O)C[C@](O)(CCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,0.6334061309979347,0.5886739409604684,0.8113732127612906,0.9672018942617189,0.5,0.2,0.7,0.8,0.5,0.28400000000000036,71.5242540406,0.554777646425763,49.0,51.0,0.3475,17.75,82.25,60.25,-3.295,,,HARRINGTONINE,COC(=O)C[C@](O)(CCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,HAVJATCHLFRDHY-KSZYUSJVSA-N,531.6,2.19,531.6020000000004,2.190599999999999,10.0,2.0,1.0,nan: nan; target=nan,,False,False,False,0
Y-134,CHEMBL178334,CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,0.6318105623620655,0.43818353756737816,0.9541133644517176,0.9918235968774279,0.5,0.2,0.7,0.7703639999999997,0.5,8.129999999999999,98.545809112,0.427438476004738,74.5,25.5,0.27749999999999997,63.75,36.25,108.5,1.0766666666666669,,,,CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,LQEOPHGPHCWOAC-UHFFFAOYSA-N,472.61,5.74,472.6100000000002,5.740900000000007,6.0,2.0,1.0,nan: nan; target=nan,Estrogen receptor | Estrogen receptor beta,False,False,False,0
zolantidine,CHEMBL419296,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,0.6105012143137271,0.6185044401701414,0.9537344101567603,0.6182988641829146,0.5,0.2,0.7,0.7934719999999998,0.5,2.87,97.524736186,0.670116646101943,44.0,56.0,0.54,45.0,55.0,115.5,34.73,,,ZOLANTIDINE,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,KUBONGDXTUOOLM-UHFFFAOYSA-N,381.55,5.16,381.545,5.163200000000005,5.0,1.0,1.0,nan: nan; target=nan,Cytochrome P450 3A4,False,False,False,0
AM-1241,CHEMBL408430,CN1CCCCC1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,0.6080556100770174,0.46864261370512883,0.8957911677212509,0.8000110991897591,0.5,0.2,0.7,0.8,0.5,0.446,98.757920326,0.612365052578848,72.5,27.5,0.5175,72.0,28.0,111.5,18.35833333333333,,,,CN1CCCCC1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,ZUHIXXCLLBMBDW-UHFFFAOYSA-N,503.34,4.87,503.3400000000001,4.869400000000004,5.0,0.0,1.0,nan: nan; target=nan,Cannabinoid receptor 2 | Cannabinoid receptor 1,False,False,False,0
IT1t,CHEMBL460491,CC1(C)CN2C(CS/C(=N\C3CCCCC3)NC3CCCCC3)=CSC2=N1,0.6078830412714924,0.6774917141988024,0.9482219200539391,0.5521106959191978,0.5,0.2,0.7,0.7852399999999998,0.5,4.818,95.696729582,0.70898230160396,35.0,65.0,0.625,44.75,55.25,116.25,40.693333333333335,,,,CC1(C)CN2C(CS/C(=N\C3CCCCC3)NC3CCCCC3)=CSC2=N1,OOSUDWRRWZVFEB-UHFFFAOYSA-N,406.67,5.37,406.6650000000002,5.369000000000005,5.0,1.0,1.0,nan: nan; target=nan,C-X-C chemokine receptor type 4 | Human immunodeficiency virus type 1 reverse transcriptase,False,False,False,0
cinnarazine,CHEMBL1370236,C(=C/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\Cc1ccccc1,0.6004240316569691,0.22071950623224712,0.9179561093380568,0.9707166376854489,0.5,0.2,0.7,0.7939999999999998,0.5,4.89,100.386345886,0.021085177735746,102.0,-2.0,0.2425,93.5,6.5,105.0,2.978333333333333,,,,C(=C/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\Cc1ccccc1,SSKFWBSXNIWCBH-VCHYOVAHSA-N,368.52,5.15,368.5240000000002,5.150000000000005,2.0,0.0,1.0,nan: nan; target=nan,,False,False,False,0
Y-320,CHEMBL4303340,Cc1c(C(=O)Nc2ccc(N3CCC(N4CCOCC4)CC3)c(C#N)c2)cnn1-c1ccc(Cl)cc1,0.5907896115616725,0.27390549369939604,0.8892644085242736,0.8631469902697103,0.5,0.2,0.7,0.8,0.5,7.438,98.455406574,0.178142395583856,94.0,6.0,0.185,88.0,12.0,102.5,-12.67,,,,Cc1c(C(=O)Nc2ccc(N3CCC(N4CCOCC4)CC3)c(C#N)c2)cnn1-c1ccc(Cl)cc1,BWZNJVZTAWBIFG-UHFFFAOYSA-N,505.02,4.26,505.0220000000003,4.259100000000004,7.0,1.0,1.0,nan: nan; target=nan,,False,False,False,0
FLI-06,CHEMBL3604460,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2=C(CC(C)(C)CC2=O)N1,0.5903506573864226,0.15897050904712406,0.9170465837043997,0.9497761663398572,0.5,0.2,0.7,0.7970119999999998,0.5,4.01,80.023834792,-0.096509205642723,104.0,-4.0,0.0925,90.75,9.25,100.75,4.865,,,,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2=C(CC(C)(C)CC2=O)N1,SWWVFYHSSOWZMF-UHFFFAOYSA-N,438.52,5.07,438.5240000000002,5.074700000000004,6.0,1.0,1.0,nan: nan; target=nan,Gamma-secretase | Neurogenic locus notch homolog protein 1,False,False,False,0
GW-803430,CHEMBL214957,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1,0.5863051503308503,0.6196258334487712,0.9975738481650667,0.38327352103296464,0.5,0.2,0.7,0.7899679999999998,0.5,9.606,101.556551544,0.519528780484698,53.0,47.0,0.605,52.25,47.75,115.0,55.905,,,,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1,MWULMTACIBZPGN-UHFFFAOYSA-N,482.01,5.25,482.0050000000004,5.250800000000005,7.0,0.0,1.0,nan: nan; target=nan,Melanin-concentrating hormone receptor 1 | Sigma non-opioid intracellular receptor 1 | Sigma intracellular receptor 2 | Histamine H3 receptor | 5-hydroxytryptamine receptor 2B,True,False,False,0
NU-7441,CHEMBL188678,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,0.5862702414796849,0.35967185283961245,0.8089439922022023,0.8481260867956639,0.5,0.2,0.7,0.7734199999999999,0.5,9.136,81.32463135200001,0.352483726470613,68.0,32.0,0.095,78.5,21.5,98.25,14.023333333333333,,,,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,JAMULYFATHSZJM-UHFFFAOYSA-N,413.5,5.66,413.4980000000001,5.664500000000005,5.0,0.0,1.0,nan: nan; target=nan,"DNA-dependent protein kinase catalytic subunit | Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform | Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform | Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform | Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",False,False,False,0
SGI-1027,CHEMBL2336409,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,0.5761547135437921,0.2704216677047726,0.9576152306710928,0.7073976099744719,0.5,0.2,0.7,0.7738031999999999,0.5,5.202,90.23621196,-0.012806320580103,103.5,-3.5,0.2275,68.75,31.25,85.25,26.7025,,,,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,QSYLKMKIVWJAAK-UHFFFAOYSA-N,461.53,5.65,461.52900000000017,5.654920000000004,7.0,4.0,1.0,nan: nan; target=nan,DNA (cytosine-5)-methyltransferase 1 | DNA (cytosine-5)-methyltransferase 3A | DNMT3A2/3L complex | DNA (cytosine-5)-methyltransferase 3B,False,False,False,0
LY2228820,CHEMBL2364627,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21.CS(=O)(=O)O.CS(=O)(=O)O,0.5730469368937814,0.44656624099232956,0.6217968230653914,0.8160124310925302,0.5,0.2,0.7,0.8,0.5,13.45,80.47190920599999,-0.205029010479169,111.0,-11.0,0.5449999999999999,34.5,65.5,110.0,16.916666666666668,-1.0,,RALIMETINIB MESYLATE,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21.CS(=O)(=O)O.CS(=O)(=O)O,NARMJPIBAXVUIE-UHFFFAOYSA-N,612.75,5.55,612.7500000000003,4.561300000000003,9.0,4.0,1.0,nan: nan; target=nan,,False,False,False,0
RS-39604,CHEMBL66114,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,0.5675776823296362,0.22987957839610768,0.8075860106194643,0.8031558696215176,0.5,0.2,0.7,0.8,0.5,6.87,82.683503392,0.264819077937512,102.0,-2.0,0.08250000000000002,92.5,7.5,105.5,18.075,,,,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,BKVIWGRFRKLFIO-UHFFFAOYSA-N,554.11,3.74,554.1090000000004,3.7425000000000024,8.0,2.0,1.0,nan: nan; target=nan,5-hydroxytryptamine receptor 4 | Cytochrome P450 2D6 | Cytochrome P450 3A4,False,False,False,0
10-DEBC,CHEMBL1398474,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,0.5631295452111439,0.3817785692041162,0.9089983943570985,0.5424913981279367,0.5,0.2,0.7,0.7717679999999998,0.5,6.714,89.245230826,0.331089333505747,93.0,7.0,0.4475,81.75,18.25,111.0,41.56,,,,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,GYBXAGDWMCJZJK-UHFFFAOYSA-N,344.89,5.71,344.886,5.705800000000005,3.0,0.0,1.0,nan: nan; target=nan,Serine/threonine-protein kinase pim-1,False,False,False,0
JHW-007,CHEMBL3084652,CCCCN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,0.5482086819651706,0.41489671462614897,0.9386113184750673,0.3668134226201487,0.5,0.2,0.7,0.7653479999999998,0.5,7.952000000000001,93.437532654,0.045461242532523,86.0,14.0,0.52,66.5,33.5,109.5,57.388,,,,CCCCN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,HZEVDVGPBUFIAW-JKHIJQBDSA-N,385.5,5.87,385.49800000000005,5.866300000000006,2.0,0.0,1.0,nan: nan; target=nan,Sodium-dependent dopamine transporter,True,False,False,0
cot-inhibitor-2,CHEMBL527026,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,0.5481342625590501,0.5769679693816813,0.9189586154889582,0.935402715601761,0.0,0.2,0.7,0.5537447999999998,0.5,2.466,95.87123676799999,0.683069614001061,40.5,59.5,0.4566666666666667,55.333333333333336,44.666666666666664,93.33333333333333,6.159999999999999,,,,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,PHNZIIMWDVXPGG-UHFFFAOYSA-N,539.45,6.16,539.4460000000001,6.156380000000004,8.0,2.0,2.0,nan: nan; target=nan,Mitogen-activated protein kinase kinase kinase 8 | Epidermal growth factor receptor,False,False,False,0
A12B4C3,CHEMBL4303462,CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1,0.54765614426216,0.46419151639638506,0.9456628365613781,0.9958748011395168,0.0,0.2,0.7,0.5755199999999998,0.5,3.336,99.863931318,0.496188381540056,69.5,30.5,0.49,73.0,27.0,106.5,0.7116666666666666,,,,CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1,KVHGJAKTBPFFNV-UHFFFAOYSA-N,534.66,5.61,534.6570000000003,5.6120000000000045,7.0,2.0,2.0,nan: nan; target=nan,Bifunctional polynucleotide phosphatase/kinase,False,False,False,0
ceritinib,CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,0.5455892750224764,0.34345580699939016,0.8539659823328138,0.4217692108476081,0.0,1.0,0.7,0.5455231999999998,0.5,11.89,82.263186676,0.181674277684575,104.0,-4.0,0.325,78.75,21.25,97.75,52.43666666666667,4.0,2014.0,CERITINIB,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,VERWOWGGCGHDQE-UHFFFAOYSA-N,558.15,6.36,558.1480000000001,6.361920000000006,8.0,3.0,2.0,INHIBITOR: ALK tyrosine kinase receptor inhibitor; target=CHEMBL4247 | INHIBITOR: EML4-ALK inhibitor; target=CHEMBL3883330 | INHIBITOR: NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor; target=CHEMBL2111387,ALK tyrosine kinase receptor | Proto-oncogene tyrosine-protein kinase ROS | Insulin receptor | Insulin-like growth factor 1 receptor | EML4-ALK,True,False,True,0
3-CPMT,CHEMBL540034,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2.Cl,0.5389483832821023,0.3308919195402922,0.9544719005734937,0.3459432461430314,0.5,0.2,0.7,0.7802799999999999,0.5,4.94,90.488971724,0.250762236917508,98.5,1.5,0.3475,77.5,22.5,110.75,59.26833333333334,,,,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2.Cl,FXKCQWIUITUJFU-UHFFFAOYSA-N,378.34,5.07,378.343,5.493000000000006,2.0,0.0,1.0,nan: nan; target=nan,,True,False,False,0
UNC0646,CHEMBL1829304,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,0.5378092576232198,0.5105656357223602,0.9836174167910174,0.8491990084723815,0.0,0.2,0.7,0.5590919999999997,0.5,2.8280000000000003,95.244140802,0.45792534433648,52.0,48.0,0.44,58.25,41.75,88.25,13.926666666666668,,,,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,OUKWLRHRXOPODD-UHFFFAOYSA-N,621.91,6.02,621.9149999999998,6.022700000000007,9.0,1.0,2.0,nan: nan; target=nan,Histone-lysine N-methyltransferase EHMT2,False,False,False,0
C-021,CHEMBL508207,COc1cc2nc(N3CCC(N4CCCCC4)CC3)nc(NC3CCCCCC3)c2cc1OC,0.5350801219178023,0.4053192135427988,0.8100839144504764,0.37469384734914357,0.5,0.2,0.7,0.7905439999999998,0.5,-10.334,79.1736339892,0.415088938414857,51.5,48.5,0.36,56.75,43.25,111.25,56.678,,,,COc1cc2nc(N3CCC(N4CCCCC4)CC3)nc(NC3CCCCCC3)c2cc1OC,WYVBISCFCHREDA-UHFFFAOYSA-N,467.66,5.24,467.65800000000036,5.236400000000005,7.0,1.0,1.0,nan: nan; target=nan,C-C chemokine receptor type 4,True,False,False,0
