dedup_key,parent_inchikey,parent_smiles,canonical_smiles,example_drug_name,chembl_id,n_records,n_proteins,n_pathways,n_moas,any_known_aml,max_phase
JHJNPOSPVGRIAN-SFHVURJKSA-N,JHJNPOSPVGRIAN-SFHVURJKSA-N,COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC,COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC,SERALUTINIB,CHEMBL4650333,82,3,78,1,False,3.0
JLRIJKVMMZEKDF-UHFFFAOYSA-N,JLRIJKVMMZEKDF-UHFFFAOYSA-N,Nc1ncc(-c2ccncc2)nc1Nc1ccc2[nH]ccc2c1,Nc1ncc(-c2ccncc2)nc1Nc1ccc2[nH]ccc2c1,AKN-028,CHEMBL4790100,55,1,54,0,False,1.0
JLYAXFNOILIKPP-KXQOOQHDSA-N,JLYAXFNOILIKPP-KXQOOQHDSA-N,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,NAVITOCLAX,CHEMBL443684,18,1,16,1,False,3.0
JMGXJHWTVBGOKG-UHFFFAOYSA-N,JMGXJHWTVBGOKG-UHFFFAOYSA-N,Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,TG100-801,CHEMBL403989,28,2,26,0,False,2.0
JNLSTLQFDDAULK-UHFFFAOYSA-N,JNLSTLQFDDAULK-UHFFFAOYSA-N,O=C(Nc1cccc(C(F)(F)F)c1)c1cccc2cc(Oc3cc(CO)ncn3)ccc12,O=C(Nc1cccc(C(F)(F)F)c1)c1cccc2cc(Oc3cc(CO)ncn3)ccc12,BFH-772,CHEMBL4080062,15,1,14,0,False,2.0
JOOXLOJCABQBSG-UHFFFAOYSA-N,JOOXLOJCABQBSG-UHFFFAOYSA-N,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,FEDRATINIB,CHEMBL1287853;CHEMBL4297216,266,4,260,2,False,4.0
JSKFWUPVIZYJMR-UDOAKELVSA-N,JSKFWUPVIZYJMR-UDOAKELVSA-N,CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,BECATECARIN,CHEMBL2107313,6,1,4,1,False,3.0
JTEGQNOMFQHVDC-NKWVEPMBSA-N,JTEGQNOMFQHVDC-NKWVEPMBSA-N,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,LAMIVUDINE,CHEMBL141,1,0,0,1,False,
JWNPDZNEKVCWMY-VQHVLOKHSA-N,JWNPDZNEKVCWMY-VQHVLOKHSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,NERATINIB,CHEMBL180022;CHEMBL3989921,2,0,0,2,False,
JWRMHDSINXPDHB-OJAGFMMFSA-N,JWRMHDSINXPDHB-OJAGFMMFSA-N,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,FLUMETHASONE PIVALATE,CHEMBL1200877,1,0,0,1,False,
JXDYOSVKVSQGJM-UHFFFAOYSA-N,JXDYOSVKVSQGJM-UHFFFAOYSA-N,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,JNJ-26483327,CHEMBL3109738,7,1,6,0,False,1.0
JXLYSJRDGCGARV-CFWMRBGOSA-N,JXLYSJRDGCGARV-CFWMRBGOSA-N,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,VINBLASTINE SULFATE,CHEMBL378544,1,0,0,1,False,
JYGXADMDTFJGBT-VWUMJDOOSA-N,JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,HYDROCORTISONE,CHEMBL389621,1,0,0,1,True,
KDGFLJKFZUIJMX-UHFFFAOYSA-N,KDGFLJKFZUIJMX-UHFFFAOYSA-N,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,ALECTINIB,CHEMBL1738797;CHEMBL3707320,23,2,20,1,False,4.0
KGPGFQWBCSZGEL-ZDUSSCGKSA-N,KGPGFQWBCSZGEL-ZDUSSCGKSA-N,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,GSK-690693,CHEMBL494089,139,11,128,0,False,1.0
KKZJGLLVHKMTCM-UHFFFAOYSA-N,KKZJGLLVHKMTCM-UHFFFAOYSA-N,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,MITOXANTRONE,CHEMBL1417019;CHEMBL58,11,2,8,1,True,4.0
KLRRGBHZCJLIEL-UHFFFAOYSA-N,KLRRGBHZCJLIEL-UHFFFAOYSA-N,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,BMS-833923,CHEMBL3545403,11,1,10,0,False,2.0
KPQZUUQMTUIKBP-UHFFFAOYSA-N,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC(C)O,Cc1ncc([N+](=O)[O-])n1CC(C)O,SECNIDAZOLE,CHEMBL498847,1,0,0,1,False,
KSMZEXLVHXZPEF-UHFFFAOYSA-N,KSMZEXLVHXZPEF-UHFFFAOYSA-N,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,CATEQUENTINIB,CHEMBL4303201,77,4,72,1,False,3.0
KTAPWKXZMODIJZ-UHFFFAOYSA-N,KTAPWKXZMODIJZ-UHFFFAOYSA-N,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],AZATHIOPRINE SODIUM,CHEMBL1200400,1,0,0,1,False,
KTEIFNKAUNYNJU-GFCCVEGCSA-N,KTEIFNKAUNYNJU-GFCCVEGCSA-N,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CRIZOTINIB,CHEMBL601719,11,1,10,0,False,4.0
KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IMATINIB MESYLATE,CHEMBL1642;CHEMBL941,183,8,174,1,True,4.0
KUVIULQEHSCUHY-XYWKZLDCSA-N,KUVIULQEHSCUHY-XYWKZLDCSA-N,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,BECLOMETHASONE DIPROPIONATE,CHEMBL1200500,1,0,0,1,False,
KVCQTKNUUQOELD-UHFFFAOYSA-N,KVCQTKNUUQOELD-UHFFFAOYSA-N,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,BELVARAFENIB,CHEMBL3977543,68,2,66,0,False,2.0
KXMZDGSRSGHMMK-VWLOTQADSA-N,KXMZDGSRSGHMMK-VWLOTQADSA-N,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,BEMCENTINIB,CHEMBL3809489,3,1,2,0,False,2.0
LBGFKUUHOPIEMA-PEARBKPGSA-N,LBGFKUUHOPIEMA-PEARBKPGSA-N,CCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C#N)c(=O)n1,CCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C#N)c(=O)n1,SAPACITABINE,CHEMBL2105681,1,0,0,1,False,
LGGHDPFKSSRQNS-UHFFFAOYSA-N,LGGHDPFKSSRQNS-UHFFFAOYSA-N,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,TARIQUIDAR,CHEMBL348475,1,0,0,1,False,
LGLFFNDHMLKUMI-UHFFFAOYSA-N,LGLFFNDHMLKUMI-UHFFFAOYSA-N,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],GENTIAN VIOLET,CHEMBL64894,1,0,0,1,False,
LGXVKMDGSIWEHL-UHFFFAOYSA-N,LGXVKMDGSIWEHL-UHFFFAOYSA-N,CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(OCCN5CCOCC5)ccc34)ccc12,CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(OCCN5CCOCC5)ccc34)ccc12,PF-00337210,CHEMBL1738697,15,1,14,0,False,1.0
LIQODXNTTZAGID-OCBXBXKTSA-N,LIQODXNTTZAGID-OCBXBXKTSA-N,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,ETOPOSIDE PHOSPHATE,CHEMBL1200645,6,1,4,1,False,3.0
LLPOLZWFYMWNKH-CMKMFDCUSA-N,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O.O=C(O)C(O)C(O)C(=O)O,HYDROCODONE BITARTRATE,CHEMBL3989677,1,0,0,1,False,
LMEKQMALGUDUQG-UHFFFAOYSA-N,LMEKQMALGUDUQG-UHFFFAOYSA-N,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,AZATHIOPRINE,CHEMBL1542,1,0,0,1,False,
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,LOLPPWBBNUVNQZ-UHFFFAOYSA-N,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,AT-9283,CHEMBL495727,159,3,156,0,False,2.0
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,LOWWYYZBZNSPDT-ZBEGNZNMSA-N,C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2,C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2,DELGOCITINIB,CHEMBL4297507,77,1,76,0,False,3.0
LQBVNQSMGBZMKD-UHFFFAOYSA-N,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,VENETOCLAX,CHEMBL3137309,18,1,16,1,True,4.0
LRJOMUJRLNCICJ-JZYPGELDSA-N,LRJOMUJRLNCICJ-JZYPGELDSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PREDNISOLONE ACETATE,CHEMBL1152,1,0,0,1,False,
LTEJRLHKIYCEOX-OCCSQVGLSA-N,LTEJRLHKIYCEOX-OCCSQVGLSA-N,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,BRIVANIB ALANINATE,CHEMBL270995,23,2,20,1,False,3.0
LUKZNWIVRBCLON-GXOBDPJESA-N,LUKZNWIVRBCLON-GXOBDPJESA-N,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CICLESONIDE,CHEMBL2040682,1,0,0,1,False,
LVXJQMNHJWSHET-AATRIKPKSA-N,LVXJQMNHJWSHET-AATRIKPKSA-N,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1.O,DACOMITINIB,CHEMBL2105719;CHEMBL2110732,2,0,0,2,False,
LWAFSWPYPHEXKX-UHFFFAOYSA-N,LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl,CARTEOLOL HYDROCHLORIDE,CHEMBL1201002,1,0,0,1,False,
LYSYOXNOOPBOSC-NGSKMYNLSA-N,LYSYOXNOOPBOSC-NGSKMYNLSA-N,CC[C@H]1C[C@@H](C(=O)NCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@H]2NC(C)=O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,CC[C@H]1C[C@@H](C(=O)NCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@H]2NC(C)=O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,UPROLESELAN,CHEMBL3989971,1,0,0,1,True,
LZCDAPDGXCYOEH-UHFFFAOYSA-N,LZCDAPDGXCYOEH-UHFFFAOYSA-N,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,ADAPALENE,CHEMBL1265,28,3,24,1,False,4.0
MAFACRSJGNJHCF-UHFFFAOYSA-N,MAFACRSJGNJHCF-UHFFFAOYSA-N,COc1ccc(C)cc1NC(=O)Nc1nc2ccc(Nc3ncnc4cc(OCCCN5CCN(C)CC5)c(OC)cc34)cc2s1,COc1ccc(C)cc1NC(=O)Nc1nc2ccc(Nc3ncnc4cc(OCCCN5CCN(C)CC5)c(OC)cc34)cc2s1,4SC-203,CHEMBL5314406,77,3,74,0,False,1.0
MCTXSDCWFQAGFS-UEXNTNOUSA-N,MCTXSDCWFQAGFS-UEXNTNOUSA-N,Cc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2,Cc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2,HENATINIB,CHEMBL1277072,15,1,14,0,False,1.0
MFBCDACCJCDGBA-UHFFFAOYSA-N,MFBCDACCJCDGBA-UHFFFAOYSA-N,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,TRIFAROTENE,CHEMBL3707313,7,1,6,0,False,4.0
MKCYPWYURWOKST-INIZCTEOSA-N,MKCYPWYURWOKST-INIZCTEOSA-N,C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1,C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1,CLN-081,CHEMBL4650281,1,0,0,1,False,
MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,SORAFENIB TOSYLATE,CHEMBL1200485;CHEMBL1336,421,16,404,1,True,4.0
MMNNTJYFHUDSKL-UHFFFAOYSA-N,MMNNTJYFHUDSKL-UHFFFAOYSA-N,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,XL-281,CHEMBL3545027,68,2,66,0,False,1.0
MPUQHZXIXSTTDU-QXGSTGNESA-N,MPUQHZXIXSTTDU-QXGSTGNESA-N,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,PEVONEDISTAT,CHEMBL1231160,1,0,0,1,True,
MPVGZUGXCQEXTM-UHFFFAOYSA-N,MPVGZUGXCQEXTM-UHFFFAOYSA-N,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,LINIFANIB,CHEMBL223360,118,5,112,1,False,3.0
MUQNGPZZQDCDFT-JNQJZLCISA-N,MUQNGPZZQDCDFT-JNQJZLCISA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,HALCINONIDE,CHEMBL1200845,1,0,0,1,False,
MUTNCGKQJGXKEM-UHFFFAOYSA-N,MUTNCGKQJGXKEM-UHFFFAOYSA-N,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,TAMIBAROTENE,CHEMBL25202,20,2,18,0,False,3.0
MVWATCATLSSVBH-UHFFFAOYSA-N,MVWATCATLSSVBH-UHFFFAOYSA-N,CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(Cl)cnc5c4OCO5)ncnc3c2)CC1,CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(Cl)cnc5c4OCO5)ncnc3c2)CC1,AZD-0424,CHEMBL5314408,27,1,26,0,False,1.0
MXPOCMVWFLDDLZ-NSCUHMNNSA-N,MXPOCMVWFLDDLZ-NSCUHMNNSA-N,Cn1c(/C=C/CO)c(CO)c2c1C(=O)C=C(N1CC1)C2=O,Cn1c(/C=C/CO)c(CO)c2c1C(=O)C=C(N1CC1)C2=O,APAZIQUONE,CHEMBL73822,1,0,0,1,False,
MYYIMZRZXIQBGI-HVIRSNARSA-N,MYYIMZRZXIQBGI-HVIRSNARSA-N,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,FLUPREDNISOLONE,CHEMBL1200774,1,0,0,1,False,
NEQYWYXGTJDAKR-JTQLQIEISA-N,NEQYWYXGTJDAKR-JTQLQIEISA-N,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,OLUTASIDENIB,CHEMBL4297610,12,1,10,1,True,4.0
NETZHAKZCGBWSS-CEDHKZHLSA-N,NETZHAKZCGBWSS-CEDHKZHLSA-N,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,Cl.Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,NALBUPHINE HYDROCHLORIDE,CHEMBL1201132,1,0,0,1,True,
NGFFVZQXSRKHBM-FKBYEOEOSA-N,NGFFVZQXSRKHBM-FKBYEOEOSA-N,O=C1CCc2c(Oc3ccc4c(c3)[C@@H]3[C@H](O4)[C@H]3c3nc4cc(C(F)(F)F)ccc4[nH]3)ccnc2N1,O=C1CCc2c(Oc3ccc4c(c3)[C@@H]3[C@H](O4)[C@H]3c3nc4cc(C(F)(F)F)ccc4[nH]3)ccnc2N1,LIFIRAFENIB,CHEMBL4209157,33,1,32,0,False,1.0
NHFDRBXTEDBWCZ-ZROIWOOFSA-N,NHFDRBXTEDBWCZ-ZROIWOOFSA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,ORANTINIB,CHEMBL274654,56,3,52,1,False,3.0
NICJCIQSJJKZAH-AWEZNQCLSA-N,NICJCIQSJJKZAH-AWEZNQCLSA-N,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,IROFULVEN,CHEMBL118218,1,0,0,1,False,
NJBFOOCLYDNZJN-UHFFFAOYSA-N,NJBFOOCLYDNZJN-UHFFFAOYSA-N,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,PIPOBROMAN,CHEMBL1585,1,0,0,1,False,
NJSMWLQOCQIOPE-OCHFTUDZSA-N,NJSMWLQOCQIOPE-OCHFTUDZSA-N,C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,BISANTRENE,CHEMBL25336,1,0,0,1,False,
