dedup_key,parent_inchikey,parent_smiles,canonical_smiles,example_drug_name,chembl_id,n_records,n_proteins,n_pathways,n_moas,any_known_aml,max_phase
GZENKSODFLBBHQ-ILSZZQPISA-N,GZENKSODFLBBHQ-ILSZZQPISA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,MEDRYSONE,CHEMBL1201173,1,0,0,1,False,
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,GZKLJWGUPQBVJQ-UHFFFAOYSA-N,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,SERTINDOLE,CHEMBL12713,1,0,0,1,False,
HAWPXGHAZFHHAD-UHFFFAOYSA-N,HAWPXGHAZFHHAD-UHFFFAOYSA-N,CN(CCCl)CCCl,CN(CCCl)CCCl.Cl,MECHLORETHAMINE HYDROCHLORIDE,CHEMBL1201001;CHEMBL427,2,0,0,2,False,
HFNKQEVNSGCOJV-OAHLLOKOSA-N,HFNKQEVNSGCOJV-OAHLLOKOSA-N,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,RUXOLITINIB,CHEMBL1789941;CHEMBL1795071,154,2,152,0,False,4.0
HHCBMISMPSAZBF-UHFFFAOYSA-N,HHCBMISMPSAZBF-UHFFFAOYSA-N,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,LY-3009120,CHEMBL3577124,68,2,66,0,False,1.0
HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB-UHFFFAOYSA-N,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,NILOTINIB HYDROCHLORIDE MONOHYDRATE,CHEMBL1201740;CHEMBL255863,75,4,70,1,False,4.0
HJFSVYUFOXAVAA-YUAYGMJFSA-N,HJFSVYUFOXAVAA-YUAYGMJFSA-N,CCCNc1nc(Nc2ccc(C#N)cc2)ncc1C#CCCCNC(=O)[C@H](C)N(C)C(=O)/C=C/CN(C)C,CCCNc1nc(Nc2ccc(C#N)cc2)ncc1C#CCCCNC(=O)[C@H](C)N(C)C(=O)/C=C/CN(C)C,FF-10101,CHEMBL4650283,55,1,54,0,False,1.0
HJLSLZFTEKNLFI-UHFFFAOYSA-N,HJLSLZFTEKNLFI-UHFFFAOYSA-N,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,TINIDAZOLE,CHEMBL1220,1,0,0,1,False,
HOMGKSMUEGBAAB-UHFFFAOYSA-N,HOMGKSMUEGBAAB-UHFFFAOYSA-N,O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCCl,IFOSFAMIDE,CHEMBL1024,1,0,0,1,False,
HPNSFSBZBAHARI-RUDMXATFSA-M,HPNSFSBZBAHARI-RUDMXATFSA-M,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2.[Na+],MYCOPHENOLATE SODIUM,CHEMBL2106643,1,0,0,1,False,
HPNSFSBZBAHARI-RUDMXATFSA-N,HPNSFSBZBAHARI-RUDMXATFSA-N,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,MYCOPHENOLIC ACID,CHEMBL866,1,0,0,1,False,
HQMNCQVAMBCHCO-DJRRULDNSA-N,HQMNCQVAMBCHCO-DJRRULDNSA-N,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,ETRETINATE,CHEMBL464,27,3,24,0,False,4.0
HUFOZJXAKZVRNJ-UHFFFAOYSA-N,HUFOZJXAKZVRNJ-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,ROCILETINIB,CHEMBL3545308,1,0,0,1,False,
HUMXXHTVHHLNRO-KAJVQRHHSA-N,HUMXXHTVHHLNRO-KAJVQRHHSA-N,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PREDNISOLONE TEBUTATE,CHEMBL1200909,1,0,0,1,False,
HUNGUWOZPQBXGX-UHFFFAOYSA-N,HUNGUWOZPQBXGX-UHFFFAOYSA-N,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,TIRBANIBULIN,CHEMBL571546,1,0,0,1,False,
HVXKQKFEHMGHSL-QKDCVEJESA-N,HVXKQKFEHMGHSL-QKDCVEJESA-N,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,TESEVATINIB,CHEMBL3544983,1,0,0,1,False,
HWJPWWYTGBZDEG-UHFFFAOYSA-N,HWJPWWYTGBZDEG-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,ICLAPRIM,CHEMBL134561,1,0,0,1,False,
HWXVIOGONBBTBY-ONEGZZNKSA-N,HWXVIOGONBBTBY-ONEGZZNKSA-N,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,PACRITINIB,CHEMBL2035187;CHEMBL5095049,266,4,260,2,False,4.0
HXHAJRMTJXHJJZ-UHFFFAOYSA-N,HXHAJRMTJXHJJZ-UHFFFAOYSA-N,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,OSI-632,CHEMBL253969,15,1,14,0,False,2.0
HXHWSAZORRCQMX-UHFFFAOYSA-N,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,ALBENDAZOLE,CHEMBL1483,1,0,0,1,False,
HYRKAAMZBDSJFJ-LFDBJOOHSA-N,HYRKAAMZBDSJFJ-LFDBJOOHSA-N,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PARAMETHASONE ACETATE,CHEMBL1200342,1,0,0,1,False,
HZLFFNCLTRVYJG-WWGOJCOQSA-N,HZLFFNCLTRVYJG-WWGOJCOQSA-N,CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,PATIDEGIB,CHEMBL538867,12,1,10,1,False,3.0
