pair_key,name_1,name_2,target_1,moa_1,target_2,moa_2,mech_comp,external_novelty,priority_score
SGI-1027||norfluoxetine,norfluoxetine,SGI-1027,HTR2B,selective serotonin reuptake inhibitor (SSRI),DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,2.8267044074426066
Ceritinib||JHW-007,JHW-007,Ceritinib,SLC6A3,dopamine reuptake inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,2.825093944645613
AY-9944||SGI-1027,AY-9944,SGI-1027,,hedgehog pathway modulator,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,2.812967548000666
Auranofin||Ceritinib,Ceritinib,Auranofin,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,,,1.0,1,2.8114863681784965
Auranofin||NPS-2143 (SB262470),Auranofin,NPS-2143 (SB262470),,,ADRB2;CASR;KCNH2;PTH;SLC6A2;SLC6A3;SLC6A4,calcium receptor antagonist,1.0,1,2.7275084182581044
Auranofin||thaliblastine,Auranofin,thaliblastine,,,,DNA inhibitor,1.0,1,2.7131600591791054
Ceritinib||PENFLURIDOL,PENFLURIDOL,Ceritinib,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,2.6469227272640805
Auranofin||Flupentixol,Flupentixol,Auranofin,ADRA1A;CHRM1;DRD1;DRD2;DRD3;DRD5;HTR2A;SIGMAR1,dopamine receptor antagonist,,,1.0,1,2.6176814388885337
Ceritinib||droloxifene,droloxifene,Ceritinib,,,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,2.564591435679085
Ceritinib||GR-127935,GR-127935,Ceritinib,HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR6;SLC6A4,serotonin receptor antagonist,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,2.562258478614085
